# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.30
metadata : {}


# id : NWRW1800000021.30.1.1
나이지리아, 석유 분배 계약 파기… 석유公 “소송 제기”

나이지리아,	나이지리아/NNP+,/SP
문제의 광구는 나이지리아 심해의 OPL321, 323 광구다.

문제의	문제/NNG+의/JKG
광구는	광구/NNG+는/JX
나이지리아	나이지리아/NNP
심해의	심해/NNG+의/JKG
OPL321,	OPL/SL+321/SN+,/SP
323	323/SN
광구다.	광구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.30.4.2
두 광구의 잠재 원유 매장량은 각각 약 10억 배럴로 석유공사는 추정했다.

두	두/MMN
광구의	광구/NNG+의/JKG
잠재	잠재/NNG
원유	원유/NNG
매장량은	매장량/NNG+은/JX
각각	각각/MAG
약	약/MMA
10억	10/SN+억/NR
배럴로	배럴/NNB+로/JKB
석유공사는	석유공사/NNP+는/JX
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.30.4.3
20억 배럴은 연간 국내 원유 소비량(약 8억5000만 배럴)의 2배 이상에 해당하는 양이다.

20억	20/SN+억/NR
배럴은	배럴/NNB+은/JX
연간	연간/NNG
국내	국내/NNG
원유	원유/NNG
소비량(약	소비량/NNG+(/SS+약/MMA
8억5000만	8/SN+억/NR+5000/SN+만/NR
배럴)의	배럴/NNB+)/SS+의/JKG
2배	2/SN+배/NNG
이상에	이상/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
양이다.	양/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.30.5.1
한국 컨소시엄은 2005년 8월 광구탐사권을 낙찰받았고 2006년 3월 당시 노무현 대통령이 나이지리아를 방문했을 때 생산물 분배 계약을 체결했다.

한국	한국/NNP
컨소시엄은	컨소시엄/NNG+은/JX
2005년	2005/SN+년/NNB
8월	8/SN+월/NNB
광구탐사권을	광구/NNG+탐사/NNG+권/XSN+을/JKO
낙찰받았고	낙찰/NNG+받/XSV+았/EP+고/EC
2006년	2006/SN+년/NNB
3월	3/SN+월/NNB
당시	당시/NNG
노무현	노무현/NNP
대통령이	대통령/NNG+이/JKS
나이지리아를	나이지리아/NNP+를/JKO
방문했을	방문/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
생산물	생산물/NNG
분배	분배/NNG
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.30.5.2
한국 컨소시엄은 이 광구 지분의 60%를 갖고 있으며 영국과 나이지리아 법인이 각각 30%, 10% 지분을 갖고 있다.

한국	한국/NNP
컨소시엄은	컨소시엄/NNG+은/JX
이	이/MMD
광구	광구/NNG
지분의	지분/NNG+의/JKG
60%를	60/SN+%/SW+를/JKO
갖고	갖/VV+고/EC
있으며	있/VX+으며/EC
영국과	영국/NNP+과/JC
나이지리아	나이지리아/NNP
법인이	법인/NNG+이/JKS
각각	각각/MAG
30%,	30/SN+%/SW+,/SP
10%	10/SN+%/SW
지분을	지분/NNG+을/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.30.6.1
석유공사에 따르면 나이지리아 정부는 한국 측이 지분에 해당하는 계약금 3억2300만 달러 중 2억3100만 달러를 납부하지 않았다는 이유로 계약 무효를 통보했다.

석유공사에	석유공사/NNP+에/JKB
따르면	따르/VV+면/EC
나이지리아	나이지리아/NNP
정부는	정부/NNG+는/JX
한국	한국/NNP
측이	측/NNB+이/JKS
지분에	지분/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
계약금	계약금/NNG
3억2300만	3/SN+억/NR+2300/SN+만/NR
달러	달러/NNB
중	중/NNB
2억3100만	2/SN+억/NR+3100/SN+만/NR
달러를	달러/NNB+를/JKO
납부하지	납부/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
계약	계약/NNG
무효를	무효/NNG+를/JKO
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.30.7.1
이에 대해 석유공사는 “나이지리아 정부가 계약 당시 사회간접자본(SOC) 사업을 진행한다는 조건으로 2억3100만 달러를 경감해줬기 때문에 아무 문제가 없다”고 설명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
석유공사는	석유공사/NNP+는/JX
“나이지리아	“/SS+나이지리아/NNP
정부가	정부/NNG+가/JKS
계약	계약/NNG
당시	당시/NNG
사회간접자본(SOC)	사회/NNG+간접/NNG+자본/NNG+(/SS+SOC/SL+)/SS
사업을	사업/NNG+을/JKO
진행한다는	진행/NNG+하/XSV+ㄴ다는/ETM
조건으로	조건/NNG+으로/JKB
2억3100만	2/SN+억/NR+3100/SN+만/NR
달러를	달러/NNB+를/JKO
경감해줬기	경감/NNG+하/XSV+아/EC+주/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
아무	아무/MMD
문제가	문제/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.30.8.1
한국 컨소시엄은 정부와 협의를 거쳐 외교적 대응은 물론 법적 소송까지 진행할 계획이다.

한국	한국/NNP
컨소시엄은	컨소시엄/NNG+은/JX
정부와	정부/NNG+와/JKB
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
외교적	외교/NNG+적/XSN
대응은	대응/NNG+은/JX
물론	물론/MAG
법적	법/NNG+적/XSN
소송까지	소송/NNG+까지/JX
진행할	진행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.30.8.2
또 투자금 회수를 위한 준비에 들어갔다.

또	또/MAG
투자금	투자금/NNG
회수를	회수/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
준비에	준비/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


