# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.175
metadata : {}


# id : NWRW1800000028.175.1.1
‘정당 위에 괸당’<친인척 뜻하는 제주도 말> 영향력 /지지층 응집력이 승부처

‘정당	‘/SS+정당/NNG
제주지사를	제주/NNP+지사/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
우	우/NNP
후보	후보/NNG
쪽	쪽/NNB
지지자들은	지지자/NNG+들/XSN+은/JX
도내	도내/NNG
전	전/MMN
지역에서	지역/NNG+에서/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.175.4.4
사실상 여권 후보인 현 후보 쪽은 전직 공무원 출신과 한나라당 당원들이 많았다.

사실상	사실/NNG+상/XSN
여권	여권/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
현	현/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
전직	전직/NNG
공무원	공무원/NNG
출신과	출신/NNG+과/JC
한나라당	한나라당/NNP
당원들이	당원/NNG+들/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.175.4.5
유세장을 찾은 사람들이 후보와 조금이라도 연고가 있는 사람들이라는 얘기다.

유세장을	유세장/NNG+을/JKO
찾은	찾/VV+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
후보와	후보/NNG+와/JKB
조금이라도	조금/NNG+이라도/JX
연고가	연고/NNG+가/JKS
있는	있/VA+는/ETM
사람들이라는	사람/NNG+들/XSN+이/VCP+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.175.5.1
유세장에서 만난 김현군(63)씨는 “후보들을 보면 그 사람이 그 사람이다.

유세장에서	유세장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
김현군(63)씨는	김현군/NNP+(/SS+63/SN+)/SS+씨/NNB+는/JX
“후보들을	“/SS+후보/NNG+들/XSN+을/JKO
보면	보/VV+면/EC
그	그/MMD
사람이	사람/NNG+이/JKS
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.175.5.2
나랑 악수라도 해 본 후보를 선택하겠다”고 말했다.

나랑	나/NP+랑/JKB
악수라도	악수/NNG+라도/JX
해	하/VV+아/EC
본	보/VX+ㄴ/ETM
후보를	후보/NNG+를/JKO
선택하겠다”고	선택/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.5.3
하지만 세무사 강아무개(44)씨는 “한나라당은 공천권을 박탈당한 무소속 후보와 연대하고, 민주당은 후보가 있는데도 존재가치가 희미할 정도다.

하지만	하지만/MAJ
세무사	세무사/NNG
강아무개(44)씨는	강/NNP+아무개/NP+(/SS+44/SN+)/SS+씨/NNB+는/JX
“한나라당은	“/SS+한나라당/NNP+은/JX
공천권을	공천/NNG+권/XSN+을/JKO
박탈당한	박탈/NNG+당하/XSV+ㄴ/ETM
무소속	무/XPN+소속/NNG
후보와	후보/NNG+와/JKB
연대하고,	연대/NNG+하/XSV+고/EC+,/SP
민주당은	민주당/NNP+은/JX
후보가	후보/NNG+가/JKS
있는데도	있/VA+는데/EC+도/JX
존재가치가	존재/NNG+가치/NNG+가/JKS
희미할	희미하/VA+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.175.5.4
후보의 가치가 지역사회에 투영될 수 있도록 소신투표를 하겠다”고 말했다.

후보의	후보/NNG+의/JKG
가치가	가치/NNG+가/JKS
지역사회에	지역/NNG+사회/NNG+에/JKB
투영될	투영/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
소신투표를	소신/NNG+투표/NNG+를/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.6.1
막판에 나온 여러 여론조사 결과는 무소속 우 후보와 현 후보의 치열한 각축 판세다.

막판에	막판/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
여러	여러/MMN
여론조사	여론/NNG+조사/NNG
결과는	결과/NNG+는/JX
무소속	무/XPN+소속/NNG
우	우/NNP
후보와	후보/NNG+와/JC
현	현/NNP
후보의	후보/NNG+의/JKG
치열한	치열/NNG+하/XSA+ㄴ/ETM
각축	각축/NNG
판세다.	판세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.175.6.2
제주지사 선거전을 바라보는 대부분의 시민들은 이번 선거의 승부가 ‘조직력’에 달려 있다고 말했다.

제주지사	제주/NNP+지사/NNG
선거전을	선거전/NNG+을/JKO
바라보는	바라보/VV+는/ETM
대부분의	대/XPN+부분/NNG+의/JKG
시민들은	시민/NNG+들/XSN+은/JX
이번	이번/NNG
선거의	선거/NNG+의/JKG
승부가	승부/NNG+가/JKS
‘조직력’에	‘/SS+조직력/NNG+’/SS+에/JKB
달려	달리/VV+어/EC
있다고	있/VX+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.6.3
이아무개(69)씨는 “아무리 후보가 뛰어나도 제주도에 오래 살아보지 않으면 끈끈하게 형성된 연고주의를 뚫지 못할 것”이라며 “후보가 쌓아온 조직력의 응집도가 최대 변수가 될 것”이라고 말했다.

이아무개(69)씨는	이/NNP+아무개/NP+(/SS+69/SN+)/SS+씨/NNB+는/JX
“아무리	“/SS+아무리/MAG
후보가	후보/NNG+가/JKS
뛰어나도	뛰어나/VA+아도/EC
제주도에	제주도/NNP+에/JKB
오래	오래/MAG
살아보지	살/VV+아/EC+보/VX+지/EC
않으면	않/VX+으면/EC
끈끈하게	끈끈하/VA+게/EC
형성된	형성/NNG+되/XSV+ㄴ/ETM
연고주의를	연고주의/NNG+를/JKO
뚫지	뚫/VV+지/EC
못할	못하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“후보가	“/SS+후보/NNG+가/JKS
쌓아온	쌓/VV+아/EC+오/VX+ㄴ/ETM
조직력의	조직력/NNG+의/JKG
응집도가	응집도/NNG+가/JKS
최대	최대/NNG
변수가	변수/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.6.4
제주대의 한 교수도 “유권자가 42만여명밖에 되지 않기 때문에 오래전부터 다져진 후보와 유권자와의 인간적 관계나 조직력이 승부의 관건”이라고 분석했다.

제주대의	제주대/NNP+의/JKG
한	한/MMN
교수도	교수/NNG+도/JX
“유권자가	“/SS+유권자/NNG+가/JKS
42만여명밖에	42/SN+만/NR+여/XSN+명/NNB+밖에/JX
되지	되/VV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
오래전부터	오래전/NNG+부터/JX
다져진	다지/VV+어/EC+지/VX+ㄴ/ETM
후보와	후보/NNG+와/JC
유권자와의	유권자/NNG+와/JKB+의/JKG
인간적	인간/NNG+적/XSN
관계나	관계/NNG+나/JC
조직력이	조직력/NNG+이/JKS
승부의	승부/NNG+의/JKG
관건”이라고	관건/NNG+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.7.1
역대 선거의 결과를 좌우했던 ‘괸당’은 이번에도 막강한 영향력을 행사할 것으로 보였다.

역대	역대/NNG
선거의	선거/NNG+의/JKG
결과를	결과/NNG+를/JKO
좌우했던	좌우/NNG+하/XSV+았/EP+던/ETM
‘괸당’은	‘/SS+괸당/NF+’/SS+은/JX
이번에도	이번/NNG+에/JKB+도/JX
막강한	막강/NNG+하/XSA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보였다.	보이/VV+었/EP+다/EF+./SF


