# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.111
metadata : {}


# id : NWRW1800000053.111.1.1
“센 척하는 어른들, 여리고 상처 많아”

“센	“/SS+세/VA+ㄴ/ETM
좋을	좋/VA+을/ETM
것	것/NNB
같아요.”(윤)	같/VA+아요/EF+./SF+”/SS+(/SS+윤/NNP+)/SS


# id : NWRW1800000053.111.8.1
“돌이켜 보면 20, 30대에는 세상에 대한 분노로 가득 차 있었어요.

“돌이켜	“/SS+돌이키/VV+어/EC
보면	보/VX+면/EC
20,	20/SN+,/SP
30대에는	30/SN+대/NNB+에/JKB+는/JX
세상에	세상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분노로	분노/NNG+로/JKB
가득	가득/MAG
차	차/VV+아/EC
있었어요.	있/VX+었/EP+어요/EF+./SF


# id : NWRW1800000053.111.8.2
다만 연옥과 달리 나이가 들면서 세상과 다른 이들을 이해하는 부분이 많아진 것 같아요.”(진)

다만	다만/MAG
연옥과	연옥/NNP+과/JKB
달리	달리/MAG
나이가	나이/NNG+가/JKS
들면서	들/VV+면서/EC
세상과	세상/NNG+과/JKB
다른	다른/MMD
이들을	이/NNB+들/XSN+을/JKO
이해하는	이해/NNG+하/XSV+는/ETM
부분이	부분/NNG+이/JKS
많아진	많아지/VV+ㄴ/ETM
것	것/NNB
같아요.”(진)	같/VA+아요/EF+./SF+”/SS+(/SS+진/NNP+)/SS


# id : NWRW1800000053.111.9.1
역사학자인 정민 역은 성기윤, 조한철이 맡았다.

역사학자인	역사학자/NNG+이/VCP+ㄴ/ETM
정민	정민/NNP
역은	역/NNG+은/JX
성기윤,	성기윤/NNP+,/SP
조한철이	조한철/NNP+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.111.9.2
기회가 된다면 어떤 남자와 어떤 주제로 이야기를 나누고 싶은지 궁금했다.

기회가	기회/NNG+가/JKC
된다면	되/VV+ㄴ다면/EC
어떤	어떤/MMD
남자와	남자/NNG+와/JKB
주제로	주제/NNG+로/JKB
이야기를	이야기/NNG+를/JKO
나누고	나누/VV+고/EC
싶은지	싶/VX+은지/EC
궁금했다.	궁금하/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.111.10.1
“시진핑 중국 국가주석을 만나 미세먼지 대책에 대해 이야기하고 싶어요.

“시진핑	“/SS+시진핑/NNP
중국	중국/NNP
국가주석을	국가주석/NNG+을/JKO
만나	만나/VV+아/EC
미세먼지	미세/NNG+먼지/NNG
대책에	대책/NNG+에/JKB
대해	대하/VV+아/EC
이야기하고	이야기/NNG+하/XSV+고/EC
싶어요.	싶/VX+어요/EF+./SF


# id : NWRW1800000053.111.10.2
맑은 공기를 찾아 떠나는 ‘공기 난민’까지 생겼잖아요.”(진)

맑은	맑/VA+은/ETM
공기를	공기/NNG+를/JKO
찾아	찾/VV+아/EC
떠나는	떠나/VV+는/ETM
‘공기	‘/SS+공기/NNG
난민’까지	난민/NNG+’/SS+까지/JX
생겼잖아요.”(진)	생기/VV+었/EP+잖아/EF+요/JX+./SF+”/SS+(/SS+진/NNP+)/SS


# id : NWRW1800000053.111.11.1
똑 부러지게 말을 이어가는 진경을 보노라니 드라마, 영화의 캐릭터와 겹쳐졌다.

똑	똑/MAG
부러지게	부러지/VV+게/EC
말을	말/NNG+을/JKO
이어가는	잇/VV+어/EC+가/VX+는/ETM
진경을	진경/NNP+을/JKO
보노라니	보/VV+노라니/EC
드라마,	드라마/NNG+,/SP
영화의	영화/NNG+의/JKG
캐릭터와	캐릭터/NNG+와/JKB
겹쳐졌다.	겹쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.111.11.2
진경이 “이거, 연옥과 정민의 토론 주제로 넣을까요?”라고 묻자 윤유선은 “우주 얘기도 하잖아.

진경이	진경/NNP+이/JKS
“이거,	“/SS+이거/NP+,/SP
연옥과	연옥/NNP+과/JC
정민의	정민/NNP+의/JKG
토론	토론/NNG
주제로	주제/NNG+로/JKB
넣을까요?”라고	넣/VV+을까/EF+요/JX+?/SF+”/SS+라고/JKQ
묻자	묻/VV+자/EC
윤유선은	윤유선/NNP+은/JX
“우주	“/SS+우주/NNG
얘기도	얘기/NNG+도/JX
하잖아.	하/VV+잖아/EF+./SF


# id : NWRW1800000053.111.11.3
미세먼지도 추가하자”며 맞장구를 쳤다.

미세먼지도	미세/NNG+먼지/NNG+도/JX
추가하자”며	추가/NNG+하/XSV+자/EF+”/SS+며/EC
맞장구를	맞장구/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.111.11.4
그러고는 깔깔깔 웃음을 터뜨렸다.

그러고는	그러/VV+고는/EC
깔깔깔	깔깔깔/MAG
웃음을	웃음/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.111.12.1
두 사람은 색깔이 사뭇 달라 보이지만 공통점이 있다.

두	두/MMN
사람은	사람/NNG+은/JX
색깔이	색깔/NNG+이/JKS
사뭇	사뭇/MAG
달라	다르/VA+아/EC
보이지만	보이/VV+지만/EC
공통점이	공통점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.111.12.2
할 말을 꼭 한다는 것.

할	하/VV+ㄹ/ETM
말을	말/NNG+을/JKO
꼭	꼭/MAG
한다는	하/VV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000053.111.12.3
진경은 아니다 싶은 건 얘기해야 마음이 편하고, 윤유선 역시 납득이 안 되는 부분이 있으면 반드시 풀고 가야 하는 성격이다.

진경은	진경/NNP+은/JX
아니다	아니/VCN+다/EF
싶은	싶/VX+은/ETM
건	거/NNB+ㄴ/JX
얘기해야	얘기/NNG+하/XSV+아야/EC
마음이	마음/NNG+이/JKS
편하고,	편하/VA+고/EC+,/SP
윤유선	윤유선/NNP
역시	역시/MAG
납득이	납득/NNG+이/JKS
안	안/MAG
되는	되/VV+는/ETM
부분이	부분/NNG+이/JKS
있으면	있/VA+으면/EC
반드시	반드시/MAG
풀고	풀/VV+고/EC
가야	가/VV+아야/EC
하는	하/VX+는/ETM
성격이다.	성격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.111.13.1
꾸준히 연기자의 길을 걸어온 이들은 지금 어떤 꿈을 꾸고 있을까.

꾸준히	꾸준히/MAG
연기자의	연기자/NNG+의/JKG
길을	길/NNG+을/JKO
걸어온	걸어오/VV+ㄴ/ETM
이들은	이/NP+들/XSN+은/JX
지금	지금/MAG
어떤	어떤/MMD
꿈을	꿈/NNG+을/JKO
꾸고	꾸/VV+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000053.111.14.1
“악역에 도전해 보고 싶어요.

“악역에	“/SS+악역/NNG+에/JKB
도전해	도전/NNG+하/XSV+아/EC
보고	보/VX+고/EC
싶어요.	싶/VX+어요/EF+./SF


# id : NWRW1800000053.111.14.2
또 인수대비처럼 카리스마 있는 캐릭터로 변신할 수 있는 기회가 있으면 좋겠어요.

또	또/MAG
인수대비처럼	인수/NNP+대비/NNG+처럼/JKB
카리스마	카리스마/NNG
있는	있/VA+는/ETM
캐릭터로	캐릭터/NNG+로/JKB
변신할	변신/NNG+하/XSV+ㄹ/ETM
수	수/NNB
기회가	기회/NNG+가/JKS
있으면	있/VA+으면/EC
좋겠어요.	좋/VA+겠/EP+어요/EF+./SF


# id : NWRW1800000053.111.14.3
무엇보다 믿을 수 있는 배우라는 말을 들을 수 있도록 노력할 거예요.”(윤)

무엇보다	무엇/NP+보다/JKB
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
배우라는	배우/NNG+이/VCP+라는/ETM
말을	말/NNG+을/JKO
들을	듣/VV+을/ETM
있도록	있/VA+도록/EC
노력할	노력/NNG+하/XSV+ㄹ/ETM
거예요.”(윤)	거/NNB+이/VCP+에요/EF+./SF+”/SS+(/SS+윤/NNP+)/SS


# id : NWRW1800000053.111.15.1
“제 그릇에 맞게 그때그때 할 수 있는 만큼 책임지는 배우가 되고 싶어요.

“제	“/SS+저/NP+의/JKG
그릇에	그릇/NNG+에/JKB
맞게	맞/VV+게/EC
그때그때	그때그때/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼	만큼/NNB
책임지는	책임지/VV+는/ETM
배우가	배우/NNG+가/JKC
되고	되/VV+고/EC
싶어요.	싶/VX+어요/EF+./SF


# id : NWRW1800000053.111.15.2
지금은 이 연극을 책임지는 게 가장 중요한 일이죠.”(진)

지금은	지금/NNG+은/JX
이	이/MMD
연극을	연극/NNG+을/JKO
책임지는	책임지/VV+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
일이죠.”(진)	일/NNG+이/VCP+죠/EF+./SF+”/SS+(/SS+진/NNP+)/SS


# id : NWRW1800000053.111.16.1
27일∼8월 20일.

27일∼8월	27/SN+일/NNB+∼/SO+8/SN+월/NNB
20일.	20/SN+일/NNB+./SF


# id : NWRW1800000053.111.16.2
서울 종로구 드림아트센터 2관 더블케이씨어터.

서울	서울/NNP
종로구	종로구/NNP
드림아트센터	드림아트센터/NNP
2관	2관/NNG
더블케이씨어터.	더블케이씨어터/NNP+./SF


# id : NWRW1800000053.111.16.3
5만5000원.

5만5000원.	5/SN+만/NR+5000/SN+원/NNB+./SF


# id : NWRW1800000053.111.16.4
1577-3363

1577-3363	1577/SN+-/SO+3363/SN


