# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.56
metadata : {}


# id : NWRW1800000045.56.1.1
“전쟁 반대… 아베 퇴진” 국회 포위… 전국 300곳서 빗속 시위

“전쟁	“/SS+전쟁/NNG
이르렀다고	이르/VV+었/EP+다고/EC
주최	주최/NNG
단체인	단체/NNG+이/VCP+ㄴ/ETM
‘전쟁하게	‘/SS+전쟁/NNG+하/XSV+게/EC
하지	하/VX+지/EC
마라.	말/VX+아라/EF+./SF


# id : NWRW1800000045.56.4.5
9조를 부수지 마라! 총궐기 행동실행위원회’가 밝혔다.

9조를	9/SN+조/NNB+를/JKO
부수지	부수/VV+지/EC
마라!	말/VX+아라/EF+!/SF
총궐기	총궐기/NNG
행동실행위원회’가	행동/NNG+실행/NNG+위원회/NNG+’/SS+가/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.56.4.6
이는 아베 정권 출범 이후 최대 규모다.

이는	이/NP+는/JX
아베	아베/NNP
정권	정권/NNG
출범	출범/NNG
이후	이후/NNG
최대	최대/NNG
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.56.4.7
지난달 15일 집회 당시의 참가 인원(6만 명)의 두 배를 훌쩍 넘었다.

지난달	지난달/NNG
15일	15/SN+일/NNB
집회	집회/NNG
당시의	당시/NNG+의/JKG
참가	참가/NNG
인원(6만	인원/NNG+(/SS+6/SN+만/NR
명)의	명/NNB+)/SS+의/JKG
두	두/MMN
배를	배/NNG+를/JKO
훌쩍	훌쩍/MAG
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.56.5.1
시위 인파가 인도는 물론이고 차도까지 메우자 경찰은 버스를 동원해 벽을 만들어 국회의사당 진입을 막았다.

시위	시위/NNG
인파가	인파/NNG+가/JKS
인도는	인도/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
차도까지	차도/NNG+까지/JX
메우자	메우/VV+자/EC
경찰은	경찰/NNG+은/JX
버스를	버스/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
벽을	벽/NNG+을/JKO
만들어	만들/VV+어/EC
국회의사당	국회의사당/NNP
진입을	진입/NNG+을/JKO
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.5.2
국회 앞에 자리를 잡지 못한 시위대는 관공서들이 밀집한 가스미가세키(霞が關)와 히비야(日比谷)공원 쪽에 자리를 잡았다.

국회	국회/NNG
앞에	앞/NNG+에/JKB
자리를	자리/NNG+를/JKO
잡지	잡/VV+지/EC
못한	못하/VX+ㄴ/ETM
시위대는	시위대/NNG+는/JX
관공서들이	관공서/NNG+들/XSN+이/JKS
밀집한	밀집/NNG+하/XSV+ㄴ/ETM
가스미가세키(霞が關)와	가스미가세키/NNP+(/SS+霞/SH+が/SL+關/SH+)/SS+와/JC
히비야(日比谷)공원	히비야/NNP+(/SS+日比谷/SH+)/SS+공원/NNG
쪽에	쪽/NNB+에/JKB
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.5.3
이들이 구호를 외치면서 주말 일본 주요 도시 곳곳에서 안보법제 반대의 목소리가 메아리쳤다.

이들이	이/NP+들/XSN+이/JKS
구호를	구호/NNG+를/JKO
외치면서	외치/VV+면서/EC
주말	주말/NNG
일본	일본/NNP
주요	주요/NNG
도시	도시/NNG
곳곳에서	곳곳/NNG+에서/JKB
안보법제	안보/NNG+법제/NNG
반대의	반대/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
메아리쳤다.	메아리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.56.5.4
시위는 니가타(新潟), 나가사키(長崎) 등 전국에서 동시다발로 열렸다.

시위는	시위/NNG+는/JX
니가타(新潟),	니가타/NNP+(/SS+新潟/SH+)/SS+,/SP
나가사키(長崎)	나가사키/NNP+(/SS+長崎/SH+)/SS
등	등/NNB
전국에서	전국/NNG+에서/JKB
동시다발로	동시다발/NNG+로/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.56.5.5
주최 측은 전국 300여 곳에서 시위가 벌어졌다고 발표했다.

주최	주최/NNG
측은	측/NNB+은/JX
전국	전국/NNG
300여	300/SN+여/XSN
곳에서	곳/NNG+에서/JKB
시위가	시위/NNG+가/JKS
벌어졌다고	벌어지/VV+었/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.6.1
이날 시위에는 다양한 계층이 참석했다.

이날	이날/NNG
시위에는	시위/NNG+에/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
계층이	계층/NNG+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.6.2
도쿄 소재 대학 재학생 4명이 안보법안에 반대하며 27일부터 무기한 단식농성을 벌이는 등 시민사회와 야권이 법안 저지에 총력을 기울이는 형국이다.

도쿄	도쿄/NNP
소재	소재/NNG
대학	대학/NNG
재학생	재학/NNG+생/XSN
4명이	4/SN+명/NNB+이/JKS
안보법안에	안보/NNG+법안/NNG+에/JKB
반대하며	반대/NNG+하/XSV+며/EC
27일부터	27/SN+일/NNB+부터/JX
무기한	무/XPN+기한/NNG
단식농성을	단식/NNG+농성/NNG+을/JKO
벌이는	벌이/VV+는/ETM
등	등/NNB
시민사회와	시민/NNG+사회/NNG+와/JC
야권이	야권/NNG+이/JKS
법안	법안/NNG
저지에	저지/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울이는	기울이/VV+는/ETM
형국이다.	형국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.56.6.3
이들은 이날 ‘안보법안 폐기’라고 적힌 플래카드를 들고 국회에서 심의 중인 안보법제의 즉각 폐기와 아베 총리의 사퇴를 요구했다.

이들은	이/NP+들/XSN+은/JX
이날	이날/NNG
‘안보법안	‘/SS+안보/NNG+법안/NNG
폐기’라고	폐기/NNG+’/SS+라고/JKQ
적힌	적히/VV+ㄴ/ETM
플래카드를	플래카드/NNG+를/JKO
들고	들/VV+고/EC
국회에서	국회/NNG+에서/JKB
심의	심의/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
안보법제의	안보/NNG+법제/NNG+의/JKG
즉각	즉각/MAG
폐기와	폐기/NNG+와/JC
아베	아베/NNP
총리의	총리/NNG+의/JKG
사퇴를	사퇴/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.7.1
민주당 등 4개 야당 대표도 시위에 참석해 국회에서 법안 저지에 총력을 기울이겠다고 밝혔다.

민주당	민주당/NNP
등	등/NNB
4개	4/SN+개/NNB
야당	야당/NNG
대표도	대표/NNG+도/JX
시위에	시위/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
국회에서	국회/NNG+에서/JKB
법안	법안/NNG
저지에	저지/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울이겠다고	기울이/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.56.7.2
오카다 가쓰야(岡田克也) 민주당 대표는 “헌법을 위반한 법안”이라며 “국민이 분노하는 것을 아베 정권은 알아야 한다”고 말했다.

오카다	오카다/NNP
가쓰야(岡田克也)	가쓰야/NNP+(/SS+岡田克也/SH+)/SS
민주당	민주당/NNP
대표는	대표/NNG+는/JX
“헌법을	“/SS+헌법/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
법안”이라며	법안/NNG+”/SS+이/VCP+라며/EC
“국민이	“/SS+국민/NNG+이/JKS
분노하는	분노/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
아베	아베/NNP
정권은	정권/NNG+은/JX
알아야	알/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.8.1
아베 총리는 집단적 자위권 행사를 골자로 한 11개 안보 관련법 제정·개정안을 다음 달 중순까지 참의원에서 처리할 방침이지만, 반대 시위 규모가 커짐에 따라 법안 처리도 영향을 받을 수 있다는 관측이 조심스럽게 나오고 있다.

아베	아베/NNP
총리는	총리/NNG+는/JX
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
행사를	행사/NNG+를/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
11개	11/SN+개/NNB
안보	안보/NNG
관련법	관련/NNG+법/NNG
제정·개정안을	제정/NNG+·/SP+개정안/NNG+을/JKO
다음	다음/NNG
달	달/NNG
중순까지	중순/NNG+까지/JX
참의원에서	참의원/NNG+에서/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
방침이지만,	방침/NNG+이/VCP+지만/EC+,/SP
반대	반대/NNG
시위	시위/NNG
규모가	규모/NNG+가/JKS
커짐에	커지/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
법안	법안/NNG
처리도	처리/NNG+도/JX
영향을	영향/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측이	관측/NNG+이/JKS
조심스럽게	조심/NNG+스럽/XSA+게/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.56.9.1
아베 총리는 최근 담화 발표 이후 지지율이 다소 회복되면서 중국 방문도 포기하고 법안 처리에 힘을 쏟고 있다.

아베	아베/NNP
총리는	총리/NNG+는/JX
최근	최근/NNG
담화	담화/NNG
발표	발표/NNG
이후	이후/NNG
지지율이	지지/NNG+율/XSN+이/JKS
다소	다소/MAG
회복되면서	회복/NNG+되/XSV+면서/EC
중국	중국/NNP
방문도	방문/NNG+도/JX
포기하고	포기/NNG+하/XSV+고/EC
법안	법안/NNG
처리에	처리/NNG+에/JKB
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.56.9.2
여기에는 법안 반대 여론이 과반수인 만큼 질질 끌어봐야 반대 여론만 확산될 것이라는 계산이 깔려 있다.

여기에는	여기/NP+에/JKB+는/JX
법안	법안/NNG
반대	반대/NNG
여론이	여론/NNG+이/JKS
과반수인	과반수/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
질질	질질/MAG
끌어봐야	끌/VV+어/EC+보/VX+아야/EC
여론만	여론/NNG+만/JX
확산될	확산/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
계산이	계산/NNG+이/JKS
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.56.9.3
아베 정권이 자민당 총재 선거 일정 등을 고려해 다음 달 14일 전에 법안 처리를 밀어붙일 것이라는 분석도 나왔다.

아베	아베/NNP
정권이	정권/NNG+이/JKS
자민당	자민당/NNP
총재	총재/NNG
선거	선거/NNG
일정	일정/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
다음	다음/NNG
달	달/NNG
14일	14/SN+일/NNB
전에	전/NNG+에/JKB
법안	법안/NNG
처리를	처리/NNG+를/JKO
밀어붙일	밀어붙이/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.10.1
문제의 법안은 7월 중의원을 통과했으며 다음 달 참의원을 통과하면 입법 절차가 끝난다.

문제의	문제/NNG+의/JKG
법안은	법안/NNG+은/JX
7월	7/SN+월/NNB
중의원을	중의원/NNG+을/JKO
통과했으며	통과/NNG+하/XSV+았/EP+으며/EC
다음	다음/NNG
달	달/NNG
참의원을	참의원/NNG+을/JKO
통과하면	통과/NNG+하/XSV+면/EC
입법	입법/NNG
절차가	절차/NNG+가/JKS
끝난다.	끝나/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.56.10.2
자민당과 공명당은 참의원 242석 가운데 과반인 135석을 차지하고 있어 무난한 통과를 자신하고 있다.

자민당과	자민당/NNP+과/JC
공명당은	공명당/NNP+은/JX
참의원	참의원/NNG
242석	242/SN+석/NNB
가운데	가운데/NNG
과반인	과반/NNG+이/VCP+ㄴ/ETM
135석을	135/SN+석/NNB+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있어	있/VX+어/EC
무난한	무난하/VA+ㄴ/ETM
통과를	통과/NNG+를/JKO
자신하고	자신/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.56.10.3
하지만 후유증이 클 경우 내년 7월 참의원 선거에서 여당에 대한 반대표가 급격히 늘 수 있다는 점이 자민당의 부담이다.

하지만	하지만/MAJ
후유증이	후유증/NNG+이/JKS
클	크/VA+ㄹ/ETM
경우	경우/NNG
내년	내년/NNG
7월	7/SN+월/NNB
참의원	참의원/NNG
선거에서	선거/NNG+에서/JKB
여당에	여당/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반대표가	반대표/NNG+가/JKS
급격히	급격히/MAG
늘	늘/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점이	점/NNG+이/JKS
자민당의	자민당/NNP+의/JKG
부담이다.	부담/NNG+이/VCP+다/EF+./SF


