# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.391
metadata : {}


# id : NWRW1800000054.391.1.1
"韓·美 대북공조 빛 샐 틈 없어(WSJ)"… "美, 中 제재로 한국에 경고(NYT)"

"韓·美	"/SS+韓/SH+·/SP+美/SH
강조하고	강조/NNG+하/XSV+고/EC
사드(고고도	사드/NNG+(/SS+고/XPN+고도/NNG
미사일	미사일/NNG
방어체계)에	방어/NNG+체계/NNG+)/SS+에/JKB
의문을	의문/NNG+을/JKO
보였지만,	보이/VV+었/EP+지만/EC+,/SP
이번	이번/NNG
회동에서	회동/NNG+에서/JKB
(북핵	(/SS+북핵/NNG
문제에)	문제/NNG+에/JKB+)/SS
연대를	연대/NNG+를/JKO
보여줬다"면서	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS+면서/EC
"두	"/SS+두/MMN
정상이	정상/NNG+이/JKS
북한의	북한/NNP+의/JKG
위협에	위협/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확실한	확실하/VA+ㄴ/ETM
대응(determined	대응/NNG+(/SS+determined/SL
response)에	response/SL+)/SS+에/JKB
합의했다"고	합의/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.391.6.1
CNN도 "성격에서도 정책에서도 차이가 있는 양국 정상이 북한 문제에서는 공감대를 이뤘다"면서 "북한의 위협에 공동 대처하기로 서약했다"고 전했다.

CNN도	CNN/SL+도/JX
"성격에서도	"/SS+성격/NNG+에서/JKB+도/JX
정책에서도	정책/NNG+에서/JKB+도/JX
차이가	차이/NNG+가/JKS
있는	있/VV+는/ETM
양국	양국/NNG
정상이	정상/NNG+이/JKS
북한	북한/NNP
문제에서는	문제/NNG+에서/JKB+는/JX
공감대를	공감대/NNG+를/JKO
이뤘다"면서	이루/VV+었/EP+다/EF+"/SS+면서/EC
"북한의	"/SS+북한/NNP+의/JKG
위협에	위협/NNG+에/JKB
공동	공동/NNG
대처하기로	대처/NNG+하/XSV+기/ETN+로/JKB
서약했다"고	서약/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.391.7.1
반면, 뉴욕타임스(NYT)는 지난 29일 트럼프 대통령이 북한과 거래하는 중국 단둥은행을 제재한 결정을 거론하며 "이것은 중국뿐 아니라 문 대통령에 대한 경고"라고 했다.

반면,	반면/NNG+,/SP
뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
29일	29/SN+일/NNB
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
북한과	북한/NNP+과/JKB
거래하는	거래/NNG+하/XSV+는/ETM
중국	중국/NNP
단둥은행을	단둥은행/NNP+을/JKO
제재한	제재/NNG+하/XSV+ㄴ/ETM
결정을	결정/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
"이것은	"/SS+이것/NP+은/JX
중국뿐	중국/NNP+뿐/JX
아니라	아니/VCN+라/EC
문	문/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경고"라고	경고/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.391.7.2
트럼프 행정부는 지금은 북한과 대화를 모색하는 단계가 아니라는 뜻을 이번 제재를 통해 한국에 분명히 밝혔다는 것이다.

트럼프	트럼프/NNP
행정부는	행정부/NNG+는/JX
지금은	지금/NNG+은/JX
북한과	북한/NNP+과/JKB
대화를	대화/NNG+를/JKO
모색하는	모색/NNG+하/XSV+는/ETM
단계가	단계/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
뜻을	뜻/NNG+을/JKO
이번	이번/NNG
제재를	제재/NNG+를/JKO
통해	통하/VV+아/EC
한국에	한국/NNP+에/JKB
분명히	분명히/MAG
밝혔다는	밝히/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


