# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.343
metadata : {}


# id : NWRW1800000049.343.1.1
싱가포르, 비자면제국서 北 제외

싱가포르,	싱가포르/NNP+,/SP
국가	국가/NNG
가운데	가운데/NNG
북한과	북한/NNP+과/JKB
비자	비자/NNG
면제가	면제/NNG+가/JKS
시행되던	시행/NNG+되/XSV+던/ETM
주요국	주요국/NNG
2곳	2/SN+곳/NNG
중	중/NNB
하나였다.	하나/NR+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.343.4.1
외교 소식통은 “비자 면제 덕분에 북한은 싱가포르와 말레이시아를 외화벌이와 인적 교류의 거점으로 활용할 수 있었다”고 말했다.

외교	외교/NNG
소식통은	소식통/NNG+은/JX
“비자	“/SS+비자/NNG
면제	면제/NNG
덕분에	덕분/NNG+에/JKB
북한은	북한/NNP+은/JX
싱가포르와	싱가포르/NNP+와/JKB
말레이시아를	말레이시아/NNP+를/JKO
외화벌이와	외화벌이/NNG+와/JC
인적	인/NNG+적/XSN
교류의	교류/NNG+의/JKG
거점으로	거점/NNG+으로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.343.4.2
특히 싱가포르는 김정은의 고모인 김경희를 비롯해 북한 유력 인사들이 치료 및 관광 목적으로 방문이 잦았던 곳이다.

특히	특히/MAG
싱가포르는	싱가포르/NNP+는/JX
김정은의	김정은/NNP+의/JKG
고모인	고모/NNG+이/VCP+ㄴ/ETM
김경희를	김경희/NNP+를/JKO
비롯해	비롯하/VV+아/EC
북한	북한/NNP
유력	유력/NNG
인사들이	인사/NNG+들/XSN+이/JKS
치료	치료/NNG
및	및/MAG
관광	관광/NNG
목적으로	목적/NNG+으로/JKB
방문이	방문/NNG+이/JKS
잦았던	잦/VA+았/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.343.4.3
싱가포르의 이번 결정으로 북한은 외화벌이 사업과 대외 활동 위축이 불가피할 것으로 예상된다.

싱가포르의	싱가포르/NNP+의/JKG
이번	이번/NNG
결정으로	결정/NNG+으로/JKB
북한은	북한/NNP+은/JX
외화벌이	외화벌이/NNG
사업과	사업/NNG+과/JC
대외	대외/NNG
활동	활동/NNG
위축이	위축/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.343.5.1
지중해에 위치한 몰타도 최근 비자 연장을 불허하는 방식으로 자국 내 북한 근로자들을 추방하고 앞으로 이들에 대해 신규 비자 발급도 중단할 방침이다.

지중해에	지중해/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
몰타도	몰타/NNP+도/JX
최근	최근/MAG
비자	비자/NNG
연장을	연장/NNG+을/JKO
불허하는	불허/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
자국	자국/NNG
내	내/NNB
북한	북한/NNP
근로자들을	근로자/NNG+들/XSN+을/JKO
추방하고	추방/NNG+하/XSV+고/EC
앞으로	앞/NNG+으로/JKB
이들에	이/NP+들/XSN+에/JKB
대해	대하/VV+아/EC
신규	신규/NNG
발급도	발급/NNG+도/JX
중단할	중단/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.343.5.2
1965년 수교 이래 한국 외교장관으로 처음 29일(현지 시간) 몰타를 방문한 윤병세 외교부 장관은 조지프 무스카트 총리, 조지 윌리엄 벨라 외교장관을 만나 북한 정권의 해외 노동자에 대한 임금 착취와 착취된 임금의 대량살상무기(WMD) 개발 전용 사실을 설명하고 협조를 당부했다.

1965년	1965/SN+년/NNB
수교	수교/NNG
이래	이래/NNB
한국	한국/NNP
외교장관으로	외교/NNG+장관/NNG+으로/JKB
처음	처음/NNG
29일(현지	29/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
몰타를	몰타/NNP+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
윤병세	윤병세/NNP
외교부	외교부/NNG
장관은	장관/NNG+은/JX
조지프	조지프/NNP
무스카트	무스카트/NNP
총리,	총리/NNG+,/SP
조지	조지/NNP
윌리엄	윌리엄/NNP
벨라	벨라/NNP
외교장관을	외교/NNG+장관/NNG+을/JKO
만나	만나/VV+아/EC
북한	북한/NNP
정권의	정권/NNG+의/JKG
해외	해외/NNG
노동자에	노동자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
임금	임금/NNG
착취와	착취/NNG+와/JC
착취된	착취/NNG+되/XSV+ㄴ/ETM
임금의	임금/NNG+의/JKG
대량살상무기(WMD)	대량/NNG+살상/NNG+무기/NNG+(/SS+WMD/SL+)/SS
개발	개발/NNG
전용	전용/NNG
사실을	사실/NNG+을/JKO
설명하고	설명/NNG+하/XSV+고/EC
협조를	협조/NNG+를/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


