# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.376
metadata : {}


# id : NWRW1800000022.376.1.1
"세종시 '원안+α'로 추진을 部處이전 백지화는 안돼"

"세종시	"/SS+세종시/NNP
검토할	검토/NNG+하/XSV+ㄹ/ETM
순	수/NNB+ㄴ/JX
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
정부	정부/NNG
부처	부처/NNG
이전을	이전/NNG+을/JKO
줄이는	줄이/VV+는/ETM
건	거/NNB+ㄴ/JX
반대한	반대/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.376.7.1
박 전 대표의 이 같은 입장 표명에 따라 친박계 의원 대부분도 이를 따를 것으로 전망된다.

박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
이	이/NP
같은	같/VA+은/ETM
입장	입장/NNG
표명에	표명/NNG+에/JKB
따라	따르/VV+아/EC
친박계	친/XPN+박/NNP+계/XSN
의원	의원/NNG
대부분도	대/XPN+부분/NNG+도/JX
이를	이/NP+를/JKO
따를	따르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.376.7.2
2005년 세종시법이 통과될 때 적극 반대자였던 박 전 대표의 최측근 유정복 의원도 이날 국토해양부 국정감사에서 "세종시는 (2007년) 대통령 선거 때 명확하게 (충청도민들에게) 한 공약이다. 이명박 대통령의 입장 표명이 있어야 한다"며 "정치 신뢰가 얼마나 중요한 문제냐. 결코 가볍게 여겨서는 안 된다"고 했다.

2005년	2005/SN+년/NNB
세종시법이	세종시/NNP+법/NNG+이/JKS
통과될	통과/NNG+되/XSV+ㄹ/ETM
때	때/NNG
적극	적극/NNG
반대자였던	반대자/NNG+이/VCP+었/EP+던/ETM
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
최측근	최/XPN+측근/NNG
유정복	유정복/NNP
의원도	의원/NNG+도/JX
이날	이날/NNG
국토해양부	국토/NNG+해양부/NNG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
"세종시는	"/SS+세종시/NNP+는/JX
(2007년)	(/SS+2007/SN+년/NNB+)/SS
대통령	대통령/NNG
선거	선거/NNG
명확하게	명확하/VA+게/EC
(충청도민들에게)	(/SS+충청/NNP+도민/NNG+들/XSN+에게/JKB+)/SS
한	하/VV+ㄴ/ETM
공약이다.	공약/NNG+이/VCP+다/EF+./SF
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
입장	입장/NNG
표명이	표명/NNG+이/JKS
있어야	있/VA+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"정치	"/SS+정치/NNG
신뢰가	신뢰/NNG+가/JKS
얼마나	얼마나/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
문제냐.	문제/NNG+이/VCP+냐/EF+./SF
결코	결코/MAG
가볍게	가볍/VA+게/EC
여겨서는	여기/VV+어서/EC+는/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


