# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.321
metadata : {}


# id : NWRW1800000025.321.1.1
원화, G20 통화중 두번째로 저평가

원화,	원화/NNG+,/SP
고려한	고려/NNG+하/XSV+ㄴ/ETM
장기	장기/NNG
균형	균형/NNG
환율이다.	환율/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.321.3.3
원화의 경우 18.33% 정도 평가 절상될 여지가 있다는 뜻이다.

원화의	원화/NNG+의/JKG
경우	경우/NNG
18.33%	18/SN+./SP+33/SN+%/SW
정도	정도/NNG
평가	평가/NNG
절상될	절상/NNG+되/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
있다는	있/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.321.3.4
실질실효환율로 비교해 원화보다 더 저평가된 통화는 G20 중에서 영국 파운드화(81.23)가 유일했다.

실질실효환율로	실질/NNG+실효/NNG+환율/NNG+로/JKB
비교해	비교/NNG+하/XSV+아/EC
원화보다	원화/NNG+보다/JKB
더	더/MAG
저평가된	저/XPN+평가/NNG+되/XSV+ㄴ/ETM
통화는	통화/NNG+는/JX
G20	G/SL+20/SN
중에서	중/NNB+에서/JKB
영국	영국/NNP
파운드화(81.23)가	파운드화/NNG+(/SS+81/SN+./SP+23/SN+)/SS+가/JKS
유일했다.	유일/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.321.4.1
반면 브라질 헤알화가 148.16으로 가장 고평가돼 있고, 인도네시아 루피아화와 중국 위안화도 124.58과 119.65로 통화가치가 높게 평가됐다.

반면	반면/NNG
브라질	브라질/NNP
헤알화가	헤알화/NNG+가/JKS
148.16으로	148/SN+./SP+16/SN+으로/JKB
가장	가장/MAG
고평가돼	고/XPN+평가/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
인도네시아	인도네시아/NNP
루피아화와	루피아화/NNG+와/JC
중국	중국/NNP
위안화도	위안화/NNG+도/JX
124.58과	124/SN+./SP+58/SN+과/JC
119.65로	119/SN+./SP+65/SN+로/JKB
통화가치가	통화/NNG+가치/NNG+가/JKS
높게	높/VA+게/EC
평가됐다.	평가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.321.5.1
한은 관계자는 “실질실효환율은 기준 시점과 계산 방식에 따라 달라질 수 있어 각국이 자의적으로 계산을 해서 환율 공방의 논거로 삼는 사례가 많다”고 말했다.

한은	한은/NNP
관계자는	관계자/NNG+는/JX
“실질실효환율은	“/SS+실질/NNG+실효/NNG+환율/NNG+은/JX
기준	기준/NNG
시점과	시점/NNG+과/JC
계산	계산/NNG
방식에	방식/NNG+에/JKB
따라	따르/VV+아/EC
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
각국이	각국/NNG+이/JKS
자의적으로	자의/NNG+적/XSN+으로/JKB
계산을	계산/NNG+을/JKO
해서	하/VV+아서/EC
환율	환율/NNG
공방의	공방/NNG+의/JKG
논거로	논거/NNG+로/JKB
삼는	삼/VV+는/ETM
사례가	사례/NNG+가/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.321.5.2
실제로 중국은 BIS 실질실효환율을 위안화 절상 압력을 완화하는 근거로 삼고 있는 반면 미국은 피터슨경제연구소가 이를 가공한 수치를 통해 위안화 절상 여지가 많다고 반박하고 있다.

실제로	실제로/MAG
중국은	중국/NNP+은/JX
BIS	BIS/SL
실질실효환율을	실질/NNG+실효/NNG+환율/NNG+을/JKO
위안화	위안화/NNG
절상	절상/NNG
압력을	압력/NNG+을/JKO
완화하는	완화/NNG+하/XSV+는/ETM
근거로	근거/NNG+로/JKB
삼고	삼/VV+고/EC
있는	있/VX+는/ETM
반면	반면/NNG
미국은	미국/NNP+은/JX
피터슨경제연구소가	피터슨경제연구소/NNP+가/JKS
이를	이/NP+를/JKO
가공한	가공/NNG+하/XSV+ㄴ/ETM
수치를	수치/NNG+를/JKO
통해	통하/VV+아/EC
여지가	여지/NNB+가/JKS
많다고	많/VA+다고/EC
반박하고	반박/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


