# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.279
metadata : {}


# id : NWRW1800000028.279.1.1
“윤리지원관실 폐지 건의 /이 대통령이 수용 안해”

“윤리지원관실	“/SS+윤리/NNG+지원관실/NNG
‘지원관실을	‘/SS+지원관실/NNG+을/JKO
없애야	없애/VV+어야/EC
한다’고	하/VX+ㄴ다/EF+’/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
‘잘	‘/SS+잘/MAG
고쳐보라’고	고치/VV+어/EC+보/VX+라/EF+’/SS+고/JKQ
해	하/VV+아/EC
따라야	따르/VV+아야/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.279.3.3
그는 “대통령은 심각성을 좀 덜 알았던 것 같다”고 덧붙였다.

그는	그/NP+는/JX
“대통령은	“/SS+대통령/NNG+은/JX
심각성을	심각성/NNG+을/JKO
좀	좀/MAG
덜	덜/MAG
알았던	알/VV+았/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.279.4.1
그는 또 10개월여간의 총리직 수행과 관련해 “후회는 없다.

그는	그/NP+는/JX
또	또/MAG
10개월여간의	10/SN+개월/NNB+여/XSN+간/XSN+의/JKG
총리직	총리직/NNG
수행과	수행/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“후회는	“/SS+후회/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.279.4.2
국정운영 원칙을 확립하고 사회의 그늘진 곳을 보살피려 노력했다는 자부심이 있다”고 돌이켰다.

국정운영	국정/NNG+운영/NNG
원칙을	원칙/NNG+을/JKO
확립하고	확립/NNG+하/XSV+고/EC
사회의	사회/NNG+의/JKG
그늘진	그늘지/VV+ㄴ/ETM
곳을	곳/NNG+을/JKO
보살피려	보살피/VV+려/EC
노력했다는	노력/NNG+하/XSV+았/EP+다는/ETM
자부심이	자부심/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
돌이켰다.	돌이키/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.279.4.3
그는 용산사태 해결과 희망근로 연장, 학력요건 완화, 입학사정관제에 제동을 건 점, 정부의 감세법안 실행을 2년 유예시켜 ‘부자감세’를 막은 점 등을 보람되고 잘한 일로 꼽았다.

그는	그/NP+는/JX
용산사태	용산/NNP+사태/NNG
해결과	해결/NNG+과/JC
희망근로	희망/NNG+근로/NNG
연장,	연장/NNG+,/SP
학력요건	학력/NNG+요건/NNG
완화,	완화/NNG+,/SP
입학사정관제에	입학/NNG+사정관/NNG+제/XSN+에/JKB
제동을	제동/NNG+을/JKO
건	걸/VV+ㄴ/ETM
점,	점/NNG+,/SP
정부의	정부/NNG+의/JKG
감세법안	감세/NNG+법안/NNG
실행을	실행/NNG+을/JKO
2년	2/SN+년/NNB
유예시켜	유예/NNG+시키/XSV+어/EC
‘부자감세’를	‘/SS+부자/NNG+감세/NNG+’/SS+를/JKO
막은	막/VV+은/ETM
점	점/NNG
등을	등/NNB+을/JKO
보람되고	보람/NNG+되/XSA+고/EC
잘한	잘/MAG+하/XSV+ㄴ/ETM
일로	일/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.279.4.4
세종시 수정안 추진에 대해선 “우리 사회에 문제를 제기한 것으로도 절반의 성공은 거둔 셈”이라고 평가했다.

세종시	세종시/NNP
수정안	수정안/NNG
추진에	추진/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“우리	“/SS+우리/NP
사회에	사회/NNG+에/JKB
문제를	문제/NNG+를/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
것으로도	것/NNB+으로/JKB+도/JX
절반의	절반/NNG+의/JKG
성공은	성공/NNG+은/JX
거둔	거두/VV+ㄴ/ETM
셈”이라고	셈/NNB+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.279.5.1
정 총리는 이임 이후 진로와 관련해 “당분간은 심각하고 복잡한 생각은 내려놓고 빈둥거리는 자유를 누려볼까 한다”며 “그간 못 만난 지인들과 만나고 야구장도 찾을 것”이라고 말했다.

정	정/NNP
총리는	총리/NNG+는/JX
이임	이임/NNG
이후	이후/NNG
진로와	진로/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“당분간은	“/SS+당분간/NNG+은/JX
심각하고	심각하/VA+고/EC
복잡한	복잡하/VA+ㄴ/ETM
생각은	생각/NNG+은/JX
내려놓고	내려놓/VV+고/EC
빈둥거리는	빈둥거리/VV+는/ETM
자유를	자유/NNG+를/JKO
누려볼까	누리/VV+어/EC+보/VX+ㄹ까/EF
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“그간	“/SS+그/NP+간/XSN
못	못/MAG
만난	만나/VV+ㄴ/ETM
지인들과	지인/NNG+들/XSN+과/JKB
만나고	만나/VV+고/EC
야구장도	야구장/NNG+도/JX
찾을	찾/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


