# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.352
metadata : {}


# id : NWRW1800000041.352.1.1
野토론회 간 강원택 교수 “親盧, 기득권 집단 전락”

野토론회	野/SH+토론회/NNG
전당대회를	전당/NNG+대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
문	문/NNP
의원과	의원/NNG+과/JC
이해찬	이해찬/NNP
의원	의원/NNG
등	등/NNB
친노	친/XPN+노/NNP
진영에서	진영/NNG+에서/JKB
시민	시민/NNG
네트워크	네트워크/NNG
정당론,	정당/NNG+론/XSN+,/SP
모바일	모바일/NNG
투표	투표/NNG
재도입론이	재/XPN+도입/NNG+론/XSN+이/JKS
흘러나오고	흘러나오/VV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
맞물려	맞물리/VV+어/EC
있다는	있/VX+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.352.5.2
모바일 투표가 “시민에게 당원과 동등한 자격을 부여하자”는 논리를 바탕으로 하기 때문이다.

모바일	모바일/NNG
투표가	투표/NNG+가/JKS
“시민에게	“/SS+시민/NNG+에게/JKB
당원과	당원/NNG+과/JKB
동등한	동등/NNG+하/XSA+ㄴ/ETM
자격을	자격/NNG+을/JKO
부여하자”는	부여/NNG+하/XSV+자/EF+”/SS+는/ETM
논리를	논리/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
하기	하/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.352.5.3
특히 문희상 비상대책위원장의 ‘모바일 투표 재도입’ 시사 발언 이후 친노와 비노(비노무현) 간 기 싸움이 벌어지고 있는 상황이다.

특히	특히/MAG
문희상	문희상/NNP
비상대책위원장의	비상/NNG+대책/NNG+위원장/NNG+의/JKG
‘모바일	‘/SS+모바일/NNG
투표	투표/NNG
재도입’	재/XPN+도입/NNG+’/SS
시사	시사/NNG
발언	발언/NNG
이후	이후/NNG
친노와	친/XPN+노/NNP+와/JC
비노(비노무현)	비/XPN+노/NNP+(/SS+비/XPN+노무현/NNP+)/SS
간	간/NNB
기	기/NNG
싸움이	싸움/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.352.5.4
토론자로 나선 강원택 서울대 교수(정치학)는 “노 전 대통령은 ‘특권과 반칙 없는 세상’을 말했는데 지금 친노는 권력을 누리는 기득권 집단으로 전락했다”고 지적했다.

토론자로	토론자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
강원택	강원택/NNP
서울대	서울대/NNP
교수(정치학)는	교수/NNG+(/SS+정치학/NNG+)/SS+는/JX
“노	“/SS+노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
‘특권과	‘/SS+특권/NNG+과/JC
반칙	반칙/NNG
없는	없/VA+는/ETM
세상’을	세상/NNG+’/SS+을/JKO
말했는데	말/NNG+하/XSV+았/EP+는데/EC
지금	지금/MAG
친노는	친/XPN+노/NNP+는/JX
권력을	권력/NNG+을/JKO
누리는	누리/VV+는/ETM
기득권	기득/NNG+권/XSN
집단으로	집단/NNG+으로/JKB
전락했다”고	전락/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.352.5.5
그러면서 대리운전기사 폭행 사건에 연루된 김현 의원을 그 사례로 꼽았다.

그러면서	그러/VV+면서/EC
대리운전기사	대리운전/NNG+기사/NNG
폭행	폭행/NNG
사건에	사건/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
김현	김현/NNP
의원을	의원/NNG+을/JKO
그	그/MMD
사례로	사례/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.352.5.6
문 의원은 기자들이 ‘강 교수 지적에 동의하느냐’고 묻자 “다 동의하는데 친노가 최대 계파라는 말은 별로 동의하지 않는다”며 “몇 명 안 되잖아요”라고 답했다.

문	문/NNP
의원은	의원/NNG+은/JX
기자들이	기자/NNG+들/XSN+이/JKS
‘강	‘/SS+강/NNP
교수	교수/NNG
지적에	지적/NNG+에/JKB
동의하느냐’고	동의/NNG+하/XSV+느냐/EF+’/SS+고/JKQ
묻자	묻/VV+자/EC
“다	“/SS+다/MAG
동의하는데	동의/NNG+하/XSV+는데/EC
친노가	친/XPN+노/NNP+가/JKS
최대	최대/NNG
계파라는	계파/NNG+이/VCP+라는/ETM
말은	말/NNG+은/JX
별로	별로/MAG
동의하지	동의/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“몇	“/SS+몇/NR
명	명/NNB
안	안/MAG
되잖아요”라고	되/VV+잖아요/EF+”/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


