# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.390
metadata : {}


# id : NWRW1800000049.390.1.1
[단독]돈으로는 치유 못할 상처… 위안부 피해자 10명중 7명 “우울-불안”

[단독]돈으로는	[/SS+단독/NNG+]/SS+돈/NNG+으로/JKB+는/JX
# id : NWRW1800000049.390.7.1
○ 시각 엇갈리는 피해 할머니들

○	○/SW
시각	시각/NNG
엇갈리는	엇갈리/VV+는/ETM
피해	피해/NNG
할머니들	할머니/NNG+들/XSN


# id : NWRW1800000049.390.8.1
일본 정부가 출연한 10억 엔(약 110억 원)을 둘러싼 갈등은 여전히 거세다.

일본	일본/NNP
정부가	정부/NNG+가/JKS
출연한	출연/NNG+하/XSV+ㄴ/ETM
10억	10/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
110억	110/SN+억/NR
원)을	원/NNB+)/SS+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등은	갈등/NNG+은/JX
여전히	여전히/MAG
거세다.	거세/VA+다/EF+./SF


# id : NWRW1800000049.390.8.2
합의 당시 생존했던 피해자 47명 중 34명은 ‘화해·치유 재단’을 통해 현금 1억 원을 받기로 결정했다.

합의	합의/NNG
당시	당시/NNG
생존했던	생존/NNG+하/XSV+았/EP+던/ETM
피해자	피해자/NNG
47명	47/SN+명/NNB
중	중/NNB
34명은	34/SN+명/NNB+은/JX
‘화해·치유	‘/SS+화해/NNG+·/SP+치유/NNG
재단’을	재단/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
현금	현금/NNG
1억	1/SN+억/NR
원을	원/NNB+을/JKO
받기로	받/VV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.390.8.3
나머지 13명 중 한국정신대문제대책협의회(정대협)가 운영하는 피해자 쉼터 ‘평화의 우리집’이나 ‘나눔의 집’에 거주하는 피해자 등 10명은 한일 합의를 원천 반대한다며 현금 수령을 거부하고 있다.

나머지	나머지/NNG
13명	13/SN+명/NNB
중	중/NNB
한국정신대문제대책협의회(정대협)가	한국정신대문제대책협의회/NNP+(/SS+정대협/NNG+)/SS+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
피해자	피해자/NNG
쉼터	쉼터/NNG
‘평화의	‘/SS+평화/NNG+의/JKG
우리집’이나	우리/NP+집/NNG+’/SS+이나/JC
‘나눔의	‘/SS+나누/VV+ㅁ/ETN+의/JKG
집’에	집/NNG+’/SS+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
등	등/NNB
10명은	10/SN+명/NNB+은/JX
한일	한일/NNP
합의를	합의/NNG+를/JKO
원천	원천/NNG
반대한다며	반대/NNG+하/XSV+ㄴ다며/EC
현금	현금/NNG
수령을	수령/NNG+을/JKO
거부하고	거부/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.390.9.1
12·28 합의에 반대하는 김복동 할머니(90)는 26일 “일본 정부가 법적인 책임을 인정하지도 않았는데 이를 받아들이면 마치 우리가 자발적으로 동원됐다는 잘못된 결론이 내려지는 것 아니냐”며 “일본이 공개적으로 사죄해 우리의 명예를 회복시켜줄 때까지 계속 싸우겠다”고 했다.

12·28	12/SN+·/SP+28/SN
합의에	합의/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
김복동	김복동/NNP
할머니(90)는	할머니/NNG+(/SS+90/SN+)/SS+는/JX
26일	26/SN+일/NNB
“일본	“/SS+일본/NNP
정부가	정부/NNG+가/JKS
법적인	법/NNG+적/XSN+이/VCP+ㄴ/ETM
책임을	책임/NNG+을/JKO
인정하지도	인정/NNG+하/XSV+지/EC+도/JX
않았는데	않/VX+았/EP+는데/EC
이를	이/NP+를/JKO
받아들이면	받아들이/VV+면/EC
마치	마치/MAG
우리가	우리/NP+가/JKS
자발적으로	자발/NNG+적/XSN+으로/JKB
동원됐다는	동원/NNG+되/XSV+었/EP+다는/ETM
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
결론이	결론/NNG+이/JKS
내려지는	내려지/VV+는/ETM
것	것/NNB
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
“일본이	“/SS+일본/NNP+이/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
사죄해	사죄/NNG+하/XSV+아/EC
우리의	우리/NP+의/JKG
명예를	명예/NNG+를/JKO
회복시켜줄	회복/NNG+시키/XSV+어/EC+주/VX+ㄹ/ETM
때까지	때/NNG+까지/JX
계속	계속/MAG
싸우겠다”고	싸우/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.390.10.1
합의에 동의하는 할머니도 이를 드러내는 것은 꺼리는 분위기다.

합의에	합의/NNG+에/JKB
동의하는	동의/NNG+하/XSV+는/ETM
할머니도	할머니/NNG+도/JX
이를	이/NP+를/JKO
드러내는	드러내/VV+는/ETM
것은	것/NNB+은/JX
꺼리는	꺼리/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.390.10.2
최근 ‘나눔의 집’에서 나와 현금 수령을 신청한 이모 할머니(90)는 “합의 내용이 분에 차지는 않지만 그래도 살날이 얼마 남지 않은 상황에서 일본 총리가 저만큼이라도 사과하는 것을 듣게 돼 마음이 누그러진다”고 했다.

최근	최근/NNG
‘나눔의	‘/SS+나누/VV+ㅁ/ETN+의/JKG
집’에서	집/NNG+’/SS+에서/JKB
나와	나오/VV+아/EC
현금	현금/NNG
수령을	수령/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
이모	이/NNP+모/NP
할머니(90)는	할머니/NNG+(/SS+90/SN+)/SS+는/JX
“합의	“/SS+합의/NNG
내용이	내용/NNG+이/JKS
분에	분/NNG+에/JKB
차지는	차/VV+지/EC+는/JX
않지만	않/VX+지만/EC
그래도	그래도/MAJ
살날이	살날/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
일본	일본/NNP
총리가	총리/NNG+가/JKS
저만큼이라도	저만큼/NNG+이/VCP+라도/EC
사과하는	사과/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
듣게	듣/VV+게/EC
돼	되/VV+어/EC
마음이	마음/NNG+이/JKS
누그러진다”고	누그러지/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.390.10.3
하지만 이 할머니는 자신의 이 같은 견해가 주변에 알려지는 것은 원치 않는다고 덧붙였다.

하지만	하지만/MAJ
이	이/NP
할머니는	할머니/NNG+는/JX
자신의	자신/NNG+의/JKG
같은	같/VA+은/ETM
견해가	견해/NNG+가/JKS
주변에	주변/NNG+에/JKB
알려지는	알려지/VV+는/ETM
것은	것/NNB+은/JX
원치	원/NNG+하/XSV+지/EC
않는다고	않/VX+는다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.390.11.1
○ 한일 정부 “위안부 합의 이행해야”

○	○/SW
한일	한일/NNP
정부	정부/NNG
“위안부	“/SS+위안부/NNG
합의	합의/NNG
이행해야”	이행/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000049.390.12.1
탄핵 정국에 접어들면서 야권은 위안부 합의를 박근혜 정부의 대표적 실정(失政)으로 규정하는 등 ‘합의 파기’와 ‘재협상’ 목소리를 내고 있다.

탄핵	탄핵/NNG
정국에	정국/NNG+에/JKB
접어들면서	접어들/VV+면서/EC
야권은	야권/NNG+은/JX
위안부	위안부/NNG
합의를	합의/NNG+를/JKO
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
대표적	대표/NNG+적/XSN
실정(失政)으로	실정/NNG+(/SS+失政/SH+)/SS+으로/JKB
규정하는	규정/NNG+하/XSV+는/ETM
등	등/NNB
‘합의	‘/SS+합의/NNG
파기’와	파기/NNG+’/SS+와/JC
‘재협상’	‘/SS+재/XPN+협상/NNG+’/SS
목소리를	목소리/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.390.12.2
일본 내에서도 ‘한국이 합의를 백지화하지 않을까’ 우려하는 분위기가 적지 않다.

일본	일본/NNP
내에서도	내/NNB+에서/JKB+도/JX
‘한국이	‘/SS+한국/NNP+이/JKS
합의를	합의/NNG+를/JKO
백지화하지	백지/NNG+화/XSN+하/XSV+지/EC
않을까’	않/VX+을까/EF+’/SS
우려하는	우려/NNG+하/XSV+는/ETM
분위기가	분위기/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.390.12.3
아사히신문은 27일 반기문 유엔 사무총장, 문재인 더불어민주당 전 대표, 이재명 성남시장, 안철수 국민의당 전 상임공동대표 등을 유력한 차기 대선 주자로 꼽고 “반 총장 외에는 모두 재협상을 요구하고 있다”고 보도했다.

아사히신문은	아사히신문/NNP+은/JX
27일	27/SN+일/NNB
반기문	반기문/NNP
유엔	유엔/NNP
사무총장,	사무총장/NNG+,/SP
문재인	문재인/NNP
더불어민주당	더불어민주당/NNP
전	전/MMD
대표,	대표/NNG+,/SP
이재명	이재명/NNP
성남시장,	성남시장/NNG+,/SP
안철수	안철수/NNP
국민의당	국민의당/NNP
상임공동대표	상임/NNG+공동/NNG+대표/NNG
등을	등/NNB+을/JKO
유력한	유력/NNG+하/XSA+ㄴ/ETM
차기	차기/NNG
대선	대선/NNG
주자로	주자/NNG+로/JKB
꼽고	꼽/VV+고/EC
“반	“/SS+반/NNP
총장	총장/NNG
외에는	외/NNB+에/JKB+는/JX
모두	모두/MAG
재협상을	재/XPN+협상/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.390.13.1
하지만 정부는 합의 이행을 지속할 방침이다.

하지만	하지만/MAJ
정부는	정부/NNG+는/JX
합의	합의/NNG
이행을	이행/NNG+을/JKO
지속할	지속/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.390.13.2
조준혁 외교부 대변인은 27일 “재단이 출범해 사업을 실시하는 등 위안부 합의가 충실히 이행된 것으로 평가한다”며 “앞으로도 피해자 명예회복과 마음의 상처 치유를 위해 노력하겠다”라고 밝혔다.

조준혁	조준혁/NNP
외교부	외교부/NNG
대변인은	대변인/NNG+은/JX
27일	27/SN+일/NNB
“재단이	“/SS+재단/NNG+이/JKS
출범해	출범/NNG+하/XSV+아/EC
사업을	사업/NNG+을/JKO
실시하는	실시/NNG+하/XSV+는/ETM
등	등/NNB
위안부	위안부/NNG
합의가	합의/NNG+가/JKS
충실히	충실히/MAG
이행된	이행/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가한다”며	평가/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“앞으로도	“/SS+앞/NNG+으로/JKB+도/JX
피해자	피해자/NNG
명예회복과	명예/NNG+회복/NNG+과/JC
마음의	마음/NNG+의/JKG
상처	상처/NNG
치유를	치유/NNG+를/JKO
위해	위하/VV+아/EC
노력하겠다”라고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.390.13.3
스가 요시히데(菅義偉) 일본 관방장관도 이날 “양 국민과 전 세계를 향해 최종적·불가역적 해결로 약속한 만큼 이행이 무엇보다 중요하다”고 말했다.

스가	스가/NNP
요시히데(菅義偉)	요시히데/NNP+(/SS+菅義偉/SH+)/SS
일본	일본/NNP
관방장관도	관방/NNG+장관/NNG+도/JX
이날	이날/NNG
“양	“/SS+양/MMN
국민과	국민/NNG+과/JC
전	전/MMN
세계를	세계/NNG+를/JKO
향해	향하/VV+아/EC
최종적·불가역적	최종/NNG+적/XSN+·/SP+불/XPN+가역/NNG+적/XSN
해결로	해결/NNG+로/JKB
약속한	약속/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
이행이	이행/NNG+이/JKS
무엇보다	무엇/NP+보다/JKB
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.390.14.1
살아있는 위안부 피해 할머니는 이달 6일 박숙이 할머니(93)가 별세해 39명이 됐다가 최근 국내에서 피해자 1명이 추가로 확인, 등록돼 총 40명이 됐다.

살아있는	살/VV+아/EC+있/VX+는/ETM
위안부	위안부/NNG
피해	피해/NNG
할머니는	할머니/NNG+는/JX
이달	이달/NNG
6일	6/SN+일/NNB
박숙이	박숙이/NNP
할머니(93)가	할머니/NNG+(/SS+93/SN+)/SS+가/JKS
별세해	별세/NNG+하/XSV+아/EC
39명이	39/SN+명/NNB+이/JKC
됐다가	되/VV+었/EP+다가/EC
최근	최근/NNG
국내에서	국내/NNG+에서/JKB
피해자	피해자/NNG
1명이	1/SN+명/NNB+이/JKS
추가로	추가/NNG+로/JKB
확인,	확인/NNG+,/SP
등록돼	등록/NNG+되/XSV+어/EC
총	총/MMA
40명이	40/SN+명/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.390.14.2
황정임 한국여성정책연구원 선임연구위원은 “피해자가 고령인 점을 감안해 호스피스·완화의료 서비스를 도입하고, 자녀들의 심리 지원도 병행해야 한다”고 제언했다.

황정임	황정임/NNP
한국여성정책연구원	한국여성정책연구원/NNP
선임연구위원은	선임/NNG+연구/NNG+위원/NNG+은/JX
“피해자가	“/SS+피해자/NNG+가/JKS
고령인	고령/NNG+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
호스피스·완화의료	호스피스/NNG+·/SP+완화/NNG+의료/NNG
서비스를	서비스/NNG+를/JKO
도입하고,	도입/NNG+하/XSV+고/EC+,/SP
자녀들의	자녀/NNG+들/XSN+의/JKG
심리	심리/NNG
지원도	지원/NNG+도/JX
병행해야	병행/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
제언했다.	제언/NNG+하/XSV+았/EP+다/EF+./SF


