# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.98
metadata : {}


# id : NWRW1800000041.98.1.1
[KCSI 우수 기업]통신 패러다임 바꾼 고객 맞춤형 서비스… 최상의 품질을 경험하라

[KCSI	[/SS+KCSI/SL
LTE-A’,	LTE/SL+-/SO+A/SL+’/SS+,/SP
‘기가	‘/SS+기가/NNG
인터넷’,	인터넷/NNG+’/SS+,/SP
WiFi’	WiFi/SL+’/SS
등	등/NNB
기가	기가/NNG
시대를	시대/NNG+를/JKO
선도하는	선도/NNG+하/XSV+는/ETM
차세대	차세대/NNG
고품질	고/XPN+품질/NNG
네트워크와	네트워크/NNG+와/JC
‘스마트렌탈’,	‘/SS+스마트렌탈/NNG+’/SS+,/SP
‘올레SOHO성공팩’,	‘/SS+올레/NNP+SOHO/SL+성공/NNG+팩/NNG+’/SS+,/SP
‘전무후무	‘/SS+전무후무/NNG
멤버십’	멤버십/NNG+’/SS
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
고객에게	고객/NNG+에게/JKB
제공해왔다.	제공/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.98.4.1
KT는 빅데이터를 기반으로 확 달라진 고객 맞춤형 서비스를 선제적으로 제공하고 고객 특성에 맞춘 상품 개발 및 영업 프로세스 혁신으로 체감품질 1위 달성을 목표로 하고 있다.

KT는	KT/SL+는/JX
빅데이터를	빅데이터/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
확	확/MAG
달라진	달라지/VV+ㄴ/ETM
고객	고객/NNG
맞춤형	맞춤/NNG+형/XSN
서비스를	서비스/NNG+를/JKO
선제적으로	선제/NNG+적/XSN+으로/JKB
제공하고	제공/NNG+하/XSV+고/EC
특성에	특성/NNG+에/JKB
맞춘	맞추/VV+ㄴ/ETM
상품	상품/NNG
개발	개발/NNG
및	및/MAG
영업	영업/NNG
프로세스	프로세스/NNG
혁신으로	혁신/NNG+으로/JKB
체감품질	체감/NNG+품질/NNG
1위	1/SN+위/NNB
달성을	달성/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.98.4.2
365일 개통, 24시간 내 불편처리, 바로 응대하는 콜센터 등을 통해 고객채널 만족도를 향상시키고 있다.

365일	365/SN+일/NNB
개통,	개통/NNG+,/SP
24시간	24/SN+시간/NNB
내	내/NNB
불편처리,	불편/NNG+처리/NNG+,/SP
바로	바로/MAG
응대하는	응대/NNG+하/XSV+는/ETM
콜센터	콜센터/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
고객채널	고객/NNG+채널/NNG
만족도를	만족도/NNG+를/JKO
향상시키고	향상/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.98.5.1
황창규 회장또한 24시간 ‘올레소셜라이브’을 통해 올레닷컴, 트위터, 페이스북을 막론하고 쪽지, 멘션의 간단한 절차로 CS 상담 및 문의를 할 수 있는 소셜 특화 상담 시스템을 운영 중이다.

황창규	황창규/NNP
회장또한	회장/NNG+또한/MAG
24시간	24/SN+시간/NNB
‘올레소셜라이브’을	‘/SS+올레/NNP+소셜라이브/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
올레닷컴,	올레닷컴/NNP+,/SP
트위터,	트위터/NNP+,/SP
페이스북을	페이스북/NNP+을/JKO
막론하고	막론하/VV+고/EC
쪽지,	쪽지/NNG+,/SP
멘션의	멘션/NNG+의/JKG
간단한	간단하/VA+ㄴ/ETM
절차로	절차/NNG+로/JKB
CS	CS/SL
상담	상담/NNG
및	및/MAG
문의를	문의/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
소셜	소셜/NNG
특화	특화/NNG
시스템을	시스템/NNG+을/JKO
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.98.6.1
고객 편의를 위하여 업계 최초로 통신요금 명세서를 PDF 방식으로 제공하기 시작했다.

고객	고객/NNG
편의를	편의/NNG+를/JKO
위하여	위하/VV+아/EC
업계	업계/NNG
최초로	최초/NNG+로/JKB
통신요금	통신/NNG+요금/NNG
명세서를	명세서/NNG+를/JKO
PDF	PDF/SL
방식으로	방식/NNG+으로/JKB
제공하기	제공/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.98.6.2
PDF 방식은 모든 인터넷 브라우저에서 자유롭게 볼 수 있는 것이 특징이며, 액티브X 등 별도 프로그램 설치가 필요 없고 PDF 뷰어만 있으면 된다.

PDF	PDF/SL
방식은	방식/NNG+은/JX
모든	모든/MMN
인터넷	인터넷/NNG
브라우저에서	브라우저/NNG+에서/JKB
자유롭게	자유/NNG+롭/XSA+게/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이	것/NNB+이/JKS
특징이며,	특징/NNG+이/VCP+며/EC+,/SP
액티브X	액티브X/NNP
등	등/NNB
별도	별도/NNG
프로그램	프로그램/NNG
설치가	설치/NNG+가/JKS
필요	필요/NNG
없고	없/VA+고/EC
뷰어만	뷰어/NNG+만/JX
있으면	있/VA+으면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.98.6.3
그리고 PC, 스마트폰, 태블릿PC 등 기기나 사파리 크롬 등 웹브라우저도 따질 필요가 없다.

그리고	그리고/MAJ
PC,	PC/SL+,/SP
스마트폰,	스마트폰/NNG+,/SP
태블릿PC	태블릿/NNG+PC/SL
등	등/NNB
기기나	기기/NNG+나/JC
사파리	사파리/NNP
크롬	크롬/NNP
웹브라우저도	웹/NNG+브라우저/NNG+도/JX
따질	따지/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.98.6.4
KT는 액티브X 없는 명세서 보안을 위해 자체 암호화를 이용했다.

KT는	KT/SL+는/JX
액티브X	액티브X/NNP
없는	없/VA+는/ETM
명세서	명세서/NNG
보안을	보안/NNG+을/JKO
위해	위하/VV+아/EC
자체	자체/NNG
암호화를	암호/NNG+화/XSN+를/JKO
이용했다.	이용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.98.6.5
고객 인증 기기에서만 다운로드할 수 있도록 안전장치도 마련했다.

고객	고객/NNG
인증	인증/NNG
기기에서만	기기/NNG+에서/JKB+만/JX
다운로드할	다운로드/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
안전장치도	안전장치/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.98.7.1
KT는 고객들이 세계 최고 수준의 스마트한 삶을 즐길 수 있도록 향후 3년간 4조5000억 원을 투입해 유무선이 통합된 기가 인프라를 구축한다.

KT는	KT/SL+는/JX
고객들이	고객/NNG+들/XSN+이/JKS
세계	세계/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
스마트한	스마트/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
향후	향후/NNG
3년간	3/SN+년/NNB+간/XSN
4조5000억	4/SN+조/NR+5000/SN+억/NR
원을	원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
유무선이	유무선/NNG+이/JKS
통합된	통합/NNG+되/XSV+ㄴ/ETM
기가	기가/NNG
인프라를	인프라/NNG+를/JKO
구축한다.	구축/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.98.7.2
이러한 기가 인프라를 기반으로 IPTV 업계 1위 역량을 결합해 초고화질(UHD) GiGA TV를 상용화하였으며, 이를 통해 미디어 산업의 새로운 장을 열 계획이다.

이러한	이러하/VA+ㄴ/ETM
기가	기가/NNG
인프라를	인프라/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
IPTV	IPTV/SL
업계	업계/NNG
1위	1/SN+위/NNB
역량을	역량/NNG+을/JKO
결합해	결합/NNG+하/XSV+아/EC
초고화질(UHD)	초/XPN+고/XPN+화질/NNG+(/SS+UHD/SL+)/SS
GiGA	GiGA/SL
TV를	TV/SL+를/JKO
상용화하였으며,	상용/NNG+화/XSN+하/XSV+았/EP+으며/EC+,/SP
이를	이/NP+를/JKO
통해	통하/VV+아/EC
미디어	미디어/NNG
산업의	산업/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
장을	장/NNG+을/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.98.8.1
‘스마트렌탈’ 서비스는 올레 tv의 신규 및 기존 이용 고객이 최신 LED TV와 PC 등을 월 7000∼3만 원대의 저렴한 요금으로 할부 구매해 사용하는 서비스다.

‘스마트렌탈’	‘/SS+스마트렌탈/NNG+’/SS
서비스는	서비스/NNG+는/JX
올레	올레/NNP
tv의	tv/SL+의/JKG
신규	신규/NNG
및	및/MAG
기존	기존/NNG
이용	이용/NNG
고객이	고객/NNG+이/JKS
최신	최신/NNG
LED	LED/SL
TV와	TV/SL+와/JC
PC	PC/SL
등을	등/NNB+을/JKO
월	월/NNG
7000∼3만	7000/SN+∼/SO+3/SN+만/NR
원대의	원/NNB+대/XSN+의/JKG
저렴한	저렴하/VA+ㄴ/ETM
요금으로	요금/NNG+으로/JKB
할부	할부/NNG
구매해	구매/NNG+하/XSV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
서비스다.	서비스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.98.8.2
‘스마트렌탈’ 서비스는 출시 2주년을 기념해 스마트렌탈 가입 대상 고객을 올레 인터넷 신규 및 기존 고객까지 확대하고 삼성의 최신 UHD TV 등 다양한 제품 라인업을 추가했다.

‘스마트렌탈’	‘/SS+스마트렌탈/NNG+’/SS
서비스는	서비스/NNG+는/JX
출시	출시/NNG
2주년을	2/SN+주년/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
스마트렌탈	스마트렌탈/NNG
가입	가입/NNG
대상	대상/NNG
고객을	고객/NNG+을/JKO
올레	올레/NNP
인터넷	인터넷/NNG
신규	신규/NNG
및	및/MAG
기존	기존/NNG
고객까지	고객/NNG+까지/JX
확대하고	확대/NNG+하/XSV+고/EC
삼성의	삼성/NNP+의/JKG
최신	최신/NNG
UHD	UHD/SL
TV	TV/SL
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
제품	제품/NNG
라인업을	라인업/NNG+을/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.98.8.3
이를 통해 올레 인터넷과 올레 tv를 동시에 신규 가입한 고객은 삼성 TV를 시중가 대비 최대 60% 저렴한 수준으로 구입할 수 있고, 강력한 PC 성능과 휴대성이 결합된 삼성 ‘ATIV 탭북’도 36개월 할부 기준 월 1만 원대로 이용할 수 있다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
올레	올레/NNP
인터넷과	인터넷/NNG+과/JC
tv를	tv/SL+를/JKO
동시에	동시/NNG+에/JKB
신규	신규/NNG
가입한	가입/NNG+하/XSV+ㄴ/ETM
고객은	고객/NNG+은/JX
삼성	삼성/NNP
TV를	TV/SL+를/JKO
시중가	시중/NNG+가/XSN
대비	대비/NNG
최대	최대/NNG
60%	60/SN+%/SW
저렴한	저렴하/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
강력한	강력/NNG+하/XSA+ㄴ/ETM
PC	PC/SL
성능과	성능/NNG+과/JC
휴대성이	휴대/NNG+성/XSN+이/JKS
결합된	결합/NNG+되/XSV+ㄴ/ETM
‘ATIV	‘/SS+ATIV/SL
탭북’도	탭북/NNG+’/SS+도/JX
36개월	36/SN+개월/NNB
할부	할부/NNG
기준	기준/NNG
월	월/NNG
1만	1/SN+만/NR
원대로	원/NNB+대/XSN+로/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.98.9.1
KT 국제전화 ‘001’은 지정된 국가 국제전화를 월 1000원 기본료로 최대 62%까지 할인받는 ‘알짜 요금제’, 국제전화 이용량이 많은 고객들을 위한 사용가능 시간 내에 무제한 국제전화를 이용할 수 있는 ‘통 큰 요금제’, 다문화 가정 및 중소기업 등을 대상으로 제공되는 초저가 ‘다문화 가정 LOVE/중소기업 요금제’ 등 고객들의 다양한 이용패턴을 고려한 할인 요금제 제공으로 국제전화는 비싸다는 기존 인식에서 벗어나 경제적 부담을 대폭 감소시키고 있다.

KT	KT/SL
국제전화	국제/NNG+전화/NNG
‘001’은	‘/SS+001/SN+’/SS+은/JX
지정된	지정/NNG+되/XSV+ㄴ/ETM
국가	국가/NNG
국제전화를	국제/NNG+전화/NNG+를/JKO
월	월/NNG
1000원	1000/SN+원/NNB
기본료로	기본료/NNG+로/JKB
최대	최대/NNG
62%까지	62/SN+%/SW+까지/JX
할인받는	할인/NNG+받/XSV+는/ETM
‘알짜	‘/SS+알짜/NNG
요금제’,	요금/NNG+제/XSN+’/SS+,/SP
이용량이	이용량/NNG+이/JKS
많은	많/VA+은/ETM
고객들을	고객/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
사용가능	사용/NNG+가능/NNG
시간	시간/NNG
내에	내/NNB+에/JKB
무제한	무/XPN+제한/NNG
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘통	‘/SS+통/NNG
큰	크/VA+ㄴ/ETM
다문화	다문화/NNG
가정	가정/NNG
및	및/MAG
중소기업	중소기업/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
제공되는	제공/NNG+되/XSV+는/ETM
초저가	초/XPN+저가/NNG
‘다문화	‘/SS+다문화/NNG
LOVE/중소기업	LOVE/SL+//SP+중소기업/NNG
요금제’	요금/NNG+제/XSN+’/SS
등	등/NNB
고객들의	고객/NNG+들/XSN+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
이용패턴을	이용/NNG+패턴/NNG+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
할인	할인/NNG
요금제	요금/NNG+제/XSN
제공으로	제공/NNG+으로/JKB
국제전화는	국제/NNG+전화/NNG+는/JX
비싸다는	비싸/VA+다는/ETM
기존	기존/NNG
인식에서	인식/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
경제적	경제/NNG+적/XSN
부담을	부담/NNG+을/JKO
대폭	대폭/MAG
감소시키고	감소/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.98.10.1
2007년 출범한 한국의 대표적 IT 나눔 조직인 IT 서포터즈는 IT 나눔을 통한 사회공헌활동을 전담하는 봉사단으로서, 매해 전국 200여 명의 KT 직원이 정보 소외계층 지원, 다문화 가정 지원, 중소상공인·자영업자 지원, 첨단 IT지식 나눔, 인터넷·스마트 역기능 예방 교육 등 사회적 정보격차 해소 및 삶의 질 개선을 위해 활동하고 있다.

2007년	2007/SN+년/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
한국의	한국/NNP+의/JKG
대표적	대표/NNG+적/XSN
IT	IT/SL
나눔	나누/VV+ㅁ/ETN
조직인	조직/NNG+이/VCP+ㄴ/ETM
서포터즈는	서포터즈/NNG+는/JX
나눔을	나누/VV+ㅁ/ETN+을/JKO
통한	통하/VV+ㄴ/ETM
사회공헌활동을	사회/NNG+공헌/NNG+활동/NNG+을/JKO
전담하는	전담/NNG+하/XSV+는/ETM
봉사단으로서,	봉사단/NNG+으로서/JKB+,/SP
매해	매해/MAG
전국	전국/NNG
200여	200/SN+여/XSN
명의	명/NNB+의/JKG
KT	KT/SL
직원이	직원/NNG+이/JKS
정보	정보/NNG
소외계층	소외/NNG+계층/NNG
지원,	지원/NNG+,/SP
다문화	다문화/NNG
가정	가정/NNG
중소상공인·자영업자	중소/NNG+상공인/NNG+·/SP+자영업자/NNG
첨단	첨단/NNG
IT지식	IT/SL+지식/NNG
나눔,	나누/VV+ㅁ/ETN+,/SP
인터넷·스마트	인터넷/NNG+·/SP+스마트/NNG
역기능	역기능/NNG
예방	예방/NNG
교육	교육/NNG
등	등/NNB
사회적	사회/NNG+적/XSN
정보격차	정보/NNG+격차/NNG
해소	해소/NNG
및	및/MAG
삶의	삶/NNG+의/JKG
질	질/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.98.10.2
현재까지 110만 회 이상의 IT나눔 활동을 진행하였고, 지난해부터는 누구나 쉽고 편리하게 스마트IT를 이용할 수 있도록 ‘올레 스마트 아카데미’를 운영하고 있으며, 전국 10개 교육장에서 8300여 회 강의에 21만여 명이 수강을 했다.

현재까지	현재/NNG+까지/JX
110만	110/SN+만/NR
회	회/NNB
이상의	이상/NNG+의/JKG
IT나눔	IT/SL+나누/VV+ㅁ/ETN
활동을	활동/NNG+을/JKO
진행하였고,	진행/NNG+하/XSV+았/EP+고/EC+,/SP
지난해부터는	지난해/NNG+부터/JX+는/JX
누구나	누구/NP+나/JX
쉽고	쉽/VA+고/EC
편리하게	편리/NNG+하/XSA+게/EC
스마트IT를	스마트/NNG+IT/SL+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘올레	‘/SS+올레/NNP
스마트	스마트/NNG
아카데미’를	아카데미/NNG+’/SS+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
전국	전국/NNG
10개	10/SN+개/NNB
교육장에서	교육장/NNG+에서/JKB
8300여	8300/SN+여/XSN
강의에	강의/NNG+에/JKB
21만여	21/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
수강을	수강/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


