# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.87
metadata : {}


# id : NWRW1800000036.87.1.1
“긴축목표 달성 2년 유예”…그리스, 재협상 돌입

“긴축목표	“/SS+긴축/NNG+목표/NNG
완화하는	완화/NNG+하/XSV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.87.5.3
또 연정이 발표한 정책성명에는 최저임금 삭감과 민간분야 구조조정 촉진 대책들에 대한 재검토뿐만 아니라 요식업체의 소비세를 23%에서 13%로 줄이는 방안 등 임금 삭감 및 증세 중단 등의 내용을 담고 있다.

또	또/MAG
연정이	연정/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
정책성명에는	정책/NNG+성명/NNG+에/JKB+는/JX
최저임금	최저/NNG+임금/NNG
삭감과	삭감/NNG+과/JC
민간분야	민간/NNG+분야/NNG
구조조정	구조/NNG+조정/NNG
촉진	촉진/NNG
대책들에	대책/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
재검토뿐만	재/XPN+검토/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
요식업체의	요식/NNG+업체/NNG+의/JKG
소비세를	소비세/NNG+를/JKO
23%에서	23/SN+%/SW+에서/JKB
13%로	13/SN+%/SW+로/JKB
줄이는	줄이/VV+는/ETM
방안	방안/NNG
등	등/NNB
임금	임금/NNG
삭감	삭감/NNG
및	및/MAG
증세	증세/NNG
중단	중단/NNG
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.87.5.4
또 실업수당 연장 등도 포함하고 있다.

또	또/MAG
실업수당	실업/NNG+수당/NNG
연장	연장/NNG
등도	등/NNB+도/JX
포함하고	포함/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.87.5.5
이런 내용은 구제금융 조건에 대한 완전한 재협상을 내건 시리자(급진좌파연합)의 정책과 유사한 것이다.

이런	이런/MMD
내용은	내용/NNG+은/JX
구제금융	구제/NNG+금융/NNG
조건에	조건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
완전한	완전/NNG+하/XSA+ㄴ/ETM
재협상을	재/XPN+협상/NNG+을/JKO
내건	내걸/VV+ㄴ/ETM
시리자(급진좌파연합)의	시리자/NNP+(/SS+급진좌파연합/NNP+)/SS+의/JKG
정책과	정책/NNG+과/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.87.5.6
그동안 유럽연합 쪽은 구제금융 조건의 조정은 제안했으나, 근본적 수정은 불가하다는 입장을 밝혀왔다.

그동안	그동안/NNG
유럽연합	유럽연합/NNP
쪽은	쪽/NNB+은/JX
구제금융	구제/NNG+금융/NNG
조건의	조건/NNG+의/JKG
조정은	조정/NNG+은/JX
제안했으나,	제안/NNG+하/XSV+았/EP+으나/EC+,/SP
근본적	근본/NNG+적/XSN
수정은	수정/NNG+은/JX
불가하다는	불가/NNG+하/XSA+다는/ETM
입장을	입장/NNG+을/JKO
밝혀왔다.	밝히/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.87.5.7
특히 구제금융 상환기간의 연장 등은 협상대상이 될 수 있으나, 긴축정책의 근본적 수정에 대해서는 완강한 반대입장을 보여왔다.

특히	특히/MAG
구제금융	구제/NNG+금융/NNG
상환기간의	상환/NNG+기간/NNG+의/JKG
연장	연장/NNG
등은	등/NNB+은/JX
협상대상이	협상/NNG+대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있으나,	있/VA+으나/EC+,/SP
긴축정책의	긴축/NNG+정책/NNG+의/JKG
근본적	근본/NNG+적/XSN
수정에	수정/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
완강한	완강하/VA+ㄴ/ETM
반대입장을	반대/NNG+입장/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.87.5.8
이에 따라 25일 그리스에 입국하는 유럽연합·유럽중앙은행·국제통화기금 등 이른바 트로이카의 국제채권단 실사단이 이에 어떤 반응을 보일지 주목된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
25일	25/SN+일/NNB
그리스에	그리스/NNP+에/JKB
입국하는	입국/NNG+하/XSV+는/ETM
유럽연합·유럽중앙은행·국제통화기금	유럽연합/NNP+·/SP+유럽중앙은행/NNP+·/SP+국제통화기금/NNP
등	등/NNB
이른바	이른바/MAG
트로이카의	트로이카/NNG+의/JKG
국제채권단	국제/NNG+채권단/NNG
실사단이	실사단/NNG+이/JKS
어떤	어떤/MMD
반응을	반응/NNG+을/JKO
보일지	보이/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.87.5.9
유럽연합 정상들도 28일부터 이틀간의 정상회의를 갖고, 그리스 사태 등 유로존 위기 대책을 협의한다.

유럽연합	유럽연합/NNP
정상들도	정상/NNG+들/XSN+도/JX
28일부터	28/SN+일/NNB+부터/JX
이틀간의	이틀/NNG+간/XSN+의/JKG
정상회의를	정상/NNG+회의/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
그리스	그리스/NNP
사태	사태/NNG
등	등/NNB
유로존	유로존/NNG
위기	위기/NNG
대책을	대책/NNG+을/JKO
협의한다.	협의/NNG+하/XSV+ㄴ다/EF+./SF


