# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.151
metadata : {}


# id : NWRW1800000028.151.1.1
오월의 어머니상에 /지선스님·카치아피카스 교수·광주간호사회

오월의	오월/NNG+의/JKG
바쳤고,	바치/VV+었/EP+고/EC+,/SP
1980년	1980/SN+년/NNB
이후에도	이후/NNG+에/JKB+도/JX
부상자와	부상자/NNG+와/JC
유가족	유가족/NNG
구호와	구호/NNG+와/JC
지원에	지원/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.151.6.1
시상식은 오는 8일 오후 2시 광주 동구 동명동 오월어머니집에서 열린다.

시상식은	시상식/NNG+은/JX
오는	오/VV+는/ETM
8일	8/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
광주	광주/NNP
동구	동구/NNP
동명동	동명동/NNP
오월어머니집에서	오월어머니집/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.151.6.2
수상자한테는 상장과 상금 100만원을 전달한다.

수상자한테는	수상자/NNG+한테/JKB+는/JX
상장과	상장/NNG+과/JC
상금	상금/NNG
100만원을	100/SN+만/NR+원/NNB+을/JKO
전달한다.	전달/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.151.7.1
노영숙 오월어머니집 사무국장은 “5·18 당시 희생을 당하거나 이후 정신계승에 앞장서고도 조명받지 못한 이들을 찾아 고마움을 전하는 상”이라며 “30년 남짓 고난과 슬픔을 헤쳐온 유가족 40여명의 정성이 담겼다”고 말했다.

노영숙	노영숙/NNP
오월어머니집	오월어머니집/NNP
사무국장은	사무국장/NNG+은/JX
“5·18	“/SS+5/SN+·/SP+18/SN
당시	당시/NNG
희생을	희생/NNG+을/JKO
당하거나	당하/VV+거나/EC
이후	이후/NNG
정신계승에	정신/NNG+계승/NNG+에/JKB
앞장서고도	앞장서/VV+고도/EC
조명받지	조명/NNG+받/XSV+지/EC
못한	못하/VX+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
찾아	찾/VV+아/EC
고마움을	고마움/NNG+을/JKO
전하는	전하/VV+는/ETM
상”이라며	상/NNG+”/SS+이/VCP+라며/EC
“30년	“/SS+30/SN+년/NNB
남짓	남짓/NNB
고난과	고난/NNG+과/JC
슬픔을	슬픔/NNG+을/JKO
헤쳐온	헤치/VV+어/EC+오/VX+ㄴ/ETM
유가족	유가족/NNG
40여명의	40/SN+여/XSN+명/NNB+의/JKG
정성이	정성/NNG+이/JKS
담겼다”고	담기/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.151.8.1
2006년 발족한 오월어머니집은 1980년 5·18과 1987년 6·10 등 한국 민주화 과정에서 자식이나 남편을 잃은 여성들이 서로 의지하는 쉼터이자, 사회참여를 하는 사랑방이다.

2006년	2006/SN+년/NNB
발족한	발족/NNG+하/XSV+ㄴ/ETM
오월어머니집은	오월어머니집/NNP+은/JX
1980년	1980/SN+년/NNB
5·18과	5/SN+·/SP+18/SN+과/JC
1987년	1987/SN+년/NNB
6·10	6/SN+·/SP+10/SN
등	등/NNB
한국	한국/NNP
민주화	민주/NNG+화/XSN
과정에서	과정/NNG+에서/JKB
자식이나	자식/NNG+이나/JC
남편을	남편/NNG+을/JKO
잃은	잃/VV+은/ETM
여성들이	여성/NNG+들/XSN+이/JKS
서로	서로/MAG
의지하는	의지/NNG+하/XSV+는/ETM
쉼터이자,	쉼터/NNG+이/VCP+자/EC+,/SP
사회참여를	사회/NNG+참여/NNG+를/JKO
하는	하/VV+는/ETM
사랑방이다.	사랑방/NNG+이/VCP+다/EF+./SF


