# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.59
metadata : {}


# id : NWRW1800000028.59.1.1
도요타 사장 ‘변덕’ “미 청문회 가겠다”

도요타	도요타/NNP
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
일본	일본/NNP
언론들이	언론/NNG+들/XSN+이/JKS
일제히	일제히/MAG
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.59.4.1
도요다 사장은 앞서 17일 연 기자회견에서는 청문회에 북미법인 이나바 요시미 사장만이 출석할 것이라고 밝힌 바 있다.

도요다	도요다/NNP
사장은	사장/NNG+은/JX
앞서	앞서/MAG
17일	17/SN+일/NNB
연	열/VV+ㄴ/ETM
기자회견에서는	기자/NNG+회견/NNG+에서/JKB+는/JX
청문회에	청문회/NNG+에/JKB
북미법인	북미/NNP+법인/NNG
이나바	이나바/NNP
요시미	요시미/NNP
사장만이	사장/NNG+만/JX+이/JKS
출석할	출석/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.59.4.2
그러나 이후 미국 내 여론이 나빠지고 미국 의회도 그의 증인 출석을 정식으로 요청하자 태도를 바꾼 것으로 보인다.

그러나	그러나/MAJ
이후	이후/NNG
미국	미국/NNP
내	내/NNB
여론이	여론/NNG+이/JKS
나빠지고	나쁘/VA+아/EC+지/VX+고/EC
의회도	의회/NNG+도/JX
그의	그/NP+의/JKG
증인	증인/NNG
출석을	출석/NNG+을/JKO
정식으로	정식/NNG+으로/JKB
요청하자	요청/NNG+하/XSV+자/EC
태도를	태도/NNG+를/JKO
바꾼	바꾸/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.59.4.3
에돌퍼스 타운스 미국 하원 감독·정부개혁위원장은 18일 도요다 사장에게 “도요타 차의 급가속 문제로 사람들 사이에 우려가 퍼지고 있다”며 24일 청문회에 증인으로 출석해 달라고 요청했다.

에돌퍼스	에돌퍼스/NNP
타운스	타운스/NNP
미국	미국/NNP
하원	하원/NNG
감독·정부개혁위원장은	감독/NNG+·/SP+정부/NNG+개혁/NNG+위원장/NNG+은/JX
18일	18/SN+일/NNB
도요다	도요다/NNP
사장에게	사장/NNG+에게/JKB
“도요타	“/SS+도요타/NNP
차의	차/NNG+의/JKG
급가속	급가속/NNG
문제로	문제/NNG+로/JKB
사람들	사람/NNG+들/XSN
사이에	사이/NNG+에/JKB
우려가	우려/NNG+가/JKS
퍼지고	퍼지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
24일	24/SN+일/NNB
청문회에	청문회/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
출석해	출석/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.59.5.1
도요다 사장의 청문회 출석 결정에 대해 마에하라 세이지 일본 국토교통상은 “잘한 일”이라면서도 “변덕은 유감스럽다”고 지적했다.

도요다	도요다/NNP
사장의	사장/NNG+의/JKG
청문회	청문회/NNG
출석	출석/NNG
결정에	결정/NNG+에/JKB
대해	대하/VV+아/EC
마에하라	마에하라/NNP
세이지	세이지/NNP
일본	일본/NNP
국토교통상은	국토/NNG+교통상/NNG+은/JX
“잘한	“/SS+잘/MAG+하/XSV+ㄴ/ETM
일”이라면서도	일/NNG+”/SS+이/VCP+라면서/EC+도/JX
“변덕은	“/SS+변덕/NNG+은/JX
유감스럽다”고	유감/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.59.6.1
한편 미국 정부는 도요타에 대한 압박의 수위를 계속 높여가고 있다.

한편	한편/MAG
미국	미국/NNP
정부는	정부/NNG+는/JX
도요타에	도요타/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
압박의	압박/NNG+의/JKG
수위를	수위/NNG+를/JKO
계속	계속/MAG
높여가고	높이/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.59.6.2
고속도로교통안전국(NHTSA)은 이날 파워스티어링 결함 가능성이 제기된 도요타의 매트릭스와 코롤라 2009년 및 2010년 모델에 대한 조사에 착수했다.

고속도로교통안전국(NHTSA)은	고속/NNG+도로/NNG+교통/NNG+안전국/NNG+(/SS+NHTSA/SL+)/SS+은/JX
이날	이날/NNG
파워스티어링	파워/NNG+스티어링/NNG
결함	결함/NNG
가능성이	가능/NNG+성/XSN+이/JKS
제기된	제기/NNG+되/XSV+ㄴ/ETM
도요타의	도요타/NNP+의/JKG
매트릭스와	매트릭스/NNP+와/JC
코롤라	코롤라/NNP
2009년	2009/SN+년/NNB
및	및/MAG
2010년	2010/SN+년/NNB
모델에	모델/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사에	조사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.59.6.3
로버트 깁스 백악관 대변인은 도요타자동차 사장의 의회 청문회 출석 문제에 대한 오바마 대통령의 견해를 묻는 기자들의 질문에 “도요타가 이 위험한 상황을 바로잡기 위해 할 수 있는 모든 것을 하기를 바란다”고 말했다.

로버트	로버트/NNP
깁스	깁스/NNP
백악관	백악관/NNP
대변인은	대변인/NNG+은/JX
도요타자동차	도요타자동차/NNP
사장의	사장/NNG+의/JKG
의회	의회/NNG
청문회	청문회/NNG
출석	출석/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
견해를	견해/NNG+를/JKO
묻는	묻/VV+는/ETM
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
“도요타가	“/SS+도요타/NNP+가/JKS
이	이/MMD
위험한	위험/NNG+하/XSA+ㄴ/ETM
상황을	상황/NNG+을/JKO
바로잡기	바로잡/VV+기/ETN
위해	위하/VV+아/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모든	모든/MMN
것을	것/NNB+을/JKO
하기를	하/VV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


