# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.236
metadata : {}


# id : NWRW1800000033.236.1.1
서울-전북 무공해 vs 닥공

서울-전북	서울/NNP+-/SO+전북/NNP
# id : NWRW1800000033.236.3.4
스플릿 시스템 가동 전까지 4경기(3무 1패) 연속 승수 추가에 실패했던 전북은 39일 만에 승리하면서 분위기 전환에 성공했다.

스플릿	스플릿/NNG
시스템	시스템/NNG
가동	가동/NNG
전까지	전/NNG+까지/JX
4경기(3무	4/SN+경기/NNG+(/SS+3/SN+무/NNB
1패)	1/SN+패/NNB+)/SS
연속	연속/NNG
승수	승/NNG+수/NNG
추가에	추가/NNG+에/JKB
실패했던	실패/NNG+하/XSV+았/EP+던/ETM
전북은	전북/NNP+은/JX
39일	39/SN+일/NNB
만에	만/NNB+에/JKB
승리하면서	승리/NNG+하/XSV+면서/EC
분위기	분위기/NNG
전환에	전환/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.236.4.1
스플릿 라운드 첫 경기에서 나란히 승리한 서울(승점 67)과 전북(승점 62)은 승점 5점 차를 유지하면서 선두 경쟁 모드를 이어갔다.

스플릿	스플릿/NNG
라운드	라운드/NNG
첫	첫/MMN
경기에서	경기/NNG+에서/JKB
나란히	나란히/MAG
승리한	승리/NNG+하/XSV+ㄴ/ETM
서울(승점	서울/NNP+(/SS+승점/NNG
67)과	67/SN+)/SS+과/JC
전북(승점	전북/NNP+(/SS+승점/NNG
62)은	62/SN+)/SS+은/JX
승점	승점/NNG
5점	5/SN+점/NNB
차를	차/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
선두	선두/NNG
경쟁	경쟁/NNG
모드를	모드/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.236.4.2
‘닥공(닥치고 공격)’을 앞세워 지난 시즌 통합 우승을 차지한 전북과 ‘무공해(무조건 공격해)’ 축구를 내세워 2010년 이후 2년 만의 정상 탈환을 노리는 서울은 올 시즌 개막 전부터 우승을 다툴 라이벌로 꼽혔다.

‘닥공(닥치고	‘/SS+닥공/NNG+(/SS+닥치/VV+고/EC
공격)’을	공격/NNG+)/SS+’/SS+을/JKO
앞세워	앞세우/VV+어/EC
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
통합	통합/NNG
우승을	우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
전북과	전북/NNP+과/JC
‘무공해(무조건	‘/SS+무/XPN+공해/NNG+(/SS+무/XPN+조건/NNG
공격해)’	공격/NNG+하/XSV+아/EF+)/SS+’/SS
축구를	축구/NNG+를/JKO
내세워	내세우/VV+어/EC
2010년	2010/SN+년/NNB
이후	이후/NNG
2년	2/SN+년/NNB
만의	만/NNB+의/JKG
정상	정상/NNG
탈환을	탈환/NNG+을/JKO
노리는	노리/VV+는/ETM
서울은	서울/NNP+은/JX
올	올/NNG
개막	개막/NNG
전부터	전/NNG+부터/JX
다툴	다투/VV+ㄹ/ETM
라이벌로	라이벌/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.236.4.3
공격 축구의 선봉을 자처한 두 팀답게 17일 현재 팀 득점에서 전북이 61골로 1위, 서울이 56골로 제주와 공동 2위에 올라 있다.

공격	공격/NNG
축구의	축구/NNG+의/JKG
선봉을	선봉/NNG+을/JKO
자처한	자처/NNG+하/XSV+ㄴ/ETM
두	두/MMN
팀답게	팀/NNG+답/XSA+게/EC
17일	17/SN+일/NNB
현재	현재/MAG
팀	팀/NNG
득점에서	득점/NNG+에서/JKB
전북이	전북/NNP+이/JKS
61골로	61/SN+골/NNG+로/JKB
1위,	1/SN+위/NNB+,/SP
서울이	서울/NNP+이/JKS
56골로	56/SN+골/NNG+로/JKB
제주와	제주/NNP+와/JKB
공동	공동/NNG
2위에	2/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.236.5.1
1∼31라운드의 전체 승점에서는 서울이 앞서고 있지만 앞으로 상대하게 될 스플릿 시스템 상위 리그 팀들과의 맞대결 성적만 놓고 보면 전북이 좀 더 우위에 있다.

1∼31라운드의	1/SN+∼/SO+31/SN+라운드/NNG+의/JKG
전체	전체/NNG
승점에서는	승점/NNG+에서/JKB+는/JX
서울이	서울/NNP+이/JKS
앞서고	앞서/VV+고/EC
있지만	있/VX+지만/EC
앞으로	앞/NNG+으로/JKB
상대하게	상대/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
스플릿	스플릿/NNG
시스템	시스템/NNG
상위	상위/NNG
리그	리그/NNG
팀들과의	팀/NNG+들/XSN+과/JKB+의/JKG
맞대결	맞대결/NNG
성적만	성적/NNG+만/JX
놓고	놓/VV+고/EC
보면	보/VX+면/EC
전북이	전북/NNP+이/JKS
좀	좀/MAG
더	더/MAG
우위에	우위/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.236.5.2
스플릿 시스템이 가동되기 전까지 전북은 상위 리그 진출 7개 팀을 상대로 한 14경기에서 7승 5무 2패를 기록해 승점 26점을 챙겼다.

스플릿	스플릿/NNG
시스템이	시스템/NNG+이/JKS
가동되기	가동/NNG+되/XSV+기/ETN
전까지	전/NNG+까지/JX
전북은	전북/NNP+은/JX
상위	상위/NNG
리그	리그/NNG
진출	진출/NNG
7개	7/SN+개/NNB
팀을	팀/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
14경기에서	14/SN+경기/NNG+에서/JKB
7승	7/SN+승/NNB
5무	5/SN+무/NNB
2패를	2/SN+패/NNB+를/JKO
기록해	기록/NNG+하/XSV+아/EC
승점	승점/NNG
26점을	26/SN+점/NNB+을/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.236.5.3
이에 비해 서울은 5승 6무 3패로 승점 21점을 쌓는 데 그쳤다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
서울은	서울/NNP+은/JX
5승	5/SN+승/NNB
6무	6/SN+무/NNB
3패로	3/SN+패/NNB+로/JKB
승점	승점/NNG
21점을	21/SN+점/NNB+을/JKO
쌓는	쌓/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.236.6.1
이흥실 전북 감독대행의 “우리 팀은 역전승이 많은 팀이다. 리그 순위에서도 역전해 우승을 차지하겠다”는 얘기는 상위 리그 진출 팀들에 대한 강한 자신감의 표현과 맥이 닿아 있다.

이흥실	이흥실/NNP
전북	전북/NNP
감독대행의	감독/NNG+대행/NNG+의/JKG
“우리	“/SS+우리/NP
팀은	팀/NNG+은/JX
역전승이	역전승/NNG+이/JKS
많은	많/VA+은/ETM
팀이다.	팀/NNG+이/VCP+다/EF+./SF
리그	리그/NNG
순위에서도	순위/NNG+에서/JKB+도/JX
역전해	역전/NNG+하/XSV+아/EC
우승을	우승/NNG+을/JKO
차지하겠다”는	차지/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
얘기는	얘기/NNG+는/JX
상위	상위/NNG
진출	진출/NNG
팀들에	팀/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
자신감의	자신감/NNG+의/JKG
표현과	표현/NNG+과/JC
맥이	맥/NNG+이/JKS
닿아	닿/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.236.6.2
하지만 전북은 서울과의 두 차례 맞대결에서 1무 1패로 밀렸다는 게 아킬레스 힘줄이다.

하지만	하지만/MAJ
전북은	전북/NNP+은/JX
서울과의	서울/NNP+과/JKB+의/JKG
두	두/MMN
차례	차례/NNG
맞대결에서	맞대결/NNG+에서/JKB
1무	1/SN+무/NNB
1패로	1/SN+패/NNB+로/JKB
밀렸다는	밀리/VV+었/EP+다는/ETM
게	거/NNB+이/JKS
아킬레스	아킬레스/NNG
힘줄이다.	힘줄/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.236.6.3
상위 리그 진출 팀 중 상대 전적에서 전북에 앞선 팀은 서울이 유일하다.

상위	상위/NNG
리그	리그/NNG
진출	진출/NNG
팀	팀/NNG
중	중/NNB
상대	상대/NNG
전적에서	전적/NNG+에서/JKB
전북에	전북/NNP+에/JKB
앞선	앞서/VV+ㄴ/ETM
팀은	팀/NNG+은/JX
서울이	서울/NNP+이/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


