# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.219
metadata : {}


# id : NWRW1800000030.219.1.1
[대구 세계육상선수권] 메달 기대주 김현섭 6위… 한국육상, 세계의 벽 실감

[대구	[/SS+대구/NNP
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.219.6.2
지난해 광저우 아시안게임에서 13초48의 한국 기록을 세우며 동메달을 목에 걸었던 박태경은 한국 트랙선수 중에서 유일하게 세계 기록에 근접했다는 평가를 받고 있었다.

지난해	지난해/NNG
광저우	광저우/NNP
아시안게임에서	아시안/NNP+게임/NNG+에서/JKB
13초48의	13/SN+초/NNB+48/SN+의/JKG
한국	한국/NNP
기록을	기록/NNG+을/JKO
세우며	세우/VV+며/EC
동메달을	동메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었던	걸/VV+었/EP+던/ETM
박태경은	박태경/NNP+은/JX
트랙선수	트랙/NNG+선수/NNG
중에서	중/NNB+에서/JKB
유일하게	유일/NNG+하/XSA+게/EC
세계	세계/NNG
기록에	기록/NNG+에/JKB
근접했다는	근접/NNG+하/XSV+았/EP+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.219.7.1
여자 장대높이뛰기의 최윤희(25) 역시 예선에서 자신의 최고 기록이자 한국 기록인 4m40을 넘었지만 예선 B조 10위에 그치며 탈락했다.

여자	여자/NNG
장대높이뛰기의	장대높이뛰기/NNG+의/JKG
최윤희(25)	최윤희/NNP+(/SS+25/SN+)/SS
역시	역시/MAG
예선에서	예선/NNG+에서/JKB
자신의	자신/NNG+의/JKG
최고	최고/NNG
기록이자	기록/NNG+이/VCP+자/EC
한국	한국/NNP
기록인	기록/NNG+이/VCP+ㄴ/ETM
4m40을	4/SN+m/SW+40/SN+을/JKO
넘었지만	넘/VV+었/EP+지만/EC
예선	예선/NNG
B조	B/SL+조/NNG
10위에	10/SN+위/NNB+에/JKB
그치며	그치/VV+며/EC
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.219.7.2
여자 멀리뛰기의 정순옥(28)은 27일 열린 예선에서 6m18을 기록하며 본선 진출 기록인 6m75를 넘어서지 못했다.

여자	여자/NNG
멀리뛰기의	멀리뛰기/NNG+의/JKG
정순옥(28)은	정순옥/NNP+(/SS+28/SN+)/SS+은/JX
27일	27/SN+일/NNB
열린	열리/VV+ㄴ/ETM
예선에서	예선/NNG+에서/JKB
6m18을	6/SN+m/SW+18/SN+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
본선	본선/NNG
진출	진출/NNG
기록인	기록/NNG+이/VCP+ㄴ/ETM
6m75를	6/SN+m/SW+75/SN+를/JKO
넘어서지	넘어서/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.219.8.1
한국은 남자 멀리뛰기와 세단뛰기에 동시에 출전하는 김덕현(26), 남자 마라톤의 정진혁(21), 남자 400m 계주팀 등에 10위권 진입 희망을 걸게 됐다.

한국은	한국/NNP+은/JX
남자	남자/NNG
멀리뛰기와	멀리뛰기/NNG+와/JC
세단뛰기에	세단뛰기/NNG+에/JKB
동시에	동시/NNG+에/JKB
출전하는	출전/NNG+하/XSV+는/ETM
김덕현(26),	김덕현/NNP+(/SS+26/SN+)/SS+,/SP
마라톤의	마라톤/NNG+의/JKG
정진혁(21),	정진혁/NNP+(/SS+21/SN+)/SS+,/SP
400m	400/SN+m/SW
계주팀	계주/NNG+팀/NNG
등에	등/NNB+에/JKB
10위권	10/SN+위/NNB+권/XSN
진입	진입/NNG
희망을	희망/NNG+을/JKO
걸게	걸/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.219.8.2
이민호 경보 코치는 "장기적인 차원에서 선수 발굴 및 육성이 이뤄져야 격차를 좁힐 수 있을 것"이라고 말했다.

이민호	이민호/NNP
경보	경보/NNG
코치는	코치/NNG+는/JX
"장기적인	"/SS+장기/NNG+적/XSN+이/VCP+ㄴ/ETM
차원에서	차원/NNG+에서/JKB
선수	선수/NNG
발굴	발굴/NNG
및	및/MAG
육성이	육성/NNG+이/JKS
이뤄져야	이뤄지/VV+어야/EC
격차를	격차/NNG+를/JKO
좁힐	좁히/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


