# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.64
metadata : {}


# id : NWRW1800000036.64.1.1
삼성전자, 중국서 또 ‘아동노동’ 논란

삼성전자,	삼성전자/NNP+,/SP
중국노동감시는 지난 14일 “삼성전자의 휴대전화 케이스를 만드는 중국 광둥성 후이저우시의 하나로티엔에스(TNS)선전 공장에서 16살 미만 소녀들이 최소 3명 노동하고 있다.

중국노동감시는	중국노동감시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
“삼성전자의	“/SS+삼성전자/NNP+의/JKG
휴대전화	휴대/NNG+전화/NNG
케이스를	케이스/NNG+를/JKO
만드는	만들/VV+는/ETM
중국	중국/NNP
광둥성	광둥성/NNP
후이저우시의	후이저우시/NNP+의/JKG
하나로티엔에스(TNS)선전	하나로티엔에스/NNP+(/SS+TNS/SL+)/SS+선전/NNP
공장에서	공장/NNG+에서/JKB
16살	16/SN+살/NNB
미만	미만/NNG
소녀들이	소녀/NNG+들/XSN+이/JKS
최소	최소/NNG
3명	3/SN+명/NNB
노동하고	노동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.64.6.2
조사관들이 직접 이들을 만나 신분증을 확인하고 면담을 거쳐 확인했다”고 밝혔다.

조사관들이	조사관/NNG+들/XSN+이/JKS
직접	직접/MAG
이들을	이/NP+들/XSN+을/JKO
만나	만나/VV+아/EC
신분증을	신분증/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
면담을	면담/NNG+을/JKO
거쳐	거치/VV+어/EC
확인했다”고	확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.64.7.1
중국노동감시는 이 소녀들이 법정 잔업시간을 초과해 강제적으로 근무하고 있으며, 공장 건물에 적절한 환기가 이뤄지지 않는 등 노동환경도 열악하다고 지적했다.

중국노동감시는	중국노동감시/NNP+는/JX
이	이/MMD
소녀들이	소녀/NNG+들/XSN+이/JKS
법정	법정/NNG
잔업시간을	잔업/NNG+시간/NNG+을/JKO
초과해	초과/NNG+하/XSV+아/EC
강제적으로	강제/NNG+적/XSN+으로/JKB
근무하고	근무/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
공장	공장/NNG
건물에	건물/NNG+에/JKB
적절한	적절하/VA+ㄴ/ETM
환기가	환기/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
노동환경도	노동/NNG+환경/NNG+도/JX
열악하다고	열악하/VA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.7.2
중국에서 16살 미만 어린이의 노동은 법적으로 금지돼 있다.

중국에서	중국/NNP+에서/JKB
16살	16/SN+살/NNB
미만	미만/NNG
어린이의	어린이/NNG+의/JKG
노동은	노동/NNG+은/JX
법적으로	법/NNG+적/XSN+으로/JKB
금지돼	금지/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.64.8.1
중국노동감시는 특히 “이번 아동노동의 발견은 삼성전자의 협력업체에 대한 노동조건 조사가 효과적이지 않다는 증거”라고 강조했다.

중국노동감시는	중국노동감시/NNP+는/JX
특히	특히/MAG
“이번	“/SS+이번/NNG
아동노동의	아동/NNG+노동/NNG+의/JKG
발견은	발견/NNG+은/JX
삼성전자의	삼성전자/NNP+의/JKG
협력업체에	협력/NNG+업체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
노동조건	노동/NNG+조건/NNG
조사가	조사/NNG+가/JKS
효과적이지	효과/NNG+적/XSN+이/VCP+지/EC
않다는	않/VX+다는/ETM
증거”라고	증거/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.8.2
삼성전자는 지난 9월 중국 협력업체의 아동노동 주장과 관련해 4주간 조사를 벌인 결과 아동노동이 발견되지 않았다고 11월 말 발표한 바 있다.

삼성전자는	삼성전자/NNP+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
중국	중국/NNP
협력업체의	협력/NNG+업체/NNG+의/JKG
아동노동	아동/NNG+노동/NNG
주장과	주장/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
4주간	4/SN+주/NNB+간/XSN
조사를	조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과	결과/NNG
아동노동이	아동/NNG+노동/NNG+이/JKS
발견되지	발견/NNG+되/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
11월	11/SN+월/NNB
말	말/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.64.8.3
(<한겨레> 11월27일치 18면) 이번에 아동노동이 발견됐다는 하나로티엔에스 역시 당시 삼성전자의 조사대상이었다.

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
11월27일치	11/SN+월/NNB+27/SN+일/NNB+치/NNB
18면)	18/SN+면/NNG+)/SS
이번에	이번/NNG+에/JKB
아동노동이	아동/NNG+노동/NNG+이/JKS
발견됐다는	발견/NNG+되/XSV+었/EP+다는/ETM
하나로티엔에스	하나로티엔에스/NNP
역시	역시/MAG
당시	당시/NNG
삼성전자의	삼성전자/NNP+의/JKG
조사대상이었다.	조사/NNG+대상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.64.8.4
중국노동감시의 활동가 리창은 “삼성전자의 최근 중국 아동노동 조사는 실제로는 효과적인 홍보의 수단으로 기획된 것인데, 결과적으로 허위광고”라고 말했다.

중국노동감시의	중국노동감시/NNP+의/JKG
활동가	활동가/NNG
리창은	리창/NNP+은/JX
“삼성전자의	“/SS+삼성전자/NNP+의/JKG
최근	최근/MAG
중국	중국/NNP
아동노동	아동/NNG+노동/NNG
조사는	조사/NNG+는/JX
실제로는	실제로/MAG+는/JX
효과적인	효과/NNG+적/XSN+이/VCP+ㄴ/ETM
홍보의	홍보/NNG+의/JKG
수단으로	수단/NNG+으로/JKB
기획된	기획/NNG+되/XSV+ㄴ/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
결과적으로	결과/NNG+적/XSN+으로/JKB
허위광고”라고	허위/NNG+광고/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.9.1
중국노동감시는 또 “아동노동 조사결과를 해당 업체와 삼성전자에 통보했고, 이와 관련해 삼성전자에서 조사관을 보내왔다.

중국노동감시는	중국노동감시/NNP+는/JX
또	또/MAG
“아동노동	“/SS+아동/NNG+노동/NNG
조사결과를	조사/NNG+결과/NNG+를/JKO
해당	해당/NNG
업체와	업체/NNG+와/JC
삼성전자에	삼성전자/NNP+에/JKB
통보했고,	통보/NNG+하/XSV+았/EP+고/EC+,/SP
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
삼성전자에서	삼성전자/NNP+에서/JKB
조사관을	조사관/NNG+을/JKO
보내왔다.	보내오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.9.2
하지만 3명의 소녀 중 리 시아오민(Lei Xiaomin)과 우 시아오란(Wu Xiaolan)이 공장을 그만 뒀는데, (해당공장이) 삼성과 접촉을 못하도록 하기 위한 것으로 보인다”고 전했다.

하지만	하지만/MAJ
3명의	3/SN+명/NNB+의/JKG
소녀	소녀/NNG
중	중/NNB
리	리/NNP
시아오민(Lei	시아오민/NNP+(/SS+Lei/SL
Xiaomin)과	Xiaomin/SL+)/SS+과/JC
우	우/NNP
시아오란(Wu	시아오란/NNP+(/SS+Wu/SL
Xiaolan)이	Xiaolan/SL+)/SS+이/JKS
공장을	공장/NNG+을/JKO
그만	그만/MAG
뒀는데,	두/VV+었/EP+는데/EC+,/SP
(해당공장이)	(/SS+해당/NNG+공장/NNG+이/JKS+)/SS
삼성과	삼성/NNP+과/JKB
접촉을	접촉/NNG+을/JKO
못하도록	못/MAG+하/VV+도록/EC
하기	하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.10.1
삼성전자는 전면 부인했다.

삼성전자는	삼성전자/NNP+는/JX
전면	전면/NNG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.10.2
삼성전자 고위관계자는 “14일 해당 중국 공장에 조사관을 급파했고, 삼성전자와 하나로티엔에스선전, 중국노동감시의 각 관계자가 모여서 아동공으로 지목된 여성을 만나 아동공이 아님을 확인했다”고 말했다.

삼성전자	삼성전자/NNP
고위관계자는	고위/NNG+관계자/NNG+는/JX
“14일	“/SS+14/SN+일/NNB
해당	해당/NNG
중국	중국/NNP
공장에	공장/NNG+에/JKB
조사관을	조사관/NNG+을/JKO
급파했고,	급파/NNG+하/XSV+았/EP+고/EC+,/SP
삼성전자와	삼성전자/NNP+와/JC
하나로티엔에스선전,	하나로티엔에스선전/NNP+,/SP
중국노동감시의	중국노동감시/NNP+의/JKG
각	각/MMD
관계자가	관계자/NNG+가/JKS
모여서	모이/VV+어서/EC
아동공으로	아동공/NNG+으로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
여성을	여성/NNG+을/JKO
만나	만나/VV+아/EC
아동공이	아동공/NNG+이/JKC
아님을	아니/VCN+ㅁ/ETN+을/JKO
확인했다”고	확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.64.11.1
삼성전자는 3명 중 1명의 여성을 대면 확인해 18살이 넘었음을 확인했다고 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
3명	3/SN+명/NNB
중	중/NNB
1명의	1/SN+명/NNB+의/JKG
여성을	여성/NNG+을/JKO
대면	대면/NNG
확인해	확인/NNG+하/XSV+아/EC
18살이	18/SN+살/NNB+이/JKS
넘었음을	넘/VV+었/EP+음/ETN+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.64.11.2
나머지 2명에 대해서는 “이미 퇴사한 상태여서 채용 프로세스에 따라 신분증 위조 여부를 확인할 수 있는 판독기로 면밀히 확인한 뒤 입사했던 16살 이상의 직원이었음이 확인됐다”고 설명했다.

나머지	나머지/NNG
2명에	2/SN+명/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“이미	“/SS+이미/MAG
퇴사한	퇴사/NNG+하/XSV+ㄴ/ETM
상태여서	상태/NNG+이/VCP+어서/EC
채용	채용/NNG
프로세스에	프로세스/NNG+에/JKB
따라	따르/VV+아/EC
신분증	신분증/NNG
위조	위조/NNG
여부를	여부/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
판독기로	판독기/NNG+로/JKB
면밀히	면밀히/MAG
확인한	확인/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
입사했던	입사/NNG+하/XSV+았/EP+던/ETM
16살	16/SN+살/NNB
이상의	이상/NNG+의/JKG
직원이었음이	직원/NNG+이/VCP+었/EP+음/ETN+이/JKS
확인됐다”고	확인/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


