# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.202
metadata : {}


# id : NWRW1800000033.202.1.1
“우린 소주 원샷 때리는 사이” 싸이 김장훈 전격 화해했다

“우린	“/SS+우리/NP+ㄴ/JX
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.202.5.2
싸이는 “장훈이 형과 제가 성격이 강해서 싸우는 일이 잦은데 이번이 가장 큰 싸움이었던 것 같다.

싸이는	싸이/NNP+는/JX
“장훈이	“/SS+장훈이/NNP
형과	형/NNB+과/JC
제가	제/NP+가/JKS
성격이	성격/NNG+이/JKS
강해서	강하/VA+아서/EC
싸우는	싸우/VV+는/ETM
일이	일/NNG+이/JKS
잦은데	잦/VA+은데/EC
이번이	이번/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
싸움이었던	싸움/NNG+이/VCP+었/EP+던/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000033.202.5.3
나이 들어 이런 모습 보이는 게 죄송하다”며 김장훈과 팔을 끼고 술을 마셨다.

나이	나이/NNG
들어	들/VV+어/EC
이런	이런/MMD
모습	모습/NNG
보이는	보이/VV+는/ETM
게	거/NNB+이/JKS
죄송하다”며	죄송하/VA+다/EF+”/SS+며/EC
김장훈과	김장훈/NNP+과/JKB
팔을	팔/NNG+을/JKO
끼고	끼/VV+고/EC
술을	술/NNG+을/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.202.6.1
연예계 절친으로 알려진 이들의 파국은 이달 초 드러났다.

연예계	연예/NNG+계/XSN
절친으로	절친/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
파국은	파국/NNG+은/JX
이달	이달/NNG
초	초/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.202.6.2
지난해부터 김장훈이 “싸이가 공연의 주요 내용을 도용하고 있다”며 불만을 제기하면서 사이가 멀어졌다.

지난해부터	지난해/NNG+부터/JX
김장훈이	김장훈/NNP+이/JKS
“싸이가	“/SS+싸이/NNP+가/JKS
공연의	공연/NNG+의/JKG
주요	주요/NNG
내용을	내용/NNG+을/JKO
도용하고	도용/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
불만을	불만/NNG+을/JKO
제기하면서	제기/NNG+하/XSV+면서/EC
사이가	사이/NNG+가/JKS
멀어졌다.	멀어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.202.6.3
김장훈은 6일 오후 소셜네트워크서비스(SNS)인 미투데이에 “그 친구 외국활동두 해야 하구 애국도 해야 하구, 인간은 미우나 국가적 차원으로, 제가 이 사랑하는 내 나라를 몇 년간 떠나겠습니까”라며 싸이를 비난하는 글을 남겨 파장이 확산됐다.

김장훈은	김장훈/NNP+은/JX
6일	6/SN+일/NNB
오후	오후/NNG
소셜네트워크서비스(SNS)인	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+이/VCP+ㄴ/ETM
미투데이에	미투데이/NNP+에/JKB
“그	“/SS+그/MMD
친구	친구/NNG
외국활동두	외국/NNG+활동/NNG+두/JX
해야	하/VV+아야/EC
하구	하/VX+구/EC
애국도	애국/NNG+도/JX
하구,	하/VX+구/EC+,/SP
인간은	인간/NNG+은/JX
미우나	밉/VA+으나/EC
국가적	국가/NNG+적/XSN
차원으로,	차원/NNG+으로/JKB+,/SP
제가	제/NP+가/JKS
이	이/MMD
사랑하는	사랑/NNG+하/XSV+는/ETM
내	나/NP+의/JKG
나라를	나라/NNG+를/JKO
몇	몇/NR
년간	년/NNB+간/XSN
떠나겠습니까”라며	떠나/VV+겠/EP+습니까/EF+”/SS+라며/EC
싸이를	싸이/NNP+를/JKO
비난하는	비난/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
남겨	남기/VV+어/EC
파장이	파장/NNG+이/JKS
확산됐다.	확산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.202.7.1
한편 싸이의 정규 5집 타이틀곡 ‘Right Now(라이트 나우)’에 대한 청소년유해매체물 판정이 철회될 것으로 보인다.

한편	한편/MAG
싸이의	싸이/NNP+의/JKG
정규	정규/NNG
5집	5/SN+집/NNB
타이틀곡	타이틀곡/NNG
‘Right	‘/SS+Right/SL
Now(라이트	Now/SL+(/SS+라이트/NNP
나우)’에	나우/NNP+)/SS+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
청소년유해매체물	청소년/NNG+유해/NNG+매체물/NNG
판정이	판정/NNG+이/JKS
철회될	철회/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.202.7.2
여성가족부는 10일 열린 청소년유해매체물 음악분야 심의분과위원회(음심위)에서 작년 10월 이전에 분류된 청소년유해매체물을 재심의해 ‘Right Now’를 비롯해 바이브의 ‘술이야’, 2PM의 ‘핸즈업’ 등 300여 곡에 대한 유해물 결정을 해제하기로 의견을 모았다고 밝혔다.

여성가족부는	여성/NNG+가족부/NNG+는/JX
10일	10/SN+일/NNB
열린	열리/VV+ㄴ/ETM
청소년유해매체물	청소년/NNG+유해/NNG+매체물/NNG
음악분야	음악/NNG+분야/NNG
심의분과위원회(음심위)에서	심의/NNG+분과/NNG+위원회/NNG+(/SS+음심위/NNG+)/SS+에서/JKB
작년	작년/NNG
10월	10/SN+월/NNB
이전에	이전/NNG+에/JKB
분류된	분류/NNG+되/XSV+ㄴ/ETM
청소년유해매체물을	청소년/NNG+유해/NNG+매체물/NNG+을/JKO
재심의해	재/XPN+심의/NNG+하/XSV+아/EC
‘Right	‘/SS+Right/SL
Now’를	Now/SL+’/SS+를/JKO
비롯해	비롯하/VV+아/EC
바이브의	바이브/NNP+의/JKG
‘술이야’,	‘/SS+술/NNG+이/VCP+야/EF+’/SS+,/SP
2PM의	2PM/NNP+의/JKG
‘핸즈업’	‘/SS+핸즈업/NNP+’/SS
등	등/NNB
300여	300/SN+여/XSN
곡에	곡/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
유해물	유해물/NNG
결정을	결정/NNG+을/JKO
해제하기로	해제/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다고	모으/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


