# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.353
metadata : {}


# id : NWRW1800000049.353.1.1
“집 잘 지어놨으니 산에서 내려오면 들러 달라”

“집	“/SS+집/NNG
말씀대로	말씀/NNG+대로/JX
‘저녁이	‘/SS+저녁/NNG+이/JKS
있는	있/VA+는/ETM
삶’이	삶/NNG+’/SS+이/JKS
정말	정말/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
때”라며	때/NNG+”/SS+이/VCP+라며/EC
“언제	“/SS+언제/MAG
한번	한번/MAG
편한	편하/VA+ㄴ/ETM
시간이	시간/NNG+이/JKS
있으시면	있/VA+으시/EP+면/EC
저녁이	저녁/NNG+이/JKS
삶과	삶/NNG+과/JC
격차	격차/NNG
해소	해소/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
깊은	깊/VA+은/ETM
말씀을	말씀/NNG+을/JKO
나누고	나누/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.353.4.3
둘의 지향점을 놓고 접점을 찾아 ‘함께하자’는 의미다.

둘의	둘/NR+의/JKG
지향점을	지향점/NNG+을/JKO
놓고	놓/VV+고/EC
접점을	접점/NNG+을/JKO
찾아	찾/VV+아/EC
‘함께하자’는	‘/SS+함께/MAG+하/XSV+자/EF+’/SS+는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.353.4.4
이에 손 전 고문도 안 전 대표의 손을 잡으며 “민생이 정말 어려워지고 있고 또 사회적인 격차와 불평등이 더 심해진다.

이에	이/NP+에/JKB
손	손/NNP
전	전/MMD
고문도	고문/NNG+도/JX
안	안/NNP
대표의	대표/NNG+의/JKG
손을	손/NNG+을/JKO
잡으며	잡/VV+으며/EC
“민생이	“/SS+민생/NNG+이/JKS
정말	정말/MAG
어려워지고	어렵/VA+어/EC+지/VX+고/EC
있고	있/VX+고/EC
또	또/MAG
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
격차와	격차/NNG+와/JC
불평등이	불/XPN+평등/NNG+이/JKS
더	더/MAG
심해진다.	심하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.353.4.5
언제 한번 좋은 자리를 갖고 얘기를 나누자”고 화답했다.

언제	언제/MAG
한번	한번/MAG
좋은	좋/VA+은/ETM
자리를	자리/NNG+를/JKO
갖고	갖/VV+고/EC
얘기를	얘기/NNG+를/JKO
나누자”고	나누/VV+자/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.353.5.1
안 전 대표와 동행한 김영환 사무총장이 “산에서 내려오시면 저희가 집을 잘 지어놨으니 편히 쉬시고 좀 들러 달라”고 합류를 요청하자 손 전 고문은 웃으며 답변을 피했다.

안	안/NNP
전	전/MMD
대표와	대표/NNG+와/JKB
동행한	동행/NNG+하/XSV+ㄴ/ETM
김영환	김영환/NNP
사무총장이	사무총장/NNG+이/JKS
“산에서	“/SS+산/NNG+에서/JKB
내려오시면	내려오/VV+시/EP+면/EC
저희가	저희/NP+가/JKS
집을	집/NNG+을/JKO
잘	잘/MAG
지어놨으니	짓/VV+어/EC+놓/VX+았/EP+으니/EC
편히	편히/MAG
쉬시고	쉬/VV+시/EP+고/EC
좀	좀/MAG
들러	들르/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
합류를	합류/NNG+를/JKO
요청하자	요청/NNG+하/XSV+자/EC
손	손/NNP
고문은	고문/NNG+은/JX
웃으며	웃/VV+으며/EC
답변을	답변/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.353.5.2
앞서 김 총장은 이날 기자간담회에서도 ‘새판 짜기’를 내세운 손 전 고문을 향해 “강력한 중도개혁 세력의 플랫폼을 만들어야 한다”며 “무슨 새판 짜기가 필요하냐.

앞서	앞서/MAG
김	김/NNP
총장은	총장/NNG+은/JX
이날	이날/NNG
기자간담회에서도	기자/NNG+간담회/NNG+에서/JKB+도/JX
‘새판	‘/SS+새판/NNG
짜기’를	짜/VV+기/ETN+’/SS+를/JKO
내세운	내세우/VV+ㄴ/ETM
손	손/NNP
전	전/MMD
고문을	고문/NNG+을/JKO
향해	향하/VV+아/EC
“강력한	“/SS+강력/NNG+하/XSA+ㄴ/ETM
중도개혁	중도/NNG+개혁/NNG
세력의	세력/NNG+의/JKG
플랫폼을	플랫폼/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“무슨	“/SS+무슨/MMD
새판	새판/NNG
짜기가	짜/VV+기/ETN+가/JKS
필요하냐.	필요/NNG+하/XSA+냐/EF+./SF


# id : NWRW1800000049.353.5.3
국민의당에 힘을 모으면 된다”고 강조했다.

국민의당에	국민의당/NNP+에/JKB
힘을	힘/NNG+을/JKO
모으면	모으/VV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


