# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.435
metadata : {}


# id : NWRW1800000022.435.1.1
[제주·서울] 제주 방문 외국인 관광객 60만명 넘었다

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
무려	무려/MAG
14년이	14/SN+년/NNB+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.435.4.2
그러나 2006년과 2007년에 연거푸 40만명 선(46만0360명)과 50만명 선(54만1274명)을 돌파한 데 이어 2년 만에 드디어 60만명을 넘어섰다.

그러나	그러나/MAJ
2006년과	2006/SN+년/NNB+과/JC
2007년에	2007/SN+년/NNB+에/JKB
연거푸	연거푸/MAG
40만명	40/SN+만/NR+명/NNB
선(46만0360명)과	선/NNG+(/SS+46/SN+만/NR+0360/SN+명/NNB+)/SS+과/JC
50만명	50/SN+만/NR+명/NNB
선(54만1274명)을	선/NNG+(/SS+54/SN+만/NR+1274/SN+명/NNB+)/SS+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
드디어	드디어/MAG
60만명을	60/SN+만/NR+명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.435.5.1
외국인 관광객 60만명 돌파에는 중국인 관광객이 절대적 영향을 미쳤다.

외국인	외국인/NNG
관광객	관광객/NNG
60만명	60/SN+만/NR+명/NNB
돌파에는	돌파/NNG+에/JKB+는/JX
중국인	중국인/NNG
관광객이	관광객/NNG+이/JKS
절대적	절대/NNG+적/XSN
영향을	영향/NNG+을/JKO
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.435.5.2
중국인 관광객은 2007년 17만6878명을 기록한 이후 2008년에는 1.1%가 감소하는 등 주춤했으나 올해 들어 폭발적으로 늘어나 작년보다 48.7%나 성장했다.

중국인	중국인/NNG
관광객은	관광객/NNG+은/JX
2007년	2007/SN+년/NNB
17만6878명을	17/SN+만/NR+6878/SN+명/NNB+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
2008년에는	2008/SN+년/NNB+에/JKB+는/JX
1.1%가	1/SN+./SP+1/SN+%/SW+가/JKS
감소하는	감소/NNG+하/XSV+는/ETM
등	등/NNB
주춤했으나	주춤/MAG+하/XSV+았/EP+으나/EC
올해	올해/NNG
들어	들/VV+어/EC
폭발적으로	폭발/NNG+적/XSN+으로/JKB
늘어나	늘어나/VV+아/EC
작년보다	작년/NNG+보다/JKB
48.7%나	48/SN+./SP+7/SN+%/SW+나/JX
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.435.5.3
또 처음으로 중국인 관광객이 일본인 관광객 수를 앞질렀다.

또	또/MAG
처음으로	처음/NNG+으로/JKB
중국인	중국인/NNG
관광객이	관광객/NNG+이/JKS
일본인	일본인/NNG
관광객	관광객/NNG
수를	수/NNG+를/JKO
앞질렀다.	앞지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.435.6.1
이처럼 중국인 관광객이 급증한 것은 무사증 입국과 국제직항노선 활성화를 위한 인센티브 정책이 주효했던 것으로 제주도는 분석했다.

이처럼	이/NP+처럼/JKB
중국인	중국인/NNG
관광객이	관광객/NNG+이/JKS
급증한	급증/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
무사증	무/XPN+사증/NNG
입국과	입국/NNG+과/JC
국제직항노선	국제/NNG+직항/NNG+노선/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
인센티브	인센티브/NNG
정책이	정책/NNG+이/JKS
주효했던	주효/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
제주도는	제주도/NNP+는/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.435.7.1
외국인 관광객이 늘어나면서 관광수입도 큰 폭으로 증가하고 있다.

외국인	외국인/NNG
관광객이	관광객/NNG+이/JKS
늘어나면서	늘어나/VV+면서/EC
관광수입도	관광/NNG+수입/NNG+도/JX
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
증가하고	증가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.435.8.1
제주도는 11월 말 기준 외국인 관광객 유치에 따른 관광수입은 6740여억원이라고 밝혔다.

제주도는	제주도/NNP+는/JX
11월	11/SN+월/NNB
말	말/NNB
기준	기준/NNG
외국인	외국인/NNG
관광객	관광객/NNG
유치에	유치/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
관광수입은	관광/NNG+수입/NNG+은/JX
6740여억원이라고	6740/SN+여/XSN+억/NR+원/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.435.8.2
제주도 전체 관광객이 쓴 비용 2조6088억원의 25.8%를 차지하고 있다.

제주도	제주도/NNP
전체	전체/NNG
관광객이	관광객/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
비용	비용/NNG
2조6088억원의	2/SN+조/NR+6088/SN+억/NR+원/NNB+의/JKG
25.8%를	25/SN+./SP+8/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.435.8.3
외국인 관광객이 전체 관광객의 9.7%에 불과하지만 씀씀이는 더 크다는 것을 보여주고 있다.

외국인	외국인/NNG
관광객이	관광객/NNG+이/JKS
전체	전체/NNG
관광객의	관광객/NNG+의/JKG
9.7%에	9/SN+./SP+7/SN+%/SW+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
씀씀이는	씀씀이/NNG+는/JX
더	더/MAG
크다는	크/VA+다는/ETM
것을	것/NNB+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


