# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.256
metadata : {}


# id : NWRW1800000032.256.1.1
“카드사 대출장사가 보이스피싱 키웠다”

“카드사	“/SS+카드사/NNG
일하는	일/NNG+하/XSV+는/ETM
송아무개(30)씨는	송/NNP+아무개/NP+(/SS+30/SN+)/SS+씨/NNB+는/JX
경찰청	경찰청/NNG
사이버수사대를	사이버/NNG+수사대/NNG+를/JKO
사칭한	사칭/NNG+하/XSV+ㄴ/ETM
범인들에게	범인/NNG+들/XSN+에게/JKB
속아	속/VV+아/EC
카드사	카드사/NNG
3곳에서	3/SN+곳/NNG+에서/JKB
3740만원의	3740/SN+만/NR+원/NNB+의/JKG
카드론	카드론/NNG
피해를	피해/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.256.8.2
게다가 5년 동안 부었던 청약통장의 잔액 450만원까지 모두 빼앗겼다.

게다가	게다가/MAG
5년	5/SN+년/NNB
동안	동안/NNG
부었던	붓/VV+었/EP+던/ETM
청약통장의	청약/NNG+통장/NNG+의/JKG
잔액	잔액/NNG
450만원까지	450/SN+만/NR+원/NNB+까지/JX
모두	모두/MAG
빼앗겼다.	빼앗기/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.256.8.3
송씨는 인터넷뱅킹을 이용하지 않았지만, 범인들은 송씨의 개인정보로 공인인증서까지 발급받아 카드론을 받았다.

송씨는	송/NNP+씨/NNB+는/JX
인터넷뱅킹을	인터넷/NNG+뱅킹/NNG+을/JKO
이용하지	이용/NNG+하/XSV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
범인들은	범인/NNG+들/XSN+은/JX
송씨의	송/NNP+씨/NNB+의/JKG
개인정보로	개인/NNG+정보/NNG+로/JKB
공인인증서까지	공인/NNG+인증서/NNG+까지/JX
발급받아	발급/NNG+받/XSV+아/EC
카드론을	카드론/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.256.8.4
송씨는 “지금 카드사 3곳의 한 달 이자만 100만원씩 나가 도저히 생활이 안 된다”며 “퇴직금 중간 정산을 받아 일부라도 갚아야 할 판”이라고 하소연했다.

송씨는	송/NNP+씨/NNB+는/JX
“지금	“/SS+지금/MAG
카드사	카드사/NNG
3곳의	3/SN+곳/NNG+의/JKG
한	한/MMN
달	달/NNG
이자만	이자/NNG+만/JX
100만원씩	100/SN+만/NR+원/NNB+씩/XSN
나가	나가/VV+아/EC
도저히	도저히/MAG
생활이	생활/NNG+이/JKS
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“퇴직금	“/SS+퇴직금/NNG
중간	중간/NNG
정산을	정산/NNG+을/JKO
받아	받/VV+아/EC
일부라도	일부/NNG+라도/JX
갚아야	갚/VV+아야/EC
할	하/VX+ㄹ/ETM
판”이라고	판/NNB+”/SS+이라고/JKQ
하소연했다.	하소연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.256.9.1
지난 5일 오후 서울 강남구 역삼동의 한 모임카페.

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
강남구	강남구/NNP
역삼동의	역삼동/NNP+의/JKG
한	한/MMN
모임카페.	모임/NNG+카페/NNG+./SF


# id : NWRW1800000032.256.9.2
포대기에 아이를 들쳐업은 엄마, 20~30대 젊은 취업준비생, 구겨진 양복을 입은 중년 남성 등 60여명이 속속 모여들었다.

포대기에	포대기/NNG+에/JKB
아이를	아이/NNG+를/JKO
들쳐업은	들치/VV+어/EC+업/VV+은/ETM
엄마,	엄마/NNG+,/SP
20~30대	20/SN+~/SO+30/SN+대/NNB
젊은	젊/VA+은/ETM
취업준비생,	취업/NNG+준비/NNG+생/XSN+,/SP
구겨진	구겨지/VV+ㄴ/ETM
양복을	양복/NNG+을/JKO
입은	입/VV+은/ETM
중년	중년/NNG
남성	남성/NNG
등	등/NNB
60여명이	60/SN+여/XSN+명/NNB+이/JKS
속속	속속/MAG
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.256.9.3
이들은 모두 보이스피싱에 속아 카드번호와 유효성 검사 코드(CVC) 등을 알려줬다가, 사기범들이 카드론 대출을 받는 바람에 피해를 입은 사람들이다.

이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
보이스피싱에	보이스피싱/NNG+에/JKB
속아	속/VV+아/EC
카드번호와	카드/NNG+번호/NNG+와/JC
유효성	유효/NNG+성/XSN
검사	검사/NNG
코드(CVC)	코드/NNG+(/SS+CVC/SL+)/SS
등을	등/NNB+을/JKO
알려줬다가,	알리/VV+어/EC+주/VX+었/EP+다가/EC+,/SP
사기범들이	사기범/NNG+들/XSN+이/JKS
카드론	카드론/NNG
대출을	대출/NNG+을/JKO
받는	받/VV+는/ETM
바람에	바람/NNB+에/JKB
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
사람들이다.	사람/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.256.10.1
“카드론 보이스피싱 피해의 근본 원인을 제공한 것은 신용카드사입니다.

“카드론	“/SS+카드론/NNG
보이스피싱	보이스피싱/NNG
피해의	피해/NNG+의/JKG
근본	근본/NNG
원인을	원인/NNG+을/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
신용카드사입니다.	신용/NNG+카드사/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000032.256.10.2
고금리 카드론을 신청하면 본인확인 절차도 거치지 않고 덜컥 수백만~수천만원을 대출해 준다는 게 말이 됩니까.

고금리	고/XPN+금리/NNG
카드론을	카드론/NNG+을/JKO
신청하면	신청/NNG+하/XSV+면/EC
본인확인	본인/NNG+확인/NNG
절차도	절차/NNG+도/JX
거치지	거치/VV+지/EC
않고	않/VX+고/EC
덜컥	덜컥/MAG
수백만~수천만원을	수백만/NR+~/SO+수천만/NR+원/NNB+을/JKO
대출해	대출/NNG+하/XSV+아/EC
준다는	주/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
말이	말/NNG+이/JKC
됩니까.	되/VV+ㅂ니까/EF+./SF


# id : NWRW1800000032.256.10.3
카드사가 쉽고 편하게 ‘대출장사’하려고 고객의 금융안전은 안중에 없는 것이지요.”

카드사가	카드사/NNG+가/JKS
쉽고	쉽/VA+고/EC
편하게	편하/VA+게/EC
‘대출장사’하려고	‘/SS+대출/NNG+장사/NNG+’/SS+하/XSV+려고/EC
고객의	고객/NNG+의/JKG
금융안전은	금융/NNG+안전/NNG+은/JX
안중에	안중/NNG+에/JKB
없는	없/VA+는/ETM
것이지요.”	것/NNB+이/VCP+지요/EF+./SF+”/SS


# id : NWRW1800000032.256.10.4
한 참가자의 발언에 여기저기서 박수가 쏟아졌다.

한	한/MMN
참가자의	참가자/NNG+의/JKG
발언에	발언/NNG+에/JKB
여기저기서	여기저기/NNG+서/JKB
박수가	박수/NNG+가/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.256.11.1
이들 60여명은 카드사들을 상대로 단체 소송을 준비중이다.

이들	이/NP+들/XSN
60여명은	60/SN+여/XSN+명/NNB+은/JX
카드사들을	카드사/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
단체	단체/NNG
소송을	소송/NNG+을/JKO
준비중이다.	준비/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.256.11.2
카드와 관련된 개인정보를 잘못 간수한 본인들의 책임을 인정하면서도, 제대로 된 본인확인 절차를 거치지 않고 보이스피싱 사기범들에게 큰돈을 내 준 카드사의 책임을 묻지 않을 수 없기 때문이다.

카드와	카드/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
개인정보를	개인/NNG+정보/NNG+를/JKO
잘못	잘못/MAG
간수한	간수/NNG+하/XSV+ㄴ/ETM
본인들의	본인/NNG+들/XSN+의/JKG
책임을	책임/NNG+을/JKO
인정하면서도,	인정/NNG+하/XSV+면서/EC+도/JX+,/SP
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
본인확인	본인/NNG+확인/NNG
절차를	절차/NNG+를/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
보이스피싱	보이스피싱/NNG
사기범들에게	사기범/NNG+들/XSN+에게/JKB
큰돈을	큰돈/NNG+을/JKO
내	내/VV+어/EC
준	주/VX+ㄴ/ETM
카드사의	카드사/NNG+의/JKG
묻지	묻/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.256.11.3
피해자들 가운데 일부는 유산을 하거나 이혼을 당했고, 자살충동 때문에 정신과 치료를 받는 사람까지 있는 것으로 알려졌다.

피해자들	피해자/NNG+들/XSN
가운데	가운데/NNG
일부는	일부/NNG+는/JX
유산을	유산/NNG+을/JKO
하거나	하/VV+거나/EC
이혼을	이혼/NNG+을/JKO
당했고,	당하/VV+았/EP+고/EC+,/SP
자살충동	자살/NNG+충동/NNG
때문에	때문/NNB+에/JKB
정신과	정신과/NNG
치료를	치료/NNG+를/JKO
받는	받/VV+는/ETM
사람까지	사람/NNG+까지/JX
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.256.12.1
이들을 대리하고 있는 법무법인 서로의 김계환 변호사는 “단체 소송을 제기하기 전에 먼저 법원에 ‘조정신청’을 한 상황인데, 집계된 사례만도 200여건에 이른다”며 “본인도 모르게 카드론에 가입된 피해자가 많고, 대부방법과 금액, 변제방법 등에 대해 설명을 듣지 못한 경우도 있다”고 말했다.

이들을	이/NP+들/XSN+을/JKO
대리하고	대리/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
법무법인	법무/NNG+법인/NNG
서로의	서로/NNP+의/JKG
김계환	김계환/NNP
변호사는	변호사/NNG+는/JX
“단체	“/SS+단체/NNG
소송을	소송/NNG+을/JKO
제기하기	제기/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
먼저	먼저/MAG
법원에	법원/NNG+에/JKB
‘조정신청’을	‘/SS+조정/NNG+신청/NNG+’/SS+을/JKO
한	하/VV+ㄴ/ETM
상황인데,	상황/NNG+이/VCP+ㄴ데/EC+,/SP
집계된	집계/NNG+되/XSV+ㄴ/ETM
사례만도	사례/NNG+만/JX+도/JX
200여건에	200/SN+여/XSN+건/NNB+에/JKB
이른다”며	이르/VV+ㄴ다/EF+”/SS+며/EC
“본인도	“/SS+본인/NNG+도/JX
모르게	모르/VV+게/EC
카드론에	카드론/NNG+에/JKB
가입된	가입/NNG+되/XSV+ㄴ/ETM
피해자가	피해자/NNG+가/JKS
많고,	많/VA+고/EC+,/SP
대부방법과	대부/NNG+방법/NNG+과/JC
금액,	금액/NNG+,/SP
변제방법	변제/NNG+방법/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
설명을	설명/NNG+을/JKO
듣지	듣/VV+지/EC
못한	못하/VX+ㄴ/ETM
경우도	경우/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.256.13.1
피해자들은 오는 15일 오후 서울 여의도 금융감독원 앞에서 ‘카드론 대출 규제하라’는 내용의 1인 시위를 벌이고, 금감원에 집단민원도 제기할 계획이다.

피해자들은	피해자/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
15일	15/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
여의도	여의도/NNP
금융감독원	금융/NNG+감독원/NNG
앞에서	앞/NNG+에서/JKB
‘카드론	‘/SS+카드론/NNG
대출	대출/NNG
규제하라’는	규제/NNG+하/XSV+라/EF+’/SS+는/ETM
내용의	내용/NNG+의/JKG
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
벌이고,	벌이/VV+고/EC+,/SP
금감원에	금감원/NNG+에/JKB
집단민원도	집단/NNG+민원/NNG+도/JX
제기할	제기/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


