# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.275
metadata : {}


# id : NWRW1800000029.275.1.1
‘골프 신들린 김경태’ 21언더파

‘골프	‘/SS+골프/NNG
따돌렸다.	따돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.275.5.4
2007년 7월 삼능애플시티오픈 우승 후 46개월 만에 국내 대회 정상에 복귀하며 상금 2억 원을 받아 국내 투어 상금 선두(2억6400만 원)에 나섰다.

2007년	2007/SN+년/NNB
7월	7/SN+월/NNB
삼능애플시티오픈	삼능애플시티오픈/NNP
우승	우승/NNG
후	후/NNG
46개월	46/SN+개월/NNB
만에	만/NNB+에/JKB
국내	국내/NNG
대회	대회/NNG
정상에	정상/NNG+에/JKB
복귀하며	복귀/NNG+하/XSV+며/EC
상금	상금/NNG
2억	2/SN+억/NR
원을	원/NNB+을/JKO
받아	받/VV+아/EC
투어	투어/NNG
선두(2억6400만	선두/NNG+(/SS+2/SN+억/NR+6400/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.275.6.1
지난해 일본투어 상금왕인 김경태에게 대회 코스인 남서울CC는 어릴 때부터 놀이터나 다름없었다.

지난해	지난해/NNG
일본투어	일본/NNP+투어/NNG
상금왕인	상금왕/NNG+이/VCP+ㄴ/ETM
김경태에게	김경태/NNP+에게/JKB
대회	대회/NNG
코스인	코스/NNG+이/VCP+ㄴ/ETM
남서울CC는	남서울/NNP+CC/SL+는/JX
어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
놀이터나	놀이터/NNG+나/JX
다름없었다.	다름없/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.275.6.2
중고교 시절 대표팀 훈련장소여서 자주 라운드를 했으며 2006년 한국아마선수권에서 15타 차 우승을 차지하기도 했다.

중고교	중고교/NNG
시절	시절/NNG
대표팀	대표/NNG+팀/NNG
훈련장소여서	훈련/NNG+장소/NNG+이/VCP+어서/EC
자주	자주/MAG
라운드를	라운드/NNG+를/JKO
했으며	하/VV+았/EP+으며/EC
2006년	2006/SN+년/NNB
한국아마선수권에서	한국/NNP+아마/NNG+선수/NNG+권/XSN+에서/JKB
15타	15/SN+타/NNG
차	차/NNG
우승을	우승/NNG+을/JKO
차지하기도	차지/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.275.6.3
2007년 매경오픈에서도 5타 차로 우승한 뒤 이번에 최상호, 박남신에 이어 대회 사상 3번째로 통산 2승째를 거뒀다.

2007년	2007/SN+년/NNB
매경오픈에서도	매경/NNP+오픈/NNG+에서/JKB+도/JX
5타	5/SN+타/NNG
차로	차/NNG+로/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이번에	이번/NNG+에/JKB
최상호,	최상호/NNP+,/SP
박남신에	박남신/NNP+에/JKB
이어	잇/VV+어/EC
대회	대회/NNG
사상	사상/NNG
3번째로	3/SN+번/NNB+째/XSN+로/JKB
통산	통산/NNG
2승째를	2/SN+승/NNB+째/XSN+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.275.7.1
김경태는 “우승을 위해선 마지막 날 타수를 많이 줄여야 하는데 뜻한 대로 됐다.

김경태는	김경태/NNP+는/JX
“우승을	“/SS+우승/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
마지막	마지막/NNG
날	날/NNG
타수를	타수/NNG+를/JKO
많이	많이/MAG
줄여야	줄이/VV+어야/EC
하는데	하/VX+는데/EC
뜻한	뜻/NNG+하/XSV+ㄴ/ETM
대로	대로/NNB
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.275.7.2
좋은 기억이 많다보니 심리적으로 안정이 된다”고 말했다.

좋은	좋/VA+은/ETM
기억이	기억/NNG+이/JKS
많다보니	많/VA+다/EC+보/VX+니/EC
심리적으로	심리/NNG+적/XSN+으로/JKB
안정이	안정/NNG+이/JKS
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.275.8.1
지난해 챔피언인 장타자 김대현(하이트)은 동반자였던 김경태의 흔들림 없는 페이스에 말려 드라이버가 흔들린 데다 14번홀(파5)에서는 보기 퍼트를 앞두고 볼이 움직여 1벌타를 받는 불운까지 겹쳐 공동 8위(8언더파)에 그쳤다.

지난해	지난해/NNG
챔피언인	챔피언/NNG+이/VCP+ㄴ/ETM
장타자	장타자/NNG
김대현(하이트)은	김대현/NNP+(/SS+하이트/NNP+)/SS+은/JX
동반자였던	동반자/NNG+이/VCP+었/EP+던/ETM
김경태의	김경태/NNP+의/JKG
흔들림	흔들리/VV+ㅁ/ETN
없는	없/VA+는/ETM
페이스에	페이스/NNG+에/JKB
말려	말리/VV+어/EC
드라이버가	드라이버/NNG+가/JKS
흔들린	흔들리/VV+ㄴ/ETM
데다	데/NNB+다/JX
14번홀(파5)에서는	14/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB+는/JX
보기	보기/NNG
퍼트를	퍼트/NNG+를/JKO
앞두고	앞두/VV+고/EC
볼이	볼/NNG+이/JKS
움직여	움직이/VV+어/EC
1벌타를	1/SN+벌타/NNG+를/JKO
받는	받/VV+는/ETM
불운까지	불운/NNG+까지/JX
겹쳐	겹치/VV+어/EC
공동	공동/NNG
8위(8언더파)에	8/SN+위/NNB+(/SS+8/SN+언더/NNG+파/NNG+)/SS+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


