# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.7
metadata : {}


# id : NWRW1800000054.7.1.1
金부총리, 결국 보유세(재산세+종부세) 인상 카드 만지작

金부총리,	金/SH+부총리/NNG+,/SP
뜻으로	뜻/NNG+으로/JKB
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.7.5.3
김 부총리는 전날인 19일 국감에서도 "보유세도 (인상에) 어떤 시나리오가 있는지 먼저 검토해 놓고 정책 변수에 따라 판단하겠다"고 말했다.

김	김/NNP
부총리는	부총리/NNG+는/JX
전날인	전날/NNG+이/VCP+ㄴ/ETM
19일	19/SN+일/NNB
국감에서도	국감/NNG+에서/JKB+도/JX
"보유세도	"/SS+보유세/NNG+도/JX
(인상에)	(/SS+인상/NNG+에/JKB+)/SS
어떤	어떤/MMD
시나리오가	시나리오/NNG+가/JKS
있는지	있/VA+는지/EC
먼저	먼저/MAG
검토해	검토/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
정책	정책/NNG
변수에	변수/NNG+에/JKB
따라	따르/VV+아/EC
판단하겠다"고	판단/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.5.4
지난 15일에도 "부동산 문제가 심각해지고 그 해결책을 검토할 단계가 되면 (보유세를 인상할) 가능성을 아주 배제할 수 없다"고 했었다.

지난	지나/VV+ㄴ/ETM
15일에도	15/SN+일/NNB+에/JKB+도/JX
"부동산	"/SS+부동산/NNG
문제가	문제/NNG+가/JKS
심각해지고	심각하/VA+아/EC+지/VX+고/EC
그	그/MMD
해결책을	해결책/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
단계가	단계/NNG+가/JKC
되면	되/VV+면/EC
(보유세를	(/SS+보유세/NNG+를/JKO
인상할)	인상/NNG+하/XSV+ㄹ/ETM+)/SS
가능성을	가능/NNG+성/XSN+을/JKO
아주	아주/MAG
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.7.6.1
취임 후 보유세 인상에 대해 줄곧 "현재 검토하고 있지 않다"고 해왔던 김 부총리 입장에 상당한 변화가 생긴 셈이다.

취임	취임/NNG
후	후/NNG
보유세	보유세/NNG
인상에	인상/NNG+에/JKB
대해	대하/VV+아/EC
줄곧	줄곧/MAG
"현재	"/SS+현재/MAG
검토하고	검토/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
해왔던	하/VV+아/EC+오/VX+았/EP+던/ETM
김	김/NNP
부총리	부총리/NNG
입장에	입장/NNG+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
변화가	변화/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.7.6.2
기재부 관계자는 "김 부총리가 보유세 인상 쪽으로 '차선 변경'을 해야 하는 경우에 대비해 미리 '깜빡이'를 켜두는 것 아니냐"고 말했다.

기재부	기재부/NNG
관계자는	관계자/NNG+는/JX
"김	"/SS+김/NNP
부총리가	부총리/NNG+가/JKS
보유세	보유세/NNG
인상	인상/NNG
쪽으로	쪽/NNB+으로/JKB
'차선	'/SS+차선/NNG
변경'을	변경/NNG+'/SS+을/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
경우에	경우/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
미리	미리/MAG
'깜빡이'를	'/SS+깜빡이/NNG+'/SS+를/JKO
켜두는	켜/VV+어/EC+두/VX+는/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.7.1
앞서 여당에선 지난달 보유세 인상에 불을 지피는 발언이 잇따라 나왔다.

앞서	앞서/MAG
여당에선	여당/NNG+에서/JKB+ㄴ/JX
지난달	지난달/NNG
보유세	보유세/NNG
인상에	인상/NNG+에/JKB
불을	불/NNG+을/JKO
지피는	지피/VV+는/ETM
발언이	발언/NNG+이/JKS
잇따라	잇따르/VV+아/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.7.2
추미애 더불어민주당 대표는 국회 교섭단체 연설에서 "필요하다면 초(超)과다 부동산 보유자에 대한 보유세 도입을 적극 검토해야 한다"고 주장했다.

추미애	추미애/NNP
더불어민주당	더불어민주당/NNP
대표는	대표/NNG+는/JX
국회	국회/NNG
교섭단체	교섭/NNG+단체/NNG
연설에서	연설/NNG+에서/JKB
"필요하다면	"/SS+필요/NNG+하/XSA+다면/EC
초(超)과다	초/XPN+(/SS+超/SH+)/SS+과다/NNG
부동산	부동산/NNG
보유자에	보유자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보유세	보유세/NNG
도입을	도입/NNG+을/JKO
적극	적극/NNG
검토해야	검토/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.7.3
우원식 원내대표도 "필요하다면 초과다 부동산 보유자들에 대한 추가 조치 등 주머니 속에서 꺼낼 수 있는 것을 다 꺼내는 방안을 진지하게 고민해 나갈 것"이라고 언급했다.

우원식	우원식/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
"필요하다면	"/SS+필요/NNG+하/XSA+다면/EC
초과다	초/XPN+과다/NNG
부동산	부동산/NNG
보유자들에	보유자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
추가	추가/NNG
조치	조치/NNG
등	등/NNB
주머니	주머니/NNG
속에서	속/NNG+에서/JKB
꺼낼	꺼내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것을	것/NNB+을/JKO
다	다/MAG
꺼내는	꺼내/VV+는/ETM
방안을	방안/NNG+을/JKO
진지하게	진지하/VA+게/EC
고민해	고민/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.8.1
정부 관계자는 "김 부총리가 그동안 '보유세 인상을 검토하고 있지 않다'고 하면서도 보유세 인상이 시장에 주는 영향을 정밀 분석한 것으로 안다"고 설명했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"김	"/SS+김/NNP
부총리가	부총리/NNG+가/JKS
그동안	그동안/NNG
'보유세	'/SS+보유세/NNG
인상을	인상/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다'고	않/VX+다/EF+'/SS+고/JKQ
하면서도	하/VV+면서/EC+도/JX
보유세	보유세/NNG
인상이	인상/NNG+이/JKS
시장에	시장/NNG+에/JKB
주는	주/VV+는/ETM
영향을	영향/NNG+을/JKO
정밀	정밀/NNG
분석한	분석/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.8.2
지난달 여당이 보유세 인상 필요성을 거듭 제기한 뒤, 김 부총리는 겉으로는 "검토 안 한다"는 입장을 재확인했지만 물밑에선 대비를 해왔다는 얘기다.

지난달	지난달/NNG
여당이	여당/NNG+이/JKS
보유세	보유세/NNG
인상	인상/NNG
필요성을	필요/NNG+성/XSN+을/JKO
거듭	거듭/MAG
제기한	제기/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
김	김/NNP
부총리는	부총리/NNG+는/JX
겉으로는	겉/NNG+으로/JKB+는/JX
"검토	"/SS+검토/NNG
안	안/MAG
한다"는	하/VV+ㄴ다/EF+"/SS+는/ETM
입장을	입장/NNG+을/JKO
재확인했지만	재/XPN+확인/NNG+하/XSV+았/EP+지만/EC
물밑에선	물밑/NNG+에서/JKB+ㄴ/JX
대비를	대비/NNG+를/JKO
해왔다는	하/VV+아/EC+오/VX+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.7.9.1
◇내년 지방선거 등 변수 많아, 시행 시기는 불투명

◇내년	◇/SW+내년/NNG
지방선거	지방/NNG+선거/NNG
등	등/NNB
변수	변수/NNG
많아,	많/VA+아/EC+,/SP
시행	시행/NNG
시기는	시기/NNG+는/JX
불투명	불/XPN+투명/NNG


# id : NWRW1800000054.7.10.1
문재인 대통령이 취임 100일 기자회견에서 "보유세 인상을 검토하지 않고 있다"고 했지만, 이번 정부 임기 중에 보유세 인상이 이뤄질 것으로 보는 이들이 적지 않다.

문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
취임	취임/NNG
100일	100/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"보유세	"/SS+보유세/NNG
인상을	인상/NNG+을/JKO
검토하지	검토/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
이번	이번/NNG
정부	정부/NNG
임기	임기/NNG
중에	중/NNB+에/JKB
보유세	보유세/NNG
인상이	인상/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보는	보/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.7.10.2
노무현 정부를 계승한 이번 정부가 보유세 인상도 부활할 것으로 보는 시각이다.

노무현	노무현/NNP
정부를	정부/NNG+를/JKO
계승한	계승/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
정부가	정부/NNG+가/JKS
보유세	보유세/NNG
인상도	인상/NNG+도/JX
부활할	부활/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보는	보/VV+는/ETM
시각이다.	시각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.7.10.3
문 대통령은 대선을 앞두고 발간한 대담집에서 "국내총생산(GDP) 대비 보유세 비중을 현 0.79%에서 1.1%로 올려야 한다"고 주장한 바 있다.

문	문/NNP
대통령은	대통령/NNG+은/JX
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
발간한	발간/NNG+하/XSV+ㄴ/ETM
대담집에서	대담집/NNG+에서/JKB
"국내총생산(GDP)	"/SS+국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
대비	대비/NNG
보유세	보유세/NNG
비중을	비중/NNG+을/JKO
현	현/MMD
0.79%에서	0/SN+./SP+79/SN+%/SW+에서/JKB
1.1%로	1/SN+./SP+1/SN+%/SW+로/JKB
올려야	올리/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.7.10.4
이번 정부의 '부동산 정책 컨트롤 타워'로 통하는 김수현 청와대 사회수석은 노무현 정부 때 종합부동산세 도입을 주도한 인물이다.

이번	이번/NNG
정부의	정부/NNG+의/JKG
'부동산	'/SS+부동산/NNG
정책	정책/NNG
컨트롤	컨트롤/NNG
타워'로	타워/NNG+'/SS+로/JKB
통하는	통하/VV+는/ETM
김수현	김수현/NNP
청와대	청와대/NNP
사회수석은	사회/NNG+수석/NNG+은/JX
노무현	노무현/NNP
정부	정부/NNG
때	때/NNG
종합부동산세	종합/NNG+부동산세/NNG
도입을	도입/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.7.11.1
종부세는 도입 첫해인 2005년 6426억원이 부과된 데 이어 2006년 1조7179억원, 2007년 2조7671억원 등으로 급증했다.

종부세는	종부세/NNG+는/JX
도입	도입/NNG
첫해인	첫해/NNG+이/VCP+ㄴ/ETM
2005년	2005/SN+년/NNB
6426억원이	6426/SN+억/NR+원/NNB+이/JKS
부과된	부과/NNG+되/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2006년	2006/SN+년/NNB
1조7179억원,	1/SN+조/NR+7179/SN+억/NR+원/NNB+,/SP
2007년	2007/SN+년/NNB
2조7671억원	2/SN+조/NR+7671/SN+억/NR+원/NNB
등으로	등/NNB+으로/JKB
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.11.2
아파트 한 채가 사실상 전 재산인 퇴직자들에게 과세가 집중되면서 '종부세 폭탄'이라는 말까지 등장했다.

아파트	아파트/NNG
한	한/MMN
채가	채/NNB+가/JKS
사실상	사실/NNG+상/XSN
전	전/MMN
재산인	재산/NNG+이/VCP+ㄴ/ETM
퇴직자들에게	퇴직자/NNG+들/XSN+에게/JKB
과세가	과세/NNG+가/JKS
집중되면서	집중/NNG+되/XSV+면서/EC
'종부세	'/SS+종부세/NNG
폭탄'이라는	폭탄/NNG+'/SS+이/VCP+라는/ETM
말까지	말/NNG+까지/JX
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.12.1
하지만 증세가 국민적 저항을 불러일으킬 수 있고, 당장 내년에 지방선거가 있다는 점에서 보유세 인상이 단시일 안에 이뤄지기는 어려울 것이라는 분석도 나온다.

하지만	하지만/MAJ
증세가	증세/NNG+가/JKS
국민적	국민/NNG+적/XSN
저항을	저항/NNG+을/JKO
불러일으킬	불러일으키/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
당장	당장/NNG
내년에	내년/NNG+에/JKB
지방선거가	지방/NNG+선거/NNG+가/JKS
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
보유세	보유세/NNG
인상이	인상/NNG+이/JKS
단시일	단시일/NNG
안에	안/NNG+에/JKB
이뤄지기는	이뤄지/VV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.7.12.2
김 부총리도 국감에서 "보유세는 여러 문제를 종합적으로 봐야 한다"면서 "국민 여론을 수렴하고 국회 의견도 고려할 것"이라고 말했다.

김	김/NNP
부총리도	부총리/NNG+도/JX
국감에서	국감/NNG+에서/JKB
"보유세는	"/SS+보유세/NNG+는/JX
여러	여러/MMN
문제를	문제/NNG+를/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
봐야	보/VV+아야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"국민	"/SS+국민/NNG
여론을	여론/NNG+을/JKO
수렴하고	수렴/NNG+하/XSV+고/EC
국회	국회/NNG
의견도	의견/NNG+도/JX
고려할	고려/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.12.3
노무현 정부는 종부세를 도입한 다음 해(2006년) 지방선거에서 광역단체장 16개 중 1개만 얻는 데 그치며 참패했다.

노무현	노무현/NNP
정부는	정부/NNG+는/JX
종부세를	종부세/NNG+를/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
해(2006년)	해/NNG+(/SS+2006/SN+년/NNB+)/SS
지방선거에서	지방/NNG+선거/NNG+에서/JKB
광역단체장	광역/NNG+단체장/NNG
16개	16/SN+개/NNB
중	중/NNB
1개만	1/SN+개/NNB+만/JX
얻는	얻/VV+는/ETM
데	데/NNB
그치며	그치/VV+며/EC
참패했다.	참패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.7.12.4
당시 여당인 열린우리당 내부에선 종부세 도입이 선거 패배의 주요 원인으로 꼽혔다.

당시	당시/NNG
여당인	여당/NNG+이/VCP+ㄴ/ETM
열린우리당	열린우리당/NNP
내부에선	내부/NNG+에서/JKB+ㄴ/JX
종부세	종부세/NNG
도입이	도입/NNG+이/JKS
선거	선거/NNG
패배의	패배/NNG+의/JKG
주요	주요/NNG
원인으로	원인/NNG+으로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


