# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.85
metadata : {}


# id : NWRW1800000025.85.1.1
[다시 뛰는 금융]증권사들도 세계시장서 초대형 투자은행에 도전장

[다시	[/SS+다시/MAG
황성호 우리투자증권 사장은 “인도, 중동지역에 사무소 설립도 고려하고 있다”며 “중동 현지에서는 원전과 관련해 한국에 관심을 많이 보이고 있고 우리도 금융업의 미래 성장기반을 마련하기 위해 투자하고 연구한다는 자세로 접근해야 한다”고 말했다.

황성호	황성호/NNP
우리투자증권	우리투자증권/NNP
사장은	사장/NNG+은/JX
“인도,	“/SS+인도/NNP+,/SP
중동지역에	중동/NNP+지역/NNG+에/JKB
사무소	사무소/NNG
설립도	설립/NNG+도/JX
고려하고	고려/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“중동	“/SS+중동/NNP
현지에서는	현지/NNG+에서/JKB+는/JX
원전과	원전/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
관심을	관심/NNG+을/JKO
많이	많이/MAG
보이고	보이/VV+고/EC
있고	있/VX+고/EC
우리도	우리/NP+도/JX
금융업의	금융업/NNG+의/JKG
미래	미래/NNG
성장기반을	성장/NNG+기반/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
투자하고	투자/NNG+하/XSV+고/EC
연구한다는	연구/NNG+하/XSV+ㄴ다는/ETM
자세로	자세/NNG+로/JKB
접근해야	접근/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.85.10.2
앞으로 5∼10년 뒤에는 이 시장을 바탕으로 중형급 IB가 될 것으로 예상하고 있다.

앞으로	앞/NNG+으로/JKB
5∼10년	5/SN+∼/SO+10/SN+년/NNB
뒤에는	뒤/NNG+에/JKB+는/JX
이	이/MMD
시장을	시장/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
중형급	중형급/NNG
IB가	IB/SL+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.11.1
○ 글로벌 경쟁의 중심지 홍콩

○	○/SW
글로벌	글로벌/NNG
경쟁의	경쟁/NNG+의/JKG
중심지	중심지/NNG
홍콩	홍콩/NNP


# id : NWRW1800000025.85.12.1
임기영 대우증권 사장과 박준현 삼성증권 사장은 널리 알려진 대로 인천 출신의 중고교 동기동창생이다.

임기영	임기영/NNP
대우증권	대우증권/NNP
사장과	사장/NNG+과/JC
박준현	박준현/NNP
삼성증권	삼성증권/NNP
사장은	사장/NNG+은/JX
널리	널리/MAG
알려진	알려지/VV+ㄴ/ETM
대로	대로/NNB
인천	인천/NNP
출신의	출신/NNG+의/JKG
중고교	중고교/NNG
동기동창생이다.	동기/NNG+동창/NNG+생/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.12.2
한때 삼성에서 한솥밥을 먹기도 했던 두 사람은 지금은 업계의 최대 라이벌로 만났다.

한때	한때/MAG
삼성에서	삼성/NNP+에서/JKB
한솥밥을	한솥밥/NNG+을/JKO
먹기도	먹/VV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
두	두/MMN
사람은	사람/NNG+은/JX
지금은	지금/NNG+은/JX
업계의	업계/NNG+의/JKG
최대	최대/NNG
라이벌로	라이벌/NNG+로/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.85.12.3
그러나 두 사장은 올해 초 증권업계 신년 하례회에서 “홍콩을 기반으로 한 아시아지역 해외사업에 적극 협력하자”고 합의했다.

그러나	그러나/MAJ
두	두/MMN
사장은	사장/NNG+은/JX
올해	올해/NNG
초	초/NNB
증권업계	증권업/NNG+계/XSN
신년	신년/NNG
하례회에서	하례회/NNG+에서/JKB
“홍콩을	“/SS+홍콩/NNP+을/JKO
기반으로	기반/NNG+으로/JKB
한	하/VV+ㄴ/ETM
아시아지역	아시아지역/NNP
해외사업에	해외/NNG+사업/NNG+에/JKB
적극	적극/NNG
협력하자”고	협력/NNG+하/XSV+자/EF+”/SS+고/JKQ
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.85.13.1
미국 영국보다 홍콩이 글로벌 금융 중심지로 떠오르고 있으며 글로벌 IB들의 체력이 떨어진 지금 해외시장에서 한국 증권사들이 활약할 적기라는 데 두 사람이 의견을 함께했기 때문이다.

미국	미국/NNP
영국보다	영국/NNP+보다/JKB
홍콩이	홍콩/NNP+이/JKS
글로벌	글로벌/NNG
금융	금융/NNG
중심지로	중심지/NNG+로/JKB
떠오르고	떠오르/VV+고/EC
있으며	있/VX+으며/EC
IB들의	IB/SL+들/XSN+의/JKG
체력이	체력/NNG+이/JKS
떨어진	떨어지/VV+ㄴ/ETM
지금	지금/MAG
해외시장에서	해외/NNG+시장/NNG+에서/JKB
한국	한국/NNP
증권사들이	증권사/NNG+들/XSN+이/JKS
활약할	활약/NNG+하/XSV+ㄹ/ETM
적기라는	적기/NNG+이/VCP+라는/ETM
데	데/NNB
두	두/MMN
사람이	사람/NNG+이/JKS
의견을	의견/NNG+을/JKO
함께했기	함께/MAG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.13.2
세계거래소연맹(WFE)에 따르면 지난해 신규 IPO 기업 수는 뉴욕거래소가 35건, 홍콩거래소가 66건이다.

세계거래소연맹(WFE)에	세계거래소연맹/NNP+(/SS+WFE/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
신규	신규/NNG
IPO	IPO/SL
기업	기업/NNG
수는	수/NNG+는/JX
뉴욕거래소가	뉴욕/NNP+거래소/NNG+가/JKS
35건,	35/SN+건/NNB+,/SP
홍콩거래소가	홍콩/NNP+거래소/NNG+가/JKS
66건이다.	66/SN+건/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.13.3
세계에서 가장 빠르게 성장하는 시장인 중국 덕분이다.

세계에서	세계/NNG+에서/JKB
가장	가장/MAG
빠르게	빠르/VA+게/EC
성장하는	성장/NNG+하/XSV+는/ETM
시장인	시장/NNG+이/VCP+ㄴ/ETM
중국	중국/NNP
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.14.1
임 사장은 “얼마 전 영국 런던, 중국 베이징, 베트남 등 해외법인이 홍콩 현지법인에 실적을 보고하도록 체계를 바꿨다”며 “한국 및 중국 기업의 홍콩 증시 상장을 주관하고 채권시장에서 업무도 확장할 것”이라고 말했다.

임	임/NNP
사장은	사장/NNG+은/JX
“얼마	“/SS+얼마/NNG
전	전/NNG
영국	영국/NNP
런던,	런던/NNP+,/SP
중국	중국/NNP
베이징,	베이징/NNP+,/SP
베트남	베트남/NNP
등	등/NNB
해외법인이	해외/NNG+법인/NNG+이/JKS
홍콩	홍콩/NNP
현지법인에	현지/NNG+법인/NNG+에/JKB
실적을	실적/NNG+을/JKO
보고하도록	보고/NNG+하/XSV+도록/EC
체계를	체계/NNG+를/JKO
바꿨다”며	바꾸/VV+었/EP+다/EF+”/SS+며/EC
“한국	“/SS+한국/NNP
및	및/MAG
기업의	기업/NNG+의/JKG
증시	증시/NNG
상장을	상장/NNG+을/JKO
주관하고	주관/NNG+하/XSV+고/EC
채권시장에서	채권/NNG+시장/NNG+에서/JKB
업무도	업무/NNG+도/JX
확장할	확장/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.85.15.1
박 사장은 “지난해 8월 출범한 홍콩법인의 총인력은 60명으로 이 중 법인장과 지원인력 2명을 뺀 57명이 모두 현지인”이라며 “홍콩의 IB 사업이 조기 정착되면 이를 발판으로 중국, 싱가포르, 대만, 인도 등으로 거점을 확대해 2020년에는 ‘글로벌 톱10’에 올라서겠다”고 말했다.

박	박/NNP
사장은	사장/NNG+은/JX
“지난해	“/SS+지난해/NNG
8월	8/SN+월/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
홍콩법인의	홍콩/NNP+법인/NNG+의/JKG
총인력은	총인력/NNG+은/JX
60명으로	60/SN+명/NNB+으로/JKB
이	이/MMD
중	중/NNB
법인장과	법인장/NNG+과/JC
지원인력	지원/NNG+인력/NNG
2명을	2/SN+명/NNB+을/JKO
뺀	빼/VV+ㄴ/ETM
57명이	57/SN+명/NNB+이/JKS
모두	모두/MAG
현지인”이라며	현지인/NNG+”/SS+이/VCP+라며/EC
“홍콩의	“/SS+홍콩/NNP+의/JKG
IB	IB/SL
사업이	사업/NNG+이/JKS
조기	조기/NNG
정착되면	정착/NNG+되/XSV+면/EC
이를	이/NP+를/JKO
발판으로	발판/NNG+으로/JKB
중국,	중국/NNP+,/SP
싱가포르,	싱가포르/NNP+,/SP
대만,	대만/NNP+,/SP
인도	인도/NNP
등으로	등/NNB+으로/JKB
거점을	거점/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
2020년에는	2020/SN+년/NNB+에/JKB+는/JX
‘글로벌	‘/SS+글로벌/NNG
톱10’에	톱/NNG+10/SN+’/SS+에/JKB
올라서겠다”고	올라서/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.85.16.1
미래에셋증권은 핵심전략지역으로 삼은 중국을 공략하기 위해 홍콩 현지법인을 강화하고 있다.

미래에셋증권은	미래에셋증권/NNP+은/JX
핵심전략지역으로	핵심/NNG+전략/NNG+지역/NNG+으로/JKB
삼은	삼/VV+은/ETM
중국을	중국/NNP+을/JKO
공략하기	공략/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
홍콩	홍콩/NNP
현지법인을	현지/NNG+법인/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.16.2
2007년 48억 원으로 출발한 미래에셋 홍콩법인의 자본금은 현재 2361억 원으로 늘어난 상태.

2007년	2007/SN+년/NNB
48억	48/SN+억/NR
원으로	원/NNB+으로/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
미래에셋	미래에셋/NNP
홍콩법인의	홍콩/NNP+법인/NNG+의/JKG
자본금은	자본금/NNG+은/JX
현재	현재/MAG
2361억	2361/SN+억/NR
늘어난	늘어나/VV+ㄴ/ETM
상태.	상태/NNG+./SF


# id : NWRW1800000025.85.16.3
홍콩의 ‘글로벌 리서치센터’는 앞으로 런던, 인도, 뉴욕, 상파울루 등에 생길 리서치 조직과 연계해 한국, 중국, 인도 등 급성장하는 해외시장을 분석할 예정이다.

홍콩의	홍콩/NNP+의/JKG
‘글로벌	‘/SS+글로벌/NNG
리서치센터’는	리서치/NNG+센터/NNG+’/SS+는/JX
앞으로	앞/NNG+으로/JKB
런던,	런던/NNP+,/SP
인도,	인도/NNP+,/SP
뉴욕,	뉴욕/NNP+,/SP
상파울루	상파울루/NNP
등에	등/NNB+에/JKB
생길	생기/VV+ㄹ/ETM
리서치	리서치/NNG
조직과	조직/NNG+과/JKB
연계해	연계/NNG+하/XSV+아/EC
한국,	한국/NNP+,/SP
중국,	중국/NNP+,/SP
인도	인도/NNP
등	등/NNB
급성장하는	급성장/NNG+하/XSV+는/ETM
해외시장을	해외/NNG+시장/NNG+을/JKO
분석할	분석/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.17.1
대신증권도 홍콩 거점 전략을 펴고 있다.

대신증권도	대신증권/NNP+도/JX
홍콩	홍콩/NNP
거점	거점/NNG
전략을	전략/NNG+을/JKO
펴고	펴/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.85.17.2
지난해 홍콩 영업을 재개한 뒤 싱가포르 국부펀드로부터 서울반도체 유상증자 자금 2847억 원을 유치하기도 했다.

지난해	지난해/NNG
홍콩	홍콩/NNP
영업을	영업/NNG+을/JKO
재개한	재개/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
싱가포르	싱가포르/NNP
국부펀드로부터	국부/NNG+펀드/NNG+로부터/JKB
서울반도체	서울반도체/NNP
유상증자	유상/NNG+증자/NNG
자금	자금/NNG
2847억	2847/SN+억/NR
원을	원/NNB+을/JKO
유치하기도	유치/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.85.17.3
앞으로 대신은 홍콩을 동남아지역의 IB 업무 전진기지로 삼아 글로벌 펀드를 대상으로 하는 위탁매매뿐 아니라 해외투자자들의 자금이 필요한 국내 기업을 위한 투자유치 자문 업무를 적극적으로 할 예정이다.

앞으로	앞/NNG+으로/JKB
대신은	대신/NNP+은/JX
홍콩을	홍콩/NNP+을/JKO
동남아지역의	동남아/NNP+지역/NNG+의/JKG
IB	IB/SL
업무	업무/NNG
전진기지로	전진/NNG+기지/NNG+로/JKB
삼아	삼/VV+아/EC
글로벌	글로벌/NNG
펀드를	펀드/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
위탁매매뿐	위탁/NNG+매매/NNG+뿐/JX
아니라	아니/VCN+라/EC
해외투자자들의	해외/NNG+투자자/NNG+들/XSN+의/JKG
자금이	자금/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
국내	국내/NNG
기업을	기업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투자유치	투자/NNG+유치/NNG
자문	자문/NNG
업무를	업무/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.18.1
동양종금증권은 올해 홍콩 현지법인을 설립한 것을 계기로 아시아시장 진출을 본격화하겠다는 구상이다.

동양종금증권은	동양종금증권/NNP+은/JX
올해	올해/NNG
홍콩	홍콩/NNP
현지법인을	현지/NNG+법인/NNG+을/JKO
설립한	설립/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
계기로	계기/NNG+로/JKB
아시아시장	아시아/NNP+시장/NNG
진출을	진출/NNG+을/JKO
본격화하겠다는	본격/NNG+화/XSN+하/XSV+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.18.2
IB 사업에 역점을 두면서 해외 위탁영업도 병행할 예정이다.

IB	IB/SL
사업에	사업/NNG+에/JKB
역점을	역점/NNG+을/JKO
두면서	두/VV+면서/EC
해외	해외/NNG
위탁영업도	위탁/NNG+영업/NNG+도/JX
병행할	병행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.85.18.3
하나대투증권도 상반기 홍콩 당국으로부터 현지법인 인가를 받을 것으로 예상하고 있다.

하나대투증권도	하나대투증권/NNP+도/JX
상반기	상반기/NNG
