# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.403
metadata : {}


# id : NWRW1800000029.403.1.1
[김정일 사망]이영호가 ‘김정일시대 오진우’ 역할하나

[김정일	[/SS+김정일/NNP
주석	주석/NNG
사망	사망/NNG
2년	2/SN+년/NNB
전에	전/NNG+에/JKB
군	군/NNG
최고사령관에	최고/NNG+사령관/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것과	것/NNB+과/JKB
비교된다.	비교/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.403.5.3
후견인인 고모부 장성택 국방위 부위원장도 군 출신 인사가 아니다.

후견인인	후견인/NNG+이/VCP+ㄴ/ETM
고모부	고모부/NNG
장성택	장성택/NNP
국방위	국방위/NNG
부위원장도	부위원장/NNG+도/JX
군	군/NNG
출신	출신/NNG
인사가	인사/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.403.5.4
김정은은 아버지 김 위원장보다 군부에서 더욱 막강한 후원자가 필요하다.

김정은은	김정은/NNP+은/JX
아버지	아버지/NNG
김	김/NNP
위원장보다	위원장/NNG+보다/JKB
군부에서	군부/NNG+에서/JKB
더욱	더욱/MAG
막강한	막강/NNG+하/XSA+ㄴ/ETM
후원자가	후원자/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.403.6.1
김 위원장은 아들의 군부 장악을 도우려고 2009년부터 60대 전후의 젊은 군 인사를 요직에 배치했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
아들의	아들/NNG+의/JKG
군부	군부/NNG
장악을	장악/NNG+을/JKO
도우려고	돕/VV+으려고/EC
2009년부터	2009/SN+년/NNB+부터/JX
60대	60/SN+대/NNB
전후의	전후/NNG+의/JKG
젊은	젊/VA+은/ETM
군	군/NNG
인사를	인사/NNG+를/JKO
요직에	요직/NNG+에/JKB
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.403.6.2
이영호는 2009년 2월 평양방어사령관에서 총참모장으로 발탁되면서 대장 계급장을 달았다.

이영호는	이영호/NNP+는/JX
2009년	2009/SN+년/NNB
2월	2/SN+월/NNB
평양방어사령관에서	평양/NNP+방어/NNG+사령관/NNG+에서/JKB
총참모장으로	총참모장/NNG+으로/JKB
발탁되면서	발탁/NNG+되/XSV+면서/EC
대장	대장/NNG
계급장을	계급장/NNG+을/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.403.6.3
지난해 9월에는 차수로 진급했다.

지난해	지난해/NNG
9월에는	9/SN+월/NNB+에/JKB+는/JX
차수로	차수/NNG+로/JKB
진급했다.	진급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.403.6.4
현재 노동당 중앙군사위 부위원장직도 갖고 있다.

현재	현재/MAG
노동당	노동당/NNP
중앙군사위	중앙군사위/NNP
부위원장직도	부위원장/NNG+직/NNG+도/JX
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.403.7.1
김정은에 대한 군부 고위층의 공식 지지가 언제 나올지도 관심사다.

김정은에	김정은/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
군부	군부/NNG
고위층의	고위/NNG+층/XSN+의/JKG
공식	공식/NNG
지지가	지지/NNG+가/JKS
언제	언제/MAG
나올지도	나오/VV+ㄹ지/EF+도/JX
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.403.7.2
김일철 당시 해군사령관(대장)은 김 주석이 숨진 뒤 6일 만에 군 고위인사로서는 최초로 김 위원장에 대한 충성을 공개적으로 다짐했다.

김일철	김일철/NNP
당시	당시/NNG
해군사령관(대장)은	해군/NNG+사령관/NNG+(/SS+대장/NNG+)/SS+은/JX
김	김/NNP
주석이	주석/NNG+이/JKS
숨진	숨지/VV+ㄴ/ETM
뒤	뒤/NNG
6일	6/SN+일/NNB
만에	만/NNB+에/JKB
군	군/NNG
고위인사로서는	고위/NNG+인사/NNG+로서/JKB+는/JX
최초로	최초/NNG+로/JKB
위원장에	위원장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
충성을	충성/NNG+을/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


