# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.148
metadata : {}


# id : NWRW1800000045.148.1.1
일본에서 돌아온 우리 기와-전돌 어떻게 생겼나

일본에서	일본/NNP+에서/JKB
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.148.7.1
국외소재문화재재단이 ‘이우치 이사오 컬렉션’의 국내 환수 과정과 학술적 가치를 재조명한 단행본을 9일 발간했다.

국외소재문화재재단이	국외소재문화재재단/NNP+이/JKS
‘이우치	‘/SS+이우치/NNP
이사오	이사오/NNP
컬렉션’의	컬렉션/NNG+’/SS+의/JKG
국내	국내/NNG
환수	환수/NNG
과정과	과정/NNG+과/JC
학술적	학술/NNG+적/XSN
가치를	가치/NNG+를/JKO
재조명한	재/XPN+조명/NNG+하/XSV+ㄴ/ETM
단행본을	단행본/NNG+을/JKO
9일	9/SN+일/NNB
발간했다.	발간/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.148.7.2
이와 더불어 유금와당박물관은 ‘돌아온 와전 이우치 컬렉션’ 특별전을 내년 7월 16일까지 개최한다.

이와	이/NP+와/JKB
더불어	더불/VV+어/EC
유금와당박물관은	유금와당박물관/NNP+은/JX
‘돌아온	‘/SS+돌아오/VV+ㄴ/ETM
와전	와전/NNG
이우치	이우치/NNP
컬렉션’	컬렉션/NNG+’/SS
특별전을	특별전/NNG+을/JKO
내년	내년/NNG
7월	7/SN+월/NNB
16일까지	16/SN+일/NNB+까지/JX
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


