# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.445
metadata : {}


# id : NWRW1800000024.445.1.1
민간건설사 토지 강제수용권에 제동

민간건설사	민간/NNG+건설사/NNG
‘주택건설사업계획	‘/SS+주택/NNG+건설/NNG+사업/NNG+계획/NNG
승인처분	승인/NNG+처분/NNG
취소	취소/NNG
청구소송’에서	청구/NNG+소송/NNG+’/SS+에서/JKB
“화성시는	“/SS+화성시/NNP+는/JX
주택건설사업계획	주택/NNG+건설/NNG+사업/NNG+계획/NNG
승인처분을	승인/NNG+처분/NNG+을/JKO
취소하라”며	취소/NNG+하/XSV+라/EF+”/SS+며/EC
원고	원고/NNG
승소	승소/NNG
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.445.4.1
재판부는 판결문에서 “아파트 건설에 편입되는 원고의 토지가 전체 사업부지의 12.3%에 불과해 이를 제외하더라도 아파트단지 조성이 가능한 점, 편입되지 않아 남게 되는 원고의 토지가 긴 세모꼴 모양이어서 개발가치가 떨어지는 점, 매도요청에 불응해 부당이득을 얻으려는 목적이 없어 보이는 점 등을 종합하면 화성시가 재량권을 남용해 주택건설사업계획을 승인한 것으로 판단된다”고 밝혔다.

재판부는	재판부/NNG+는/JX
판결문에서	판결문/NNG+에서/JKB
“아파트	“/SS+아파트/NNG
건설에	건설/NNG+에/JKB
편입되는	편입/NNG+되/XSV+는/ETM
원고의	원고/NNG+의/JKG
토지가	토지/NNG+가/JKS
전체	전체/NNG
사업부지의	사업/NNG+부지/NNG+의/JKG
12.3%에	12/SN+./SP+3/SN+%/SW+에/JKB
불과해	불과/MAG+하/XSA+아/EC
이를	이/NP+를/JKO
제외하더라도	제외/NNG+하/XSV+더라도/EC
아파트단지	아파트/NNG+단지/NNG
조성이	조성/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
점,	점/NNG+,/SP
편입되지	편입/NNG+되/XSV+지/EC
않아	않/VX+아/EC
남게	남/VV+게/EC
되는	되/VV+는/ETM
긴	길/VA+ㄴ/ETM
세모꼴	세모꼴/NNG
모양이어서	모양/NNG+이/VCP+어서/EC
개발가치가	개발/NNG+가치/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
매도요청에	매도/NNG+요청/NNG+에/JKB
불응해	불응/NNG+하/XSV+아/EC
부당이득을	부당/NNG+이득/NNG+을/JKO
얻으려는	얻/VV+으려는/ETM
목적이	목적/NNG+이/JKS
없어	없/VA+어/EC
보이는	보이/VV+는/ETM
점	점/NNG
등을	등/NNB+을/JKO
종합하면	종합/NNG+하/XSV+면/EC
화성시가	화성시/NNP+가/JKS
재량권을	재량/NNG+권/XSN+을/JKO
남용해	남용/NNG+하/XSV+아/EC
주택건설사업계획을	주택/NNG+건설/NNG+사업/NNG+계획/NNG+을/JKO
승인한	승인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단된다”고	판단/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.445.5.1
또 재판부는 “민간 건설사업자가 사업부지의 80% 이상을 확보한 상태에서 통상 시장가격보다 낮은 감정평가액에 나머지 20%의 토지를 취득할 수 있게 됐다는 점에서 ‘알박기’와는 정반대의 폐해가 나타날 가능성이 있다”고 판단했다.

또	또/MAG
재판부는	재판부/NNG+는/JX
“민간	“/SS+민간/NNG
건설사업자가	건설/NNG+사업자/NNG+가/JKS
사업부지의	사업/NNG+부지/NNG+의/JKG
80%	80/SN+%/SW
이상을	이상/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
통상	통상/NNG
시장가격보다	시장/NNG+가격/NNG+보다/JKB
낮은	낮/VA+은/ETM
감정평가액에	감정/NNG+평가액/NNG+에/JKB
나머지	나머지/NNG
20%의	20/SN+%/SW+의/JKG
토지를	토지/NNG+를/JKO
취득할	취득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다는	되/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
‘알박기’와는	‘/SS+알/NNG+박기/NNG+’/SS+와/JKB+는/JX
정반대의	정반대/NNG+의/JKG
폐해가	폐해/NNG+가/JKS
나타날	나타나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.445.6.1
2005년 도입된 주택법의 ‘매도청구권’ 조항은 알박기 방지 차원에서 국가나 지자체, 공기업뿐 아니라 민간 사업자에게도 일정 비율의 땅 사용권을 확보하면 나머지 땅에 대해 땅 주인이 매도를 거부해도 강제로 수용할 수 있게 했다.

2005년	2005/SN+년/NNB
도입된	도입/NNG+되/XSV+ㄴ/ETM
주택법의	주택법/NNG+의/JKG
‘매도청구권’	‘/SS+매도/NNG+청구/NNG+권/XSN+’/SS
조항은	조항/NNG+은/JX
알박기	알/NNG+박기/NNG
방지	방지/NNG
차원에서	차원/NNG+에서/JKB
국가나	국가/NNG+나/JC
지자체,	지자체/NNG+,/SP
공기업뿐	공기업/NNG+뿐/JX
아니라	아니/VCN+라/EC
민간	민간/NNG
사업자에게도	사업자/NNG+에게/JKB+도/JX
일정	일정/NNG
비율의	비율/NNG+의/JKG
땅	땅/NNG
사용권을	사용/NNG+권/XSN+을/JKO
확보하면	확보/NNG+하/XSV+면/EC
나머지	나머지/NNG
땅에	땅/NNG+에/JKB
대해	대하/VV+아/EC
주인이	주인/NNG+이/JKS
매도를	매도/NNG+를/JKO
거부해도	거부/NNG+하/XSV+아도/EC
강제로	강제/NNG+로/JKB
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.445.7.1
그러나 알박기 목적이 없는데도 민간 건설사의 무분별한 매도청구권 행사로 개인의 의사와 상관없이 소유권을 잃게 돼, 헌법상 재산권이나 거주이전의 자유를 침해받고 있다는 지적과 함께, 건설사에 땅을 수용당할 처지에 놓인 땅 주인들의 위헌소송이 잇따르고 있다.

그러나	그러나/MAJ
알박기	알/NNG+박기/NNG
목적이	목적/NNG+이/JKS
없는데도	없/VA+는데/EC+도/JX
민간	민간/NNG
건설사의	건설사/NNG+의/JKG
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
매도청구권	매도/NNG+청구/NNG+권/XSN
행사로	행사/NNG+로/JKB
개인의	개인/NNG+의/JKG
의사와	의사/NNG+와/JKB
상관없이	상관없이/MAG
소유권을	소유/NNG+권/XSN+을/JKO
잃게	잃/VV+게/EC
돼,	되/VV+어/EC+,/SP
헌법상	헌법/NNG+상/XSN
재산권이나	재산/NNG+권/XSN+이나/JC
거주이전의	거주/NNG+이전/NNG+의/JKG
자유를	자유/NNG+를/JKO
침해받고	침해/NNG+받/XSV+고/EC
있다는	있/VX+다는/ETM
지적과	지적/NNG+과/JKB
함께,	함께/MAG+,/SP
건설사에	건설사/NNG+에/JKB
땅을	땅/NNG+을/JKO
수용당할	수용/NNG+당하/XSV+ㄹ/ETM
처지에	처지/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
땅	땅/NNG
주인들의	주인/NNG+들/XSN+의/JKG
위헌소송이	위헌/NNG+소송/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.445.8.1
수원지법 신우정 공보판사는 “토지 소유권이나 독자 개발사업 기회를 잃게 될 땅주인의 불이익을 주택건설의 공익성과 객관적으로 비교판단하지 않은 채 지자체가 주택건설사업을 승인했다”며 “이번 판결은 위헌 논란과 별개로, 지자체가 매도청구권 요건만 기계적으로 적용해 함부로 땅을 사게 해서는 안 된다는 의미를 담고 있다”고 말했다.

수원지법	수원지법/NNP
신우정	신우정/NNP
공보판사는	공보/NNG+판사/NNG+는/JX
“토지	“/SS+토지/NNG
소유권이나	소유/NNG+권/XSN+이나/JC
독자	독자/NNG
개발사업	개발/NNG+사업/NNG
기회를	기회/NNG+를/JKO
잃게	잃/VV+게/EC
될	되/VV+ㄹ/ETM
땅주인의	땅/NNG+주인/NNG+의/JKG
불이익을	불/XPN+이익/NNG+을/JKO
주택건설의	주택/NNG+건설/NNG+의/JKG
공익성과	공익/NNG+성/XSN+과/JC
객관적으로	객관/NNG+적/XSN+으로/JKB
비교판단하지	비교/NNG+판단/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
지자체가	지자체/NNG+가/JKS
주택건설사업을	주택/NNG+건설/NNG+사업/NNG+을/JKO
승인했다”며	승인/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
판결은	판결/NNG+은/JX
위헌	위헌/NNG
논란과	논란/NNG+과/JKB
별개로,	별개/NNG+로/JKB+,/SP
매도청구권	매도/NNG+청구/NNG+권/XSN
요건만	요건/NNG+만/JX
기계적으로	기계/NNG+적/XSN+으로/JKB
적용해	적용/NNG+하/XSV+아/EC
함부로	함부로/MAG
땅을	땅/NNG+을/JKO
사게	사/VV+게/EC
해서는	하/VX+아서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
의미를	의미/NNG+를/JKO
담고	담/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.445.9.1
앞서 ㅈ건설은 지난해 8월 화성시 향남읍 일대 7만6000여㎡에 1308가구 규모의 아파트 건설사업계획을 화성시로부터 승인받고 사업부지의 80% 이상을 확보한 뒤, 조씨 소유 땅 9000여㎡에 대해 매도청구권 소송을 내 1심에서 승소했다.

앞서	앞서/MAG
ㅈ건설은	ㅈ/NNG+건설/NNG+은/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
화성시	화성시/NNP
향남읍	향남읍/NNP
일대	일대/NNG
7만6000여㎡에	7/SN+만/NR+6000/SN+여/XSN+㎡/SW+에/JKB
1308가구	1308/SN+가구/NNG
규모의	규모/NNG+의/JKG
아파트	아파트/NNG
건설사업계획을	건설/NNG+사업/NNG+계획/NNG+을/JKO
화성시로부터	화성시/NNP+로부터/JKB
승인받고	승인/NNG+받/XSV+고/EC
사업부지의	사업/NNG+부지/NNG+의/JKG
80%	80/SN+%/SW
이상을	이상/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
조씨	조/NNP+씨/NNB
소유	소유/NNG
땅	땅/NNG
9000여㎡에	9000/SN+여/XSN+㎡/SW+에/JKB
대해	대하/VV+아/EC
매도청구권	매도/NNG+청구/NNG+권/XSN
소송을	소송/NNG+을/JKO
내	내/VV+어/EC
1심에서	1심/NNG+에서/JKB
승소했다.	승소/NNG+하/XSV+았/EP+다/EF+./SF


