# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.313
metadata : {}


# id : NWRW1800000048.313.1.1
서울시, 법인 세무조사 방식 확 바꾼다

서울시,	서울시/NNP+,/SP
이처럼 가산세가 억울하게 부과되지 않도록 서울시가 새로운 가산세 운영지침을 내년 2월 만든다고 15일 밝혔다.

이처럼	이/NP+처럼/JKB
가산세가	가산세/NNG+가/JKS
억울하게	억울/NNG+하/XSA+게/EC
부과되지	부과/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
서울시가	서울시/NNP+가/JKS
새로운	새롭/VA+ㄴ/ETM
가산세	가산세/NNG
운영지침을	운영/NNG+지침/NNG+을/JKO
내년	내년/NNG
2월	2/SN+월/NNB
만든다고	만들/VV+ㄴ다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.313.8.2
전국에서 처음이다.

전국에서	전국/NNG+에서/JKB
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.313.8.3
가산세 부과를 취소한 법원 판례를 분석해 ‘정당한 사유’를 적극 수용하면서 처음부터 가산세를 부과하지 않겠다는 취지다.

가산세	가산세/NNG
부과를	부과/NNG+를/JKO
취소한	취소/NNG+하/XSV+ㄴ/ETM
법원	법원/NNG
판례를	판례/NNG+를/JKO
분석해	분석/NNG+하/XSV+아/EC
‘정당한	‘/SS+정당하/VA+ㄴ/ETM
사유’를	사유/NNG+’/SS+를/JKO
적극	적극/NNG
수용하면서	수용/NNG+하/XSV+면서/EC
처음부터	처음/NNG+부터/JX
가산세를	가산세/NNG+를/JKO
부과하지	부과/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.313.9.1
지금까진 서울시도 여느 지자체와 마찬가지로 취득세·지방소득세 등을 내지 않은 납세자에게 10~75%에 달하는 가산세를 우선 부과한 뒤 이의신청 등 불복제도를 안내해왔다.

지금까진	지금/NNG+까지/JX+ㄴ/JX
서울시도	서울시/NNP+도/JX
여느	여느/MMA
지자체와	지자체/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
취득세·지방소득세	취득세/NNG+·/SP+지방/NNG+소득세/NNG
등을	등/NNB+을/JKO
내지	내/VV+지/EC
않은	않/VX+은/ETM
납세자에게	납세자/NNG+에게/JKB
10~75%에	10/SN+~/SO+75/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
가산세를	가산세/NNG+를/JKO
우선	우선/MAG
부과한	부과/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이의신청	이의/NNG+신청/NNG
등	등/NNB
불복제도를	불복/NNG+제도/NNG+를/JKO
안내해왔다.	안내/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.313.10.1
서울시는 또 기업의 과도한 부담을 줄이기 위해 법인 세무조사 절차를 담은 운영규칙을 20년 만에 전면 개정(표 참조)하기로 했다.

서울시는	서울시/NNP+는/JX
또	또/MAG
기업의	기업/NNG+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
부담을	부담/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
법인	법인/NNG
세무조사	세무/NNG+조사/NNG
절차를	절차/NNG+를/JKO
담은	담/VV+은/ETM
운영규칙을	운영/NNG+규칙/NNG+을/JKO
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
전면	전면/NNG
개정(표	개정/NNG+(/SS+표/NNG
참조)하기로	참조/NNG+)/SS+하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.313.10.2
우선 세무조사 대상을 세무사, 회계사 등 외부 전문가 3명과 관련 공무원 7명으로 구성되는 선정단이 선정하게 된다.

우선	우선/MAG
세무조사	세무/NNG+조사/NNG
대상을	대상/NNG+을/JKO
세무사,	세무사/NNG+,/SP
회계사	회계사/NNG
등	등/NNB
외부	외부/NNG
전문가	전문가/NNG
3명과	3/SN+명/NNB+과/JKB
관련	관련/NNG
공무원	공무원/NNG
7명으로	7/SN+명/NNB+으로/JKB
구성되는	구성/NNG+되/XSV+는/ETM
선정단이	선정단/NNG+이/JKS
선정하게	선정/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.313.10.3
기존에는 조사 담당 공무원들이 연평균 732개 법인을 일방적으로 선정해 조사했다.

기존에는	기존/NNG+에/JKB+는/JX
조사	조사/NNG
담당	담당/NNG
공무원들이	공무원/NNG+들/XSN+이/JKS
연평균	연평균/NNG
732개	732/SN+개/NNB
법인을	법인/NNG+을/JKO
일방적으로	일방/NNG+적/XSN+으로/JKB
선정해	선정/NNG+하/XSV+아/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.313.11.1
조사 결과만 통지하던 방식도 바꿔 세무조사를 받은 기업이 세무조사 인터넷 신고 시스템에 접속해 진행상황을 파악할 수 있도록 했다.

조사	조사/NNG
결과만	결과/NNG+만/JX
통지하던	통지/NNG+하/XSV+던/ETM
방식도	방식/NNG+도/JX
바꿔	바꾸/VV+어/EC
세무조사를	세무/NNG+조사/NNG+를/JKO
받은	받/VV+은/ETM
기업이	기업/NNG+이/JKS
세무조사	세무/NNG+조사/NNG
인터넷	인터넷/NNG
신고	신고/NNG
시스템에	시스템/NNG+에/JKB
접속해	접속/NNG+하/XSV+아/EC
진행상황을	진행/NNG+상황/NNG+을/JKO
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.313.11.2
쟁점사항이 있으면 유관 부서인 과세·구제 업무 담당으로 구성된 ‘과세쟁점 자문단’의 자문을 거친다.

쟁점사항이	쟁점/NNG+사항/NNG+이/JKS
있으면	있/VA+으면/EC
유관	유관/NNG
부서인	부서/NNG+이/VCP+ㄴ/ETM
과세·구제	과세/NNG+·/SP+구제/NNG
업무	업무/NNG
담당으로	담당/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘과세쟁점	‘/SS+과세/NNG+쟁점/NNG
자문단’의	자문단/NNG+’/SS+의/JKG
자문을	자문/NNG+을/JKO
거친다.	거치/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.313.11.3
그간엔 조사 담당 부서에서 일방 처리하던 사무다.

그간엔	그/NP+간/XSN+에/JKB+ㄴ/JX
조사	조사/NNG
담당	담당/NNG
부서에서	부서/NNG+에서/JKB
일방	일방/NNG
처리하던	처리/NNG+하/XSV+던/ETM
사무다.	사무/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.313.12.1
징수 실익이 없는 자동차 압류 때문에 경제활동이 어려웠던 이들에게 재기의 기회도 주어진다.

징수	징수/NNG
실익이	실익/NNG+이/JKS
없는	없/VA+는/ETM
자동차	자동차/NNG
압류	압류/NNG
때문에	때문/NNB+에/JKB
경제활동이	경제/NNG+활동/NNG+이/JKS
어려웠던	어렵/VA+었/EP+던/ETM
이들에게	이/NNB+들/XSN+에게/JKB
재기의	재기/NNG+의/JKG
기회도	기회/NNG+도/JX
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.313.12.2
서울시는 부과일로부터 15년이 넘은 자동차를 일제 조사해 폐차됐거나 운행되지 않는 자동차는 압류 해제할 예정이다.

서울시는	서울시/NNP+는/JX
부과일로부터	부과/NNG+일/NNG+로부터/JKB
15년이	15/SN+년/NNB+이/JKS
넘은	넘/VV+은/ETM
자동차를	자동차/NNG+를/JKO
일제	일제/NNG
조사해	조사/NNG+하/XSV+아/EC
폐차됐거나	폐차/NNG+되/XSV+었/EP+거나/EC
운행되지	운행/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
자동차는	자동차/NNG+는/JX
압류	압류/NNG
해제할	해제/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.313.12.3
자동차 압류 기간이 15년이 넘는 체납 건수는 5만건으로 대상자는 3만3000명, 금액은 347억원에 이른다.

자동차	자동차/NNG
압류	압류/NNG
기간이	기간/NNG+이/JKS
15년이	15/SN+년/NNB+이/JKS
넘는	넘/VV+는/ETM
체납	체납/NNG
건수는	건수/NNG+는/JX
5만건으로	5/SN+만/NR+건/NNB+으로/JKB
대상자는	대상자/NNG+는/JX
3만3000명,	3/SN+만/NR+3000/SN+명/NNB+,/SP
금액은	금액/NNG+은/JX
347억원에	347/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


