# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.411
metadata : {}


# id : NWRW1800000038.411.1.1
[靑·與·野 3자회담] 경제·민생 관련 현안

[靑·與·野	[/SS+靑/SH+·/SP+與/SH+·/SP+野/SH
# id : NWRW1800000038.411.8.2
부자 감세 철회만으로 앞으로 5년간 재정 50조원을 확보할 수 있는데 거기에 비하면 월급 생활자나 서민과 중산층 유리지갑 털어 걷는 돈은 대단히 작다.

부자	부자/NNG
감세	감세/NNG
철회만으로	철회/NNG+만/JX+으로/JKB
앞으로	앞/NNG+으로/JKB
5년간	5/SN+년/NNB+간/XSN
재정	재정/NNG
50조원을	50/SN+조/NR+원/NNB+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
거기에	거기/NP+에/JKB
비하면	비/NNG+하/XSV+면/EC
월급	월급/NNG
생활자나	생활자/NNG+나/JC
서민과	서민/NNG+과/JC
중산층	중산/NNG+층/XSN
유리지갑	유리/NNG+지갑/NNG
털어	털/VV+어/EC
걷는	걷/VV+는/ETM
돈은	돈/NNG+은/JX
대단히	대단히/MAG
작다.	작/VA+다/EF+./SF


# id : NWRW1800000038.411.8.3
(민)

(민)	(/SS+민/NNP+)/SS


# id : NWRW1800000038.411.9.1
(※김 대표가 말한 부자 감세는 MB 정부 시절 법인세 인하 등을 뜻하는 것으로 보인다.)

(※김	(/SS+※/SW+김/NNP
대표가	대표/NNG+가/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
부자	부자/NNG
감세는	감세/NNG+는/JX
MB	MB/SL
정부	정부/NNG
시절	시절/NNG
법인세	법인세/NNG
인하	인하/NNG
등을	등/NNB+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다.)	보이/VV+ㄴ다/EF+./SF+)/SS


# id : NWRW1800000038.411.10.1
박=법인세율을 인상하는 것은 경제에 악영향을 미치기 때문에 바람직하지 않다.

박=법인세율을	박/NNP+=/SW+법인세/NNG+율/XSN+을/JKO
인상하는	인상/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
경제에	경제/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
미치기	미치/VV+기/ETN
때문에	때문/NNB+에/JKB
바람직하지	바람직하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.411.10.2
(새)

(새)	(/SS+새/NNP+)/SS


# id : NWRW1800000038.411.11.1
=법인세를 낮추는 것이 세계적인 추세다.

=법인세를	=/SW+법인세/NNG+를/JKO
낮추는	낮추/VV+는/ETM
것이	것/NNB+이/JKS
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.11.2
법인세 높이지 않는 것이 소신이다.

법인세	법인세/NNG
높이지	높이/VV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
소신이다.	소신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.11.3
경쟁력을 저하할 수 있기 때문에 법인세를 높이는 것은 안 된다.

경쟁력을	경쟁력/NNG+을/JKO
저하할	저하/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
법인세를	법인세/NNG+를/JKO
높이는	높이/VV+는/ETM
것은	것/NNB+은/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.411.11.4
법인세율을 예전처럼 25%로 상향하는 것은 안 된다는 것이 소신이다.

법인세율을	법인세/NNG+율/XSN+을/JKO
예전처럼	예전/NNG+처럼/JKB
25%로	25/SN+%/SW+로/JKB
상향하는	상향/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
소신이다.	소신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.11.5
(민)

(민)	(/SS+민/NNP+)/SS


# id : NWRW1800000038.411.12.1
황우여 대표=세수 부족을 경제 활성화로 메울 수 있을 것이다.

황우여	황우여/NNP
대표=세수	대표/NNG+=/SW+세수/NNG
부족을	부족/NNG+을/JKO
경제	경제/NNG
활성화로	활성/NNG+화/XSN+로/JKB
메울	메우/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.12.2
성장률 4% 넘게 되면 세수 부족 거의 해소될 것이다.

성장률	성장/NNG+률/XSN
4%	4/SN+%/SW
넘게	넘/VV+게/EC
되면	되/VV+면/EC
세수	세수/NNG
부족	부족/NNG
거의	거의/MAG
해소될	해소/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.12.3
(새)

(새)	(/SS+새/NNP+)/SS


# id : NWRW1800000038.411.13.1
◇무상 보육·기초연금

◇무상	◇/SW+무상/NNG
보육·기초연금	보육/NNG+·/SP+기초/NNG+연금/NNG


# id : NWRW1800000038.411.14.1
박=현재 20%인 국비 보조율을 높이려고 노력하고 있다.

박=현재	박/NNP+=/SW+현재/MAG
20%인	20/SN+%/SW+이/VCP+ㄴ/ETM
국비	국비/NNG
보조율을	보조/NNG+율/XSN+을/JKO
높이려고	높이/VV+려고/EC
노력하고	노력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.411.14.2
조만간 좋은 안을 만들어 시행하도록 하겠다.

조만간	조만간/MAG
좋은	좋/VA+은/ETM
안을	안/NNG+을/JKO
만들어	만들/VV+어/EC
시행하도록	시행/NNG+하/XSV+도록/EC
하겠다.	하/VX+겠/EP+다/EF+./SF


# id : NWRW1800000038.411.14.3
(새)

(새)	(/SS+새/NNP+)/SS


# id : NWRW1800000038.411.15.1
김=기초연금 며칠 전에 발표하려 하다가 연기했는데….

김=기초연금	김/NNP+=/SW+기초/NNG+연금/NNG
며칠	며칠/NNG
전에	전/NNG+에/JKB
발표하려	발표/NNG+하/XSV+려/EC
하다가	하/VX+다가/EC
연기했는데….	연기/NNG+하/XSV+았/EP+는데/EC+…/SE+./SF


# id : NWRW1800000038.411.15.2
(민)

(민)	(/SS+민/NNP+)/SS


# id : NWRW1800000038.411.16.1
박=복지부가 지금 작업을 하고 있고, 9월 중에 답을 내놓을 것이다.

박=복지부가	박/NNP+=/SW+복지부/NNG+가/JKS
지금	지금/MAG
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있고,	있/VX+고/EC+,/SP
9월	9/SN+월/NNB
중에	중/NNB+에/JKB
답을	답/NNG+을/JKO
내놓을	내놓/VV+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.16.2
(민)

(민)	(/SS+민/NNP+)/SS


# id : NWRW1800000038.411.17.1
◇경제 민주화

◇경제	◇/SW+경제/NNG
민주화	민주/NNG+화/XSN


# id : NWRW1800000038.411.18.1
김=경제 민주화 의지 확고한가?

김=경제	김/NNP+=/SW+경제/NNG
민주화	민주/NNG+화/XSN
의지	의지/NNG
확고한가?	확고하/VA+ㄴ가/EF+?/SF


# id : NWRW1800000038.411.18.2
(새)

(새)	(/SS+새/NNP+)/SS


# id : NWRW1800000038.411.19.1
박=확고하다.

박=확고하다.	박/NNP+=/SW+확고하/VA+다/EF+./SF


# id : NWRW1800000038.411.19.2
모든 경제주체가 땀 흘린 만큼 보상받고 보람을 느끼도록 할 것이다.

모든	모든/MMN
경제주체가	경제/NNG+주체/NNG+가/JKS
땀	땀/NNG
흘린	흘리/VV+ㄴ/ETM
만큼	만큼/NNB
보상받고	보상/NNG+받/XSV+고/EC
보람을	보람/NNG+을/JKO
느끼도록	느끼/VV+도록/EC
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.411.19.3
그러나 특정 계층을 막고 옥죄는 것은 곤란하다.

그러나	그러나/MAJ
특정	특정/NNG
계층을	계층/NNG+을/JKO
막고	막/VV+고/EC
옥죄는	옥죄/VV+는/ETM
것은	것/NNB+은/JX
곤란하다.	곤란/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.411.19.4
(새)

(새)	(/SS+새/NNP+)/SS


