# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.375
metadata : {}


# id : NWRW1800000029.375.1.1
“남북협력기금에 세금 추가… 통일재원 ‘20조원+α’ 마련”

“남북협력기금에	“/SS+남북협력기금/NNP+에/JKB
국고에	국고/NNG+에/JKB
반환하는	반환/NNG+하/XSV+는/ETM
1조	1/SN+조/NR
원가량을	원/NNB+가량/XSN+을/JKO
통일재원으로	통일/NNG+재원/NNG+으로/JKB
적립하고,	적립/NNG+하/XSV+고/EC+,/SP
다음	다음/NNG
연도의	연도/NNG+의/JKG
기금은	기금/NNG+은/JX
별도로	별도/NNG+로/JKB
편성하는	편성/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
거론돼	거론/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.375.6.1
이 당국자는 “이 방안에 대해서는 여야 국회의원들이 이미 법안을 제출해 놓은 것이 있어 컨센서스(합의)가 있다”고 설명했다.

이	이/MMD
당국자는	당국자/NNG+는/JX
“이	“/SS+이/MMD
방안에	방안/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
여야	여야/NNG
국회의원들이	국회/NNG+의원/NNG+들/XSN+이/JKS
이미	이미/MAG
법안을	법안/NNG+을/JKO
제출해	제출/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
것이	것/NNB+이/JKS
있어	있/VV+어/EC
컨센서스(합의)가	컨센서스/NNG+(/SS+합의/NNG+)/SS+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.375.6.2
민주당 송민순 의원이 남북협력기금 불용액을 ‘한민족통합계정’으로 적립하는 내용을 담은 남북기금협력법 개정안을 제출하는 등 국회에 관련 법안들이 계류돼 있다.

민주당	민주당/NNP
송민순	송민순/NNP
의원이	의원/NNG+이/JKS
남북협력기금	남북협력기금/NNP
불용액을	불용액/NNG+을/JKO
‘한민족통합계정’으로	‘/SS+한민족/NNG+통합/NNG+계정/NNG+’/SS+으로/JKB
적립하는	적립/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
남북기금협력법	남북/NNP+기금/NNG+협력법/NNG
개정안을	개정안/NNG+을/JKO
제출하는	제출/NNG+하/XSV+는/ETM
등	등/NNB
국회에	국회/NNG+에/JKB
관련	관련/NNG
법안들이	법안/NNG+들/XSN+이/JKS
계류돼	계류/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.375.7.1
이어 그는 “또 한 가지는 세금으로 충당하는 문제”라며 “이는 초기부터의 구상이지만 세금이 일부 포함되더라도 서민에게 부담이 안 가는 쪽으로 검토하고 있다”고 말했다.

이어	이어/MAG
그는	그/NP+는/JX
“또	“/SS+또/MAG
한	한/MMN
가지는	가지/NNB+는/JX
세금으로	세금/NNG+으로/JKB
충당하는	충당/NNG+하/XSV+는/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“이는	“/SS+이/NP+는/JX
초기부터의	초기/NNG+부터/JX+의/JKG
구상이지만	구상/NNG+이/VCP+지만/EC
세금이	세금/NNG+이/JKS
일부	일부/NNG
포함되더라도	포함/NNG+되/XSV+더라도/EC
서민에게	서민/NNG+에게/JKB
부담이	부담/NNG+이/JKS
안	안/MAG
가는	가/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.375.7.2
모든 국민에게 부담이 돌아가는 간접세가 아닌, 소득세나 법인세처럼 일부에게만 부과되는 직접세를 통해 통일재원을 마련하겠다는 것으로 해석된다.

모든	모든/MMN
국민에게	국민/NNG+에게/JKB
부담이	부담/NNG+이/JKS
돌아가는	돌아가/VV+는/ETM
간접세가	간접세/NNG+가/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
소득세나	소득세/NNG+나/JC
법인세처럼	법인세/NNG+처럼/JKB
일부에게만	일부/NNG+에게/JKB+만/JX
부과되는	부과/NNG+되/XSV+는/ETM
직접세를	직접세/NNG+를/JKO
통해	통하/VV+아/EC
통일재원을	통일/NNG+재원/NNG+을/JKO
마련하겠다는	마련/NNG+하/XSV+겠/EP+다는/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.375.7.3
이 두 가지 방식으로 마련되는 통일재원의 규모는 20조 원을 넘는 것으로 알려졌다.

이	이/MMD
두	두/MMN
가지	가지/NNB
방식으로	방식/NNG+으로/JKB
마련되는	마련/NNG+되/XSV+는/ETM
통일재원의	통일/NNG+재원/NNG+의/JKG
규모는	규모/NNG+는/JX
20조	20/SN+조/NR
원을	원/NNB+을/JKO
넘는	넘/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.375.8.1
다만 그는 “정부 내에서 협의가 좀 더 필요하고 거쳐야 하는 절차들도 있다”며 발표가 다소 늦춰질 수 있음을 시사했다.

다만	다만/MAG
그는	그/NP+는/JX
“정부	“/SS+정부/NNG
내에서	내/NNB+에서/JKB
협의가	협의/NNG+가/JKS
좀	좀/MAG
더	더/MAG
필요하고	필요/NNG+하/XSA+고/EC
거쳐야	거치/VV+어야/EC
하는	하/VX+는/ETM
절차들도	절차/NNG+들/XSN+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
발표가	발표/NNG+가/JKS
다소	다소/MAG
늦춰질	늦춰지/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.375.9.1
○ 여전히 만만치 않은 저항

○	○/SW
여전히	여전히/MAG
만만치	만만하/VA+지/EC
않은	않/VX+은/ETM
저항	저항/NNG


# id : NWRW1800000029.375.10.1
정부의 통일재원 마련 논의는 지난해 이명박 대통령이 8·15 광복절 경축사에서 “이제 통일세 등 현실적인 방안을 준비할 때가 됐다”고 제안하면서 시작됐다.

정부의	정부/NNG+의/JKG
통일재원	통일/NNG+재원/NNG
마련	마련/NNG
논의는	논의/NNG+는/JX
지난해	지난해/NNG
이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
8·15	8/SN+·/SP+15/SN
광복절	광복절/NNG
경축사에서	경축사/NNG+에서/JKB
“이제	“/SS+이제/MAG
통일세	통일세/NNG
등	등/NNB
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
준비할	준비/NNG+하/XSV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
제안하면서	제안/NNG+하/XSV+면서/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.375.10.2
이후 통일부는 ‘통일재원논의추진단’이라는 명칭의 태스크포스(TF)를 구성했고 ‘남북공동체 기반조성사업’ 연구용역 등을 통해 통일재원 마련 방안을 모색해 왔다.

이후	이후/NNG
통일부는	통일부/NNG+는/JX
‘통일재원논의추진단’이라는	‘/SS+통일재원논의추진단/NNP+’/SS+이/VCP+라는/ETM
명칭의	명칭/NNG+의/JKG
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
구성했고	구성/NNG+하/XSV+았/EP+고/EC
‘남북공동체	‘/SS+남북/NNP+공동체/NNG
기반조성사업’	기반/NNG+조성/NNG+사업/NNG+’/SS
연구용역	연구/NNG+용역/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
통일재원	통일/NNG+재원/NNG
마련	마련/NNG
방안을	방안/NNG+을/JKO
모색해	모색/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.375.10.3
통일부는 올해 8·15 광복절을 앞두고 이 대통령의 통일세 언급 이후 1년이 다 돼가는 만큼 연구 결과물을 내놔야 한다는 압박감을 느끼는 모습이다.

통일부는	통일부/NNG+는/JX
올해	올해/NNG
8·15	8/SN+·/SP+15/SN
광복절을	광복절/NNG+을/JKO
앞두고	앞두/VV+고/EC
이	이/NNP
대통령의	대통령/NNG+의/JKG
통일세	통일세/NNG
언급	언급/NNG
이후	이후/NNG
1년이	1/SN+년/NNB+이/JKS
다	다/MAG
돼가는	되/VV+어/EC+가/VX+는/ETM
만큼	만큼/NNB
연구	연구/NNG
결과물을	결과물/NNG+을/JKO
내놔야	내놓/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
압박감을	압박감/NNG+을/JKO
느끼는	느끼/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.375.11.1
그러나 청와대와 기획재정부 등 정부 내에서는 의견이 크게 엇갈리는 것으로 전해졌다.

그러나	그러나/MAJ
청와대와	청와대/NNP+와/JC
기획재정부	기획/NNG+재정부/NNG
등	등/NNB
정부	정부/NNG
내에서는	내/NNB+에서/JKB+는/JX
의견이	의견/NNG+이/JKS
크게	크/VA+게/EC
엇갈리는	엇갈리/VV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.375.11.2
정부 고위 관계자는 “민감한 내용에 대해 여론이 아직 수렴되지 않았고 국회에서도 관련 법안의 통과가 불투명한 상황”이라며 “통일부와 학자들이 아이디어를 냈다고 해서 그것이 바로 정책이 되는 것은 아니다”라고 말했다.

정부	정부/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“민감한	“/SS+민감/NNG+하/XSA+ㄴ/ETM
내용에	내용/NNG+에/JKB
대해	대하/VV+아/EC
여론이	여론/NNG+이/JKS
아직	아직/MAG
수렴되지	수렴/NNG+되/XSV+지/EC
않았고	않/VX+았/EP+고/EC
국회에서도	국회/NNG+에서/JKB+도/JX
관련	관련/NNG
법안의	법안/NNG+의/JKG
통과가	통과/NNG+가/JKS
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“통일부와	“/SS+통일부/NNG+와/JC
학자들이	학자/NNG+들/XSN+이/JKS
아이디어를	아이디어/NNG+를/JKO
냈다고	내/VV+었/EP+다고/EC
해서	하/VV+아서/EC
그것이	그것/NP+이/JKS
바로	바로/MAG
정책이	정책/NNG+이/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.375.12.1
정부가 북한의 남북 비밀접촉 공개 이후 어그러진 남북대화 기조를 되살리기 위해 애쓰는 상황에서 굳이 민감한 내용을 발표해 북한을 자극할 필요가 있겠느냐는 지적도 있다.

정부가	정부/NNG+가/JKS
북한의	북한/NNP+의/JKG
남북	남북/NNP
비밀접촉	비밀/NNG+접촉/NNG
공개	공개/NNG
이후	이후/NNG
어그러진	어그러지/VV+ㄴ/ETM
남북대화	남북/NNP+대화/NNG
기조를	기조/NNG+를/JKO
되살리기	되살리/VV+기/ETN
위해	위하/VV+아/EC
애쓰는	애쓰/VV+는/ETM
상황에서	상황/NNG+에서/JKB
굳이	굳이/MAG
민감한	민감/NNG+하/XSA+ㄴ/ETM
내용을	내용/NNG+을/JKO
발표해	발표/NNG+하/XSV+아/EC
북한을	북한/NNP+을/JKO
자극할	자극/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있겠느냐는	있/VV+겠/EP+느냐는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.375.12.2
이 때문에 통일재원 마련 방안 발표가 8·15 광복절 이후로 미뤄질 수 있다는 관측도 나온다.

이	이/NP
때문에	때문/NNB+에/JKB
통일재원	통일/NNG+재원/NNG
마련	마련/NNG
방안	방안/NNG
발표가	발표/NNG+가/JKS
8·15	8/SN+·/SP+15/SN
광복절	광복절/NNG
이후로	이후/NNG+로/JKB
미뤄질	미루/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.375.13.1
북한 조선중앙통신은 16일 노동신문에 실린 ‘집요하게 추진되는 통일세 도입 책동’이라는 제목의 논평 기사를 인용해 “통일세는 북침야망 실현에 탕진하기 위한 대결세, 전쟁세”라고 비난했다.

북한	북한/NNP
조선중앙통신은	조선중앙통신/NNP+은/JX
16일	16/SN+일/NNB
노동신문에	노동신문/NNP+에/JKB
실린	실리/VV+ㄴ/ETM
‘집요하게	‘/SS+집요하/VA+게/EC
추진되는	추진/NNG+되/XSV+는/ETM
통일세	통일세/NNG
도입	도입/NNG
책동’이라는	책동/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
논평	논평/NNG
기사를	기사/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
“통일세는	“/SS+통일세/NNG+는/JX
북침야망	북침/NNG+야망/NNG
실현에	실현/NNG+에/JKB
탕진하기	탕진/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
대결세,	대결/NNG+세/NNG+,/SP
전쟁세”라고	전쟁/NNG+세/NNG+”/SS+라고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


