# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.8
metadata : {}


# id : NWRW1800000030.8.1.1
위키리크스, 스위스은행 비밀 거래 폭로 예고

위키리크스,	위키리크스/NNP+,/SP
CD에는 지난 1990년부터 2009년까지 3개 금융기관을 통해 거래한 각국 유력 인사들에 관한 자료가 포함된 것으로 알려졌다.

CD에는	CD/SL+에/JKB+는/JX
지난	지나/VV+ㄴ/ETM
1990년부터	1990/SN+년/NNB+부터/JX
2009년까지	2009/SN+년/NNB+까지/JX
3개	3/SN+개/NNB
금융기관을	금융/NNG+기관/NNG+을/JKO
통해	통하/VV+아/EC
거래한	거래/NNG+하/XSV+ㄴ/ETM
각국	각국/NNG
유력	유력/NNG
인사들에	인사/NNG+들/XSN+에/JKB
관한	관하/VV+ㄴ/ETM
자료가	자료/NNG+가/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.8.6.3
그는 "정치인 40여명도 포함돼있다"고 밝혀 이 리스트가 폭로될 경우 파장이 예상된다.

그는	그/NP+는/JX
"정치인	"/SS+정치인/NNG
40여명도	40/SN+여/XSN+명/NNB+도/JX
포함돼있다"고	포함/NNG+되/XSV+어/EC+있/VX+다/EF+"/SS+고/JKQ
밝혀	밝히/VV+어/EC
이	이/MMD
리스트가	리스트/NNG+가/JKS
폭로될	폭로/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
파장이	파장/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.8.7.1
엘머는 "간부로 승진해서 이너서클이 되면 (탈세 관련 범죄) 전모를 명확하게 파악할 수 있게 된다"면서 "내가 싸우고 있는 상대는 특정 금융기관이 아니라 (범죄를 가능케 하는) 구조"라고 강조했다.

엘머는	엘머/NNP+는/JX
"간부로	"/SS+간부/NNG+로/JKB
승진해서	승진/NNG+하/XSV+아서/EC
이너서클이	이너서클/NNG+이/JKC
되면	되/VV+면/EC
(탈세	(/SS+탈세/NNG
관련	관련/NNG
범죄)	범죄/NNG+)/SS
전모를	전모/NNG+를/JKO
명확하게	명확하/VA+게/EC
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다"면서	되/VV+ㄴ다/EF+"/SS+면서/EC
"내가	"/SS+내/NP+가/JKS
싸우고	싸우/VV+고/EC
있는	있/VX+는/ETM
상대는	상대/NNG+는/JX
특정	특정/NNG
금융기관이	금융/NNG+기관/NNG+이/JKS
아니라	아니/VCN+라/EC
(범죄를	(/SS+범죄/NNG+를/JKO
가능케	가능/NNG+하/XSA+게/EC
하는)	하/VX+는/ETM+)/SS
구조"라고	구조/NNG+"/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.8.7.2
위키리크스측은 엘머로부터 넘겨받은 관련 정보를 내부 분석 및 확인작업을 거쳐 공개하겠다고 밝혔다.

위키리크스측은	위키리크스/NNP+측/NNB+은/JX
엘머로부터	엘머/NNP+로부터/JKB
넘겨받은	넘겨받/VV+은/ETM
관련	관련/NNG
정보를	정보/NNG+를/JKO
내부	내부/NNG
분석	분석/NNG
및	및/MAG
확인작업을	확인/NNG+작업/NNG+을/JKO
거쳐	거치/VV+어/EC
공개하겠다고	공개/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.8.7.3
엘머도 "위키리크스가 자료들을 검토한 뒤 실제로 탈세 혐의가 포착됐을 때 공개할 것"이라고 말해 자료들이 곧바로 공개되지는 않을 것으로 보인다.

엘머도	엘머/NNP+도/JX
"위키리크스가	"/SS+위키리크스/NNP+가/JKS
자료들을	자료/NNG+들/XSN+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
실제로	실제로/MAG
탈세	탈세/NNG
혐의가	혐의/NNG+가/JKS
포착됐을	포착/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
공개할	공개/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
자료들이	자료/NNG+들/XSN+이/JKS
곧바로	곧바로/MAG
공개되지는	공개/NNG+되/XSV+지/EC+는/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.8.8.1
위키리크스 설립자 어산지는 지난해 언론 인터뷰에서 이번 건과 별도로 "2011년 초 미국 거대 금융기관에 관한 내부문건을 폭로하겠다"고 밝힌 바 있다.

위키리크스	위키리크스/NNP
설립자	설립자/NNG
어산지는	어산지/NNP+는/JX
지난해	지난해/NNG
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
이번	이번/NNG
건과	건/NNG+과/JKB
별도로	별도/NNG+로/JKB
"2011년	"/SS+2011/SN+년/NNB
초	초/NNB
미국	미국/NNP
거대	거대/NNG
금융기관에	금융/NNG+기관/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
내부문건을	내부/NNG+문건/NNG+을/JKO
폭로하겠다"고	폭로/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


