# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.412
metadata : {}


# id : NWRW1800000030.412.1.1
[서울] 서울 자장면, 제주 삼겹살 제일 비싸

[서울]	[/SS+서울/NNP+]/SS
아닌	아니/VCN+ㄴ/ETM
마트를	마트/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.412.7.2
2㎏ 안팎을 기준으로 지역과 마트별 차이가 컸다.

2㎏	2/SN+㎏/SW
안팎을	안팎/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
지역과	지역/NNG+과/JC
마트별	마트/NNG+별/XSN
차이가	차이/NNG+가/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.412.7.3
배추는 울산 한 마트에서는 1.8㎏ 한 포기에 4500원, 서울 한 마트에서 2㎏ 한 포기에 4200원까지 내야 했지만 대전에서는 1.8㎏에 2660원인 곳도 있었다.

배추는	배추/NNG+는/JX
울산	울산/NNP
한	한/MMN
마트에서는	마트/NNG+에서/JKB+는/JX
1.8㎏	1/SN+./SP+8/SN+㎏/SW
포기에	포기/NNG+에/JKB
4500원,	4500/SN+원/NNB+,/SP
서울	서울/NNP
마트에서	마트/NNG+에서/JKB
2㎏	2/SN+㎏/SW
4200원까지	4200/SN+원/NNB+까지/JX
내야	내/VV+어야/EC
했지만	하/VX+았/EP+지만/EC
대전에서는	대전/NNP+에서/JKB+는/JX
1.8㎏에	1/SN+./SP+8/SN+㎏/SW+에/JKB
2660원인	2660/SN+원/NNB+이/VCP+ㄴ/ETM
곳도	곳/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.412.7.4
무도 2㎏에 대구에서 최고 4960원, 대전 4560원, 서울 4200원이지만 제주는 1700원에 팔기도 했다.

무도	무/NNG+도/JX
2㎏에	2/SN+㎏/SW+에/JKB
대구에서	대구/NNP+에서/JKB
최고	최고/NNG
4960원,	4960/SN+원/NNB+,/SP
대전	대전/NNP
4560원,	4560/SN+원/NNB+,/SP
서울	서울/NNP
4200원이지만	4200/SN+원/NNB+이/VCP+지만/EC
제주는	제주/NNP+는/JX
1700원에	1700/SN+원/NNB+에/JKB
팔기도	팔/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.412.7.5
전철 요금은 서울·부산·인천이 900원, 대구·광주·대전이 1100원.

전철	전철/NNG
요금은	요금/NNG+은/JX
서울·부산·인천이	서울/NNP+·/SP+부산/NNP+·/SP+인천/NNP+이/JKS
900원,	900/SN+원/NNB+,/SP
대구·광주·대전이	대구/NNP+·/SP+광주/NNP+·/SP+대전/NNP+이/JKS
1100원.	1100/SN+원/NNB+./SF


# id : NWRW1800000030.412.7.6
시내버스는 충남이 1150원, 서울·인천 등이 900원이었다.

시내버스는	시내버스/NNG+는/JX
충남이	충남/NNP+이/JKS
1150원,	1150/SN+원/NNB+,/SP
서울·인천	서울/NNP+·/SP+인천/NNP
등이	등/NNB+이/JKS
900원이었다.	900/SN+원/NNB+이/VCP+었/EP+다/EF+./SF


