# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.443
metadata : {}


# id : NWRW1800000028.443.1.1
몸낮춘 오바마 ‘부자감세 2년 더’

몸낮춘	몸/NNG+낮추/VV+ㄴ/ETM
민주당 의원 112명과 공화당 의원 36명이 반대표를 던졌다.

민주당	민주당/NNP
의원	의원/NNG
112명과	112/SN+명/NNB+과/JC
공화당	공화당/NNP
36명이	36/SN+명/NNB+이/JKS
반대표를	반대표/NNG+를/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.443.3.3
민주당 내 진보적 의원들은 부시 감세안의 일시적 연장이 결국 “감세의 영구화”로 향하는 것이라고 거세게 반발하며 법안 표결 직전까지 상속세 면세 상한선 인하 등 법안 수정을 시도했으나 불발됐다.

민주당	민주당/NNP
내	내/NNB
진보적	진보/NNG+적/XSN
의원들은	의원/NNG+들/XSN+은/JX
부시	부시/NNP
감세안의	감세안/NNG+의/JKG
일시적	일시/NNG+적/XSN
연장이	연장/NNG+이/JKS
결국	결국/NNG
“감세의	“/SS+감세/NNG+의/JKG
영구화”로	영구/NNG+화/XSN+”/SS+로/JKB
향하는	향하/VV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
거세게	거세/VA+게/EC
반발하며	반발/NNG+하/XSV+며/EC
법안	법안/NNG
표결	표결/NNG
직전까지	직전/NNG+까지/JX
상속세	상속세/NNG
면세	면세/NNG
상한선	상한선/NNG
인하	인하/NNG
등	등/NNB
수정을	수정/NNG+을/JKO
시도했으나	시도/NNG+하/XSV+았/EP+으나/EC
불발됐다.	불발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.443.4.1
법안 통과로 인한 세금 감면 규모는 8010억달러이며, 실업급여 연장으로 추가적으로 들어가는 재정 지출은 570억달러 규모로 예상된다.

법안	법안/NNG
통과로	통과/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
세금	세금/NNG
감면	감면/NNG
규모는	규모/NNG+는/JX
8010억달러이며,	8010/SN+억/NR+달러/NNB+이/VCP+며/EC+,/SP
실업급여	실업/NNG+급여/NNG
연장으로	연장/NNG+으로/JKB
추가적으로	추가/NNG+적/XSN+으로/JKB
들어가는	들어가/VV+는/ETM
재정	재정/NNG
지출은	지출/NNG+은/JX
570억달러	570/SN+억/NR+달러/NNB
규모로	규모/NNG+로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.443.4.2
앞서 15일 상원에서도 통과된 이 법안은 17일 버락 오바마 대통령의 서명을 거쳐 발효되게 된다.

앞서	앞서/MAG
15일	15/SN+일/NNB
상원에서도	상원/NNG+에서/JKB+도/JX
통과된	통과/NNG+되/XSV+ㄴ/ETM
이	이/MMD
법안은	법안/NNG+은/JX
17일	17/SN+일/NNB
버락	버락/NNP
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
서명을	서명/NNG+을/JKO
거쳐	거치/VV+어/EC
발효되게	발효/NNG+되/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.443.5.1
백악관과 공화당은 “초당적으로 일궈낸 드문 성과”이며 “어렵게 마련한 타협의 전형”이라며 법안 통과를 환영했다.

백악관과	백악관/NNP+과/JKB
공화당은	공화당/NNP+은/JX
“초당적으로	“/SS+초당/NNG+적/XSN+으로/JKB
일궈낸	일구/VV+어/EC+내/VX+ㄴ/ETM
드문	드물/VA+ㄴ/ETM
성과”이며	성과/NNG+”/SS+이/VCP+며/EC
“어렵게	“/SS+어렵/VA+게/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
타협의	타협/NNG+의/JKG
전형”이라며	전형/NNG+”/SS+이/VCP+라며/EC
법안	법안/NNG
통과를	통과/NNG+를/JKO
환영했다.	환영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.443.6.1
오바마 대통령과 공화당 간의 초당적 합의로 마련된 이 법안은 행정부뿐 아니라 공화·민주 양당 모두 절박한 이유가 있었다.

오바마	오바마/NNP
대통령과	대통령/NNG+과/JC
공화당	공화당/NNP
간의	간/NNB+의/JKG
초당적	초당/NNG+적/XSN
합의로	합의/NNG+로/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
이	이/MMD
법안은	법안/NNG+은/JX
행정부뿐	행정부/NNG+뿐/JX
아니라	아니/VCN+라/EC
공화·민주	공화/NNP+·/SP+민주/NNP
양당	양당/NNG
모두	모두/MAG
절박한	절박하/VA+ㄴ/ETM
이유가	이유/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.443.6.2
더딘 회복을 보이고 있는 경제에 활력을 불어넣어야 하고 시한 연장이 안 될 경우 중산층을 포함한 모든 미국 가정이 평균 3천달러의 세금폭탄을 맞게 되는 상황은 피해야 한다는 것 때문이었다.

더딘	더디/VA+ㄴ/ETM
회복을	회복/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
경제에	경제/NNG+에/JKB
활력을	활력/NNG+을/JKO
불어넣어야	불어넣/VV+어야/EC
하고	하/VX+고/EC
시한	시한/NNG
연장이	연장/NNG+이/JKS
안	안/MAG
될	되/VV+ㄹ/ETM
경우	경우/NNG
중산층을	중산/NNG+층/XSN+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
미국	미국/NNP
가정이	가정/NNG+이/JKS
평균	평균/NNG
3천달러의	3/SN+천/NR+달러/NNB+의/JKG
세금폭탄을	세금/NNG+폭탄/NNG+을/JKO
맞게	맞/VV+게/EC
되는	되/VV+는/ETM
상황은	상황/NNG+은/JX
피해야	피하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.443.6.3
그러나 이런 감세 연장 합의는 “워싱턴 정계가 장기적으로 재정적자의 위기를 가속화시킬 세금 감면과 지출 확대의 사이클에 갇혀 있음을 보여준 것”이라고 <뉴욕 타임스>는 지적했다.

그러나	그러나/MAJ
이런	이런/MMD
감세	감세/NNG
연장	연장/NNG
합의는	합의/NNG+는/JX
“워싱턴	“/SS+워싱턴/NNP
정계가	정계/NNG+가/JKS
장기적으로	장기/NNG+적/XSN+으로/JKB
재정적자의	재정/NNG+적자/NNG+의/JKG
위기를	위기/NNG+를/JKO
가속화시킬	가속/NNG+화/XSN+시키/XSV+ㄹ/ETM
세금	세금/NNG
감면과	감면/NNG+과/JC
지출	지출/NNG
확대의	확대/NNG+의/JKG
사이클에	사이클/NNG+에/JKB
갇혀	갇히/VV+어/EC
있음을	있/VX+음/ETN+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.443.7.1
2년 연장된 감세법안의 2012년 말 만료시한은 다음 대통령선거 직후가 된다는 점에서, 감세와 재정적자 문제는 다음 대선에서 가장 중요한 이슈가 될 것으로 보인다.

2년	2/SN+년/NNB
연장된	연장/NNG+되/XSV+ㄴ/ETM
감세법안의	감세/NNG+법안/NNG+의/JKG
2012년	2012/SN+년/NNB
말	말/NNB
만료시한은	만료/NNG+시한/NNG+은/JX
다음	다음/NNG
대통령선거	대통령/NNG+선거/NNG
직후가	직후/NNG+가/JKS
된다는	되/VV+ㄴ다는/ETM
점에서,	점/NNG+에서/JKB+,/SP
감세와	감세/NNG+와/JC
재정적자	재정/NNG+적자/NNG
문제는	문제/NNG+는/JX
대선에서	대선/NNG+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
이슈가	이슈/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.443.7.2
백악관은 지난 1986년 개편 이후 한 번도 제대로 재검토되지 못한 세제의 개편 방안을 앞으로 2년 안에 새롭게 타협해내겠다는 목표를 세우고 있다.

백악관은	백악관/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1986년	1986/SN+년/NNB
개편	개편/NNG
이후	이후/NNG
한	한/MMN
번도	번/NNB+도/JX
제대로	제대로/MAG
재검토되지	재/XPN+검토/NNG+되/XSV+지/EC
못한	못하/VX+ㄴ/ETM
세제의	세제/NNG+의/JKG
방안을	방안/NNG+을/JKO
앞으로	앞/NNG+으로/JKB
2년	2/SN+년/NNB
안에	안/NNG+에/JKB
새롭게	새롭/VA+게/EC
타협해내겠다는	타협/NNG+하/XSV+아/EC+내/VX+겠/EP+다는/ETM
목표를	목표/NNG+를/JKO
세우고	세우/VV+고/EC
있다.	있/VX+다/EF+./SF


