# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.180
metadata : {}


# id : NWRW1800000024.180.1.1
이 슬픔의 정체는 무엇인가

이	이/MMD
표를	표/NNG+를/JKO
던졌고,	던지/VV+었/EP+고/EC+,/SP
탄핵에서	탄핵/NNG+에서/JKB
그를	그/NP+를/JKO
구해냈다.	구하/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.180.5.3
하지만 임기가 끝났을 때 그를 마음으로 지지하는 이들은 얼마 남아 있지 않았다.

하지만	하지만/MAJ
임기가	임기/NNG+가/JKS
끝났을	끝나/VV+았/EP+을/ETM
때	때/NNG
그를	그/NP+를/JKO
마음으로	마음/NNG+으로/JKB
지지하는	지지/NNG+하/XSV+는/ETM
이들은	이/NNB+들/XSN+은/JX
얼마	얼마/NNG
남아	남/VV+아/EC
있지	있/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.180.5.4
그래서 지금의 추모 열기는 다소 뜻밖의 일로 여겨지기까지 한다.

그래서	그래서/MAJ
지금의	지금/NNG+의/JKG
추모	추모/NNG
열기는	열기/NNG+는/JX
다소	다소/MAG
뜻밖의	뜻밖/NNG+의/JKG
일로	일/NNG+로/JKB
여겨지기까지	여기/VV+어/EC+지/VX+기/ETN+까지/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.180.5.5
노 전 대통령의 ‘지기’인 문재인 전 청와대 비서실장조차 “추모 열기의 정확한 원인을 모르겠다”고 했다.

노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
‘지기’인	‘/SS+지기/NNG+’/SS+이/VCP+ㄴ/ETM
문재인	문재인/NNP
청와대	청와대/NNP
비서실장조차	비서실장/NNG+조차/JX
“추모	“/SS+추모/NNG
열기의	열기/NNG+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
원인을	원인/NNG+을/JKO
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.6.1
문학평론가인 김명인 인하대 교수는 “노 전 대통령은 스스로 목숨을 끊어 ‘순교자’의 지위를 얻었다”고 말했다.

문학평론가인	문학/NNG+평론가/NNG+이/VCP+ㄴ/ETM
김명인	김명인/NNP
인하대	인하대/NNP
교수는	교수/NNG+는/JX
“노	“/SS+노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊어	끊/VV+어/EC
‘순교자’의	‘/SS+순교자/NNG+’/SS+의/JKG
지위를	지위/NNG+를/JKO
얻었다”고	얻/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.6.2
노 전 대통령은 모든 것을 용서하고, 원망하지 말 것을 마지막 말로 남겼다.

노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
모든	모든/MMN
것을	것/NNB+을/JKO
용서하고,	용서/NNG+하/XSV+고/EC+,/SP
원망하지	원망/NNG+하/XSV+지/EC
말	말/VX+ㄹ/ETM
마지막	마지막/NNG
말로	말/NNG+로/JKB
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.180.6.3
하지만 그의 죽음 앞에서 사람들은 견딜 수 없는 미안함과 죄책감을 느끼고 있다.

하지만	하지만/MAJ
그의	그/NP+의/JKG
죽음	죽음/NNG
앞에서	앞/NNG+에서/JKB
사람들은	사람/NNG+들/XSN+은/JX
견딜	견디/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
미안함과	미안/NNG+하/XSA+ㅁ/ETN+과/JC
죄책감을	죄책감/NNG+을/JKO
느끼고	느끼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.180.6.4
지난 26일 대한문 앞 분향소를 찾은 박정희(56)씨는 “노 전 대통령이 죽은 것은 결국 우리가 그를 버렸기 때문”이라며 “조문을 했는데도 마음이 편해지지 않는다”고 말했다.

지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
대한문	대한문/NNP
앞	앞/NNG
분향소를	분향소/NNG+를/JKO
찾은	찾/VV+은/ETM
박정희(56)씨는	박정희/NNP+(/SS+56/SN+)/SS+씨/NNB+는/JX
“노	“/SS+노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
죽은	죽/VV+은/ETM
것은	것/NNB+은/JX
결국	결국/MAG
우리가	우리/NP+가/JKS
그를	그/NP+를/JKO
버렸기	버리/VV+었/EP+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
“조문을	“/SS+조문/NNG+을/JKO
했는데도	하/VV+았/EP+는데/EC+도/JX
마음이	마음/NNG+이/JKS
편해지지	편하/VA+아/EC+지/VX+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.6.5
하지현 건국대 의대 교수(정신과 전문의)는 “사람들이 자신의 아버지가 돌아가신 것처럼 슬퍼하는 것은 노 전 대통령과의 ‘감정적 커넥션’이 탄탄했음을 뜻한다”고 지적했다.

하지현	하지현/NNP
건국대	건국대/NNP
의대	의대/NNG
교수(정신과	교수/NNG+(/SS+정신과/NNG
전문의)는	전문의/NNG+)/SS+는/JX
“사람들이	“/SS+사람/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
아버지가	아버지/NNG+가/JKS
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
슬퍼하는	슬퍼하/VV+는/ETM
것은	것/NNB+은/JX
노	노/NNP
전	전/MMD
대통령과의	대통령/NNG+과/JKB+의/JKG
‘감정적	‘/SS+감정/NNG+적/XSN
커넥션’이	커넥션/NNG+’/SS+이/JKS
탄탄했음을	탄탄하/VA+았/EP+음/ETN+을/JKO
뜻한다”고	뜻/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.7.1
이명박 대통령 집권 이후 1년여를 겪으며 사람들은 노 전 대통령이 내세우고 추구했던 가치의 진정성을 다시 깨닫고 있다.

이명박	이명박/NNP
대통령	대통령/NNG
집권	집권/NNG
이후	이후/NNG
1년여를	1/SN+년/NNB+여/XSN+를/JKO
겪으며	겪/VV+으며/EC
사람들은	사람/NNG+들/XSN+은/JX
노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
내세우고	내세우/VV+고/EC
추구했던	추구/NNG+하/XSV+았/EP+던/ETM
가치의	가치/NNG+의/JKG
진정성을	진정/NNG+성/XSN+을/JKO
다시	다시/MAG
깨닫고	깨닫/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.180.7.2
식을 줄 모르는 ‘추모의 염’에는 반성적 회고와 성찰이 담겼다.

식을	식/VV+을/ETM
줄	줄/NNB
모르는	모르/VV+는/ETM
‘추모의	‘/SS+추모/NNG+의/JKG
염’에는	염/NNG+’/SS+에/JKB+는/JX
반성적	반성/NNG+적/XSN
회고와	회고/NNG+와/JC
성찰이	성찰/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.180.7.3
충북 추풍령에서 아내와 세 아이를 데리고 봉하마을을 찾은 박아무개(40)씨는 “이 대통령 집권 이후 우리가 피땀 흘려 세운 민주주의가 후퇴하고 있다”며 “시민들이 연대하지 않으면 민주주의는 무너진다”고 말했다.

충북	충북/NNP
추풍령에서	추풍령/NNP+에서/JKB
아내와	아내/NNG+와/JC
세	세/MMN
아이를	아이/NNG+를/JKO
데리고	데리/VV+고/EC
봉하마을을	봉하마을/NNP+을/JKO
찾은	찾/VV+은/ETM
박아무개(40)씨는	박/NNP+아무개/NP+(/SS+40/SN+)/SS+씨/NNB+는/JX
“이	“/SS+이/MMD
대통령	대통령/NNG
집권	집권/NNG
이후	이후/NNG
우리가	우리/NP+가/JKS
피땀	피땀/NNG
흘려	흘리/VV+어/EC
세운	세우/VV+ㄴ/ETM
민주주의가	민주주의/NNG+가/JKS
후퇴하고	후퇴/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“시민들이	“/SS+시민/NNG+들/XSN+이/JKS
연대하지	연대/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
민주주의는	민주주의/NNG+는/JX
무너진다”고	무너지/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.8.1
노 전 대통령에 대한 추모 열풍은 현실을 살아가는 ‘보통사람’들의 고통과 좌절이 투영된 현상이기도 하다.

노	노/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추모	추모/NNG
열풍은	열풍/NNG+은/JX
현실을	현실/NNG+을/JKO
살아가는	살아가/VV+는/ETM
‘보통사람’들의	‘/SS+보통/NNG+사람/NNG+’/SS+들/XSN+의/JKG
고통과	고통/NNG+과/JC
좌절이	좌절/NNG+이/JKS
투영된	투영/NNG+되/XSV+ㄴ/ETM
현상이기도	현상/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000024.180.8.2
문화비평가인 이택광 경희대 교수(영문학)는 “이 대통령의 집권 이후 삶의 고통이 커진 상태에서 노 전 대통령의 죽음이라는 ‘극단적 사건’이 발생하자 사람들은 여기에 자신의 슬픔을 투영하고 있다”고 말했다.

문화비평가인	문화/NNG+비평가/NNG+이/VCP+ㄴ/ETM
이택광	이택광/NNP
경희대	경희대/NNP
교수(영문학)는	교수/NNG+(/SS+영문학/NNG+)/SS+는/JX
“이	“/SS+이/NNP
대통령의	대통령/NNG+의/JKG
집권	집권/NNG
이후	이후/NNG
삶의	삶/NNG+의/JKG
고통이	고통/NNG+이/JKS
커진	커지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
노	노/NNP
전	전/MMD
죽음이라는	죽음/NNG+이/VCP+라는/ETM
‘극단적	‘/SS+극단/NNG+적/XSN
사건’이	사건/NNG+’/SS+이/JKS
발생하자	발생/NNG+하/XSV+자/EC
사람들은	사람/NNG+들/XSN+은/JX
여기에	여기/NP+에/JKB
자신의	자신/NNG+의/JKG
슬픔을	슬픔/NNG+을/JKO
투영하고	투영/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.9.1
무엇이 따가운 햇볕 아래 사람들을 한데 불러모으고, 4~5시간의 기다림마저 달갑게 견디게 하는 것일까?

무엇이	무엇/NP+이/JKS
따가운	따갑/VA+ㄴ/ETM
햇볕	햇볕/NNG
아래	아래/NNG
사람들을	사람/NNG+들/XSN+을/JKO
한데	한데/NNG
불러모으고,	부르/VV+어/EC+모으/VV+고/EC+,/SP
4~5시간의	4/SN+~/SO+5/SN+시간/NNB+의/JKG
기다림마저	기다리/VV+ㅁ/ETN+마저/JX
달갑게	달갑/VA+게/EC
견디게	견디/VV+게/EC
하는	하/VX+는/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000024.180.10.1
황상민 연세대 교수(심리학)는 ‘노무현의 재발견’에서 그 이유를 찾았다.

황상민	황상민/NNP
연세대	연세대/NNP
교수(심리학)는	교수/NNG+(/SS+심리학/NNG+)/SS+는/JX
‘노무현의	‘/SS+노무현/NNP+의/JKG
재발견’에서	재/XPN+발견/NNG+’/SS+에서/JKB
그	그/MMD
이유를	이유/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.10.2
황 교수는 “보통사람들의 조문은 그동안 한국 사회를 지배하는 것처럼 보였던 ‘효율’이나 ‘경쟁’ 등 경제적 가치와 대비되는 것”이라고 분석했다.

황	황/NNP
교수는	교수/NNG+는/JX
“보통사람들의	“/SS+보통/NNG+사람/NNG+들/XSN+의/JKG
조문은	조문/NNG+은/JX
그동안	그동안/NNG
한국	한국/NNP
사회를	사회/NNG+를/JKO
지배하는	지배/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
보였던	보이/VV+었/EP+던/ETM
‘효율’이나	‘/SS+효율/NNG+’/SS+이나/JC
‘경쟁’	‘/SS+경쟁/NNG+’/SS
등	등/NNB
경제적	경제/NNG+적/XSN
가치와	가치/NNG+와/JKB
대비되는	대비/NNG+되/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.10.3
그는 “노 전 대통령의 죽음으로 진정 우리가 마음으로 원했던 것은 ‘국민들과 소통하고, 국민 편에 서려 했던 정치인’이라는 사실을 깨닫게 된 것”이라고 말했다.

그는	그/NP+는/JX
“노	“/SS+노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
죽음으로	죽음/NNG+으로/JKB
진정	진정/MAG
우리가	우리/NP+가/JKS
마음으로	마음/NNG+으로/JKB
원했던	원/NNG+하/XSV+았/EP+던/ETM
것은	것/NNB+은/JX
‘국민들과	‘/SS+국민/NNG+들/XSN+과/JKB
소통하고,	소통/NNG+하/XSV+고/EC+,/SP
국민	국민/NNG
편에	편/NNG+에/JKB
서려	서/VV+려/EC
했던	하/VX+았/EP+던/ETM
정치인’이라는	정치인/NNG+’/SS+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
깨닫게	깨닫/VV+게/EC
된	되/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.10.4
그동안 보수 성향의 언론과 정치세력들이 ‘경제를 살리면 모든 게 해결된다’고 말해왔지만, “그게 전부가 아니다”라는 대중들의 ‘무언의 항변’이 끊이지 않는 조문 행렬로 나타나고 있다는 것이다.

그동안	그동안/NNG
보수	보수/NNG
성향의	성향/NNG+의/JKG
언론과	언론/NNG+과/JC
정치세력들이	정치/NNG+세력/NNG+들/XSN+이/JKS
‘경제를	‘/SS+경제/NNG+를/JKO
살리면	살리/VV+면/EC
모든	모든/MMN
게	거/NNB+이/JKS
해결된다’고	해결/NNG+되/XSV+ㄴ다/EF+’/SS+고/JKQ
말해왔지만,	말/NNG+하/XSV+아/EC+오/VX+았/EP+지만/EC+,/SP
“그게	“/SS+그거/NP+이/JKS
전부가	전부/NNG+가/JKC
아니다”라는	아니/VCN+다/EF+”/SS+이/VCP+라는/ETM
대중들의	대중/NNG+들/XSN+의/JKG
‘무언의	‘/SS+무언/NNG+의/JKG
항변’이	항변/NNG+’/SS+이/JKS
끊이지	끊이/VV+지/EC
않는	않/VX+는/ETM
조문	조문/NNG
행렬로	행렬/NNG+로/JKB
나타나고	나타나/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.180.10.5
이런 뜻밖의 ‘노무현 신드롬’은 한마디로 설명하기가 어려워 보인다.

이런	이런/MMD
뜻밖의	뜻밖/NNG+의/JKG
‘노무현	‘/SS+노무현/NNP
신드롬’은	신드롬/NNG+’/SS+은/JX
한마디로	한마디/NNG+로/JKB
설명하기가	설명/NNG+하/XSV+기/ETN+가/JKS
어려워	어렵/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.180.10.6
심리적 원인은 중층적이고 복합적이다.

심리적	심리/NNG+적/XSN
원인은	원인/NNG+은/JX
중층적이고	중층/NNG+적/XSN+이/VCP+고/EC
복합적이다.	복합/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.180.10.7
다만 분명한 것은 그의 부재가 그의 존재를 재확인하는 ‘역설’을 낳고 있다는 사실이다.

다만	다만/MAG
분명한	분명/MAG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
그의	그/NP+의/JKG
부재가	부재/NNG+가/JKS
존재를	존재/NNG+를/JKO
재확인하는	재/XPN+확인/NNG+하/XSV+는/ETM
‘역설’을	‘/SS+역설/NNG+’/SS+을/JKO
낳고	낳/VV+고/EC
있다는	있/VX+다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.180.10.8
김호기 연세대 교수(사회학)는 “노 전 대통령은 갑작스런 자신의 부재로써 자신의 존재를 증명했다”고 말했다.

김호기	김호기/NNP
연세대	연세대/NNP
교수(사회학)는	교수/NNG+(/SS+사회학/NNG+)/SS+는/JX
“노	“/SS+노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
갑작스런	갑작스럽/VA+ㄴ/ETM
자신의	자신/NNG+의/JKG
부재로써	부재/NNG+로써/JKB
존재를	존재/NNG+를/JKO
증명했다”고	증명/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.11.1
문제는 앞으로다.

문제는	문제/NNG+는/JX
앞으로다.	앞/NNG+으로/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000024.180.11.2
노 전 대통령의 부재는 한 전직 대통령의 죽음 그 이상이다.

노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
부재는	부재/NNG+는/JX
한	한/MMN
전직	전직/NNG
죽음	죽음/NNG
그	그/MMD
이상이다.	이상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.180.11.3
이택광 교수는 “절망스러운 것은 사람들이 받은 이 슬픔을 다독여줄 이가 없다는 것”이라며 “이 대통령은 그런 ‘아버지’로서의 자격도, 역할도 이미 포기했고, 사람들도 기대를 접었다”고 말했다.

이택광	이택광/NNP
교수는	교수/NNG+는/JX
“절망스러운	“/SS+절망/NNG+스럽/XSA+ㄴ/ETM
것은	것/NNB+은/JX
사람들이	사람/NNG+들/XSN+이/JKS
받은	받/VV+은/ETM
이	이/MMD
슬픔을	슬픔/NNG+을/JKO
다독여줄	다독이/VV+어/EC+주/VX+ㄹ/ETM
이가	이/NNB+가/JKS
없다는	없/VA+다는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이	“/SS+이/NNP
대통령은	대통령/NNG+은/JX
그런	그런/MMD
‘아버지’로서의	‘/SS+아버지/NNG+’/SS+로서/JKB+의/JKG
자격도,	자격/NNG+도/JX+,/SP
역할도	역할/NNG+도/JX
이미	이미/MAG
포기했고,	포기/NNG+하/XSV+았/EP+고/EC+,/SP
사람들도	사람/NNG+들/XSN+도/JX
기대를	기대/NNG+를/JKO
접었다”고	접/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.180.11.4
조대엽 고려대 교수(사회학)도 “이 추모 열기를 정서적으로 잘 되새겨 현실을 바꾸는 동력으로 삼아야겠지만, 앞이 보이지 않고 갈 길이 여전히 멀다”고 했다.

조대엽	조대엽/NNP
고려대	고려대/NNP
교수(사회학)도	교수/NNG+(/SS+사회학/NNG+)/SS+도/JX
“이	“/SS+이/MMD
추모	추모/NNG
열기를	열기/NNG+를/JKO
정서적으로	정서/NNG+적/XSN+으로/JKB
잘	잘/MAG
되새겨	되새기/VV+어/EC
현실을	현실/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
동력으로	동력/NNG+으로/JKB
삼아야겠지만,	삼/VV+아야/EC+하/VX+겠/EP+지만/EC+,/SP
앞이	앞/NNG+이/JKS
보이지	보이/VV+지/EC
않고	않/VX+고/EC
갈	가/VV+ㄹ/ETM
길이	길/NNG+이/JKS
여전히	여전히/MAG
멀다”고	멀/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


