# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.383
metadata : {}


# id : NWRW1800000037.383.1.1
[단독]與 ‘정몽준 서울시장 후보 차출설’ 솔솔

[단독]與	[/SS+단독/NNG+]/SS+與/SH
정	정/NNP
의원을	의원/NNG+을/JKO
후보로	후보/NNG+로/JKB
추대해	추대/NNG+하/XSV+아/EC
서울시장직을	서울시장/NNG+직/NNG+을/JKO
탈환해야	탈환/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000037.383.4.3
황우여 대표는 최근 정 의원을 만나 서울시장 출마에 대해 논의한 것으로 알려졌다.

황우여	황우여/NNP
대표는	대표/NNG+는/JX
최근	최근/MAG
정	정/NNP
의원을	의원/NNG+을/JKO
만나	만나/VV+아/EC
서울시장	서울시장/NNG
출마에	출마/NNG+에/JKB
대해	대하/VV+아/EC
논의한	논의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.383.5.1
정 의원 측도 조심스럽기는 하지만 점차 가능성을 열어 두는 듯한 분위기다.

정	정/NNP
의원	의원/NNG
측도	측/NNB+도/JX
조심스럽기는	조심/NNG+스럽/XSA+기/ETN+는/JX
하지만	하/VX+지만/EC
점차	점차/MAG
가능성을	가능/NNG+성/XSN+을/JKO
열어	열/VV+어/EC
두는	두/VX+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.383.5.2
한 측근은 “그동안은 서울시장 출마에 대해 전혀 고려하지 않았지만 지금은 좀 분위기가 달라졌다”며 “출마와 불출마 가능성을 50 대 50 정도로 보면 된다”고 말했다.

한	한/MMN
측근은	측근/NNG+은/JX
“그동안은	“/SS+그동안/NNG+은/JX
서울시장	서울시장/NNG
출마에	출마/NNG+에/JKB
대해	대하/VV+아/EC
전혀	전혀/MAG
고려하지	고려/NNG+하/XSV+지/EC
않았지만	않/VX+았/EP+지만/EC
지금은	지금/NNG+은/JX
좀	좀/MAG
분위기가	분위기/NNG+가/JKS
달라졌다”며	달라지/VV+었/EP+다/EF+”/SS+며/EC
“출마와	“/SS+출마/NNG+와/JC
불출마	불/XPN+출마/NNG
가능성을	가능/NNG+성/XSN+을/JKO
50	50/SN
대	대/NNB
정도로	정도/NNG+로/JKB
보면	보/VV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.383.5.3
정 의원 측에서는 “지방선거에서 반드시 이겨야 하는 당의 입장을 나 몰라라 할 수는 없는 것 아니냐”는 말도 나온다.

정	정/NNP
의원	의원/NNG
측에서는	측/NNB+에서/JKB+는/JX
“지방선거에서	“/SS+지방/NNG+선거/NNG+에서/JKB
반드시	반드시/MAG
이겨야	이기/VV+어야/EC
하는	하/VX+는/ETM
당의	당/NNG+의/JKG
입장을	입장/NNG+을/JKO
나	나/NP
몰라라	모르/VV+아라/EF
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없는	없/VA+는/ETM
것	것/NNB
아니냐”는	아니/VCN+냐/EF+”/SS+는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.383.6.1
정 의원 측이 서울시장 출마 가능성을 열어 두려는 데는 현실적 이유도 작용하는 것으로 알려졌다.

정	정/NNP
의원	의원/NNG
측이	측/NNB+이/JKS
서울시장	서울시장/NNG
출마	출마/NNG
가능성을	가능/NNG+성/XSN+을/JKO
열어	열/VV+어/EC
두려는	두/VX+려는/ETM
데는	데/NNB+는/JX
현실적	현실/NNG+적/XSN
이유도	이유/NNG+도/JX
작용하는	작용/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.383.6.2
박근혜 대통령과 불편한 관계인 데다 당에는 친박이 절대 다수여서 당장은 큰 꿈을 펼치는 데 한계가 있을 수 있다는 말도 있다.

박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JKB
불편한	불편/NNG+하/XSA+ㄴ/ETM
관계인	관계/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
당에는	당/NNG+에/JKB+는/JX
친박이	친/XPN+박/NNP+이/JKS
절대	절대/NNG
다수여서	다수/NNG+이/VCP+어서/EC
당장은	당장/NNG+은/JX
큰	크/VA+ㄴ/ETM
꿈을	꿈/NNG+을/JKO
펼치는	펼치/VV+는/ETM
데	데/NNB
한계가	한계/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
말도	말/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.383.6.3
특히 서울시장 선거에서 승리할 경우 차기 대선 주자로 급부상할 수 있어 해볼 만한 도전이라는 얘기도 나온다.

특히	특히/MAG
서울시장	서울시장/NNG
선거에서	선거/NNG+에서/JKB
승리할	승리/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
차기	차기/NNG
대선	대선/NNG
주자로	주자/NNG+로/JKB
급부상할	급부상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
해볼	해보/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
도전이라는	도전/NNG+이/VCP+라는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.383.7.1
정 의원은 당이 공식으로 후보에 추대하면 당의 뜻을 따르는 형식을 밟을 개연성이 있는 것으로 전해졌다.

정	정/NNP
의원은	의원/NNG+은/JX
당이	당/NNG+이/JKS
공식으로	공식/NNG+으로/JKB
후보에	후보/NNG+에/JKB
추대하면	추대/NNG+하/XSV+면/EC
당의	당/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
따르는	따르/VV+는/ETM
형식을	형식/NNG+을/JKO
밟을	밟/VV+을/ETM
개연성이	개연/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.383.7.2
대선에 두 번 도전했던 국회 최다선(7선) 의원에게 경선을 거치게 하는 것은 모양새가 좋지 않다는 말도 나온다.

대선에	대선/NNG+에/JKB
두	두/MMN
번	번/NNB
도전했던	도전/NNG+하/XSV+았/EP+던/ETM
국회	국회/NNG
최다선(7선)	최/XPN+다선/NNG+(/SS+7/SN+선/NNB+)/SS
의원에게	의원/NNG+에게/JKB
경선을	경선/NNG+을/JKO
거치게	거치/VV+게/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
모양새가	모양새/NNG+가/JKS
좋지	좋/VA+지/EC
않다는	않/VX+다는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.383.7.3
다만 지방선거에서 패할 경우 대권으로 가는 길이 더 험난해질 수 있어 막판까지 신중하게 검토할 가능성이 크다는 게 주변 인사들의 관측이다.

다만	다만/MAG
지방선거에서	지방/NNG+선거/NNG+에서/JKB
패할	패/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
대권으로	대권/NNG+으로/JKB
가는	가/VV+는/ETM
길이	길/NNG+이/JKS
더	더/MAG
험난해질	험난하/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
막판까지	막판/NNG+까지/JX
신중하게	신중/NNG+하/XSA+게/EC
검토할	검토/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
게	거/NNB+이/JKS
주변	주변/NNG
인사들의	인사/NNG+들/XSN+의/JKG
관측이다.	관측/NNG+이/VCP+다/EF+./SF


