# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.209
metadata : {}


# id : NWRW1800000026.209.1.1
[색연필] '교통카드 사용내역' 때문에 딱 걸린 70代 불륜

[색연필]	[/SS+색연필/NNG+]/SS
갈	가/VV+ㄹ/ETM
때	때/NNG
버스와	버스/NNG+와/JC
지하철을	지하철/NNG+을/JKO
타고	타/VV+고/EC
갔고,	가/VV+았/EP+고/EC+,/SP
그때마다	그때/NNG+마다/JX
교통카드를	교통/NNG+카드/NNG+를/JKO
이용했다는	이용/NNG+하/XSV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
확인,	확인/NNG+,/SP
그	그/MMD
내용을	내용/NNG+을/JKO
2심	2심/NNG
재판부에	재판부/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.209.7.1
서울중앙지법 형사5부(재판장 김정호)는 이에 최근 "박씨의 교통카드 사용 내역과 통화 내역 등을 종합해 볼 때 한씨와 13차례 모텔이 있는 지역에 함께 있었다는 사실이 객관적으로 입증됐다"면서 두 사람의 간통혐의를 인정해서 각각 징역 4개월에 집행유예 1년씩을 선고했다.

서울중앙지법	서울중앙지법/NNP
형사5부(재판장	형사/NNG+5/SN+부/NNG+(/SS+재판장/NNG
김정호)는	김정호/NNP+)/SS+는/JX
이에	이에/MAG
최근	최근/MAG
"박씨의	"/SS+박/NNP+씨/NNB+의/JKG
교통카드	교통/NNG+카드/NNG
사용	사용/NNG
내역과	내역/NNG+과/JC
통화	통화/NNG
내역	내역/NNG
등을	등/NNB+을/JKO
종합해	종합/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
때	때/NNG
한씨와	한/NNP+씨/NNB+와/JKB
13차례	13/SN+차례/NNG
모텔이	모텔/NNG+이/JKS
있는	있/VA+는/ETM
지역에	지역/NNG+에/JKB
함께	함께/MAG
있었다는	있/VA+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
객관적으로	객관/NNG+적/XSN+으로/JKB
입증됐다"면서	입증/NNG+되/XSV+었/EP+다/EF+"/SS+면서/EC
두	두/MMN
사람의	사람/NNG+의/JKG
간통혐의를	간통/NNG+혐의/NNG+를/JKO
인정해서	인정/NNG+하/XSV+아서/EC
각각	각각/MAG
징역	징역/NNG
4개월에	4/SN+개월/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
1년씩을	1/SN+년/NNB+씩/XSN+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


