# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.182
metadata : {}


# id : NWRW1800000049.182.1.1
[휴지통]‘이승만 詩 공모전’ 수상작 세로로 읽어보니…

[휴지통]‘이승만	[/SS+휴지통/NNG+]/SS+‘/SS+이승만/NNP
역할을	역할/NNG+을/JKO
하셨으며/버려진	하/VV+시/EP+었/EP+으며/EC+//SP+버려지/VV+ㄴ/ETM
이	이/MMD
땅의	땅/NNG+의/JKG
마지막	마지막/NNG
희망으로/린민군의	희망/NNG+으로/JKB+//SP+린민군/NNG+의/JKG
압제에	압제/NNG+에/JKB
당당히	당당히/MAG
맞서니/도리어	맞서/VV+니/EC+//SP+도리어/MAG
두만강까지	두만강/NNP+까지/JX
밀고	밀/VV+고/EC
들어가/망국의	들어가/VV+아/EC+//SP+망국/NNG+의/JKG
판세를	판세/NNG+를/JKO
뒤엎고	뒤엎/VV+고/EC
솟아올라/자유민주주의	솟아오르/VV+아/EC+//SP+자유/NNG+민주주의/NNG
기틀을	기틀/NNG+을/JKO
잡으셨다.’	잡/VV+으시/EP+었/EP+다/EF+./SF+’/SS


# id : NWRW1800000049.182.5.3
하지만 각 행의 앞 글자만 보면 ‘국민 버린 도망자’라는 숨겨진 뜻이 나온다.

하지만	하지만/MAJ
각	각/MMD
행의	행/NNG+의/JKG
앞	앞/NNG
글자만	글자/NNG+만/JX
보면	보/VV+면/EC
‘국민	‘/SS+국민/NNG
버린	버리/VV+ㄴ/ETM
도망자’라는	도망자/NNG+’/SS+이/VCP+라는/ETM
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
뜻이	뜻/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.182.6.1
우남 찬가 외에 최우수상을 받은 ‘To the Promised Land(약속된 땅으로)’라는 시 역시 각 행에 대문자로 쓰인 첫 알파벳만 읽으면 ‘NIGAGARA HAWAII(니가 가라 하와이)’라고 읽힌다.

우남	우남/NNP
찬가	찬가/NNG
외에	외/NNB+에/JKB
최우수상을	최우수상/NNG+을/JKO
받은	받/VV+은/ETM
‘To	‘/SS+To/SL
the	the/SL
Promised	Promised/SL
Land(약속된	Land/SL+(/SS+약속/NNG+되/XSV+ㄴ/ETM
땅으로)’라는	땅/NNG+으로/JKB+)/SS+’/SS+이/VCP+라는/ETM
시	시/NNG
역시	역시/MAG
각	각/MMD
행에	행/NNG+에/JKB
대문자로	대/XPN+문자/NNG+로/JKB
쓰인	쓰이/VV+ㄴ/ETM
첫	첫/MMN
알파벳만	알파벳/NNG+만/JX
읽으면	읽/VV+으면/EC
‘NIGAGARA	‘/SS+NIGAGARA/SL
HAWAII(니가	HAWAII/SL+(/SS+니/NP+가/JKS
가라	가/VV+라/EF
하와이)’라고	하와이/NNP+)/SS+’/SS+이라고/JKQ
읽힌다.	읽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.182.6.2
이 문구는 영화 ‘친구’에 등장하는 대사로 널리 알려져 있다.

이	이/MMD
문구는	문구/NNG+는/JX
영화	영화/NNG
‘친구’에	‘/SS+친구/NNP+’/SS+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
대사로	대사/NNG+로/JKB
널리	널리/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.182.6.3
자유경제원은 소셜네트워크서비스(SNS) 등에서 이런 사실이 알려진 직후 두 편의 시를 수상집 목록에서 삭제하고 수상을 취소했다.

자유경제원은	자유경제원/NNP+은/JX
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
등에서	등/NNB+에서/JKB
이런	이런/MMD
사실이	사실/NNG+이/JKS
알려진	알려지/VV+ㄴ/ETM
직후	직후/NNG
두	두/MMN
편의	편/NNB+의/JKG
시를	시/NNG+를/JKO
수상집	수상집/NNG
목록에서	목록/NNG+에서/JKB
삭제하고	삭제/NNG+하/XSV+고/EC
수상을	수상/NNG+을/JKO
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.182.6.4
자유경제원 측은 “악의적인 일부 수상작에 대해 법적 조치를 포함해 강력 대처하겠다”고 밝혔다.

자유경제원	자유경제원/NNP
측은	측/NNB+은/JX
“악의적인	“/SS+악의/NNG+적/XSN+이/VCP+ㄴ/ETM
일부	일부/NNG
수상작에	수상작/NNG+에/JKB
대해	대하/VV+아/EC
법적	법/NNG+적/XSN
조치를	조치/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
강력	강력/NNG
대처하겠다”고	대처/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


