# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.315
metadata : {}


# id : NWRW1800000049.315.1.1
“中관광객 줄어드는데 면세점 늘려서야”

“中관광객	“/SS+中/SH+관광객/NNG
나타날	나타나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.315.7.1
국내 시내 면세점 중 매출액 3위인 롯데면세점 월드타워점은 올해 6월, 워커힐면세점은 5월에 영업을 중단해야 한다.

국내	국내/NNG
시내	시내/NNG
면세점	면세점/NNG
중	중/NNB
매출액	매출액/NNG
3위인	3/SN+위/NNB+이/VCP+ㄴ/ETM
롯데면세점	롯데면세점/NNP
월드타워점은	월드타워점/NNG+은/JX
올해	올해/NNG
6월,	6/SN+월/NNB+,/SP
워커힐면세점은	워커힐면세점/NNP+은/JX
5월에	5/SN+월/NNB+에/JKB
영업을	영업/NNG+을/JKO
중단해야	중단/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


