# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.382
metadata : {}


# id : NWRW1800000032.382.1.1
“국민 입장서 생각하라” 이대통령, 검찰에 경고

“국민	“/SS+국민/NNG
파기’라고	파기/NNG+’/SS+라고/JKQ
반발하는	반발/NNG+하/XSV+는/ETM
명분이	명분/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000032.382.7.2
국민들도 안 좋게 볼 것”이라고 말했다.

국민들도	국민/NNG+들/XSN+도/JX
안	안/MAG
좋게	좋/VA+게/EC
볼	보/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.382.8.1
청와대는 수사지휘권의 범위를 법무부령이 아닌 대통령령으로 정하기로 한 데 대해 검찰이 문제 삼는 것도 지나치다고 보고 있다.

청와대는	청와대/NNP+는/JX
수사지휘권의	수사/NNG+지휘/NNG+권/XSN+의/JKG
범위를	범위/NNG+를/JKO
법무부령이	법무부령/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
대통령령으로	대통령령/NNG+으로/JKB
정하기로	정하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
검찰이	검찰/NNG+이/JKS
문제	문제/NNG
삼는	삼/VV+는/ETM
것도	것/NNB+도/JX
지나치다고	지나치/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.382.8.2
청와대 관계자는 “수사지휘권 논의의 범위가 법무부에서 정부 전체로 넘어간 것일 뿐”이라며 “대통령령으로 정한다고 해서 검찰 수사지휘권이 훼손되지 않을 것”이라고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
“수사지휘권	“/SS+수사/NNG+지휘/NNG+권/XSN
논의의	논의/NNG+의/JKG
범위가	범위/NNG+가/JKS
법무부에서	법무부/NNG+에서/JKB
정부	정부/NNG
전체로	전체/NNG+로/JKB
넘어간	넘어가/VV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
“대통령령으로	“/SS+대통령령/NNG+으로/JKB
정한다고	정하/VV+ㄴ다고/EC
해서	하/VV+아서/EC
검찰	검찰/NNG
수사지휘권이	수사/NNG+지휘/NNG+권/XSN+이/JKS
훼손되지	훼손/NNG+되/XSV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.382.8.3
청와대는 검찰 간부들의 사표를 수리하지 않는다는 방침이다.

청와대는	청와대/NNP+는/JX
검찰	검찰/NNG
간부들의	간부/NNG+들/XSN+의/JKG
사표를	사표/NNG+를/JKO
수리하지	수리/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


