# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.393
metadata : {}


# id : NWRW1800000021.393.1.1
[충북]충북 괴산에 기숙형 중학교… 6학급 규모 2012년 개교

[충북]충북	[/SS+충북/NNP+]/SS+충북/NNP
5개교(학생	5/SN+개교/NNB+(/SS+학생/NNG
수	수/NNG
202명)를	202/SN+명/NNB+)/SS+를/JKO
통폐합해	통폐합/NNG+하/XSV+아/EC
2011년	2011/SN+년/NNB
기숙형	기숙/NNG+형/XSN
중학교를	중학교/NNG+를/JKO
설립할	설립/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.393.3.2
그러나 칠성중은 그 지역에 전원마을 및 생협단지가 들어서면서 학생 수가 늘 것으로 예상돼 대상에서 제외했다.

그러나	그러나/MAJ
칠성중은	칠성중/NNP+은/JX
그	그/MMD
지역에	지역/NNG+에/JKB
전원마을	전원/NNG+마을/NNG
및	및/MAG
생협단지가	생협/NNG+단지/NNG+가/JKS
들어서면서	들어서/VV+면서/EC
학생	학생/NNG
수가	수/NNG+가/JKS
늘	늘/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상돼	예상/NNG+되/XSV+어/EC
대상에서	대상/NNG+에서/JKB
제외했다.	제외/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.393.4.1
기숙형 중학교는 농촌지역의 우수인재 양성을 위해 세워진다.

기숙형	기숙/NNG+형/XSN
중학교는	중학교/NNG+는/JX
농촌지역의	농촌/NNG+지역/NNG+의/JKG
우수인재	우수/NNG+인재/NNG
양성을	양성/NNG+을/JKO
위해	위하/VV+아/EC
세워진다.	세우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.393.4.2
교육비와 기숙사비, 통학비 등이 전액 무료여서 학부모들의 부담이 크게 줄어들 것으로 기대된다.

교육비와	교육비/NNG+와/JC
기숙사비,	기숙사비/NNG+,/SP
통학비	통학비/NNG
등이	등/NNB+이/JKS
전액	전액/NNG
무료여서	무료/NNG+이/VCP+어서/EC
학부모들의	학부모/NNG+들/XSN+의/JKG
부담이	부담/NNG+이/JKS
크게	크/VA+게/EC
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


