# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.203
metadata : {}


# id : NWRW1800000021.203.1.1
[이젠 원자력이다]“가진 건 머리뿐”… 맨손으로 일으킨 ‘원자력 독립국’

[이젠	[/SS+이제/NNG+ㄴ/JX
대통령을	대통령/NNG+을/JKO
예방한	예방/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
한	하/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.203.3.2
6·25전쟁 이후 빈곤과 무질서에 허덕이던 당시 한국에 원자력은 그렇게 ‘희망’같이 다가왔다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
이후	이후/NNG
빈곤과	빈곤/NNG+과/JC
무질서에	무/XPN+질서/NNG+에/JKB
허덕이던	허덕이/VV+던/ETM
당시	당시/NNG
한국에	한국/NNP+에/JKB
원자력은	원자력/NNG+은/JX
그렇게	그렇/VA+게/EC
‘희망’같이	‘/SS+희망/NNG+’/SS+같이/JKB
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.3.3
한국은 1956년 미국과 원자력협력협정을 체결해 관련 기술개발과 산업화에 뛰어든다.

한국은	한국/NNP+은/JX
1956년	1956/SN+년/NNB
미국과	미국/NNP+과/JKB
원자력협력협정을	원자력/NNG+협력/NNG+협정/NNG+을/JKO
체결해	체결/NNG+하/XSV+아/EC
관련	관련/NNG
기술개발과	기술/NNG+개발/NNG+과/JC
산업화에	산업/NNG+화/XSN+에/JKB
뛰어든다.	뛰어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.203.3.4
1960년대에는 원자력 발전의 청사진을 마련했고, 1970, 80년대 본격적인 기술 개발을 거쳐 1990년대 자립적인 기술 개발에 주력했다.

1960년대에는	1960/SN+년대/NNB+에/JKB+는/JX
원자력	원자력/NNG
발전의	발전/NNG+의/JKG
청사진을	청사진/NNG+을/JKO
마련했고,	마련/NNG+하/XSV+았/EP+고/EC+,/SP
1970,	1970/SN+,/SP
80년대	80/SN+년대/NNB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
기술	기술/NNG
개발을	개발/NNG+을/JKO
거쳐	거치/VV+어/EC
1990년대	1990/SN+년대/NNB
자립적인	자립/NNG+적/XSN+이/VCP+ㄴ/ETM
개발에	개발/NNG+에/JKB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.3.5
이후 2000년대 기술 고도 성장기를 거친 원자력은 이제 녹색성장의 새로운 동력으로 주목받고 있다.》

이후	이후/NNG
2000년대	2000/SN+년대/NNB
기술	기술/NNG
고도	고도/NNG
성장기를	성장기/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
원자력은	원자력/NNG+은/JX
이제	이제/MAG
녹색성장의	녹색/NNG+성장/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
동력으로	동력/NNG+으로/JKB
주목받고	주목/NNG+받/XSV+고/EC
있다.》	있/VX+다/EF+./SF+》/SS


# id : NWRW1800000021.203.4.1
○ 6·25 전후 국가발전의 새 희망, 원자력

○	○/SW
6·25	6/SN+·/SP+25/SN
전후	전후/NNG
국가발전의	국가/NNG+발전/NNG+의/JKG
새	새/MMA
희망,	희망/NNG+,/SP
원자력	원자력/NNG


# id : NWRW1800000021.203.5.1
1956년 미국과 원자력협력협정을 체결했고, 같은 해 3월 당시 문교부 기술교육국에 원자력과를 신설하면서 한국은 원자력 기술개발 및 산업화를 위한 본격적인 준비에 돌입했다.

1956년	1956/SN+년/NNB
미국과	미국/NNP+과/JKB
원자력협력협정을	원자력/NNG+협력/NNG+협정/NNG+을/JKO
체결했고,	체결/NNG+하/XSV+았/EP+고/EC+,/SP
같은	같/VA+은/ETM
해	해/NNG
3월	3/SN+월/NNB
당시	당시/NNG
문교부	문교부/NNG
기술교육국에	기술/NNG+교육/NNG+국/NNG+에/JKB
원자력과를	원자력과/NNG+를/JKO
신설하면서	신설/NNG+하/XSV+면서/EC
한국은	한국/NNP+은/JX
원자력	원자력/NNG
기술개발	기술/NNG+개발/NNG
및	및/MAG
산업화를	산업/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
준비에	준비/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.5.2
1959년에는 원자력원(현 교육과학기술부)과 국내 최초의 원자력 연구기관인 원자력연구소(현 한국원자력연구원)도 문을 열었다.

1959년에는	1959/SN+년/NNB+에/JKB+는/JX
원자력원(현	원자력원/NNG+(/SS+현/MMD
교육과학기술부)과	교육/NNG+과학/NNG+기술부/NNG+)/SS+과/JC
국내	국내/NNG
최초의	최초/NNG+의/JKG
원자력	원자력/NNG
연구기관인	연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
원자력연구소(현	원자력/NNG+연구소/NNG+(/SS+현/MMD
한국원자력연구원)도	한국원자력연구원/NNP+)/SS+도/JX
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.5.3
이 같은 움직임은 학계로도 이어져 1958년 한양대에 국내 최초로 원자력공학과, 1959년 서울대에 원자력공학과가 각각 개설되면서 원자력 미래인재 양성이 본격화됐다.

이	이/NP
같은	같/VA+은/ETM
움직임은	움직임/NNG+은/JX
학계로도	학계/NNG+로/JKB+도/JX
이어져	이어지/VV+어/EC
1958년	1958/SN+년/NNB
한양대에	한양대/NNP+에/JKB
국내	국내/NNG
최초로	최초/NNG+로/JKB
원자력공학과,	원자력/NNG+공학과/NNG+,/SP
1959년	1959/SN+년/NNB
서울대에	서울대/NNP+에/JKB
원자력공학과가	원자력/NNG+공학과/NNG+가/JKS
각각	각각/MAG
개설되면서	개설/NNG+되/XSV+면서/EC
원자력	원자력/NNG
미래인재	미래/NNG+인재/NNG
양성이	양성/NNG+이/JKS
본격화됐다.	본격/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.5.4
1959년 7월 당시 이승만 대통령은 원자력계 주요 인사들이 참석한 가운데 국내 최초 연구용 원자로인 ‘TRIGA Mark -Ⅱ’의 기공식을 개최했다.

1959년	1959/SN+년/NNB
7월	7/SN+월/NNB
당시	당시/NNG
이승만	이승만/NNP
대통령은	대통령/NNG+은/JX
원자력계	원자력/NNG+계/XSN
주요	주요/NNG
인사들이	인사/NNG+들/XSN+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
국내	국내/NNG
최초	최초/NNG
연구용	연구/NNG+용/XSN
원자로인	원자로/NNG+이/VCP+ㄴ/ETM
‘TRIGA	‘/SS+TRIGA/SL
Mark	Mark/SL
-Ⅱ’의	-/SO+Ⅱ/SW+’/SS+의/JKG
기공식을	기공식/NNG+을/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.5.5
대한민국 원자력 기술개발의 첫 신호탄이 쏘아 올려지는 순간이었다.

대한민국	대한민국/NNP
원자력	원자력/NNG
기술개발의	기술/NNG+개발/NNG+의/JKG
첫	첫/MMN
신호탄이	신호탄/NNG+이/JKS
쏘아	쏘/VV+아/EC
올려지는	올리/VV+어/EC+지/VX+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.203.6.1
1960년대 국내 전력 소비량은 급증하기 시작했고, 부족한 에너지자원 확보를 위한 원자력 발전의 청사진도 구체화되기 시작했다.

1960년대	1960/SN+년대/NNB
국내	국내/NNG
전력	전력/NNG
소비량은	소비량/NNG+은/JX
급증하기	급증/NNG+하/XSV+기/ETN
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
부족한	부족/NNG+하/XSA+ㄴ/ETM
에너지자원	에너지/NNG+자원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
원자력	원자력/NNG
발전의	발전/NNG+의/JKG
청사진도	청사진/NNG+도/JX
구체화되기	구체/NNG+화/XSN+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.6.2
1962년 정부는 ‘원자력발전대책위원회’를 구성해 국내 최초로 ‘원자력발전 추진계획’을 수립했다.

1962년	1962/SN+년/NNB
정부는	정부/NNG+는/JX
‘원자력발전대책위원회’를	‘/SS+원자력/NNG+발전/NNG+대책/NNG+위원회/NNG+’/SS+를/JKO
구성해	구성/NNG+하/XSV+아/EC
국내	국내/NNG
최초로	최초/NNG+로/JKB
‘원자력발전	‘/SS+원자력/NNG+발전/NNG
추진계획’을	추진/NNG+계획/NNG+’/SS+을/JKO
수립했다.	수립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.6.3
제1호 원전건설을 위한 움직임도 활발해졌다.

제1호	제/XPN+1/SN+호/NNB
원전건설을	원전/NNG+건설/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
움직임도	움직임/NNG+도/JX
활발해졌다.	활발하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.203.6.4
1964년 기초조사가 시작된 후 4년여 만인 1968년 기상·지질 등 다양한 기초조사 끝에 경남 양산시 고리지역이 최종 원전 후보지로 선정됐다.

1964년	1964/SN+년/NNB
기초조사가	기초/NNG+조사/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
후	후/NNG
4년여	4/SN+년/NNB+여/XSN
만인	만/NNB+이/VCP+ㄴ/ETM
1968년	1968/SN+년/NNB
기상·지질	기상/NNG+·/SP+지질/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
기초조사	기초/NNG+조사/NNG
끝에	끝/NNG+에/JKB
경남	경남/NNP
양산시	양산시/NNP
고리지역이	고리/NNP+지역/NNG+이/JKS
최종	최종/NNG
원전	원전/NNG
후보지로	후보지/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.6.5
이어 정부는 각국의 원전 정책 및 기술개발 현황 등을 정책수립에 반영하기 위해 1966년부터 ‘원자력발전조사위원회’를 꾸려 미국 등 해외선진국 사례조사에도 착수했다.

이어	이어/MAG
정부는	정부/NNG+는/JX
각국의	각국/NNG+의/JKG
원전	원전/NNG
정책	정책/NNG
및	및/MAG
기술개발	기술/NNG+개발/NNG
현황	현황/NNG
등을	등/NNB+을/JKO
정책수립에	정책/NNG+수립/NNG+에/JKB
반영하기	반영/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
1966년부터	1966/SN+년/NNB+부터/JX
‘원자력발전조사위원회’를	‘/SS+원자력/NNG+발전/NNG+조사/NNG+위원회/NNG+’/SS+를/JKO
꾸려	꾸리/VV+어/EC
미국	미국/NNP
등	등/NNB
해외선진국	해외/NNG+선진국/NNG
사례조사에도	사례/NNG+조사/NNG+에/JKB+도/JX
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.7.1
○ 본격적 개발기

○	○/SW
본격적	본격/NNG+적/XSN
개발기	개발기/NNG


# id : NWRW1800000021.203.8.1
1971년 3월 19일 전 국민의 이목은 국내 최초의 상업용 원전인 고리1호기 기공식이 개최된 경남 고리에 집중됐다.

1971년	1971/SN+년/NNB
3월	3/SN+월/NNB
19일	19/SN+일/NNB
전	전/MMN
국민의	국민/NNG+의/JKG
이목은	이목/NNG+은/JX
국내	국내/NNG
최초의	최초/NNG+의/JKG
상업용	상업/NNG+용/XSN
원전인	원전/NNG+이/VCP+ㄴ/ETM
고리1호기	고리/NNP+1/SN+호기/NNG
기공식이	기공식/NNG+이/JKS
개최된	개최/NNG+되/XSV+ㄴ/ETM
경남	경남/NNP
고리에	고리/NNP+에/JKB
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.8.2
가압경수로인 고리1호기는 설비용량 58만7000kW, 총 1560억7300만 원이 투입된 당시 국내 최대 규모 사업이었다.

가압경수로인	가압/NNG+경수로/NNG+이/VCP+ㄴ/ETM
고리1호기는	고리/NNP+1/SN+호기/NNG+는/JX
설비용량	설비/NNG+용량/NNG
58만7000kW,	58/SN+만/NR+7000/SN+kW/SW+,/SP
총	총/MMA
1560억7300만	1560/SN+억/NR+7300/SN+만/NR
원이	원/NNB+이/JKS
투입된	투입/NNG+되/XSV+ㄴ/ETM
당시	당시/NNG
국내	국내/NNG
최대	최대/NNG
규모	규모/NNG
사업이었다.	사업/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.203.8.3
기공식에 운집한 1만 명의 주민과 관계자들은 고리1호기에 ‘한국의 희망’을 담았고, 결국 1978년 고리1호기는 성공적으로 준공돼 가동에 들어갔다.

기공식에	기공식/NNG+에/JKB
운집한	운집/NNG+하/XSV+ㄴ/ETM
1만	1/SN+만/NR
명의	명/NNB+의/JKG
주민과	주민/NNG+과/JC
관계자들은	관계자/NNG+들/XSN+은/JX
고리1호기에	고리/NNP+1/SN+호기/NNG+에/JKB
‘한국의	‘/SS+한국/NNP+의/JKG
희망’을	희망/NNG+’/SS+을/JKO
담았고,	담/VV+았/EP+고/EC+,/SP
결국	결국/MAG
1978년	1978/SN+년/NNB
고리1호기는	고리/NNP+1/SN+호기/NNG+는/JX
성공적으로	성공/NNG+적/XSN+으로/JKB
준공돼	준공/NNG+되/XSV+어/EC
가동에	가동/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.9.1
세계에서 21번째, 동아시아에서는 일본에 이어 두번째 원전보유국이 된 것이다.

세계에서	세계/NNG+에서/JKB
21번째,	21/SN+번/NNB+째/XSN+,/SP
동아시아에서는	동아시아/NNP+에서/JKB+는/JX
일본에	일본/NNP+에/JKB
이어	잇/VV+어/EC
두번째	두/MMN+번/NNB+째/XSN
원전보유국이	원전/NNG+보유국/NNG+이/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.203.9.2
이후 원전 기술 국산화와 지속적인 기술 축적을 위해 고민하던 정부는 고리 3, 4호기의 발주방식을 기존에 외국 계약자들에게 전적으로 의존하는 ‘턴키형 발주방식’에서 ‘분할발주 방식’으로 전환했다.

이후	이후/NNG
원전	원전/NNG
기술	기술/NNG
국산화와	국산/NNG+화/XSN+와/JC
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
축적을	축적/NNG+을/JKO
위해	위하/VV+아/EC
고민하던	고민/NNG+하/XSV+던/ETM
정부는	정부/NNG+는/JX
고리	고리/NNP
3,	3/SN+,/SP
4호기의	4/SN+호기/NNG+의/JKG
발주방식을	발주/NNG+방식/NNG+을/JKO
기존에	기존/NNG+에/JKB
외국	외국/NNG
계약자들에게	계약자/NNG+들/XSN+에게/JKB
전적으로	전적/NNG+으로/JKB
의존하는	의존/NNG+하/XSV+는/ETM
‘턴키형	‘/SS+턴키/NNG+형/XSN
발주방식’에서	발주/NNG+방식/NNG+’/SS+에서/JKB
‘분할발주	‘/SS+분할/NNG+발주/NNG
방식’으로	방식/NNG+’/SS+으로/JKB
전환했다.	전환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.9.3
원전 기술 확보를 위한 성공적인 첫 걸음이었던 셈이었다.

원전	원전/NNG
기술	기술/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
첫	첫/MMN
걸음이었던	걸음/NNG+이/VCP+었/EP+던/ETM
셈이었다.	셈/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.203.10.1
이어 1980년대 정부는 원전설계 및 기자재 국산화율 95% 달성을 목표로 하고 원전 건설 방식을 국내 ‘사업자 주도방식’으로 전환했다.

이어	이어/MAG
1980년대	1980/SN+년대/NNB
정부는	정부/NNG+는/JX
원전설계	원전/NNG+설계/NNG
및	및/MAG
기자재	기자재/NNG
국산화율	국산/NNG+화/XSN+율/XSN
95%	95/SN+%/SW
달성을	달성/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
원전	원전/NNG
건설	건설/NNG
방식을	방식/NNG+을/JKO
국내	국내/NNG
‘사업자	‘/SS+사업자/NNG
주도방식’으로	주도/NNG+방식/NNG+’/SS+으로/JKB
전환했다.	전환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.10.2
1980년대에는 또 원전 기자재 국산화뿐 아니라 원자력 발전의 연료가 되는 핵연료의 국내생산 및 국산화를 위한 본격적인 기술개발도 시작됐다.

1980년대에는	1980/SN+년대/NNB+에/JKB+는/JX
또	또/MAG
원전	원전/NNG
기자재	기자재/NNG
국산화뿐	국산/NNG+화/XSN+뿐/JX
아니라	아니/VCN+라/EC
원자력	원자력/NNG
발전의	발전/NNG+의/JKG
연료가	연료/NNG+가/JKC
되는	되/VV+는/ETM
핵연료의	핵연료/NNG+의/JKG
국내생산	국내/NNG+생산/NNG
및	및/MAG
국산화를	국산/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
기술개발도	기술/NNG+개발/NNG+도/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.10.3
진정한 원자력 발전의 국산화를 위해서는 발전의 뿌리가 되는 ‘연료 국산화’가 반드시 뒤따라야 했기 때문이다.

진정한	진정하/VA+ㄴ/ETM
원자력	원자력/NNG
발전의	발전/NNG+의/JKG
국산화를	국산/NNG+화/XSN+를/JKO
위해서는	위하/VV+아서/EC+는/JX
뿌리가	뿌리/NNG+가/JKC
되는	되/VV+는/ETM
‘연료	‘/SS+연료/NNG
국산화’가	국산/NNG+화/XSN+’/SS+가/JKS
반드시	반드시/MAG
뒤따라야	뒤따르/VV+아야/EC
했기	하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.203.10.4
핵연료 국산화 사업은 1976년 12월 설립된 한국핵연료개발공단(현 한전원자력연료주식회사)과 한국원자력연구소의 주도로 이뤄졌다.

핵연료	핵연료/NNG
국산화	국산/NNG+화/XSN
사업은	사업/NNG+은/JX
1976년	1976/SN+년/NNB
12월	12/SN+월/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
한국핵연료개발공단(현	한국핵연료개발공단/NNP+(/SS+현/MMD
한전원자력연료주식회사)과	한전원자력연료주식회사/NNP+)/SS+과/JC
한국원자력연구소의	한국원자력연구소/NNP+의/JKG
주도로	주도/NNG+로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.11.1
1981년부터 본격 시작된 중수로 핵연료 국산화 산업은 1985년 핵연료 양산기술 개발에 성공하고 1987년 7월 월성원전에 핵연료 공급을 개시함으로써 본격화됐다.

1981년부터	1981/SN+년/NNB+부터/JX
본격	본격/NNG
시작된	시작/NNG+되/XSV+ㄴ/ETM
중수로	중수로/NNG
핵연료	핵연료/NNG
국산화	국산/NNG+화/XSN
산업은	산업/NNG+은/JX
1985년	1985/SN+년/NNB
양산기술	양산/NNG+기술/NNG
개발에	개발/NNG+에/JKB
성공하고	성공/NNG+하/XSV+고/EC
1987년	1987/SN+년/NNB
7월	7/SN+월/NNB
월성원전에	월성/NNP+원전/NNG+에/JKB
공급을	공급/NNG+을/JKO
개시함으로써	개시/NNG+하/XSV+ㅁ/ETN+으로써/JKB
본격화됐다.	본격/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.12.1
○ 기술자립 성숙기

○	○/SW
기술자립	기술/NNG+자립/NNG
성숙기	성숙기/NNG


# id : NWRW1800000021.203.13.1
1990년대 경제발전을 지속하던 한국은 급증하는 전력수요에 탄력적으로 대응하기 위해 지속적인 원전건설 정책을 폈다.

1990년대	1990/SN+년대/NNB
경제발전을	경제/NNG+발전/NNG+을/JKO
지속하던	지속/NNG+하/XSV+던/ETM
한국은	한국/NNP+은/JX
급증하는	급증/NNG+하/XSV+는/ETM
전력수요에	전력/NNG+수요/NNG+에/JKB
탄력적으로	탄력/NNG+적/XSN+으로/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
원전건설	원전/NNG+건설/NNG
정책을	정책/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.13.2
특히 한국표준형원전 개발과 해외시장 공략에 박차를 가했다.

특히	특히/MAG
한국표준형원전	한국/NNP+표준/NNG+형/XSN+원전/NNG
개발과	개발/NNG+과/JC
해외시장	해외/NNG+시장/NNG
공략에	공략/NNG+에/JKB
박차를	박차/NNG+를/JKO
가했다.	가하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.13.3
1995년 준공된 영광 3.4호기는 기술자립 뿐 아니라 외자의존도를 17%까지 낮췄다.

1995년	1995/SN+년/NNB
준공된	준공/NNG+되/XSV+ㄴ/ETM
영광	영광/NNP
3.4호기는	3/SN+./SP+4/SN+호기/NNG+는/JX
기술자립	기술/NNG+자립/NNG
뿐	뿐/JX
아니라	아니/VCN+라/EC
외자의존도를	외자/NNG+의존도/NNG+를/JKO
17%까지	17/SN+%/SW+까지/JX
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.203.13.4
최초의 한국표준형원전인 울진 3. 4호기는 원전의 두뇌에 해당되는 원자로계통(NSSS. Nuclear Steam Supply System)을 순수 국내기술로 설계했다.

최초의	최초/NNG+의/JKG
한국표준형원전인	한국/NNP+표준/NNG+형/XSN+원전/NNG+이/VCP+ㄴ/ETM
울진	울진/NNP
3.	3/SN+./SF
4호기는	4/SN+호기/NNG+는/JX
원전의	원전/NNG+의/JKG
두뇌에	두뇌/NNG+에/JKB
해당되는	해당/NNG+되/XSV+는/ETM
원자로계통(NSSS.	원자로/NNG+계통/NNG+(/SS+NSSS/SL+./SF
Nuclear	Nuclear/SL
Steam	Steam/SL
Supply	Supply/SL
System)을	System/SL+)/SS+을/JKO
순수	순수/NNG
국내기술로	국내/NNG+기술/NNG+로/JKB
설계했다.	설계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.13.5
원전기술 해외진출 꿈도 조금씩 현실화되기 시작했다.

원전기술	원전/NNG+기술/NNG
해외진출	해외/NNG+진출/NNG
꿈도	꿈/NNG+도/JX
조금씩	조금/NNG+씩/XSN
현실화되기	현실/NNG+화/XSN+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.13.6
1993년 한전은 기술본부 내에 별도의 해외사업추진팀을 발족하고 ‘중국 진산 중수로건설사업’ 등 본격적인 해외사업을 추진한다.

1993년	1993/SN+년/NNB
한전은	한전/NNP+은/JX
기술본부	기술/NNG+본부/NNG
내에	내/NNB+에/JKB
별도의	별도/NNG+의/JKG
해외사업추진팀을	해외/NNG+사업/NNG+추진/NNG+팀/NNG+을/JKO
발족하고	발족/NNG+하/XSV+고/EC
‘중국	‘/SS+중국/NNP
진산	진산/NNP
중수로건설사업’	중수로/NNG+건설/NNG+사업/NNG+’/SS
등	등/NNB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
해외사업을	해외/NNG+사업/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.203.13.7
당시 한국전력기술은 설계기술, 한국중공업(현 두산중공업)은 원전 설비 및 기자재 제작, 대우건설은 해외 원전건설사업에 진출하면서 한국 원자력산업이 새로운 한국 경제성장의 동력으로 그 가능성을 인정받기 시작했다.

당시	당시/NNG
한국전력기술은	한국전력기술/NNP+은/JX
설계기술,	설계/NNG+기술/NNG+,/SP
한국중공업(현	한국중공업/NNP+(/SS+현/MMD
두산중공업)은	두산중공업/NNP+)/SS+은/JX
원전	원전/NNG
설비	설비/NNG
및	및/MAG
기자재	기자재/NNG
제작,	제작/NNG+,/SP
대우건설은	대우건설/NNP+은/JX
해외	해외/NNG
원전건설사업에	원전/NNG+건설/NNG+사업/NNG+에/JKB
진출하면서	진출/NNG+하/XSV+면서/EC
한국	한국/NNP
원자력산업이	원자력/NNG+산업/NNG+이/JKS
새로운	새롭/VA+ㄴ/ETM
경제성장의	경제/NNG+성장/NNG+의/JKG
동력으로	동력/NNG+으로/JKB
그	그/MMD
가능성을	가능/NNG+성/XSN+을/JKO
인정받기	인정/NNG+받/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.203.14.1
○ 원자력, 녹색성장의 동력으로 부상

○	○/SW
원자력,	원자력/NNG+,/SP
녹색성장의	녹색/NNG+성장/NNG+의/JKG
동력으로	동력/NNG+으로/JKB
부상	부상/NNG


# id : NWRW1800000021.203.15.1
2000년 우리 원자력계는 누계발전량 1조 kWh 달성이라는 눈부신 성과를 거뒀다.

2000년	2000/SN+년/NNB
우리	우리/NP
원자력계는	원자력/NNG+계/XSN+는/JX
누계발전량	누계/NNG+발전량/NNG
1조	1/SN+조/NR
kWh	kWh/SW
달성이라는	달성/NNG+이/VCP+라는/ETM
눈부신	눈부시/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
