# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.237
metadata : {}


# id : NWRW1800000053.237.1.1
은반 ‘러시아 소녀시대’… 금 은 동 싹쓸이?

은반	은반/NNG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.5.6
메드베데바는 11일 일본 오사카에서 끝난 국제빙상경기연맹(ISU) 그랑프리 NHK트로피에서 정상(총점 224.39점)에 오르며 상승세를 이어갔다.

메드베데바는	메드베데바/NNP+는/JX
11일	11/SN+일/NNB
일본	일본/NNP
오사카에서	오사카/NNP+에서/JKB
끝난	끝나/VV+ㄴ/ETM
국제빙상경기연맹(ISU)	국제빙상경기연맹/NNP+(/SS+ISU/SL+)/SS
그랑프리	그랑프리/NNG
NHK트로피에서	NHK/SL+트로피/NNG+에서/JKB
정상(총점	정상/NNG+(/SS+총점/NNG
224.39점)에	224/SN+./SP+39/SN+점/NNB+)/SS+에/JKB
오르며	오르/VV+며/EC
상승세를	상승세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.237.5.7
그는 “최고 수준의 경기를 팬들에게 보여주는 것을 최대 목표로 삼고 있다”고 말했다.

그는	그/NP+는/JX
“최고	“/SS+최고/NNG
수준의	수준/NNG+의/JKG
경기를	경기/NNG+를/JKO
팬들에게	팬/NNG+들/XSN+에게/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
것을	것/NNB+을/JKO
최대	최대/NNG
목표로	목표/NNG+로/JKB
삼고	삼/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.6.1
18일 끝난 ISU 그랑프리 프랑스 여자 싱글도 러시아의 잔치였다.

18일	18/SN+일/NNB
끝난	끝나/VV+ㄴ/ETM
ISU	ISU/SL
그랑프리	그랑프리/NNG
프랑스	프랑스/NNP
여자	여자/NNG
싱글도	싱글/NNG+도/JX
러시아의	러시아/NNP+의/JKG
잔치였다.	잔치/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.237.6.2
올 시즌 시니어 무대에 데뷔한 알리나 자기토바(15)는 쇼트프로그램에서 5위(62.46점)에 그쳤지만 프리스케이팅에서 1위(151.34점)를 기록하며 총점 213.80점으로 올 시즌 두 번째 그랑프리 정상에 올랐다.

올	올/NNG
시즌	시즌/NNG
시니어	시니어/NNG
무대에	무대/NNG+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
알리나	알리나/NNP
자기토바(15)는	자기토바/NNP+(/SS+15/SN+)/SS+는/JX
쇼트프로그램에서	쇼트프로그램/NNG+에서/JKB
5위(62.46점)에	5/SN+위/NNB+(/SS+62/SN+./SP+46/SN+점/NNB+)/SS+에/JKB
그쳤지만	그치/VV+었/EP+지만/EC
프리스케이팅에서	프리스케이팅/NNG+에서/JKB
1위(151.34점)를	1/SN+위/NNB+(/SS+151/SN+./SP+34/SN+점/NNB+)/SS+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
총점	총점/NNG
213.80점으로	213/SN+./SP+80/SN+점/NNB+으로/JKB
두	두/MMN
번째	번/NNB+째/XSN
그랑프리	그랑프리/NNG
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.6.3
2위는 러시아의 마리야 솟스코바(17)가 차지했다.

2위는	2/SN+위/NNB+는/JX
러시아의	러시아/NNP+의/JKG
마리야	마리야/NNP
솟스코바(17)가	솟스코바/NNP+(/SS+17/SN+)/SS+가/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.6.4
메드베데바는 이 대회에 출전하지 않았다.

메드베데바는	메드베데바/NNP+는/JX
이	이/MMD
대회에	대회/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.237.7.1
러시아의 독주를 견제할 선수로는 캐나다의 미녀 피겨 스타 케이틀린 오스먼드(22·세계 2위)가 꼽힌다.

러시아의	러시아/NNP+의/JKG
독주를	독주/NNG+를/JKO
견제할	견제/NNG+하/XSV+ㄹ/ETM
선수로는	선수/NNG+로/JKB+는/JX
캐나다의	캐나다/NNP+의/JKG
미녀	미녀/NNG
피겨	피겨/NNG
스타	스타/NNG
케이틀린	케이틀린/NNP
오스먼드(22·세계	오스먼드/NNP+(/SS+22/SN+·/SP+세계/NNG
2위)가	2/SN+위/NNB+)/SS+가/JKS
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.237.7.2
2014년 다리 골절 부상을 당해 철심을 박는 큰 수술을 받기도 했던 그이지만 투철한 자기 관리를 통해 기량을 회복했다.

2014년	2014/SN+년/NNB
다리	다리/NNG
골절	골절/NNG
부상을	부상/NNG+을/JKO
당해	당하/VV+아/EC
철심을	철심/NNG+을/JKO
박는	박/VV+는/ETM
큰	크/VA+ㄴ/ETM
수술을	수술/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
그이지만	그/NP+이/VCP+지만/EC
투철한	투철하/VA+ㄴ/ETM
자기	자기/NP
관리를	관리/NNG+를/JKO
통해	통하/VV+아/EC
기량을	기량/NNG+을/JKO
회복했다.	회복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.7.3
그는 지난 시즌 ISU 세계선수권에서 메드베데바에 이어 2위에 오르며 부활을 알렸다.

그는	그/NP+는/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
ISU	ISU/SL
세계선수권에서	세계/NNG+선수/NNG+권/XSN+에서/JKB
메드베데바에	메드베데바/NNP+에/JKB
이어	잇/VV+어/EC
2위에	2/SN+위/NNB+에/JKB
오르며	오르/VV+며/EC
부활을	부활/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.237.8.1
남자 싱글에서 미국은 ‘점프 머신’ 네이선 천(18·세계 7위)의 활약에 기대를 걸고 있다.

남자	남자/NNG
싱글에서	싱글/NNG+에서/JKB
미국은	미국/NNP+은/JX
‘점프	‘/SS+점프/NNG
머신’	머신/NNG+’/SS
네이선	네이선/NNP
천(18·세계	천/NNP+(/SS+18/SN+·/SP+세계/NNG
7위)의	7/SN+위/NNB+)/SS+의/JKG
활약에	활약/NNG+에/JKB
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.237.8.2
역대 올림픽 남자 싱글에서 7개의 금메달을 딴 미국이지만 2014 소치 올림픽에서는 일본의 피겨 스타 하뉴 유즈루(23)에게 1위를 내줬다.

역대	역대/NNG
올림픽	올림픽/NNG
남자	남자/NNG
싱글에서	싱글/NNG+에서/JKB
7개의	7/SN+개/NNB+의/JKG
금메달을	금메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
미국이지만	미국/NNP+이/VCP+지만/EC
2014	2014/SN
소치	소치/NNP
올림픽에서는	올림픽/NNG+에서/JKB+는/JX
일본의	일본/NNP+의/JKG
피겨	피겨/NNG
스타	스타/NNG
하뉴	하뉴/NNP
유즈루(23)에게	유즈루/NNP+(/SS+23/SN+)/SS+에게/JKB
1위를	1/SN+위/NNB+를/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.237.8.3
천은 지난달 열린 ISU 그랑프리 로스텔레콤컵에서 하뉴를 꺾고 우승을 차지하며 평창 올림픽에서의 선전을 예고했다.

천은	천/NNP+은/JX
지난달	지난달/NNG
열린	열리/VV+ㄴ/ETM
ISU	ISU/SL
그랑프리	그랑프리/NNG
로스텔레콤컵에서	로스/NNP+텔레콤/NNG+컵/NNG+에서/JKB
하뉴를	하뉴/NNP+를/JKO
꺾고	꺾/VV+고/EC
우승을	우승/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
평창	평창/NNP
올림픽에서의	올림픽/NNG+에서/JKB+의/JKG
선전을	선전/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.8.4
천의 강점은 탁월한 점프력을 바탕으로 다양한 쿼드러플(4회전) 점프를 구사한다는 것.

천의	천/NNP+의/JKG
강점은	강점/NNG+은/JX
탁월한	탁월하/VA+ㄴ/ETM
점프력을	점프력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
쿼드러플(4회전)	쿼드러플/NNG+(/SS+4/SN+회전/NNG+)/SS
점프를	점프/NNG+를/JKO
구사한다는	구사/NNG+하/XSV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000053.237.8.5
대한빙상경기연맹 관계자는 “천이 4회전 점프의 성공률을 높여 안정적인 경기를 펼친다면 하뉴의 올림픽 2연패를 저지할 가능성이 있다”고 분석했다.

대한빙상경기연맹	대한빙상경기연맹/NNP
관계자는	관계자/NNG+는/JX
“천이	“/SS+천/NNP+이/JKS
4회전	4/SN+회전/NNG
점프의	점프/NNG+의/JKG
성공률을	성공/NNG+률/XSN+을/JKO
높여	높이/VV+어/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
경기를	경기/NNG+를/JKO
펼친다면	펼치/VV+ㄴ다면/EC
하뉴의	하뉴/NNP+의/JKG
올림픽	올림픽/NNG
2연패를	2/SN+연패/NNG+를/JKO
저지할	저지/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.237.9.1
세계 1위 하뉴가 최근 오른쪽 발목 부상을 당해 주춤하고 있는 반면 천은 쾌조의 컨디션 속에 올림픽을 준비 중이다.

세계	세계/NNG
1위	1/SN+위/NNB
하뉴가	하뉴/NNP+가/JKS
최근	최근/NNG
오른쪽	오른쪽/NNG
발목	발목/NNG
부상을	부상/NNG+을/JKO
당해	당하/VV+아/EC
주춤하고	주춤/MAG+하/XSV+고/EC
있는	있/VX+는/ETM
반면	반면/NNG
천은	천/NNP+은/JX
쾌조의	쾌조/NNG+의/JKG
컨디션	컨디션/NNG
속에	속/NNG+에/JKB
올림픽을	올림픽/NNG+을/JKO
준비	준비/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.237.9.2
천은 7월 자신의 인스타그램에 아이스하키 스틱 등 겨울 스포츠 도구로 만들어진 왕좌에 자신이 앉아 있는 합성 사진을 올렸다.

천은	천/NNP+은/JX
7월	7/SN+월/NNB
자신의	자신/NNG+의/JKG
인스타그램에	인스타그램/NNP+에/JKB
아이스하키	아이스하키/NNG
스틱	스틱/NNG
등	등/NNB
겨울	겨울/NNG
스포츠	스포츠/NNG
도구로	도구/NNG+로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
왕좌에	왕좌/NNG+에/JKB
자신이	자신/NNG+이/JKS
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
합성	합성/NNG
사진을	사진/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.237.9.3
그는 미국 언론과의 인터뷰에서 “올림픽에 대한 긴장감도 있지만 여름올림픽 금메달리스트 등에게 많은 조언을 듣고 있다”면서 “심리적으로도 강한 상태를 만들어 평창 올림픽에서 최고의 성적을 거두겠다”고 말했다.

그는	그/NP+는/JX
미국	미국/NNP
언론과의	언론/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“올림픽에	“/SS+올림픽/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
긴장감도	긴장감/NNG+도/JX
있지만	있/VA+지만/EC
여름올림픽	여름/NNG+올림픽/NNG
금메달리스트	금메달리스트/NNG
등에게	등/NNB+에게/JKB
많은	많/VA+은/ETM
조언을	조언/NNG+을/JKO
듣고	듣/VV+고/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
“심리적으로도	“/SS+심리/NNG+적/XSN+으로/JKB+도/JX
강한	강하/VA+ㄴ/ETM
상태를	상태/NNG+를/JKO
만들어	만들/VV+어/EC
평창	평창/NNP
올림픽에서	올림픽/NNG+에서/JKB
최고의	최고/NNG+의/JKG
성적을	성적/NNG+을/JKO
거두겠다”고	거두/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


