# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.169
metadata : {}


# id : NWRW1800000024.169.1.1
“무조건 예스 하는것 /회사 발전에 걸림돌”

“무조건	“/SS+무/XPN+조건/NNG
김 의장은 이어 투명하고 객관성 있는 성과평가와 보상제도를 도입할 것도 제안했다.

김	김/NNP
의장은	의장/NNG+은/JX
이어	이어/MAG
투명하고	투명/NNG+하/XSA+고/EC
객관성	객관/NNG+성/XSN
있는	있/VV+는/ETM
성과평가와	성과/NNG+평가/NNG+와/JC
보상제도를	보상/NNG+제도/NNG+를/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.169.5.2
그는 “성과는 회계수치, 경제적 부가가치(EVA), 주가 등에 근거해 측정할 수 있는데, 이 가운데 주가에 기반한 보상프로그램인 스톡옵션과 제한적 주식부여(스톡그랜트)가 실행이 용이하고 최고경영층의 동기부여에도 효과적”이라고 말했다.

그는	그/NP+는/JX
“성과는	“/SS+성과/NNG+는/JX
회계수치,	회계/NNG+수치/NNG+,/SP
경제적	경제/NNG+적/XSN
부가가치(EVA),	부가/NNG+가치/NNG+(/SS+EVA/SL+)/SS+,/SP
주가	주가/NNG
등에	등/NNB+에/JKB
근거해	근거/NNG+하/XSV+아/EC
측정할	측정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
이	이/NP
가운데	가운데/NNG
주가에	주가/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
보상프로그램인	보상/NNG+프로그램/NNG+이/VCP+ㄴ/ETM
스톡옵션과	스톡옵션/NNG+과/JC
제한적	제한/NNG+적/XSN
주식부여(스톡그랜트)가	주식/NNG+부여/NNG+(/SS+스톡그랜트/NNG+)/SS+가/JKS
실행이	실행/NNG+이/JKS
용이하고	용이하/VA+고/EC
최고경영층의	최고/NNG+경영/NNG+층/XSN+의/JKG
동기부여에도	동기/NNG+부여/NNG+에/JKB+도/JX
효과적”이라고	효과/NNG+적/XSN+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.169.5.3
그는 또 “고정 급여 시스템은 가치창조 인센티브를 제공하지 못한다”며 ‘동일직급, 동일임금’의 적용을 경계할 것도 요구했다.

그는	그/NP+는/JX
또	또/MAG
“고정	“/SS+고정/NNG
급여	급여/NNG
시스템은	시스템/NNG+은/JX
가치창조	가치/NNG+창조/NNG
인센티브를	인센티브/NNG+를/JKO
제공하지	제공/NNG+하/XSV+지/EC
못한다”며	못하/VX+ㄴ다/EF+”/SS+며/EC
‘동일직급,	‘/SS+동일/NNG+직급/NNG+,/SP
동일임금’의	동일/NNG+임금/NNG+’/SS+의/JKG
적용을	적용/NNG+을/JKO
경계할	경계/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


