# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.18
metadata : {}


# id : NWRW1800000040.18.1.1
‘경제민주화 법안 추진에 찬물’ 박 대통령, 입법권 침해 논란

‘경제민주화	‘/SS+경제/NNG+민주/NNG+화/XSN
건데,	거/NNB+이/VCP+ㄴ데/EC+,/SP
어떻게	어떻/VA+게/EC
행정부의	행정부/NNG+의/JKG
수장이	수장/NNG+이/JKS
야당까지	야당/NNG+까지/JX
국회에	국회/NNG+에/JKB
자신이	자신/NNG+이/JKS
공약하지	공약/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
건	거/NNB+ㄴ/JX
입법하지	입법/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
수가	수/NNB+가/JKS
있느냐.	있/VV+느냐/EF+./SF


# id : NWRW1800000040.18.6.2
대통령의 발상이나 인식 자체가 잘못됐다”고 비판했다.

대통령의	대통령/NNG+의/JKG
발상이나	발상/NNG+이나/JC
인식	인식/NNG
자체가	자체/NNG+가/JKS
잘못됐다”고	잘못/MAG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.18.6.3
박 대통령의 발언이 국회의 독립적인 입법 기능을 무시한 ‘월권’이라는 지적이다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
발언이	발언/NNG+이/JKS
국회의	국회/NNG+의/JKG
독립적인	독립/NNG+적/XSN+이/VCP+ㄴ/ETM
입법	입법/NNG
기능을	기능/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
‘월권’이라는	‘/SS+월권/NNG+’/SS+이/VCP+라는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.18.7.1
민주통합당도 국회 입법권 침해 문제를 집중 부각하고 나섰다.

민주통합당도	민주통합당/NNP+도/JX
국회	국회/NNG
입법권	입법/NNG+권/XSN
침해	침해/NNG
문제를	문제/NNG+를/JKO
집중	집중/NNG
부각하고	부각/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.18.7.2
박기춘 민주당 원내대표는 원내대책회의에서 “초당적 협력이 시작된 시점에서 청와대가 또다시 가이드라인으로 해석될 발언을 쏟아붓고 있다”고 비판했다.

박기춘	박기춘/NNP
민주당	민주당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
원내대책회의에서	원내/NNG+대책/NNG+회의/NNG+에서/JKB
“초당적	“/SS+초당/NNG+적/XSN
협력이	협력/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
시점에서	시점/NNG+에서/JKB
청와대가	청와대/NNP+가/JKS
또다시	또다시/MAG
가이드라인으로	가이드라인/NNG+으로/JKB
해석될	해석/NNG+되/XSV+ㄹ/ETM
발언을	발언/NNG+을/JKO
쏟아붓고	쏟아붓/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.18.7.3
정성호 민주당 수석부대변인도 “국회 논의에 대한 박 대통령의 지나친 관여·개입 행태는 국회 입법권을 지속적으로 침해하는 것이다.

정성호	정성호/NNP
민주당	민주당/NNP
수석부대변인도	수석/NNG+부대변인/NNG+도/JX
“국회	“/SS+국회/NNG
논의에	논의/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
박	박/NNP
대통령의	대통령/NNG+의/JKG
지나친	지나치/VA+ㄴ/ETM
관여·개입	관여/NNG+·/SP+개입/NNG
행태는	행태/NNG+는/JX
국회	국회/NNG
입법권을	입법/NNG+권/XSN+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
침해하는	침해/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.18.7.4
국회가 대통령의 공약을 일점일획도 고치지 말고 통과시켜야 한다는 말이냐”며 입법권 존중을 촉구했다.

국회가	국회/NNG+가/JKS
대통령의	대통령/NNG+의/JKG
공약을	공약/NNG+을/JKO
일점일획도	일점일획/NNG+도/JX
고치지	고치/VV+지/EC
말고	말/VX+고/EC
통과시켜야	통과/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
말이냐”며	말/NNG+이/VCP+냐/EF+”/SS+며/EC
입법권	입법/NNG+권/XSN
존중을	존중/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.18.8.1
박 대통령의 발언이 국회의 법안 논의 상황을 충분히 파악하지 못한 상태에서 일부 언론의 잘못된 보도를 보고 내놓은 성급한 대응이라는 지적도 나오고 있다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
발언이	발언/NNG+이/JKS
국회의	국회/NNG+의/JKG
법안	법안/NNG
논의	논의/NNG
상황을	상황/NNG+을/JKO
충분히	충분히/MAG
파악하지	파악/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
일부	일부/NNG
언론의	언론/NNG+의/JKG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
보도를	보도/NNG+를/JKO
보고	보/VV+고/EC
내놓은	내놓/VV+은/ETM
성급한	성급하/VA+ㄴ/ETM
대응이라는	대응/NNG+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.18.8.2
박 대통령이 ‘무리한 입법’이라고 지목한 국회 정무위원회의 공정거래법 개정안은 대기업 부당내부거래에 대한 규제 강화를 위한 것으로 현재 여야가 본격 심의도 시작하지 않은 단계다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
‘무리한	‘/SS+무리/NNG+하/XSV+ㄴ/ETM
입법’이라고	입법/NNG+’/SS+이라고/JKQ
지목한	지목/NNG+하/XSV+ㄴ/ETM
국회	국회/NNG
정무위원회의	정무/NNG+위원회/NNG+의/JKG
공정거래법	공정/NNG+거래법/NNG
개정안은	개정안/NNG+은/JX
대기업	대/XPN+기업/NNG
부당내부거래에	부당/NNG+내부/NNG+거래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규제	규제/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
현재	현재/MAG
여야가	여야/NNG+가/JKS
본격	본격/NNG
심의도	심의/NNG+도/JX
시작하지	시작/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
단계다.	단계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.18.8.3
정무위 새누리당 간사인 박민식 의원은 “(공정거래법 개정은) 백걸음을 가야 한다면 이제 첫걸음을 내디딘 상태다.

정무위	정무위/NNG
새누리당	새누리당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
박민식	박민식/NNP
의원은	의원/NNG+은/JX
“(공정거래법	“/SS+(/SS+공정/NNG+거래법/NNG
개정은)	개정/NNG+은/JX+)/SS
백걸음을	백/NR+걸음/NNG+을/JKO
가야	가/VV+아야/EC
한다면	하/VX+ㄴ다면/EC
이제	이제/MAG
첫걸음을	첫걸음/NNG+을/JKO
내디딘	내디디/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.18.8.4
어떤 의도인지는 모르겠지만 (일감 몰아주기 규제 관련 여러 건의 의원 발의안 가운데) 이 항목, 저 항목 핀셋으로 뽑듯 해서 여야 합의가 된 것처럼 일부 언론이 보도하는 것 아닌가 생각된다”고 말했다.

어떤	어떤/MMD
의도인지는	의도/NNG+이/VCP+ㄴ지/EF+는/JX
모르겠지만	모르/VV+겠/EP+지만/EC
(일감	(/SS+일감/NNG
몰아주기	몰아주기/NNG
규제	규제/NNG
관련	관련/NNG
여러	여러/MMN
건의	건/NNB+의/JKG
의원	의원/NNG
발의안	발의안/NNG
가운데)	가운데/NNG+)/SS
이	이/MMD
항목,	항목/NNG+,/SP
저	저/MMD
항목	항목/NNG
핀셋으로	핀셋/NNG+으로/JKB
뽑듯	뽑/VV+듯/EC
해서	하/VV+아서/EC
여야	여야/NNG
합의가	합의/NNG+가/JKC
된	되/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
일부	일부/NNG
언론이	언론/NNG+이/JKS
보도하는	보도/NNG+하/XSV+는/ETM
것	것/NNB
아닌가	아니/VCN+ㄴ가/EF
생각된다”고	생각/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.18.8.5
여야가 합의하지도 않은 내용을 일부 언론이 확정된 것처럼 보도하면서 법안 개정 무력화를 위한 여론몰이를 하고 있는데, 박 대통령의 발언도 그걸 보고 내놓은 것 아니냐는 것이다.

여야가	여야/NNG+가/JKS
합의하지도	합의/NNG+하/XSV+지/EC+도/JX
않은	않/VX+은/ETM
내용을	내용/NNG+을/JKO
일부	일부/NNG
언론이	언론/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보도하면서	보도/NNG+하/XSV+면서/EC
법안	법안/NNG
개정	개정/NNG
무력화를	무력/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
여론몰이를	여론/NNG+몰이/NNG+를/JKO
하고	하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
박	박/NNP
대통령의	대통령/NNG+의/JKG
발언도	발언/NNG+도/JX
그걸	그거/NP+ㄹ/JKO
보고	보/VV+고/EC
내놓은	내놓/VV+은/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.18.9.1
박 대통령의 발언이 일감 몰아주기 규제 법안뿐 아니라 순환출자 금지, 금산분리 강화, 특정재산범죄 가중처벌 때 양형기준 강화 등 향후 국회에서 입법해야 할 경제민주화 법안 논의 전체를 위축시킬 수 있다는 우려도 나온다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
발언이	발언/NNG+이/JKS
일감	일감/NNG
몰아주기	몰아주기/NNG
규제	규제/NNG
법안뿐	법안/NNG+뿐/JX
아니라	아니/VCN+라/EC
순환출자	순환/NNG+출자/NNG
금지,	금지/NNG+,/SP
금산분리	금산/NNG+분리/NNG
강화,	강화/NNG+,/SP
특정재산범죄	특정/NNG+재산/NNG+범죄/NNG
가중처벌	가중/NNG+처벌/NNG
때	때/NNG
양형기준	양형/NNG+기준/NNG
강화	강화/NNG
등	등/NNB
향후	향후/NNG
국회에서	국회/NNG+에서/JKB
입법해야	입법/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
경제민주화	경제/NNG+민주/NNG+화/XSN
법안	법안/NNG
논의	논의/NNG
전체를	전체/NNG+를/JKO
위축시킬	위축/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.18.9.2
박 대통령은 이날 저녁 민주통합당 국회 상임위원회 간사단을 청와대로 초청한 만찬에서도 “경제민주화는 대선 공약이기도 하니 반드시 지켜나가도록 하겠다”면서도 “도가 넘으면 투자하지 못하게 하는 게 경제민주화가 아니지 않으냐.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
저녁	저녁/NNG
민주통합당	민주통합당/NNP
국회	국회/NNG
상임위원회	상임/NNG+위원회/NNG
간사단을	간사단/NNG+을/JKO
청와대로	청와대/NNP+로/JKB
초청한	초청/NNG+하/XSV+ㄴ/ETM
만찬에서도	만찬/NNG+에서/JKB+도/JX
“경제민주화는	“/SS+경제/NNG+민주/NNG+화/XSN+는/JX
대선	대선/NNG
공약이기도	공약/NNG+이/VCP+기/ETN+도/JX
하니	하/VX+니/EC
반드시	반드시/MAG
지켜나가도록	지키/VV+어/EC+나가/VX+도록/EC
하겠다”면서도	하/VX+겠/EP+다/EF+”/SS+면서/EC+도/JX
“도가	“/SS+도/NNG+가/JKS
넘으면	넘/VV+으면/EC
투자하지	투자/NNG+하/XSV+지/EC
못하게	못하/VX+게/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
경제민주화가	경제/NNG+민주/NNG+화/XSN+가/JKC
아니지	아니/VCN+지/EC
않으냐.	않/VX+으냐/EF+./SF


# id : NWRW1800000040.18.9.3
도가 넘으면 역작용도 우려해야 한다”고 말하는 등 여전히 국회의 관련 입법 움직임에 우려를 나타냈다.

도가	도/NNG+가/JKS
넘으면	넘/VV+으면/EC
역작용도	역작용/NNG+도/JX
우려해야	우려/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
등	등/NNB
여전히	여전히/MAG
국회의	국회/NNG+의/JKG
관련	관련/NNG
입법	입법/NNG
움직임에	움직임/NNG+에/JKB
우려를	우려/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


