# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.31
metadata : {}


# id : NWRW1800000041.31.1.1
15년만에 맥주 삼국지, 클라우드만 웃었네

15년만에	15/SN+년/NNB+만/NNB+에/JKB
하지만	하지만/MAJ
점유율은	점유/NNG+율/XSN+은/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간(61.4%)에	기간/NNG+(/SS+61/SN+./SP+4/SN+%/SW+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
9.4%포인트	9/SN+./SP+4/SN+%/SW+포인트/NNG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.31.6.1
이런 현상의 원인은 롯데의 신규 시장 참여와 ‘소독약 냄새 논란’ 때문인 것으로 해석된다.

이런	이런/MMD
현상의	현상/NNG+의/JKG
원인은	원인/NNG+은/JX
롯데의	롯데/NNP+의/JKG
신규	신규/NNG
시장	시장/NNG
참여와	참여/NNG+와/JC
‘소독약	‘/SS+소독약/NNG
냄새	냄새/NNG
논란’	논란/NNG+’/SS
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.31.6.2
오비맥주는 올해 6월 중순 이후 ‘카스에서 소독약 냄새가 난다’는 논란에 시달려 왔다.

오비맥주는	오비맥주/NNP+는/JX
올해	올해/NNG
6월	6/SN+월/NNB
중순	중순/NNG
이후	이후/NNG
‘카스에서	‘/SS+카스/NNP+에서/JKB
소독약	소독약/NNG
냄새가	냄새/NNG+가/JKS
난다’는	나/VV+ㄴ다/EF+’/SS+는/ETM
논란에	논란/NNG+에/JKB
시달려	시달리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.31.6.3
소셜네트워크서비스(SNS)를 타고 ‘가임기 여성은 마시면 안 된다’는 등의 음해성 루머가 퍼지기도 했다.

소셜네트워크서비스(SNS)를	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+를/JKO
타고	타/VV+고/EC
‘가임기	‘/SS+가임기/NNG
여성은	여성/NNG+은/JX
마시면	마시/VV+면/EC
안	안/MAG
된다’는	되/VV+ㄴ다/EF+’/SS+는/ETM
등의	등/NNB+의/JKG
음해성	음해/NNG+성/XSN
루머가	루머/NNG+가/JKS
퍼지기도	퍼지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.31.6.4
이를 조사한 식품의약품안전처는 26일 맥주가 산소와 만나 산화할 때 나는 ‘산화취’ 때문이라는 결론을 내렸다.

이를	이/NP+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
식품의약품안전처는	식품/NNG+의약품/NNG+안전처/NNG+는/JX
26일	26/SN+일/NNB
맥주가	맥주/NNG+가/JKS
산소와	산소/NNG+와/JKB
만나	만나/VV+아/EC
산화할	산화/NNG+하/XSV+ㄹ/ETM
때	때/NNG
나는	나/VV+는/ETM
‘산화취’	‘/SS+산화취/NNG+’/SS
때문이라는	때문/NNB+이/VCP+라는/ETM
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.31.6.5
식약처에 따르면 산화취는 인체에 유해하지 않다.

식약처에	식약처/NNG+에/JKB
따르면	따르/VV+면/EC
산화취는	산화취/NNG+는/JX
인체에	인체/NNG+에/JKB
유해하지	유해/NNG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.31.7.1
오비맥주 관계자는 “점유율이 다소 하락했지만 소독약 논란이 매출에 미친 영향은 예상보다 크지 않은 편”이라고 설명했다.

오비맥주	오비맥주/NNP
관계자는	관계자/NNG+는/JX
“점유율이	“/SS+점유/NNG+율/XSN+이/JKS
다소	다소/MAG
하락했지만	하락/NNG+하/XSV+았/EP+지만/EC
소독약	소독약/NNG
논란이	논란/NNG+이/JKS
매출에	매출/NNG+에/JKB
미친	미치/VV+ㄴ/ETM
영향은	영향/NNG+은/JX
예상보다	예상/NNG+보다/JKB
크지	크/VA+지/EC
않은	않/VX+은/ETM
편”이라고	편/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.31.8.1
하이트진로의 점유율도 소폭 하락했다.

하이트진로의	하이트진로/NNP+의/JKG
점유율도	점유/NNG+율/XSN+도/JX
소폭	소폭/MAG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.31.8.2
대형마트 A사에서의 점유율은 지난해 같은 기간 38.5%에서 올해 34.2%로 4.3%포인트 줄었다.

대형마트	대형/NNG+마트/NNG
A사에서의	A사/NNG+에서/JKB+의/JKG
점유율은	점유/NNG+율/XSN+은/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간	기간/NNG
38.5%에서	38/SN+./SP+5/SN+%/SW+에서/JKB
올해	올해/NNG
34.2%로	34/SN+./SP+2/SN+%/SW+로/JKB
4.3%포인트	4/SN+./SP+3/SN+%/SW+포인트/NNG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.31.8.3
오비맥주에 비해 점유율 감소폭이 적은 것은 신제품 출시 효과 때문으로 보인다.

오비맥주에	오비맥주/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
점유율	점유/NNG+율/XSN
감소폭이	감소/NNG+폭/NNG+이/JKS
적은	적/VA+은/ETM
것은	것/NNB+은/JX
신제품	신/XPN+제품/NNG
출시	출시/NNG
효과	효과/NNG
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.31.8.4
하이트진로는 1993년 이후 21년 만에 맛과 포장 디자인 등을 완전히 바꾼 ‘뉴 하이트’를 4월 선보인 후 공격적인 마케팅을 벌여왔다.

하이트진로는	하이트진로/NNP+는/JX
1993년	1993/SN+년/NNB
이후	이후/NNG
21년	21/SN+년/NNB
만에	만/NNB+에/JKB
맛과	맛/NNG+과/JC
포장	포장/NNG
디자인	디자인/NNG
등을	등/NNB+을/JKO
완전히	완전히/MAG
바꾼	바꾸/VV+ㄴ/ETM
‘뉴	‘/SS+뉴/NNP
하이트’를	하이트/NNP+’/SS+를/JKO
4월	4/SN+월/NNB
선보인	선보이/VV+ㄴ/ETM
후	후/NNG
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
마케팅을	마케팅/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.31.9.1
반면 롯데주류는 시장에 안착하고 있다는 평가를 받고 있다.

반면	반면/NNG
롯데주류는	롯데주류/NNP+는/JX
시장에	시장/NNG+에/JKB
안착하고	안착/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.31.9.2
4월 내놓은 클라우드는 출시 100일째인 지난달 30일까지 2700만 병이 팔렸다.

4월	4/SN+월/NNB
내놓은	내놓/VV+은/ETM
클라우드는	클라우드/NNG+는/JX
출시	출시/NNG
100일째인	100/SN+일/NNB+째/XSN+이/VCP+ㄴ/ETM
지난달	지난달/NNG
30일까지	30/SN+일/NNB+까지/JX
2700만	2700/SN+만/NR
병이	병/NNG+이/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.31.9.3
현재 대형마트 A사에서 롯데주류의 점유율도 14% 안팎을 유지하고 있다.

현재	현재/MAG
대형마트	대형/NNG+마트/NNG
A사에서	A사/NNG+에서/JKB
롯데주류의	롯데주류/NNP+의/JKG
점유율도	점유/NNG+율/XSN+도/JX
14%	14/SN+%/SW
안팎을	안팎/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.31.10.1
이에 대해 한 업계 관계자는 “통상 신제품이 출시된 뒤 3개월 동안은 증정품 제공 등의 프로모션을 벌일 수 있다”며 “실제 승부는 프로모션 효과가 끝난 8월 이후부터 벌어질 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한	한/MMN
업계	업계/NNG
관계자는	관계자/NNG+는/JX
“통상	“/SS+통상/NNG
신제품이	신/XPN+제품/NNG+이/JKS
출시된	출시/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
3개월	3/SN+개월/NNB
동안은	동안/NNG+은/JX
증정품	증정품/NNG
제공	제공/NNG
등의	등/NNB+의/JKG
프로모션을	프로모션/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“실제	“/SS+실제/NNG
승부는	승부/NNG+는/JX
프로모션	프로모션/NNG
효과가	효과/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
8월	8/SN+월/NNB
이후부터	이후/NNG+부터/JX
벌어질	벌어지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.31.11.1
한편 올여름 맥주의 전체 판매량은 지난해보다 다소 떨어진 것으로 보인다.

한편	한편/MAG
올여름	올여름/NNG
맥주의	맥주/NNG+의/JKG
전체	전체/NNG
판매량은	판매량/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
다소	다소/MAG
떨어진	떨어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.31.11.2
세월호 참사에 따른 소비 위축 분위기가 여름까지 지속된 데다 브라질월드컵에서 한국팀의 부진, 길지 않았던 여름 더위가 요인으로 꼽힌다.

세월호	세월호/NNP
참사에	참사/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
소비	소비/NNG
위축	위축/NNG
분위기가	분위기/NNG+가/JKS
여름까지	여름/NNG+까지/JX
지속된	지속/NNG+되/XSV+ㄴ/ETM
데다	데/NNB+다/JX
브라질월드컵에서	브라질/NNP+월드컵/NNG+에서/JKB
한국팀의	한국/NNP+팀/NNG+의/JKG
부진,	부진/NNG+,/SP
길지	길/VA+지/EC
않았던	않/VX+았/EP+던/ETM
여름	여름/NNG
더위가	더위/NNG+가/JKS
요인으로	요인/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


