# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.57
metadata : {}


# id : NWRW1800000041.57.1.1
러-베트남 ‘남중국해 밀월’… 긴장하는 中

러-베트남	러/NNP+-/SO+베트남/NNP
# id : NWRW1800000041.57.4.3
17일에도 베트남 깜라인 만 기지에 러시아 해군 군함 3척이 진입해 보급을 받는 등 러시아의 베트남 복귀가 구체화하고 있다.

17일에도	17/SN+일/NNB+에/JKB+도/JX
베트남	베트남/NNP
깜라인	깜라인/NNP
만	만/NNG
기지에	기지/NNG+에/JKB
러시아	러시아/NNP
해군	해군/NNG
군함	군함/NNG
3척이	3/SN+척/NNB+이/JKS
진입해	진입/NNG+하/XSV+아/EC
보급을	보급/NNG+을/JKO
받는	받/VV+는/ETM
등	등/NNB
러시아의	러시아/NNP+의/JKG
복귀가	복귀/NNG+가/JKS
구체화하고	구체/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.57.5.1
러시아는 베트남전 패전으로 미국이 철수한 뒤 깜라인 만에 태평양함대 기지를 두었으나 한 해 약 3억 달러에 이르는 임차료가 부담돼 2002년 깜라인 만에서 20여 년 만에 철수했다.

러시아는	러시아/NNP+는/JX
베트남전	베트남전/NNG
패전으로	패전/NNG+으로/JKB
미국이	미국/NNP+이/JKS
철수한	철수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
깜라인	깜라인/NNP
만에	만/NNB+에/JKB
태평양함대	태평양/NNP+함대/NNG
기지를	기지/NNG+를/JKO
두었으나	두/VV+었/EP+으나/EC
한	한/MMN
해	해/NNB
약	약/MMA
3억	3/SN+억/NR
달러에	달러/NNB+에/JKB
이르는	이르/VV+는/ETM
임차료가	임차료/NNG+가/JKS
부담돼	부담/NNG+되/XSV+어/EC
2002년	2002/SN+년/NNB
만에서	만/NNG+에서/JKB
20여	20/SN+여/XSN
년	년/NNB
철수했다.	철수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.57.5.2
하지만 시사(西沙)군도에서 중국과 영토 갈등을 빚는 베트남이 적극 구애하면서 다시 동남아시아 진출의 교두보 삼아 돌아오고 있다.

하지만	하지만/MAJ
시사(西沙)군도에서	시사/NNG+(/SS+西沙/SH+)/SS+군도/NNG+에서/JKB
중국과	중국/NNP+과/JKB
영토	영토/NNG
갈등을	갈등/NNG+을/JKO
빚는	빚/VV+는/ETM
베트남이	베트남/NNP+이/JKS
적극	적극/NNG
구애하면서	구애/NNG+하/XSV+면서/EC
다시	다시/MAG
동남아시아	동남아시아/NNP
진출의	진출/NNG+의/JKG
교두보	교두보/NNG
삼아	삼/VV+아/EC
돌아오고	돌아오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.57.6.1
베트남은 남중국해 전략 요충지로 꼽히는 깜라인 만의 우선 사용권을 러시아에 부여하고 있다.

베트남은	베트남/NNP+은/JX
남중국해	남중국해/NNP
전략	전략/NNG
요충지로	요충지/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
깜라인	깜라인/NNP
만의	만/NNG+의/JKG
우선	우선/MAG
사용권을	사용/NNG+권/XSN+을/JKO
러시아에	러시아/NNP+에/JKB
부여하고	부여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.57.6.2
깜라인 만은 면적이 98km²로 수심도 깊어 40척가량의 대형 군함이 동시에 정박할 수 있는 천혜의 조건을 갖췄다.

깜라인	깜라인/NNP
만은	만/NNG+은/JX
면적이	면적/NNG+이/JKS
98km²로	98/SN+km²/SW+로/JKB
수심도	수심/NNG+도/JX
깊어	깊/VA+어/EC
40척가량의	40/SN+척/NNB+가량/XSN+의/JKG
대형	대형/NNG
군함이	군함/NNG+이/JKS
동시에	동시/NNG+에/JKB
정박할	정박/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
천혜의	천혜/NNG+의/JKG
조건을	조건/NNG+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.57.7.1
환추시보는 “베트남이 러시아를 전략적 맹방으로 삼거나 미국으로부터 첨단 무기를 들여와 중국을 견제하려 하지만 뜻대로 되지 않을 것”이라고 경고했다.

환추시보는	환추시보/NNP+는/JX
“베트남이	“/SS+베트남/NNP+이/JKS
러시아를	러시아/NNP+를/JKO
전략적	전략/NNG+적/XSN
맹방으로	맹방/NNG+으로/JKB
삼거나	삼/VV+거나/EC
미국으로부터	미국/NNP+으로부터/JKB
첨단	첨단/NNG
무기를	무기/NNG+를/JKO
들여와	들여오/VV+아/EC
중국을	중국/NNP+을/JKO
견제하려	견제/NNG+하/XSV+려/EC
하지만	하/VX+지만/EC
뜻대로	뜻대로/MAG
되지	되/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.57.7.2
중국사회과학원 산하 아태및글로벌전략연구원의 쉬리핑(徐利平) 연구원은 “베트남의 일련의 조치는 러시아를 남중국해의 분쟁에 끌어들이려는 것”이라고 지적했다.

중국사회과학원	중국/NNP+사회과학원/NNP
산하	산하/NNG
아태및글로벌전략연구원의	아태/NNP+및/MAG+글로벌/NNG+전략/NNG+연구원/NNG+의/JKG
쉬리핑(徐利平)	쉬리핑/NNP+(/SS+徐利平/SH+)/SS
연구원은	연구원/NNG+은/JX
“베트남의	“/SS+베트남/NNP+의/JKG
일련의	일련/NNG+의/JKG
조치는	조치/NNG+는/JX
러시아를	러시아/NNP+를/JKO
남중국해의	남중국해/NNP+의/JKG
분쟁에	분쟁/NNG+에/JKB
끌어들이려는	끌어들이/VV+려는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.57.7.3
베트남이 매년 15억 달러의 군수 물자를 구입해 러시아의 5대 수출국에 올라 있는 것도 이런 배경 때문이라는 것이다.

베트남이	베트남/NNP+이/JKS
매년	매년/MAG
15억	15/SN+억/NR
달러의	달러/NNB+의/JKG
군수	군수/NNG
물자를	물자/NNG+를/JKO
구입해	구입/NNG+하/XSV+아/EC
러시아의	러시아/NNP+의/JKG
5대	5/SN+대/NNG
수출국에	수출국/NNG+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
이런	이런/MMD
배경	배경/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.57.8.1
러시아는 이 밖에도 깜라인 만에 조선소를 건설하고 2011년 판매 계약을 맺은 6척의 잠수함을 올해 베트남에 인도한다.

러시아는	러시아/NNP+는/JX
이	이/MMD
밖에도	밖/NNG+에/JKB+도/JX
깜라인	깜라인/NNP
만에	만/NNG+에/JKB
조선소를	조선소/NNG+를/JKO
건설하고	건설/NNG+하/XSV+고/EC
2011년	2011/SN+년/NNB
판매	판매/NNG
계약을	계약/NNG+을/JKO
맺은	맺/VV+은/ETM
6척의	6/SN+척/NNB+의/JKG
잠수함을	잠수함/NNG+을/JKO
올해	올해/NNG
베트남에	베트남/NNP+에/JKB
인도한다.	인도/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.57.8.2
또 러시아는 베트남의 첫 핵발전소 건설을 돕고 있고 헬기도 함께 생산하는 등 다방면의 합작 사업도 추진 중이다.

또	또/MAG
러시아는	러시아/NNP+는/JX
베트남의	베트남/NNP+의/JKG
첫	첫/MMN
핵발전소	핵/NNG+발전소/NNG
건설을	건설/NNG+을/JKO
돕고	돕/VV+고/EC
있고	있/VX+고/EC
헬기도	헬기/NNG+도/JX
함께	함께/MAG
생산하는	생산/NNG+하/XSV+는/ETM
등	등/NNB
다방면의	다방면/NNG+의/JKG
합작	합작/NNG
사업도	사업/NNG+도/JX
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.57.9.1
환추시보는 이어 베트남이 중국의 석유 굴착 작업에 맞서기 위해서 미국 끌어들이기에도 적극 나서고 있다고 분석했다.

환추시보는	환추시보/NNP+는/JX
이어	잇/VV+어/EC
베트남이	베트남/NNP+이/JKS
중국의	중국/NNP+의/JKG
석유	석유/NNG
굴착	굴착/NNG
작업에	작업/NNG+에/JKB
맞서기	맞서/VV+기/ETN
위해서	위하/VV+아서/EC
미국	미국/NNP
끌어들이기에도	끌어들이/VV+기/ETN+에/JKB+도/JX
적극	적극/NNG
나서고	나서/VV+고/EC
있다고	있/VX+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.57.9.2
미국도 베트남과 러시아의 밀월로 무기 수출 기회가 러시아에 넘어가는 것에 대응해 무기 수출 제한을 완화하려는 움직임을 보이고 있다.

미국도	미국/NNP+도/JX
베트남과	베트남/NNP+과/JC
러시아의	러시아/NNP+의/JKG
밀월로	밀월/NNG+로/JKB
무기	무기/NNG
수출	수출/NNG
기회가	기회/NNG+가/JKS
러시아에	러시아/NNP+에/JKB
넘어가는	넘어가/VV+는/ETM
것에	것/NNB+에/JKB
대응해	대응/NNG+하/XSV+아/EC
제한을	제한/NNG+을/JKO
완화하려는	완화/NNG+하/XSV+려는/ETM
움직임을	움직임/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.57.9.3
테드 오셔스 신임 베트남 주재 미국대사는 이와 관련해 17일 미 상원에서 “현재 베트남에 살상 무기 판매와 이전을 금지하는 조치를 취소하는 것을 고려하고 있다”고 말했다.

테드	테드/NNP
오셔스	오셔스/NNP
신임	신임/NNG
베트남	베트남/NNP
주재	주재/NNG
미국대사는	미국/NNP+대사/NNG+는/JX
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
17일	17/SN+일/NNB
미	미/NNP
상원에서	상원/NNG+에서/JKB
“현재	“/SS+현재/MAG
베트남에	베트남/NNP+에/JKB
살상	살상/NNG
무기	무기/NNG
판매와	판매/NNG+와/JC
이전을	이전/NNG+을/JKO
금지하는	금지/NNG+하/XSV+는/ETM
조치를	조치/NNG+를/JKO
취소하는	취소/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
고려하고	고려/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


