# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.253
metadata : {}


# id : NWRW1800000021.253.1.1
北선박 안보리 제재강화 후 첫 나포

北선박	北/SH+선박/NNG
진술이	진술/NNG+이/JKS
오락가락하고	오락가락/MAG+하/XSV+고/EC
여권에	여권/NNG+에/JKB
싱가포르	싱가포르/NNP
입국	입국/NNG
기록이	기록/NNG+이/JKS
남아	남/VV+아/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
등	등/NNB
석연찮은	석연하/VA+지/EC+않/VX+은/ETM
점이	점/NNG+이/JKS
많아	많/VA+아/EC
추가	추가/NNG
조사가	조사/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


