# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.147
metadata : {}


# id : NWRW1800000052.147.1.1
‘대산문학상’ 시 이장욱·소설 김이정·평론 정홍수 수상

‘대산문학상’	‘/SS+대산/NNP+문학상/NNG+’/SS
<위저드	</SS+위저드/NA
베이커리>	베이커리/NNG+>/SS
스페인어	스페인어/NNP
번역이	번역/NNG+이/JKS
각각	각각/MAG
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.147.3.3
수상자에게는 부문별로 상금 5천만원을 준다.

수상자에게는	수상자/NNG+에게/JKB+는/JX
부문별로	부문/NNG+별/XSN+로/JKB
상금	상금/NNG
5천만원을	5/SN+천만/NR+원/NNB+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.147.4.1
이장욱 시집은 “내밀한 아이러니와 중성적인 시 쓰기의 비결정적인 지대가 시의 의미를 독자에게 돌려주면서 한국 시를 미지의 영역으로 확대하고 있는 점”이, 김이정 소설은 “우리 현대사가 서둘러 앞으로 나아가면서 진실, 진정성 따위를 등 뒤에 흘릴 때 그것을 조용히 수습하는 문학 본연의 기능을 충실히 이행하고 있는 점”이, 정홍수 평론집은 “구체적인 삶의 지문(指紋)을 과하지 않은 미문에 담아냄으로써 그 자체로 문학의 지혜를 체험하게 하는 점”이 높은 평가를 받았다.

이장욱	이장욱/NNP
시집은	시집/NNG+은/JX
“내밀한	“/SS+내밀/NNG+하/XSA+ㄴ/ETM
아이러니와	아이러니/NNG+와/JC
중성적인	중성/NNG+적/XSN+이/VCP+ㄴ/ETM
시	시/NNG
쓰기의	쓰/VV+기/ETN+의/JKG
비결정적인	비/XPN+결정/NNG+적/XSN+이/VCP+ㄴ/ETM
지대가	지대/NNG+가/JKS
시의	시/NNG+의/JKG
의미를	의미/NNG+를/JKO
독자에게	독자/NNG+에게/JKB
돌려주면서	돌려주/VV+면서/EC
한국	한국/NNP
시를	시/NNG+를/JKO
미지의	미지/NNG+의/JKG
영역으로	영역/NNG+으로/JKB
확대하고	확대/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
점”이,	점/NNG+”/SS+이/JKS+,/SP
김이정	김이정/NNP
소설은	소설/NNG+은/JX
“우리	“/SS+우리/NP
현대사가	현대사/NNG+가/JKS
서둘러	서두르/VV+어/EC
앞으로	앞/NNG+으로/JKB
나아가면서	나아가/VV+면서/EC
진실,	진실/NNG+,/SP
진정성	진정/NNG+성/XSN
따위를	따위/NNB+를/JKO
등	등/NNG
뒤에	뒤/NNG+에/JKB
흘릴	흘리/VV+ㄹ/ETM
때	때/NNG
그것을	그것/NP+을/JKO
조용히	조용히/MAG
수습하는	수습/NNG+하/XSV+는/ETM
문학	문학/NNG
본연의	본연/NNG+의/JKG
기능을	기능/NNG+을/JKO
충실히	충실히/MAG
이행하고	이행/NNG+하/XSV+고/EC
정홍수	정홍수/NNP
평론집은	평론집/NNG+은/JX
“구체적인	“/SS+구체/NNG+적/XSN+이/VCP+ㄴ/ETM
삶의	삶/NNG+의/JKG
지문(指紋)을	지문/NNG+(/SS+指紋/SH+)/SS+을/JKO
과하지	과하/VA+지/EC
않은	않/VX+은/ETM
미문에	미문/NNG+에/JKB
담아냄으로써	담아내/VV+ㅁ/ETN+으로써/JKB
그	그/MMD
자체로	자체/NNG+로/JKB
문학의	문학/NNG+의/JKG
지혜를	지혜/NNG+를/JKO
체험하게	체험/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
점”이	점/NNG+”/SS+이/JKS
높은	높/VA+은/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.147.4.2
번역 부문 수상작은 “원작이 갖추고 있는 보편성과 함께 표현하기 어려운 함축적인 문장들이나 구어체적인 표현들을 스페인어로 잘 소화해 낸 점”이 점수를 얻었다.

번역	번역/NNG
부문	부문/NNG
수상작은	수상작/NNG+은/JX
“원작이	“/SS+원작/NNG+이/JKS
갖추고	갖추/VV+고/EC
있는	있/VX+는/ETM
보편성과	보편/NNG+성/XSN+과/JKB
함께	함께/MAG
표현하기	표현/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
함축적인	함축/NNG+적/XSN+이/VCP+ㄴ/ETM
문장들이나	문장/NNG+들/XSN+이나/JC
구어체적인	구어체/NNG+적/XSN+이/VCP+ㄴ/ETM
표현들을	표현/NNG+들/XSN+을/JKO
스페인어로	스페인어/NNP+로/JKB
잘	잘/MAG
소화해	소화/NNG+하/XSV+아/EC
낸	내/VX+ㄴ/ETM
점”이	점/NNG+”/SS+이/JKS
점수를	점수/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.147.5.1
1일 낮 서울 광화문 한 음식점에서 열린 기자간담회에서 이장욱은 “최근 문학 하는 모든 이들이 힘겨운 과정을 겪는 가운데 상을 받게 되어 마음이 무겁다.

1일	1/SN+일/NNB
낮	낮/NNG
서울	서울/NNP
광화문	광화문/NNP
한	한/MMN
음식점에서	음식점/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
이장욱은	이장욱/NNP+은/JX
“최근	“/SS+최근/MAG
문학	문학/NNG
하는	하/VV+는/ETM
모든	모든/MMN
이들이	이/NNB+들/XSN+이/JKS
힘겨운	힘겹/VA+ㄴ/ETM
과정을	과정/NNG+을/JKO
겪는	겪/VV+는/ETM
가운데	가운데/NNG
상을	상/NNG+을/JKO
받게	받/VV+게/EC
되어	되/VV+어/EC
마음이	마음/NNG+이/JKS
무겁다.	무겁/VA+다/EF+./SF


# id : NWRW1800000052.147.5.2
개인적으로는 막다른 골목에 서 있다는 느낌이어서, 스스로를 매혹시킬 다른 언어를 발견해야 한다는 생각을 한다”고 수상 소감을 밝혔다.

개인적으로는	개인/NNG+적/XSN+으로/JKB+는/JX
막다른	막다르/VA+ㄴ/ETM
골목에	골목/NNG+에/JKB
서	서/VV+어/EC
있다는	있/VX+다는/ETM
느낌이어서,	느낌/NNG+이/VCP+어서/EC+,/SP
스스로를	스스로/NNG+를/JKO
매혹시킬	매혹/NNG+시키/XSV+ㄹ/ETM
다른	다른/MMD
언어를	언어/NNG+를/JKO
발견해야	발견/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
수상	수상/NNG
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.147.5.3
김이정은 “내가 작가가 된 이유이기도 한 아버지 이야기로 상을 받게 되어 더욱 기쁘다.

김이정은	김이정/NNP+은/JX
“내가	“/SS+내/NP+가/JKS
작가가	작가/NNG+가/JKC
된	되/VV+ㄴ/ETM
이유이기도	이유/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
아버지	아버지/NNG
이야기로	이야기/NNG+로/JKB
상을	상/NNG+을/JKO
받게	받/VV+게/EC
되어	되/VV+어/EC
더욱	더욱/MAG
기쁘다.	기쁘/VA+다/EF+./SF


# id : NWRW1800000052.147.5.4
지난 시절 한 사회주의자의 이야기가 지금 시점에서 무슨 의미가 있을까 싶었으나 불행하게도 분단과 이데올로기 문제가 여전히 현재진행형이라는 점을 다시 확인하게 된다”고 말했다.

지난	지나/VV+ㄴ/ETM
시절	시절/NNG
한	한/MMN
사회주의자의	사회주의자/NNG+의/JKG
이야기가	이야기/NNG+가/JKS
지금	지금/MAG
시점에서	시점/NNG+에서/JKB
무슨	무슨/MMD
의미가	의미/NNG+가/JKS
있을까	있/VA+을까/EF
싶었으나	싶/VX+었/EP+으나/EC
불행하게도	불행/NNG+하/XSA+게/EC+도/JX
분단과	분단/NNG+과/JC
이데올로기	이데올로기/NNG
문제가	문제/NNG+가/JKS
여전히	여전히/MAG
현재진행형이라는	현재/NNG+진행/NNG+형/XSN+이/VCP+라는/ETM
점을	점/NNG+을/JKO
다시	다시/MAG
확인하게	확인/NNG+하/XSV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.147.5.5
정홍수는 “약간의 언어, 약간의 상상력, 약간의 성찰로써 자기 표현의 자리로 나아가는 게 문학인데, 요즘처럼 문학에 대한 냉기와 환멸이 커지는 때에 오히려 문학의 가난을 생각해 보는 것도 의미 있을 것”이라고 말했다.

정홍수는	정홍수/NNP+는/JX
“약간의	“/SS+약간/NNG+의/JKG
언어,	언어/NNG+,/SP
약간의	약간/NNG+의/JKG
상상력,	상상력/NNG+,/SP
성찰로써	성찰/NNG+로써/JKB
자기	자기/NNG
표현의	표현/NNG+의/JKG
자리로	자리/NNG+로/JKB
나아가는	나아가/VV+는/ETM
게	거/NNB+이/JKS
문학인데,	문학/NNG+이/VCP+ㄴ데/EC+,/SP
요즘처럼	요즘/NNG+처럼/JKB
문학에	문학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
냉기와	냉기/NNG+와/JC
환멸이	환멸/NNG+이/JKS
커지는	커지/VV+는/ETM
때에	때/NNG+에/JKB
오히려	오히려/MAG
문학의	문학/NNG+의/JKG
가난을	가난/NNG+을/JKO
생각해	생각/NNG+하/XSV+아/EC
보는	보/VX+는/ETM
것도	것/NNB+도/JX
의미	의미/NNG
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.147.6.1
시상식은 30일 오후 6시 서울 태평로 한국언론회관 20층 국제회의장에서 열린다.

시상식은	시상식/NNG+은/JX
30일	30/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
서울	서울/NNP
태평로	태평로/NNP
한국언론회관	한국언론회관/NNP
20층	20/SN+층/NNG
국제회의장에서	국제회의장/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


