# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.20
metadata : {}


# id : NWRW1800000029.20.1.1
東日本 대지진 / 물가苦 한반도에 ‘인플레 쓰나미’ 덮치나

東日本	東日本/SH
엔화	엔화/NNG
약세가	약세/NNG+가/JKS
본격화되면	본격/NNG+화/XSN+되/XSV+면/EC
자칫	자칫/MAG
‘인플레	‘/SS+인플레/NNG
쓰나미’가	쓰나미/NNG+’/SS+가/JKS
몰려올	몰려오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.20.4.1
일본은행(BOJ)은 16일 대지진으로 인한 경제적 충격을 완화하기 위해 3조5000억 엔(약 49조 원)의 유동성을 추가로 투입한다고 밝혔다.

일본은행(BOJ)은	일본은행/NNP+(/SS+BOJ/SL+)/SS+은/JX
16일	16/SN+일/NNB
대지진으로	대/XPN+지진/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
경제적	경제/NNG+적/XSN
충격을	충격/NNG+을/JKO
완화하기	완화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
3조5000억	3/SN+조/NR+5000/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
49조	49/SN+조/NR
원)의	원/NNB+)/SS+의/JKG
유동성을	유동/NNG+성/XSN+을/JKO
추가로	추가/NNG+로/JKB
투입한다고	투입/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.20.4.2
또 채권 매입 프로그램을 통해 18일부터 22일 사이에 2조 엔을 더 풀 예정이다.

또	또/MAG
채권	채권/NNG
매입	매입/NNG
프로그램을	프로그램/NNG+을/JKO
통해	통하/VV+아/EC
18일부터	18/SN+일/NNB+부터/JX
22일	22/SN+일/NNB
사이에	사이/NNG+에/JKB
2조	2/SN+조/NR
엔을	엔/NNB+을/JKO
더	더/MAG
풀	풀/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.20.4.3
일본은행은 대지진 이후 이미 40조 엔이 넘는 자금을 시중에 푼 것으로 추정된다.

일본은행은	일본은행/NNP+은/JX
대지진	대/XPN+지진/NNG
이후	이후/NNG
이미	이미/MAG
40조	40/SN+조/NR
엔이	엔/NNB+이/JKS
넘는	넘/VV+는/ETM
자금을	자금/NNG+을/JKO
시중에	시중/NNG+에/JKB
푼	풀/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.20.5.1
미국도 통화 확대에 가세했다.

미국도	미국/NNP+도/JX
통화	통화/NNG
확대에	확대/NNG+에/JKB
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.20.5.2
미국 연방준비제도이사회(FRB)는 15일(현지 시간) 통화정책결정기구인 연방공개시장위원회(FOMC) 회의에서 6월 말 종료될 양적완화 프로그램을 변경 없이 계속 시행하고 정책금리도 제로 수준을 유지하기로 만장일치로 결정했다.

미국	미국/NNP
연방준비제도이사회(FRB)는	연방준비제도이사회/NNP+(/SS+FRB/SL+)/SS+는/JX
15일(현지	15/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
통화정책결정기구인	통화/NNG+정책/NNG+결정/NNG+기구/NNG+이/VCP+ㄴ/ETM
연방공개시장위원회(FOMC)	연방공개시장위원회/NNP+(/SS+FOMC/SL+)/SS
회의에서	회의/NNG+에서/JKB
6월	6/SN+월/NNB
말	말/NNB
종료될	종료/NNG+되/XSV+ㄹ/ETM
양적완화	양/NNG+적/XSN+완화/NNG
프로그램을	프로그램/NNG+을/JKO
변경	변경/NNG
없이	없이/MAG
계속	계속/MAG
시행하고	시행/NNG+하/XSV+고/EC
정책금리도	정책/NNG+금리/NNG+도/JX
제로	제로/NNG
수준을	수준/NNG+을/JKO
유지하기로	유지/NNG+하/XSV+기/ETN+로/JKB
만장일치로	만장일치/NNG+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.20.5.3
미국 경제에 훈풍이 불기 시작하면서 FRB가 돈을 찍어내는 양적완화정책을 중단할 것이라는 일각의 예상이 보기 좋게 빗나간 것.

미국	미국/NNP
경제에	경제/NNG+에/JKB
훈풍이	훈풍/NNG+이/JKS
불기	불/VV+기/ETN
시작하면서	시작/NNG+하/XSV+면서/EC
FRB가	FRB/SL+가/JKS
돈을	돈/NNG+을/JKO
찍어내는	찍/VV+어/EC+내/VX+는/ETM
양적완화정책을	양/NNG+적/XSN+완화/NNG+정책/NNG+을/JKO
중단할	중단/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
일각의	일각/NNG+의/JKG
예상이	예상/NNG+이/JKS
보기	보/VV+기/ETN
좋게	좋/VA+게/EC
빗나간	빗나가/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.20.6.1
미국과 일본이 자금 방출에 나서면서 동일본 대지진 이후 잠시 주춤했던 국제 원자재 가격이 반등할 것이라는 전망이 나오고 있다.

미국과	미국/NNP+과/JC
일본이	일본/NNP+이/JKS
자금	자금/NNG
방출에	방출/NNG+에/JKB
나서면서	나서/VV+면서/EC
동일본	동일본/NNP
대지진	대/XPN+지진/NNG
이후	이후/NNG
잠시	잠시/MAG
주춤했던	주춤/MAG+하/XSV+았/EP+던/ETM
국제	국제/NNG
원자재	원자재/NNG
가격이	가격/NNG+이/JKS
반등할	반등/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.20.6.2
대지진 여파로 안전자산이 선호되면서 원자재 가격이 잠시 숨고르기를 하겠지만 이후 일본이 경제 재건에 나서면 재차 치솟을 것이라는 얘기다.

대지진	대/XPN+지진/NNG
여파로	여파/NNG+로/JKB
안전자산이	안전/NNG+자산/NNG+이/JKS
선호되면서	선호/NNG+되/XSV+면서/EC
원자재	원자재/NNG
가격이	가격/NNG+이/JKS
잠시	잠시/MAG
숨고르기를	숨/NNG+고르/VV+기/ETN+를/JKO
하겠지만	하/VV+겠/EP+지만/EC
이후	이후/NNG
일본이	일본/NNP+이/JKS
경제	경제/NNG
재건에	재건/NNG+에/JKB
나서면	나서/VV+면/EC
재차	재차/MAG
치솟을	치솟/VV+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.20.6.3
국제 원자재 가격 상승은 국내로 들여오는 석유제품 등 수입품 가격을 높여 국내 물가부담을 가중시킨다.

국제	국제/NNG
원자재	원자재/NNG
가격	가격/NNG
상승은	상승/NNG+은/JX
국내로	국내/NNG+로/JKB
들여오는	들여오/VV+는/ETM
석유제품	석유/NNG+제품/NNG
등	등/NNB
수입품	수입품/NNG
가격을	가격/NNG+을/JKO
높여	높이/VV+어/EC
국내	국내/NNG
물가부담을	물가/NNG+부담/NNG+을/JKO
가중시킨다.	가중/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.20.6.4
우리나라의 경우 일본에 거의 전적으로 의지하고 있는 부품 및 소재의 국내 유입이 차질을 빚으면 관련 제품 가격이 상승하게 된다.

우리나라의	우리나라/NNG+의/JKG
경우	경우/NNG
일본에	일본/NNP+에/JKB
거의	거의/MAG
전적으로	전적/NNG+으로/JKB
의지하고	의지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
부품	부품/NNG
및	및/MAG
소재의	소재/NNG+의/JKG
국내	국내/NNG
유입이	유입/NNG+이/JKS
차질을	차질/NNG+을/JKO
빚으면	빚/VV+으면/EC
관련	관련/NNG
제품	제품/NNG
가격이	가격/NNG+이/JKS
상승하게	상승/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.20.6.5
김동열 현대경제연구원 수석연구위원은 “벌써 아이패드 아이폰 등에 쓰이는 플래시메모리 가격이 10%가량 뛰었다는 얘기가 나온다”며 “일본이 공급하는 핵심부품의 경우 다른 국가로 수입처를 돌리기 힘들기 때문에 부족하면 수입가격이 오를 수밖에 없다”고 전했다.

김동열	김동열/NNP
현대경제연구원	현대경제연구원/NNP
수석연구위원은	수석/NNG+연구/NNG+위원/NNG+은/JX
“벌써	“/SS+벌써/MAG
아이패드	아이패드/NNP
아이폰	아이폰/NNP
등에	등/NNB+에/JKB
쓰이는	쓰이/VV+는/ETM
플래시메모리	플래시/NNG+메모리/NNG
가격이	가격/NNG+이/JKS
10%가량	10/SN+%/SW+가량/XSN
뛰었다는	뛰/VV+었/EP+다는/ETM
얘기가	얘기/NNG+가/JKS
나온다”며	나오/VV+ㄴ다/EF+”/SS+며/EC
“일본이	“/SS+일본/NNP+이/JKS
공급하는	공급/NNG+하/XSV+는/ETM
핵심부품의	핵심/NNG+부품/NNG+의/JKG
경우	경우/NNG
다른	다른/MMD
국가로	국가/NNG+로/JKB
수입처를	수입처/NNG+를/JKO
돌리기	돌리/VV+기/ETN
힘들기	힘들/VA+기/ETN
때문에	때문/NNB+에/JKB
부족하면	부족/NNG+하/XSA+면/EC
수입가격이	수입/NNG+가격/NNG+이/JKS
오를	오르/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.20.7.1
전문가들은 대체적으로 엔화 환율이 잠깐 하락한(엔화 가치는 상승) 이후 다시 상승세로 돌아설 것으로 전망한다.

전문가들은	전문가/NNG+들/XSN+은/JX
대체적으로	대체/NNG+적/XSN+으로/JKB
엔화	엔화/NNG
환율이	환율/NNG+이/JKS
잠깐	잠깐/MAG
하락한(엔화	하락/NNG+하/XSV+ㄴ/ETM+(/SS+엔화/NNG
가치는	가치/NNG+는/JX
상승)	상승/NNG+)/SS
이후	이후/NNG
다시	다시/MAG
상승세로	상승세/NNG+로/JKB
돌아설	돌아서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망한다.	전망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.20.7.2
지금은 일본이 해외 자산을 팔아 엔화를 본국으로 송금하면서 엔화가 강세를 보이고 있지만 엔화자금 대량 방출로 약세 기조에 놓일 수밖에 없다는 설명이다.

지금은	지금/NNG+은/JX
일본이	일본/NNP+이/JKS
해외	해외/NNG
자산을	자산/NNG+을/JKO
팔아	팔/VV+아/EC
엔화를	엔화/NNG+를/JKO
본국으로	본국/NNG+으로/JKB
송금하면서	송금/NNG+하/XSV+면서/EC
엔화가	엔화/NNG+가/JKS
강세를	강세/NNG+를/JKO
보이고	보이/VV+고/EC
있지만	있/VX+지만/EC
엔화자금	엔화/NNG+자금/NNG
대량	대량/NNG
방출로	방출/NNG+로/JKB
약세	약세/NNG
기조에	기조/NNG+에/JKB
놓일	놓이/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.20.7.3
엔화 가치가 떨어지면 상대적으로 미국 달러화의 강세를 이끌어 원-달러 환율은 오를 공산이 크다.

엔화	엔화/NNG
가치가	가치/NNG+가/JKS
떨어지면	떨어지/VV+면/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
미국	미국/NNP
달러화의	달러화/NNG+의/JKG
강세를	강세/NNG+를/JKO
이끌어	이끌/VV+어/EC
원-달러	원/NNG+-/SO+달러/NNG
환율은	환율/NNG+은/JX
오를	오르/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000029.20.7.4
신민영 LG경제연구원 경제연구실장은 “일본 정부의 재정적자 등으로 엔화는 강세를 이어가기 힘들 것”이라며 “엔화 약세, 달러 강세에 따른 원화 환율 상승은 수입물가 상승으로 이어져 인플레가 악화될 가능성이 높다”고 설명했다.

신민영	신민영/NNP
LG경제연구원	LG경제연구원/NNP
경제연구실장은	경제/NNG+연구실장/NNG+은/JX
“일본	“/SS+일본/NNP
정부의	정부/NNG+의/JKG
재정적자	재정/NNG+적자/NNG
등으로	등/NNB+으로/JKB
엔화는	엔화/NNG+는/JX
강세를	강세/NNG+를/JKO
이어가기	잇/VV+어/EC+가/VX+기/ETN
힘들	힘들/VA+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“엔화	“/SS+엔화/NNG
약세,	약세/NNG+,/SP
달러	달러/NNG
강세에	강세/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
원화	원화/NNG
환율	환율/NNG
상승은	상승/NNG+은/JX
수입물가	수입/NNG+물가/NNG
상승으로	상승/NNG+으로/JKB
이어져	이어지/VV+어/EC
인플레가	인플레/NNG+가/JKS
악화될	악화/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


