# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.296
metadata : {}


# id : NWRW1800000040.296.1.1
37살 메이저리거, 임창용

37살	37/SN+살/NNB
미국행을	미국행/NNG+을/JKO
택한	택하/VV+ㄴ/ETM
임창용(37)이	임창용/NNP+(/SS+37/SN+)/SS+이/JKS
빅리그	빅리그/NNG
입성의	입성/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.9.2
등번호 12번.

등번호	등/NNG+번호/NNG
12번.	12/SN+번/NNB+./SF


# id : NWRW1800000040.296.9.3
시카고 컵스는 5일(한국시각) 임창용을 메이저리그로 승격시켰다.

시카고	시카고/NNP
컵스는	컵스/NNP+는/JX
5일(한국시각)	5/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
임창용을	임창용/NNP+을/JKO
메이저리그로	메이저리그/NNG+로/JKB
승격시켰다.	승격/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.9.4
한국인 출신으로는 14번째이며, 2005년 당시 36살로 뉴욕 메츠에 데뷔한 구대성(44)의 기록을 뛰어넘는 한국인 최고령 메이저리거다.

한국인	한국인/NNG
출신으로는	출신/NNG+으로/JKB+는/JX
14번째이며,	14/SN+번/NNB+째/XSN+이/VCP+며/EC+,/SP
2005년	2005/SN+년/NNB
당시	당시/NNG
36살로	36/SN+살/NNB+로/JKB
뉴욕	뉴욕/NNP
메츠에	메츠/NNP+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
구대성(44)의	구대성/NNP+(/SS+44/SN+)/SS+의/JKG
기록을	기록/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
최고령	최/XPN+고령/NNG
메이저리거다.	메이저리거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.296.9.5
임창용은 40인 로스터에 포함된 직후 “염소의 저주를 풀 수 있기를 바란다.

임창용은	임창용/NNP+은/JX
40인	40/SN+인/NNG
로스터에	로스터/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
직후	직후/NNG
“염소의	“/SS+염소/NNG+의/JKG
저주를	저주/NNG+를/JKO
풀	풀/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
바란다.	바라/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.296.9.6
메이저리그 무대가 어떤지 긴장되고 흥분된다”고 기대감을 나타냈다.

메이저리그	메이저리그/NNG
무대가	무대/NNG+가/JKS
어떤지	어떻/VA+ㄴ지/EC
긴장되고	긴장/NNG+되/XSV+고/EC
흥분된다”고	흥분/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
기대감을	기대감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.10.1
임창용이 최고의 무대에 서기까지는 18년이 걸렸다.

임창용이	임창용/NNP+이/JKS
최고의	최고/NNG+의/JKG
무대에	무대/NNG+에/JKB
서기까지는	서/VV+기/ETN+까지/JX+는/JX
18년이	18/SN+년/NNB+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.10.2
1995년 해태에서 데뷔한 임창용은 99년 삼성으로 이적했고, 2007년 12월 일본프로야구 야쿠르트로 옮겼다.

1995년	1995/SN+년/NNB
해태에서	해태/NNP+에서/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
임창용은	임창용/NNP+은/JX
99년	99/SN+년/NNB
삼성으로	삼성/NNP+으로/JKB
이적했고,	이적/NNG+하/XSV+았/EP+고/EC+,/SP
2007년	2007/SN+년/NNB
12월	12/SN+월/NNB
일본프로야구	일본/NNP+프로/NNG+야구/NNG
야쿠르트로	야쿠르트/NNP+로/JKB
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.10.3
한국에서 뛴 13년간 104승66패, 168세이브.

한국에서	한국/NNP+에서/JKB
뛴	뛰/VV+ㄴ/ETM
13년간	13/SN+년/NNB+간/XSN
104승66패,	104/SN+승/NNB+66/SN+패/NNB+,/SP
168세이브.	168/SN+세이브/NNG+./SF


# id : NWRW1800000040.296.10.4
데뷔 5년째인 1999년 평균자책점(2.14) 1위에 올랐고, 변화무쌍한 공으로 한국프로야구 통산 168세이브(역대 5위)에 올라 있다.

데뷔	데뷔/NNG
5년째인	5/SN+년/NNB+째/XSN+이/VCP+ㄴ/ETM
1999년	1999/SN+년/NNB
평균자책점(2.14)	평균/NNG+자책점/NNG+(/SS+2/SN+./SP+14/SN+)/SS
1위에	1/SN+위/NNB+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
변화무쌍한	변화무쌍/NNG+하/XSA+ㄴ/ETM
공으로	공/NNG+으로/JKB
한국프로야구	한국/NNP+프로/NNG+야구/NNG
통산	통산/NNG
168세이브(역대	168/SN+세이브/NNG+(/SS+역대/NNG
5위)에	5/SN+위/NNB+)/SS+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.296.10.5
98년(해태) 12월 양준혁·곽채진·황두성(이상 삼성)과 3 대 1 트레이드로 삼성으로 둥지를 옮긴 뒤 99년 38세이브를 올렸고, 2004년 36세이브를 달성하는 등 최고의 마무리 투수로 활약했다.

98년(해태)	98/SN+년/NNB+(/SS+해태/NNP+)/SS
12월	12/SN+월/NNB
양준혁·곽채진·황두성(이상	양준혁/NNP+·/SP+곽채진/NNP+·/SP+황두성/NNP+(/SS+이상/NNG
삼성)과	삼성/NNP+)/SS+과/JC
3	3/SN
대	대/NNB
1	1/SN
트레이드로	트레이드/NNG+로/JKB
삼성으로	삼성/NNP+으로/JKB
둥지를	둥지/NNG+를/JKO
옮긴	옮기/VV+ㄴ/ETM
뒤	뒤/NNG
99년	99/SN+년/NNB
38세이브를	38/SN+세이브/NNG+를/JKO
올렸고,	올리/VV+었/EP+고/EC+,/SP
2004년	2004/SN+년/NNB
36세이브를	36/SN+세이브/NNG+를/JKO
달성하는	달성/NNG+하/XSV+는/ETM
등	등/NNB
최고의	최고/NNG+의/JKG
마무리	마무리/NNG
투수로	투수/NNG+로/JKB
활약했다.	활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.296.11.1
(※클릭하면 이미지가 커집니다.) 임창용의 성공과 시련, 그리고 도전

(※클릭하면	(/SS+※/SW+클릭/NNG+하/XSV+면/EC
이미지가	이미지/NNG+가/JKS
커집니다.)	커지/VV+ㅂ니다/EF+./SF+)/SS
임창용의	임창용/NNP+의/JKG
성공과	성공/NNG+과/JC
시련,	시련/NNG+,/SP
그리고	그리고/MAJ
도전	도전/NNG


# id : NWRW1800000040.296.12.1
2004년 시즌을 끝으로 자유계약선수가 된 임창용은 11월18일 삼성과의 결별을 선언하고 메이저리그 진출을 꿈꿨으나 조건이 맞지 않아 포기하고 다시 삼성 유니폼을 입었다.

2004년	2004/SN+년/NNB
시즌을	시즌/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
자유계약선수가	자유/NNG+계약/NNG+선수/NNG+가/JKC
된	되/VV+ㄴ/ETM
임창용은	임창용/NNP+은/JX
11월18일	11/SN+월/NNB+18/SN+일/NNB
삼성과의	삼성/NNP+과/JKB+의/JKG
결별을	결별/NNG+을/JKO
선언하고	선언/NNG+하/XSV+고/EC
메이저리그	메이저리그/NNG
진출을	진출/NNG+을/JKO
꿈꿨으나	꿈꾸/VV+었/EP+으나/EC
조건이	조건/NNG+이/JKS
맞지	맞/VV+지/EC
않아	않/VX+아/EC
포기하고	포기/NNG+하/XSV+고/EC
다시	다시/MAG
삼성	삼성/NNP
유니폼을	유니폼/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.12.2
하지만 2005년 시즌 도중 팔꿈치 부상으로 수술을 받는 등 큰 시련을 맞았다.

하지만	하지만/MAJ
2005년	2005/SN+년/NNB
시즌	시즌/NNG
도중	도중/NNG
팔꿈치	팔꿈치/NNG
부상으로	부상/NNG+으로/JKB
수술을	수술/NNG+을/JKO
받는	받/VV+는/ETM
등	등/NNB
큰	크/VA+ㄴ/ETM
시련을	시련/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.296.12.3
결국 이렇다 할 성적을 내지 못한 임창용은 다시 해외로 눈을 돌렸다.

결국	결국/MAG
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
성적을	성적/NNG+을/JKO
내지	내/VV+지/EC
못한	못하/VX+ㄴ/ETM
임창용은	임창용/NNP+은/JX
다시	다시/MAG
해외로	해외/NNG+로/JKB
눈을	눈/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.12.4
임창용은 일본에서 160㎞에 가까운 직구와 슬라이더로 4년 동안 무실점투를 이어가며 부활해 ‘미스터 제로’로 이름을 날렸다.

임창용은	임창용/NNP+은/JX
일본에서	일본/NNP+에서/JKB
160㎞에	160/SN+㎞/SW+에/JKB
가까운	가깝/VA+ㄴ/ETM
직구와	직구/NNG+와/JC
슬라이더로	슬라이더/NNG+로/JKB
4년	4/SN+년/NNB
동안	동안/NNG
무실점투를	무실점투/NNG+를/JKO
이어가며	잇/VV+어/EC+가/VX+며/EC
부활해	부활/NNG+하/XSV+아/EC
‘미스터	‘/SS+미스터/NNG
제로’로	제로/NNG+’/SS+로/JKB
이름을	이름/NNG+을/JKO
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.12.5
2009년 역대 한국 선수로는 최초로 팬 선정 올스타에 뽑힌 임창용은 야쿠르트에서 5년간 11승13패 128세이브, 평균자책점 2.09라는 화려한 기록을 세웠다.

2009년	2009/SN+년/NNB
역대	역대/NNG
한국	한국/NNP
선수로는	선수/NNG+로/JKB+는/JX
최초로	최초/NNG+로/JKB
팬	팬/NNG
선정	선정/NNG
올스타에	올스타/NNG+에/JKB
뽑힌	뽑히/VV+ㄴ/ETM
임창용은	임창용/NNP+은/JX
야쿠르트에서	야쿠르트/NNP+에서/JKB
5년간	5/SN+년/NNB+간/XSN
11승13패	11/SN+승/NNB+13/SN+패/NNB
128세이브,	128/SN+세이브/NNG+,/SP
평균자책점	평균/NNG+자책점/NNG
2.09라는	2/SN+./SP+09/SN+이/VCP+라는/ETM
화려한	화려하/VA+ㄴ/ETM
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.12.6
임창용은 지난해 7월 일본에서 오른쪽 팔꿈치 인대 접합 수술을 받은 후 메이저리그 도전을 선언했다.

임창용은	임창용/NNP+은/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
일본에서	일본/NNP+에서/JKB
오른쪽	오른쪽/NNG
팔꿈치	팔꿈치/NNG
인대	인대/NNG
접합	접합/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
후	후/NNG
메이저리그	메이저리그/NNG
도전을	도전/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.296.13.1
데일 스웨임 시카고 컵스 감독이 임창용을 메이저리그로 올린 것은 구위를 점검한 뒤 내년을 기약하기 위한 것으로 풀이된다.

데일	데일/NNP
스웨임	스웨임/NNP
시카고	시카고/NNP
컵스	컵스/NNP
감독이	감독/NNG+이/JKS
임창용을	임창용/NNP+을/JKO
메이저리그로	메이저리그/NNG+로/JKB
올린	올리/VV+ㄴ/ETM
것은	것/NNB+은/JX
구위를	구위/NNG+를/JKO
점검한	점검/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
내년을	내년/NNG+을/JKO
기약하기	기약/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.296.13.2
시카고 컵스는 밀워키와 더불어 내셔널리그 중부지구 꼴찌를 다투고 있다.

시카고	시카고/NNP
컵스는	컵스/NNP+는/JX
밀워키와	밀워키/NNP+와/JKB
더불어	더불/VV+어/EC
내셔널리그	내셔널리그/NNG
중부지구	중부/NNG+지구/NNG
꼴찌를	꼴찌/NNG+를/JKO
다투고	다투/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.296.13.3
남은 경기를 가능성 있는 신인을 발굴하는 장으로 활용할 가능성이 높다.

남은	남/VV+은/ETM
경기를	경기/NNG+를/JKO
가능성	가능/NNG+성/XSN
있는	있/VA+는/ETM
신인을	신인/NNG+을/JKO
발굴하는	발굴/NNG+하/XSV+는/ETM
장으로	장/NNG+으로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000040.296.13.4
따라서 임창용이 내년 주전 마무리 보직을 따내기 위해서는 올 시즌 등판에서 확실히 눈도장을 받아야 한다.

따라서	따라서/MAJ
임창용이	임창용/NNP+이/JKS
내년	내년/NNG
주전	주전/NNG
마무리	마무리/NNG
보직을	보직/NNG+을/JKO
따내기	따내/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
올	올/NNG
시즌	시즌/NNG
등판에서	등판/NNG+에서/JKB
확실히	확실히/MAG
눈도장을	눈도장/NNG+을/JKO
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.296.13.5
또 현재 마무리 투수 케빈 그레그(35)와 일본인 투수 후지카와 규지(33) 등과의 치열한 경쟁에서 이겨야 한다.

또	또/MAG
현재	현재/MAG
마무리	마무리/NNG
투수	투수/NNG
케빈	케빈/NNP
그레그(35)와	그레그/NNP+(/SS+35/SN+)/SS+와/JC
일본인	일본인/NNG
후지카와	후지카와/NNP
규지(33)	규지/NNP+(/SS+33/SN+)/SS
등과의	등/NNB+과/JKB+의/JKG
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁에서	경쟁/NNG+에서/JKB
이겨야	이기/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.296.14.1
임창용은 시카고 컵스 산하 마이너리그 트리플에이(A) 아이오와 컵스에서 11경기에 등판해 11⅓이닝을 던져 단 1실점, 평균자책점 0.79를 기록했다.

임창용은	임창용/NNP+은/JX
시카고	시카고/NNP
컵스	컵스/NNP
산하	산하/NNG
마이너리그	마이너리그/NNG
트리플에이(A)	트리플에이/NNG+(/SS+A/SL+)/SS
아이오와	아이오와/NNP
컵스에서	컵스/NNP+에서/JKB
11경기에	11/SN+경기/NNG+에/JKB
등판해	등판/NNG+하/XSV+아/EC
11⅓이닝을	11/SN+⅓/SN+이닝/NNG+을/JKO
던져	던지/VV+어/EC
단	단/MMA
1실점,	1/SN+실점/NNG+,/SP
평균자책점	평균/NNG+자책점/NNG
0.79를	0/SN+./SP+79/SN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.296.14.2
마이너리그에서 21차례 등판해 평균자책점 1.61이라는 빼어난 성적으로 메이저에서도 통할 수 있다는 가능성을 보였다.

마이너리그에서	마이너리그/NNG+에서/JKB
21차례	21/SN+차례/NNG
등판해	등판/NNG+하/XSV+아/EC
평균자책점	평균/NNG+자책점/NNG
1.61이라는	1/SN+./SP+61/SN+이/VCP+라는/ETM
빼어난	빼어나/VA+ㄴ/ETM
성적으로	성적/NNG+으로/JKB
메이저에서도	메이저/NNG+에서/JKB+도/JX
통할	통하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
가능성을	가능/NNG+성/XSN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.296.15.1
이르면 10~13일 사이에 임창용과 추신수의 맞대결도 이뤄질 가능성이 높다.

이르면	이르/VA+면/EC
10~13일	10/SN+~/SO+13/SN+일/NNB
사이에	사이/NNG+에/JKB
임창용과	임창용/NNP+과/JC
추신수의	추신수/NNP+의/JKG
맞대결도	맞대결/NNG+도/JX
이뤄질	이뤄지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000040.296.15.2
시카고 컵스는 현재 23경기를 남겨두고 있고, 10일부터 내셔널리그 중부지구에 속한 신시내티와 그레이트 아메리칸 볼파크에서 원정 3연전을 치른다.

시카고	시카고/NNP
컵스는	컵스/NNP+는/JX
현재	현재/MAG
23경기를	23/SN+경기/NNG+를/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
있고,	있/VX+고/EC+,/SP
10일부터	10/SN+일/NNB+부터/JX
내셔널리그	내셔널리그/NNG
중부지구에	중부/NNG+지구/NNG+에/JKB
속한	속하/VV+ㄴ/ETM
신시내티와	신시내티/NNP+와/JC
그레이트	그레이트/NNP
아메리칸	아메리칸/NNP
볼파크에서	볼파크/NNP+에서/JKB
원정	원정/NNG
3연전을	3/SN+연전/NNG+을/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.296.15.3
임창용이 신시내티전 3연전에 등판한다면 역대 16번째 메이저리그 한국인 투타 대결이 성사된다.

임창용이	임창용/NNP+이/JKS
신시내티전	신시내티전/NNG
3연전에	3/SN+연전/NNG+에/JKB
등판한다면	등판/NNG+하/XSV+ㄴ다면/EC
역대	역대/NNG
16번째	16/SN+번/NNB+째/XSN
메이저리그	메이저리그/NNG
한국인	한국인/NNG
투타	투타/NNG
대결이	대결/NNG+이/JKS
성사된다.	성사/NNG+되/XSV+ㄴ다/EF+./SF


