# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.25
metadata : {}


# id : NWRW1800000026.25.1.1
초반 20분 '실점의 추억'을 지워라;1986년 월드컵부터 전체실점의 30% 차지 "지나친 신중함보다 몰아치는 플레이 필요"

초반	초반/NNG
# id : NWRW1800000026.25.3.2
그러나 전반 초반엔 공격과 수비 모두 조직력에 허점을 보이며 우왕좌왕했고, 두 차례나 결정적 실점 위기를 맞았다.

그러나	그러나/MAJ
전반	전반/NNG
초반엔	초반/NNG+에/JKB+ㄴ/JX
공격과	공격/NNG+과/JC
수비	수비/NNG
모두	모두/MAG
조직력에	조직력/NNG+에/JKB
허점을	허점/NNG+을/JKO
보이며	보이/VV+며/EC
우왕좌왕했고,	우왕좌왕/NNG+하/XSV+았/EP+고/EC+,/SP
두	두/MMN
차례나	차례/NNG+나/JX
결정적	결정/NNG+적/XSN
실점	실점/NNG
위기를	위기/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.25.3.3
만약 이때 실점했더라면 한국팀은 또 무너져 내렸을 가능성이 크다.

만약	만약/MAG
이때	이때/NNG
실점했더라면	실점/NNG+하/XSV+았/EP+더라면/EC
한국팀은	한국/NNP+팀/NNG+은/JX
또	또/MAG
무너져	무너지/VV+어/EC
내렸을	내리/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000026.25.3.4
허정무 감독도 경기 후 "경기장에 익숙하지 않아 선수들이 초반에 당황하는 모습을 보였다"고 말했다.

허정무	허정무/NNP
감독도	감독/NNG+도/JX
경기	경기/NNG
후	후/NNG
"경기장에	"/SS+경기장/NNG+에/JKB
익숙하지	익숙하/VA+지/EC
않아	않/VX+아/EC
선수들이	선수/NNG+들/XSN+이/JKS
초반에	초반/NNG+에/JKB
당황하는	당황/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보였다"고	보/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.25.3.5
작년 11월 세르비아와의 평가전에서도 대표팀은 후반 들어 상대를 압도했지만, 전반 7분에 내준 결승골로 0대1로 졌다.

작년	작년/NNG
11월	11/SN+월/NNB
세르비아와의	세르비아/NNP+와/JKB+의/JKG
평가전에서도	평가전/NNG+에서/JKB+도/JX
대표팀은	대표/NNG+팀/NNG+은/JX
후반	후반/NNG
들어	들/VV+어/EC
상대를	상대/NNG+를/JKO
압도했지만,	압도/NNG+하/XSV+았/EP+지만/EC+,/SP
전반	전반/NNG
7분에	7/SN+분/NNB+에/JKB
내준	내주/VV+ㄴ/ETM
결승골로	결승/NNG+골/NNG+로/JKB
0대1로	0/SN+대/NNB+1/SN+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.25.3.6
어쩌면 이런 경기 패턴은 월드컵 때마다 보여준 한국팀의 오랜 딜레마인지도 모른다.

어쩌면	어쩌면/MAG
이런	이런/MMD
경기	경기/NNG
패턴은	패턴/NNG+은/JX
월드컵	월드컵/NNG
때마다	때/NNG+마다/JX
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
한국팀의	한국/NNP+팀/NNG+의/JKG
오랜	오랜/MMA
딜레마인지도	딜레마/NNG+이/VCP+ㄴ지/EF+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.25.4.1
■1득점 11실점… 흔들리는 첫 20분

■1득점	■/SW+1/SN+득점/NNG
11실점…	11/SN+실점/NNG+…/SE
흔들리는	흔들리/VV+는/ETM
첫	첫/MMN
20분	20/SN+분/NNB


# id : NWRW1800000026.25.5.1
과거 월드컵 본선 무대에서도 한국은 초반에 내준 점수 때문에 경기 내내 힘든 싸움을 펼칠 때가 잦았다.

과거	과거/NNG
월드컵	월드컵/NNG
본선	본선/NNG
무대에서도	무대/NNG+에서/JKB+도/JX
한국은	한국/NNP+은/JX
초반에	초반/NNG+에/JKB
내준	내주/VV+ㄴ/ETM
점수	점수/NNG
때문에	때문/NNB+에/JKB
경기	경기/NNG
내내	내내/MAG
힘든	힘들/VA+ㄴ/ETM
싸움을	싸움/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
때가	때/NNG+가/JKS
잦았다.	잦/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.25.5.2
대부분의 경기가 선제골을 내준 뒤 실점을 만회하기 위해 안간힘을 쓰는 양상이었다.

대부분의	대/XPN+부분/NNG+의/JKG
경기가	경기/NNG+가/JKS
선제골을	선제골/NNG+을/JKO
내준	내주/VV+ㄴ/ETM
뒤	뒤/NNG
실점을	실점/NNG+을/JKO
만회하기	만회/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
안간힘을	안간힘/NNG+을/JKO
쓰는	쓰/VV+는/ETM
양상이었다.	양상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.25.5.3
4강에 오른 2002 월드컵을 제외하고 한국이 먼저 득점한 경기는 1998년 프랑스월드컵 멕시코전(1대3 패배)이 유일하다.

4강에	4/SN+강/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
2002	2002/SN
월드컵을	월드컵/NNG+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
한국이	한국/NNP+이/JKS
먼저	먼저/MAG
득점한	득점/NNG+하/XSV+ㄴ/ETM
경기는	경기/NNG+는/JX
1998년	1998/SN+년/NNB
프랑스월드컵	프랑스/NNP+월드컵/NNG
멕시코전(1대3	멕시코전/NNG+(/SS+1/SN+대/NNB+3/SN
패배)이	패배/NNG+)/SS+이/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.25.6.1
초반에 고전하는 양상은 월드컵 본선에서의 시간대별 득·실점 분포를 통해 확인할 수 있다.

초반에	초반/NNG+에/JKB
고전하는	고전/NNG+하/XSV+는/ETM
양상은	양상/NNG+은/JX
월드컵	월드컵/NNG
본선에서의	본선/NNG+에서/JKB+의/JKG
시간대별	시간대/NNG+별/XSN
득·실점	득·실점/NNG
분포를	분포/NNG+를/JKO
통해	통하/VV+아/EC
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.25.6.2
한국은 1986년 멕시코대회부터 2006년 독일월드컵까지 22경기를 치르면서 총 22골(37실점)을 넣었지만 전반 득점은 4골에 불과했다.

한국은	한국/NNP+은/JX
1986년	1986/SN+년/NNB
멕시코대회부터	멕시코/NNP+대회/NNG+부터/JX
2006년	2006/SN+년/NNB
독일월드컵까지	독일/NNP+월드컵/NNG+까지/JX
22경기를	22/SN+경기/NNG+를/JKO
치르면서	치르/VV+면서/EC
총	총/MMA
22골(37실점)을	22/SN+골/NNG+(/SS+37/SN+실점/NNG+)/SS+을/JKO
넣었지만	넣/VV+었/EP+지만/EC
전반	전반/NNG
득점은	득점/NNG+은/JX
4골에	4/SN+골/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000026.25.7.1
가장 눈에 띄는 것은 경기 시작 후 첫 20분 동안의 성적이다.

가장	가장/MAG
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
것은	것/NNB+은/JX
경기	경기/NNG
시작	시작/NNG
후	후/NNG
첫	첫/MMN
20분	20/SN+분/NNB
동안의	동안/NNG+의/JKG
성적이다.	성적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.25.7.2
이 시간대에 전체 실점의 30%인 11골을 내줬지만 득점은 단 1골뿐.

이	이/MMD
시간대에	시간대/NNG+에/JKB
전체	전체/NNG
실점의	실점/NNG+의/JKG
30%인	30/SN+%/SW+이/VCP+ㄴ/ETM
11골을	11/SN+골/NNG+을/JKO
내줬지만	내주/VV+었/EP+지만/EC
득점은	득점/NNG+은/JX
단	단/MMA
1골뿐.	1/SN+골/NNG+뿐/JX+./SF


# id : NWRW1800000026.25.7.3
2002년 터키와의 3·4위전에서 이을용이 전반 9분에 넣은 골이 한국의 유일한 '초반 득점'인데 이마저도 전반 1분 만에 선제골을 내준 상황에서의 만회골이었다.

2002년	2002/SN+년/NNB
터키와의	터키/NNP+와/JKB+의/JKG
3·4위전에서	3/SN+·/SP+4/SN+위전/NNB+에서/JKB
이을용이	이을용/NNP+이/JKS
전반	전반/NNG
9분에	9/SN+분/NNB+에/JKB
넣은	넣/VV+은/ETM
골이	골/NNG+이/JKS
한국의	한국/NNP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
'초반	'/SS+초반/NNG
득점'인데	득점/NNG+'/SS+이/VCP+ㄴ데/EC
이마저도	이/NP+마저/JX+도/JX
1분	1/SN+분/NNB
만에	만/NNB+에/JKB
선제골을	선제골/NNG+을/JKO
내준	내주/VV+ㄴ/ETM
상황에서의	상황/NNG+에서/JKB+의/JKG
만회골이었다.	만회/NNG+골/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.25.8.1
초반에 쉽게 실점하는 경향은 강팀과의 경기에서 더욱 두드러졌다.

초반에	초반/NNG+에/JKB
쉽게	쉽/VA+게/EC
실점하는	실점/NNG+하/XSV+는/ETM
경향은	경향/NNG+은/JX
강팀과의	강팀/NNG+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
더욱	더욱/MAG
두드러졌다.	두드러지/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.25.8.2
한국은 1986년 멕시코월드컵에서 아르헨티나를 맞아 경기 시작 18분 만에 2골을 내주며 무너졌다.

한국은	한국/NNP+은/JX
1986년	1986/SN+년/NNB
멕시코월드컵에서	멕시코/NNP+월드컵/NNG+에서/JKB
아르헨티나를	아르헨티나/NNP+를/JKO
맞아	맞/VV+아/EC
경기	경기/NNG
시작	시작/NNG
18분	18/SN+분/NNB
만에	만/NNB+에/JKB
2골을	2/SN+골/NNG+을/JKO
내주며	내주/VV+며/EC
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.25.8.3
1994년 미국월드컵 독일과의 조별 예선 마지막 경기에선 경기 시작 12분 만에 첫 골을 내주는 등 전반에만 3골을 먹었다.

1994년	1994/SN+년/NNB
미국월드컵	미국/NNP+월드컵/NNG
독일과의	독일/NNP+과/JKB+의/JKG
조별	조별/NNG
예선	예선/NNG
마지막	마지막/NNG
경기에선	경기/NNG+에서/JKB+ㄴ/JX
경기	경기/NNG
시작	시작/NNG
12분	12/SN+분/NNB
만에	만/NNB+에/JKB
첫	첫/MMN
골을	골/NNG+을/JKO
내주는	내주/VV+는/ETM
등	등/NNB
전반에만	전반/NNG+에/JKB+만/JX
3골을	3/SN+골/NNG+을/JKO
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.25.8.4
한국은 후반에 황선홍과 홍명보의 연속 골로 반격에 나섰지만 결국 2대3으로 졌고, 2무1패로 아쉽게 16강 문턱에서 탈락했다.

한국은	한국/NNP+은/JX
후반에	후반/NNG+에/JKB
황선홍과	황선홍/NNP+과/JC
홍명보의	홍명보/NNP+의/JKG
연속	연속/NNG
골로	골/NNG+로/JKB
반격에	반격/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
결국	결국/MAG
2대3으로	2/SN+대/NNB+3/SN+으로/JKB
졌고,	지/VV+었/EP+고/EC+,/SP
2무1패로	2/SN+무/NNB+1/SN+패/NNB+로/JKB
아쉽게	아쉽/VA+게/EC
16강	16/SN+강/NNB
문턱에서	문턱/NNG+에서/JKB
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.25.8.5
4년 전 독일월드컵에서도 대표팀은 프랑스를 맞아 전반 9분에 티에리 앙리에게 선제골을 내줬다.

4년	4/SN+년/NNB
전	전/NNG
독일월드컵에서도	독일/NNP+월드컵/NNG+에서/JKB+도/JX
대표팀은	대표/NNG+팀/NNG+은/JX
프랑스를	프랑스/NNP+를/JKO
맞아	맞/VV+아/EC
전반	전반/NNG
9분에	9/SN+분/NNB+에/JKB
티에리	티에리/NNP
앙리에게	앙리/NNP+에게/JKB
선제골을	선제골/NNG+을/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.25.9.1
■"미드필드에선 거칠게"

■"미드필드에선	■/SW+"/SS+미드필드/NNG+에서/JKB+ㄴ/JX
거칠게"	거칠/VA+게/EC+"/SS


# id : NWRW1800000026.25.10.1
역대 월드컵에서 한국의 득점시간대는 실점 양상과 정반대다.

역대	역대/NNG
월드컵에서	월드컵/NNG+에서/JKB
한국의	한국/NNP+의/JKG
득점시간대는	득점/NNG+시간대/NNG+는/JX
실점	실점/NNG
양상과	양상/NNG+과/JKB
정반대다.	정반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.25.10.2
대표팀은 후반전, 그중에서도 경기 막판 득점에 성공하는 경우가 압도적으로 많았다.

대표팀은	대표/NNG+팀/NNG+은/JX
후반전,	후반전/NNG+,/SP
그중에서도	그중/NNG+에서/JKB+도/JX
경기	경기/NNG
막판	막판/NNG
득점에	득점/NNG+에/JKB
성공하는	성공/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
압도적으로	압도/NNG+적/XSN+으로/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.25.10.3
한국이 월드컵에서 넣은 22골 중 59%인 13골(연장전 1골 포함)이 후반 20분 이후에 만들어졌다.

한국이	한국/NNP+이/JKS
월드컵에서	월드컵/NNG+에서/JKB
넣은	넣/VV+은/ETM
22골	22/SN+골/NNG
중	중/NNB
59%인	59/SN+%/SW+이/VCP+ㄴ/ETM
13골(연장전	13/SN+골/NNG+(/SS+연장전/NNG
1골	1/SN+골/NNG
포함)이	포함/NNG+)/SS+이/JKS
후반	후반/NNG
20분	20/SN+분/NNB
이후에	이후/NNG+에/JKB
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.25.10.4
2002 월드컵 포르투갈전에서 한국의 16강 진출을 결정지은 박지성의 결승골(후반 25분), 이탈리아와의 16강전에서 터진 설기현의 동점골(후반 43분)은 모두 경기 막판에 터졌다.

2002	2002/SN
월드컵	월드컵/NNG
포르투갈전에서	포르투갈전/NNG+에서/JKB
한국의	한국/NNP+의/JKG
16강	16/SN+강/NNB
진출을	진출/NNG+을/JKO
결정지은	결정짓/VV+은/ETM
박지성의	박지성/NNP+의/JKG
결승골(후반	결승/NNG+골/NNG+(/SS+후반/NNG
25분),	25/SN+분/NNB+)/SS+,/SP
이탈리아와의	이탈리아/NNP+와/JKB+의/JKG
16강전에서	16/SN+강전/NNB+에서/JKB
터진	터지/VV+ㄴ/ETM
설기현의	설기현/NNP+의/JKG
동점골(후반	동점/NNG+골/NNG+(/SS+후반/NNG
43분)은	43/SN+분/NNB+)/SS+은/JX
모두	모두/MAG
경기	경기/NNG
막판에	막판/NNG+에/JKB
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.25.10.5
원정 월드컵 첫 승리인 2006년 토고전 역시 전반엔 0―1로 끌려가다가 후반 27분에 안정환이 결승골을 뽑아냈다.

원정	원정/NNG
월드컵	월드컵/NNG
첫	첫/MMN
승리인	승리/NNG+이/VCP+ㄴ/ETM
2006년	2006/SN+년/NNB
토고전	토고전/NNG
역시	역시/MAG
전반엔	전반/NNG+에/JKB+ㄴ/JX
0―1로	0/SN+―/SS+1/SN+로/JKB
끌려가다가	끌려가/VV+다가/EC
후반	후반/NNG
27분에	27/SN+분/NNB+에/JKB
안정환이	안정환/NNP+이/JKS
결승골을	결승/NNG+골/NNG+을/JKO
뽑아냈다.	뽑아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.25.11.1
전문가들은 대표팀이 경기 초반 지나치게 신중하게 경기하려다 오히려 분위기를 빼앗기는 경향이 있다고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
대표팀이	대표/NNG+팀/NNG+이/JKS
경기	경기/NNG
초반	초반/NNG
지나치게	지나치/VA+게/EC
신중하게	신중/NNG+하/XSA+게/EC
경기하려다	경기/NNG+하/XSV+려다/EC
오히려	오히려/MAG
분위기를	분위기/NNG+를/JKO
빼앗기는	빼앗기/VV+는/ETM
경향이	경향/NNG+이/JKS
있다고	있/VA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.25.11.2
한준희 KBS 해설위원은 "월드컵 본선이라는 중압감 때문에 어느 팀이든 초반엔 조심스러운 경기를 펼친다. 그러나 미드필드에서는 빠르고 거친 공방을 펼쳐야 한다"고 말했다.

한준희	한준희/NNP
KBS	KBS/SL
해설위원은	해설/NNG+위원/NNG+은/JX
"월드컵	"/SS+월드컵/NNG
본선이라는	본선/NNG+이/VCP+라는/ETM
중압감	중압감/NNG
때문에	때문/NNB+에/JKB
어느	어느/MMD
팀이든	팀/NNG+이든/JX
초반엔	초반/NNG+에/JKB+ㄴ/JX
조심스러운	조심/NNG+스럽/XSA+ㄴ/ETM
경기를	경기/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF
그러나	그러나/MAJ
미드필드에서는	미드필드/NNG+에서/JKB+는/JX
빠르고	빠르/VA+고/EC
거친	거칠/VA+ㄴ/ETM
공방을	공방/NNG+을/JKO
펼쳐야	펼치/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.25.11.3
그는 "남아공월드컵 첫 경기인 그리스전은 초반 기선 제압의 중요성이 더욱 크다"고 조언했다.

그는	그/NP+는/JX
"남아공월드컵	"/SS+남아공/NNP+월드컵/NNG
첫	첫/MMN
경기인	경기/NNG+이/VCP+ㄴ/ETM
그리스전은	그리스전/NNG+은/JX
초반	초반/NNG
기선	기선/NNG
제압의	제압/NNG+의/JKG
중요성이	중요/NNG+성/XSN+이/JKS
더욱	더욱/MAG
크다"고	크/VA+다/EF+"/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.25.11.4
강한 수비를 바탕으로 역습을 노리는 그리스의 경기 스타일을 볼 때 "신중한 플레이보다는 처음부터 상대를 거세게 몰아붙이는 것이 더욱 효과적"이라는 설명이었다.

강한	강하/VA+ㄴ/ETM
수비를	수비/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
역습을	역습/NNG+을/JKO
노리는	노리/VV+는/ETM
그리스의	그리스/NNP+의/JKG
경기	경기/NNG
스타일을	스타일/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
"신중한	"/SS+신중/NNG+하/XSA+ㄴ/ETM
플레이보다는	플레이/NNG+보다/JKB+는/JX
처음부터	처음/NNG+부터/JX
상대를	상대/NNG+를/JKO
거세게	거세/VA+게/EC
몰아붙이는	몰아붙이/VV+는/ETM
것이	것/NNB+이/JKS
더욱	더욱/MAG
효과적"이라는	효과/NNG+적/XSN+"/SS+이/VCP+라는/ETM
설명이었다.	설명/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.25.12.1
한편 허정무 감독은 17일 핀란드전에 대해 "상대 배후를 노린 빠른 패스와 공수의 방향 전환도 좋았다. 충분히 칭찬받을 만한 경기"라며 긍정적인 평가를 했다.

한편	한편/MAG
허정무	허정무/NNP
감독은	감독/NNG+은/JX
17일	17/SN+일/NNB
핀란드전에	핀란드전/NNG+에/JKB
대해	대하/VV+아/EC
"상대	"/SS+상대/NNG
배후를	배후/NNG+를/JKO
노린	노리/VV+ㄴ/ETM
빠른	빠르/VA+ㄴ/ETM
패스와	패스/NNG+와/JC
공수의	공수/NNG+의/JKG
방향	방향/NNG
전환도	전환/NNG+도/JX
좋았다.	좋/VA+았/EP+다/EF+./SF
충분히	충분히/MAG
칭찬받을	칭찬/NNG+받/XSV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
경기"라며	경기/NNG+"/SS+이/VCP+라며/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
평가를	평가/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.25.12.2
최전방 공격수로 풀타임을 소화한 이동국에 대해서는 "90분 내내 뛸 체력을 길러야 한다"면서도 "적극성이나 수비 가담은 칭찬할 만했다"고 평가했다.

최전방	최/XPN+전방/NNG
공격수로	공격수/NNG+로/JKB
풀타임을	풀타임/NNG+을/JKO
소화한	소화/NNG+하/XSV+ㄴ/ETM
이동국에	이동국/NNP+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"90분	"/SS+90/SN+분/NNB
내내	내내/MAG
뛸	뛰/VV+ㄹ/ETM
체력을	체력/NNG+을/JKO
길러야	기르/VV+어야/EC
한다"면서도	하/VX+ㄴ다/EF+"/SS+면서/EC+도/JX
"적극성이나	"/SS+적극/NNG+성/XSN+이나/JC
수비	수비/NNG
가담은	가담/NNG+은/JX
칭찬할	칭찬/NNG+하/XSV+ㄹ/ETM
만했다"고	만/NNB+하/XSA+았/EP+다/EF+"/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


