# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.123
metadata : {}


# id : NWRW1800000024.123.1.1
송진우 3천이닝 투구 ‘전설은 계속된다’

송진우	송진우/NNP
첫승을	첫/MMN+승/NNG+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.123.8.1
히어로즈는 목동 안방에서 황재균과 강정호, 더그 클락, 클리프 브룸바의 홈런 네 방을 앞세워 삼성을 9-5로 물리치고 1패 뒤 4연승을 달리며 선두를 지켰다.

히어로즈는	히어로즈/NNP+는/JX
목동	목동/NNP
안방에서	안방/NNG+에서/JKB
황재균과	황재균/NNP+과/JC
강정호,	강정호/NNP+,/SP
더그	더그/NNP
클락,	클락/NNP+,/SP
클리프	클리프/NNP
브룸바의	브룸바/NNP+의/JKG
홈런	홈런/NNG
네	네/MMN
방을	방/NNB+을/JKO
앞세워	앞세우/VV+어/EC
삼성을	삼성/NNP+을/JKO
9-5로	9/SN+-/SO+5/SN+로/JKB
물리치고	물리치/VV+고/EC
1패	1/SN+패/NNB
뒤	뒤/NNG
4연승을	4/SN+연승/NNG+을/JKO
달리며	달리/VV+며/EC
선두를	선두/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.123.8.2
삼성 선발 배영수는 시즌 첫 등판을 했으나 5이닝 동안 홈런 3개 포함 7실점하고 마운드를 내려왔다.

삼성	삼성/NNP
선발	선발/NNG
배영수는	배영수/NNP+는/JX
시즌	시즌/NNG
첫	첫/MMN
등판을	등판/NNG+을/JKO
했으나	하/VV+았/EP+으나/EC
5이닝	5/SN+이닝/NNG
동안	동안/NNG
홈런	홈런/NNG
3개	3/SN+개/NNB
포함	포함/NNG
7실점하고	7/SN+실점/NNG+하/XSV+고/EC
마운드를	마운드/NNG+를/JKO
내려왔다.	내려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.123.8.3
광주에선 기아와 에스케이가 연장 12회 접전 끝에 2-2로 비겼다.

광주에선	광주/NNP+에서/JKB+ㄴ/JX
기아와	기아/NNP+와/JC
에스케이가	에스케이/NNP+가/JKS
연장	연장/NNG
12회	12/SN+회/NNB
접전	접전/NNG
끝에	끝/NNG+에/JKB
2-2로	2/SN+-/SO+2/SN+로/JKB
비겼다.	비기/VV+었/EP+다/EF+./SF


