# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.110
metadata : {}


# id : NWRW1800000052.110.1.1
미, 대선 해킹 개입 맞서 러시아 외교관 35명 추방…냉전의 데자뷔?

미,	미/NNP+,/SP
대통령이	대통령/NNG+이/JKS
러시아의	러시아/NNP+의/JKG
미	미/NNP
대선	대선/NNG
해킹	해킹/NNG
개입	개입/NNG
의혹과	의혹/NNG+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
외교관	외교관/NNG
35명의	35/SN+명/NNB+의/JKG
추방을	추방/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
전례없는	전례/NNG+없/VA+는/ETM
고강도	고/XPN+강도/NNG
대응	대응/NNG
조처를	조처/NNG+를/JKO
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.5.2
러시아도 이에 맞서 보복 의사를 밝혀, 양국간 긴장이 최고조로 치솟고 있다.

러시아도	러시아/NNP+도/JX
이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
보복	보복/NNG
의사를	의사/NNG+를/JKO
밝혀,	밝히/VV+어/EC+,/SP
양국간	양국/NNG+간/NNB
긴장이	긴장/NNG+이/JKS
최고조로	최/XPN+고조/NNG+로/JKB
치솟고	치솟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.110.5.3
다만, ‘친 러시아’적 성향의 도널드 트럼프 대통령 당선자가 다음달 20일 취임하면 긴장 수위는 낮아질 가능성이 크다.

다만,	다만/MAG+,/SP
‘친	‘/SS+친/XPN
러시아’적	러시아/NNP+’/SS+적/XSN
성향의	성향/NNG+의/JKG
도널드	도널드/NNP
트럼프	트럼프/NNP
대통령	대통령/NNG
당선자가	당선자/NNG+가/JKS
다음달	다음/NNG+달/NNG
20일	20/SN+일/NNB
취임하면	취임/NNG+하/XSV+면/EC
긴장	긴장/NNG
수위는	수위/NNG+는/JX
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000052.110.6.1
오바마 대통령은 29일(현지시각) 러시아 외교관 35명에 대해 외교상 기피인물을 뜻하는 “페르소나 논 그라타”를 선언했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
29일(현지시각)	29/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
러시아	러시아/NNP
외교관	외교관/NNG
35명에	35/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
외교상	외교/NNG+상/XSN
기피인물을	기피/NNG+인물/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
“페르소나	“/SS+페르소나/NNG
논	논/NNG
그라타”를	그라타/NNG+”/SS+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.6.2
이들은 가족과 함께 72시간 안에 미국을 떠나야 하는, 강력한 외교적 조처다.

이들은	이/NP+들/XSN+은/JX
가족과	가족/NNG+과/JKB
함께	함께/MAG
72시간	72/SN+시간/NNB
안에	안/NNG+에/JKB
미국을	미국/NNP+을/JKO
떠나야	떠나/VV+아야/EC
하는,	하/VX+는/ETM+,/SP
강력한	강력/NNG+하/XSA+ㄴ/ETM
외교적	외교/NNG+적/XSN
조처다.	조처/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.110.6.3
미 언론들은 이들이 외교관 신분을 가장해 스파이 활동을 했다고 보도했다.

미	미/NNP
언론들은	언론/NNG+들/XSN+은/JX
이들이	이/NP+들/XSN+이/JKS
외교관	외교관/NNG
신분을	신분/NNG+을/JKO
가장해	가장/NNG+하/XSV+아/EC
스파이	스파이/NNG
활동을	활동/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.7.1
미국 정부는 또 뉴욕과 메릴랜드주에 위치한 러시아 정부 소유의 시설 2곳도 폐쇄시켰다.

미국	미국/NNP
정부는	정부/NNG+는/JX
또	또/MAG
뉴욕과	뉴욕/NNP+과/JC
메릴랜드주에	메릴랜드주/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
러시아	러시아/NNP
정부	정부/NNG
소유의	소유/NNG+의/JKG
시설	시설/NNG
2곳도	2/SN+곳/NNG+도/JX
폐쇄시켰다.	폐쇄/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.110.7.2
원래 이곳은 ‘다차’(휴양시설)이지만, 러시아가 이들 시설을 정보수집 활동 장소로 사용했다는 의심을 받고 있다.

원래	원래/MAG
이곳은	이곳/NP+은/JX
‘다차’(휴양시설)이지만,	‘/SS+다차/NNG+’/SS+(/SS+휴양/NNG+시설/NNG+)/SS+이/VCP+지만/EC+,/SP
러시아가	러시아/NNP+가/JKS
이들	이/NP+들/XSN
시설을	시설/NNG+을/JKO
정보수집	정보/NNG+수집/NNG
활동	활동/NNG
장소로	장소/NNG+로/JKB
사용했다는	사용/NNG+하/XSV+았/EP+다는/ETM
의심을	의심/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.110.7.3
이와 함께 미 재무부는 이날 해킹 배후로 지목된 러시아군 총정보국과 러시아연방보안국(FSB) 등 러시아 정보기관 2곳, 해킹 지원활동에 연루된 특별기술센터 등 기업 3곳을 제재 대상으로 지정했다.

이와	이/NP+와/JKB
함께	함께/MAG
미	미/NNP
재무부는	재무부/NNG+는/JX
이날	이날/NNG
해킹	해킹/NNG
배후로	배후/NNG+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
러시아군	러시아군/NNG
총정보국과	총정보국/NNP+과/JC
러시아연방보안국(FSB)	러시아연방보안국/NNP+(/SS+FSB/SL+)/SS
등	등/NNB
러시아	러시아/NNP
정보기관	정보기관/NNG
2곳,	2/SN+곳/NNG+,/SP
지원활동에	지원/NNG+활동/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
특별기술센터	특별/NNG+기술/NNG+센터/NNG
기업	기업/NNG
3곳을	3/SN+곳/NNG+을/JKO
제재	제재/NNG
대상으로	대상/NNG+으로/JKB
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.7.4
이외에 이고르 발렌티노비치 총정보국 국장 등 개인 6명에 대해서도 경제제재를 가했다.

이외에	이외/NNG+에/JKB
이고르	이고르/NNP
발렌티노비치	발렌티노비치/NNP
총정보국	총정보국/NNP
국장	국장/NNG
등	등/NNB
개인	개인/NNG
6명에	6/SN+명/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
경제제재를	경제/NNG+제재/NNG+를/JKO
가했다.	가하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.7.5
이들은 미국 내 자산이 동결되고 미국으로의 여행도 금지된다.

이들은	이/NP+들/XSN+은/JX
미국	미국/NNP
내	내/NNB
자산이	자산/NNG+이/JKS
동결되고	동결/NNG+되/XSV+고/EC
미국으로의	미국/NNP+으로/JKB+의/JKG
여행도	여행/NNG+도/JX
금지된다.	금지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.110.8.1
오바마 대통령은 이날 “이런 해킹은 최고위층 지시로만 이뤄질 수 있다”며 사실상 블라디미르 푸틴 대통령을 배후로 지목했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
“이런	“/SS+이런/MMD
해킹은	해킹/NNG+은/JX
최고위층	최/XPN+고위/NNG+층/XSN
지시로만	지시/NNG+로/JKB+만/JX
이뤄질	이뤄지/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
사실상	사실/NNG+상/XSN
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
대통령을	대통령/NNG+을/JKO
배후로	배후/NNG+로/JKB
지목했다.	지목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.8.2
그는 또 “이번 조처들이 대응의 전부가 아니다”라고 밝혀, 상호주의에 입각한 은밀한 보복 해킹을 할 수도 있음을 내비쳤다.

그는	그/NP+는/JX
또	또/MAG
“이번	“/SS+이번/NNG
조처들이	조처/NNG+들/XSN+이/JKS
대응의	대응/NNG+의/JKG
전부가	전부/NNG+가/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
밝혀,	밝히/VV+어/EC+,/SP
상호주의에	상호주의/NNG+에/JKB
입각한	입각/NNG+하/XSV+ㄴ/ETM
은밀한	은밀하/VA+ㄴ/ETM
보복	보복/NNG
해킹을	해킹/NNG+을/JKO
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있음을	있/VA+음/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.110.9.1
외교관 35명 추방은 상징성이 워낙 커 러시아 정부로서도 맞대응을 할 수밖에 없다.

외교관	외교관/NNG
35명	35/SN+명/NNB
추방은	추방/NNG+은/JX
상징성이	상징/NNG+성/XSN+이/JKS
워낙	워낙/MAG
커	크/VA+어/EC
러시아	러시아/NNP
정부로서도	정부/NNG+로서/JKB+도/JX
맞대응을	맞대응/NNG+을/JKO
할	하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.110.9.2
게다가 러시아는 해킹 사실을 강력하게 부인해왔다.

게다가	게다가/MAG
러시아는	러시아/NNP+는/JX
해킹	해킹/NNG
사실을	사실/NNG+을/JKO
강력하게	강력/NNG+하/XSA+게/EC
부인해왔다.	부인/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.110.9.3
푸틴 대통령의 대변인인 드미트리 레스코프도 이날 기자들에게 “이번 조처는 오바마 행정부의 예측불가능하고 공격적인 대외정책을 보여주는 것”이라고 비난한 뒤 “보복 조처를 검토하고 있다”고 밝혔다.

푸틴	푸틴/NNP
대통령의	대통령/NNG+의/JKG
대변인인	대변인/NNG+이/VCP+ㄴ/ETM
드미트리	드미트리/NNP
레스코프도	레스코프/NNP+도/JX
이날	이날/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
“이번	“/SS+이번/NNG
조처는	조처/NNG+는/JX
오바마	오바마/NNP
행정부의	행정부/NNG+의/JKG
예측불가능하고	예측/NNG+불/XPN+가능/NNG+하/XSA+고/EC
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
대외정책을	대외/NNG+정책/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비난한	비난/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“보복	“/SS+보복/NNG
조처를	조처/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.110.9.4
<시엔엔>(CNN)은 미 당국자를 인용해 러시아 정부가 모스크바에 있는 영미식 국제학교에 폐교 명령을 내렸다고 전했다.

<시엔엔>(CNN)은	</SS+시엔엔/NNP+>/SS+(/SS+CNN/SL+)/SS+은/JX
미	미/NNP
당국자를	당국자/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
러시아	러시아/NNP
정부가	정부/NNG+가/JKS
모스크바에	모스크바/NNP+에/JKB
있는	있/VA+는/ETM
영미식	영미식/NNG
국제학교에	국제/NNG+학교/NNG+에/JKB
폐교	폐교/NNG
명령을	명령/NNG+을/JKO
내렸다고	내리/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.10.1
오바마 대통령의 광범위한 대응 조처는 ‘미국의 민주주의가 위협받을 수 있다’는 원칙적 측면 외에도 여론 영향도 크다.

오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
대응	대응/NNG
조처는	조처/NNG+는/JX
‘미국의	‘/SS+미국/NNP+의/JKG
민주주의가	민주주의/NNG+가/JKS
위협받을	위협/NNG+받/XSV+을/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
원칙적	원칙/NNG+적/XSN
측면	측면/NNG
외에도	외/NNB+에/JKB+도/JX
여론	여론/NNG
영향도	영향/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000052.110.10.2
2014년 러시아의 크림반도 합병 이후, 미 국방부는 공공연히 러시아를 ‘제1의 주적’으로 삼아 경계감이 높아졌다.

2014년	2014/SN+년/NNB
러시아의	러시아/NNP+의/JKG
크림반도	크림반도/NNP
합병	합병/NNG
이후,	이후/NNG+,/SP
미	미/NNP
국방부는	국방부/NNG+는/JX
공공연히	공공연히/MAG
러시아를	러시아/NNP+를/JKO
‘제1의	‘/SS+제/XPN+1/SN+의/JKG
주적’으로	주적/NNG+’/SS+으로/JKB
삼아	삼/VV+아/EC
경계감이	경계감/NNG+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.110.10.3
더욱이 민주당 소속인 오바마 대통령이 러시아의 대선 개입 해킹에 대해 적절한 대응을 않고 임기를 마치기 어려운 여론구조다.

더욱이	더욱이/MAG
민주당	민주당/NNP
소속인	소속/NNG+이/VCP+ㄴ/ETM
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
러시아의	러시아/NNP+의/JKG
대선	대선/NNG
개입	개입/NNG
해킹에	해킹/NNG+에/JKB
대해	대하/VV+아/EC
적절한	적절하/VA+ㄴ/ETM
대응을	대응/NNG+을/JKO
않고	않/VV+고/EC
임기를	임기/NNG+를/JKO
마치기	마치/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
여론구조다.	여론/NNG+구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.110.10.4
러시아에 지나치게 우호적 행보를 보이는 차기 트럼프 행정부에 대한 견제, 러시아에 대한 경고 성격도 있다고 <뉴욕 타임스>는 전했다.

러시아에	러시아/NNP+에/JKB
지나치게	지나치/VA+게/EC
우호적	우호/NNG+적/XSN
행보를	행보/NNG+를/JKO
보이는	보이/VV+는/ETM
차기	차기/NNG
트럼프	트럼프/NNP
행정부에	행정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
견제,	견제/NNG+,/SP
경고	경고/NNG
성격도	성격/NNG+도/JX
있다고	있/VA+다고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.11.1
‘냉전의 데자뷔’처럼 보이지만, 러시아와 관계개선을 최우선 순위로 두고 있는 트럼프가 취임하면, 강대 강 분위기는 오래 지속되지 않을 것으로 예상된다.

‘냉전의	‘/SS+냉전/NNG+의/JKG
데자뷔’처럼	데자뷔/NNG+’/SS+처럼/JKB
보이지만,	보이/VV+지만/EC+,/SP
러시아와	러시아/NNP+와/JKB
관계개선을	관계/NNG+개선/NNG+을/JKO
최우선	최/XPN+우선/NNG
순위로	순위/NNG+로/JKB
두고	두/VV+고/EC
있는	있/VX+는/ETM
트럼프가	트럼프/NNP+가/JKS
취임하면,	취임/NNG+하/XSV+면/EC+,/SP
강대	강/XR+대/NNB
강	강/XR
분위기는	분위기/NNG+는/JX
오래	오래/MAG
지속되지	지속/NNG+되/XSV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.110.11.2
러시아도 이런 트럼프에 기대를 걸고 있다.

러시아도	러시아/NNP+도/JX
이런	이런/MMD
트럼프에	트럼프/NNP+에/JKB
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.110.12.1
폭로전문 매체인 ‘위키리크스’가 지난 7월과 10월, 각각 민주당 전국위원회(DNC) 주요 인사들과 힐러리 클린턴 민주당 대선 후보 캠프의 선대본부장인 존 포데스타의 이메일 수만 건을 해킹해 공개하면서 러시아 해킹 배후설이 떠올랐다.

폭로전문	폭로/NNG+전문/NNG
매체인	매체/NNG+이/VCP+ㄴ/ETM
‘위키리크스’가	‘/SS+위키리크스/NNP+’/SS+가/JKS
지난	지나/VV+ㄴ/ETM
7월과	7/SN+월/NNB+과/JC
10월,	10/SN+월/NNB+,/SP
각각	각각/MAG
민주당	민주당/NNP
전국위원회(DNC)	전국/NNG+위원회/NNG+(/SS+DNC/SL+)/SS
주요	주요/NNG
인사들과	인사/NNG+들/XSN+과/JC
힐러리	힐러리/NNP
클린턴	클린턴/NNP
대선	대선/NNG
후보	후보/NNG
캠프의	캠프/NNG+의/JKG
선대본부장인	선대/NNG+본부장/NNG+이/VCP+ㄴ/ETM
존	존/NNP
포데스타의	포데스타/NNP+의/JKG
이메일	이메일/NNG
수만	수만/NR
건을	건/NNB+을/JKO
해킹해	해킹/NNG+하/XSV+아/EC
공개하면서	공개/NNG+하/XSV+면서/EC
러시아	러시아/NNP
해킹	해킹/NNG
배후설이	배후설/NNG+이/JKS
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.110.12.2
러시아 정부가 트럼프를 당선시키기 위해 의도적으로 해킹에 개입한 것 아니냐는 ‘음모론’은, 중앙정보국(CIA)이 최근 같은 결론을 내리면서 ‘사실’로 굳어졌다.

러시아	러시아/NNP
정부가	정부/NNG+가/JKS
트럼프를	트럼프/NNP+를/JKO
당선시키기	당선/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
의도적으로	의도/NNG+적/XSN+으로/JKB
해킹에	해킹/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
‘음모론’은,	‘/SS+음모/NNG+론/XSN+’/SS+은/JX+,/SP
중앙정보국(CIA)이	중앙정보국/NNP+(/SS+CIA/SL+)/SS+이/JKS
최근	최근/NNG
같은	같/VA+은/ETM
결론을	결론/NNG+을/JKO
내리면서	내리/VV+면서/EC
‘사실’로	‘/SS+사실/NNG+’/SS+로/JKB
굳어졌다.	굳어지/VV+었/EP+다/EF+./SF


