# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.79
metadata : {}


# id : NWRW1800000021.79.1.1
[크로스 미디어/다윈을 따라서]‘지구온난화 충격’ 생생

[크로스	[/SS+크로스/NNG
앙상한	앙상하/VA+ㄴ/ETM
고목이	고목/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.79.7.4
모든 게 지구온난화 탓이다.

모든	모든/MMN
게	거/NNB+이/JKS
지구온난화	지구/NNG+온난/NNG+화/XSN
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.79.8.1
EBS 편성기획팀의 이창용 PD는 “‘침몰하는…’은 지구 환경에 대한 한 과학자의 고뇌와 도전을 충격적인 영상과 함께 잘 담아낸 매력적인 작품”이라고 말했다.

EBS	EBS/SL
편성기획팀의	편성/NNG+기획/NNG+팀/NNG+의/JKG
이창용	이창용/NNP
PD는	PD/SL+는/JX
“‘침몰하는…’은	“/SS+‘/SS+침몰/NNG+하/XSV+는/ETM+…/SE+’/SS+은/JX
지구	지구/NNG
환경에	환경/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
한	한/MMN
과학자의	과학자/NNG+의/JKG
고뇌와	고뇌/NNG+와/JC
도전을	도전/NNG+을/JKO
충격적인	충격/NNG+적/XSN+이/VCP+ㄴ/ETM
영상과	영상/NNG+과/JKB
함께	함께/MAG
잘	잘/MAG
담아낸	담아내/VV+ㄴ/ETM
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
작품”이라고	작품/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.79.9.1
자연 탐사 다큐멘터리지만 인간적인 감동도 느낄 수 있다.

자연	자연/NNG
탐사	탐사/NNG
다큐멘터리지만	다큐멘터리/NNG+이/VCP+지만/EC
인간적인	인간/NNG+적/XSN+이/VCP+ㄴ/ETM
감동도	감동/NNG+도/JX
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.79.9.2
먹을 게 부족하다 보니 대원들은 몇 주 만에 10kg 넘게 체중이 빠졌다.

먹을	먹/VV+을/ETM
게	거/NNB+이/JKS
부족하다	부족/NNG+하/XSA+다/EC
보니	보/VX+니/EC
대원들은	대원/NNG+들/XSN+은/JX
몇	몇/NR
주	주/NNB
만에	만/NNB+에/JKB
10kg	10/SN+kg/SW
넘게	넘/VV+게/EC
체중이	체중/NNG+이/JKS
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.79.9.3
목표를 위해 항해에 나섰지만 떠나온 가족 생각에 눈시울이 붉어진 권 박사의 모습도 인상적이다.

목표를	목표/NNG+를/JKO
위해	위하/VV+아/EC
항해에	항해/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
떠나온	떠나오/VV+ㄴ/ETM
가족	가족/NNG
생각에	생각/NNG+에/JKB
눈시울이	눈시울/NNG+이/JKS
붉어진	붉어지/VV+ㄴ/ETM
권	권/NNP
박사의	박사/NNG+의/JKG
모습도	모습/NNG+도/JX
인상적이다.	인상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.79.9.4
다큐멘터리 내레이션을 맡은 배우 최수종 씨는 “보는 것만으로도 손에 땀이 나는 흥미로운 탐사 속에서 느껴지는 인간적인 향취에 많은 감동을 받았다”고 말했다.

다큐멘터리	다큐멘터리/NNG
내레이션을	내레이션/NNG+을/JKO
맡은	맡/VV+은/ETM
배우	배우/NNG
최수종	최수종/NNP
씨는	씨/NNB+는/JX
“보는	“/SS+보/VV+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
손에	손/NNG+에/JKB
땀이	땀/NNG+이/JKS
나는	나/VV+는/ETM
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
탐사	탐사/NNG
속에서	속/NNG+에서/JKB
느껴지는	느끼/VV+어/EC+지/VX+는/ETM
인간적인	인간/NNG+적/XSN+이/VCP+ㄴ/ETM
향취에	향취/NNG+에/JKB
많은	많/VA+은/ETM
감동을	감동/NNG+을/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.79.9.5
장대익 동덕여대 교수(과학기술학)는 “다윈이 살아나 다시 항해에 나섰어도 환경문제에 가장 관심을 기울였을 것”이라며 “다윈이 오늘날에 전해주는 메시지를 현대적으로 되새겨보는 도전정신이 충만한 기획이란 점을 높이 산다”고 말했다.

장대익	장대익/NNP
동덕여대	동덕여대/NNP
교수(과학기술학)는	교수/NNG+(/SS+과학/NNG+기술학/NNG+)/SS+는/JX
“다윈이	“/SS+다윈/NNP+이/JKS
살아나	살아나/VV+아/EC
다시	다시/MAG
항해에	항해/NNG+에/JKB
나섰어도	나서/VV+었/EP+어도/EC
환경문제에	환경/NNG+문제/NNG+에/JKB
가장	가장/MAG
관심을	관심/NNG+을/JKO
기울였을	기울이/VV+었/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
오늘날에	오늘날/NNG+에/JKB
전해주는	전하/VV+아/EC+주/VX+는/ETM
메시지를	메시지/NNG+를/JKO
현대적으로	현대/NNG+적/XSN+으로/JKB
되새겨보는	되새기/VV+어/EC+보/VX+는/ETM
도전정신이	도전/NNG+정신/NNG+이/JKS
충만한	충만/NNG+하/XSA+ㄴ/ETM
기획이란	기획/NNG+이/VCP+란/ETM
점을	점/NNG+을/JKO
높이	높이/MAG
산다”고	사/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.79.10.1
○ 매체특성 살려 진정한 크로스미디어 구축

○	○/SW
매체특성	매체/NNG+특성/NNG
살려	살리/VV+어/EC
진정한	진정하/VA+ㄴ/ETM
크로스미디어	크로스/NNG+미디어/NNG
구축	구축/NNG


# id : NWRW1800000021.79.11.1
‘침몰하는 카리브’는 기획 단계부터 신문 인터넷 방송 등 여러 매체에서 콘텐츠를 내보낼 수 있도록 ‘매체별 맞춤’으로 제작됐다.

‘침몰하는	‘/SS+침몰/NNG+하/XSV+는/ETM
카리브’는	카리브/NNP+’/SS+는/JX
기획	기획/NNG
단계부터	단계/NNG+부터/JX
신문	신문/NNG
인터넷	인터넷/NNG
방송	방송/NNG
등	등/NNB
여러	여러/MMN
매체에서	매체/NNG+에서/JKB
콘텐츠를	콘텐츠/NNG+를/JKO
내보낼	내보내/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘매체별	‘/SS+매체/NNG+별/XSN
맞춤’으로	맞추/VV+ㅁ/ETN+’/SS+으로/JKB
제작됐다.	제작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.79.11.2
매체 융합이라는 새로운 미디어 환경에 조응하는 크로스미디어 프로그램 환경을 구축한 것이다.

매체	매체/NNG
융합이라는	융합/NNG+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
미디어	미디어/NNG
환경에	환경/NNG+에/JKB
조응하는	조응/NNG+하/XSV+는/ETM
크로스미디어	크로스/NNG+미디어/NNG
프로그램	프로그램/NNG
환경을	환경/NNG+을/JKO
구축한	구축/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.79.11.3
제작을 맡은 이성환 PD는 “신문사가 지면 보도의 틀을 깨고 자연탐사를 카메라에 담은 것은 국내에서 처음”이라면서 “이번 EBS 방영을 통해 신문과 TV, 모바일과 인터넷 등 매체에 따라 입맛에 맞는 콘텐츠를 소비자들이 접할 수 있게 됐다”고 말했다.

제작을	제작/NNG+을/JKO
맡은	맡/VV+은/ETM
이성환	이성환/NNP
PD는	PD/SL+는/JX
“신문사가	“/SS+신문사/NNG+가/JKS
지면	지면/NNG
보도의	보도/NNG+의/JKG
틀을	틀/NNG+을/JKO
깨고	깨/VV+고/EC
자연탐사를	자연/NNG+탐사/NNG+를/JKO
카메라에	카메라/NNG+에/JKB
담은	담/VV+은/ETM
것은	것/NNB+은/JX
국내에서	국내/NNG+에서/JKB
처음”이라면서	처음/NNG+”/SS+이/VCP+라면서/EC
“이번	“/SS+이번/NNG
EBS	EBS/SL
방영을	방영/NNG+을/JKO
통해	통하/VV+아/EC
신문과	신문/NNG+과/JC
TV,	TV/SL+,/SP
모바일과	모바일/NNG+과/JC
인터넷	인터넷/NNG
등	등/NNB
매체에	매체/NNG+에/JKB
따라	따르/VV+아/EC
입맛에	입맛/NNG+에/JKB
맞는	맞/VV+는/ETM
콘텐츠를	콘텐츠/NNG+를/JKO
소비자들이	소비자/NNG+들/XSN+이/JKS
접할	접하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.79.12.1
김현주 광운대 미디어영상학부 교수는 “하나의 콘텐츠를 신문과 방송, 인터넷이란 다중매체(멀티미디어) 방식으로 독자 및 시청자에게 전달하는 긍정적인 시도”라며 “결국 미래 보도매체가 이런 방식의 콘텐츠 생산으로 가야 한다는 점에서 의미를 부여할 수 있다”고 평가했다.

김현주	김현주/NNP
광운대	광운대/NNP
미디어영상학부	미디어/NNG+영상/NNG+학부/NNG
교수는	교수/NNG+는/JX
“하나의	“/SS+하나/NR+의/JKG
콘텐츠를	콘텐츠/NNG+를/JKO
신문과	신문/NNG+과/JC
방송,	방송/NNG+,/SP
인터넷이란	인터넷/NNG+이/VCP+란/ETM
다중매체(멀티미디어)	다중/NNG+매체/NNG+(/SS+멀티미디어/NNG+)/SS
방식으로	방식/NNG+으로/JKB
독자	독자/NNG
및	및/MAG
시청자에게	시청자/NNG+에게/JKB
전달하는	전달/NNG+하/XSV+는/ETM
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
시도”라며	시도/NNG+”/SS+이/VCP+라며/EC
“결국	“/SS+결국/MAG
미래	미래/NNG
보도매체가	보도/NNG+매체/NNG+가/JKS
이런	이런/MMD
방식의	방식/NNG+의/JKG
콘텐츠	콘텐츠/NNG
생산으로	생산/NNG+으로/JKB
가야	가/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
의미를	의미/NNG+를/JKO
부여할	부여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


