# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.47
metadata : {}


# id : NWRW1800000030.47.1.1
자생적 테러리스트 수사, FBI가 참여 안한 까닭은

자생적	자생/NNG+적/XSN
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.47.5.5
피멘텔과 대마초를 나눠 피우면서 테러 계획에 대해 대화를 나누기도 했다.

피멘텔과	피멘텔/NNP+과/JKB
대마초를	대마초/NNG+를/JKO
나눠	나누/VV+어/EC
피우면서	피우/VV+면서/EC
테러	테러/NNG
계획에	계획/NNG+에/JKB
대해	대하/VV+아/EC
대화를	대화/NNG+를/JKO
나누기도	나누/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.47.6.1
약 1년 전 처음으로 피멘텔에 대한 보고를 받은 FBI는 뉴욕경찰이 심어 놓은 비밀 정보원의 역할이 지나치게 크다는 사실을 우려했다.

약	약/MMA
1년	1/SN+년/NNB
전	전/NNG
처음으로	처음/NNG+으로/JKB
피멘텔에	피멘텔/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
보고를	보고/NNG+를/JKO
받은	받/VV+은/ETM
FBI는	FBI/SL+는/JX
뉴욕경찰이	뉴욕/NNP+경찰/NNG+이/JKS
심어	심/VV+어/EC
놓은	놓/VX+은/ETM
비밀	비밀/NNG
정보원의	정보원/NNG+의/JKG
역할이	역할/NNG+이/JKS
지나치게	지나치/VA+게/EC
크다는	크/VA+다는/ETM
사실을	사실/NNG+을/JKO
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.47.6.2
피멘텔이 비밀정보원의 도움 없이도 시계, 크리스마스 전구, L자형 파이프 등을 사용한 사제 폭탄을 거의 완성 단계까지 조립할 수 있었을지 의심했다는 것이다.

피멘텔이	피멘텔/NNP+이/JKS
비밀정보원의	비밀/NNG+정보원/NNG+의/JKG
도움	도움/NNG
없이도	없이/MAG+도/JX
시계,	시계/NNG+,/SP
크리스마스	크리스마스/NNG
전구,	전구/NNG+,/SP
L자형	L/SL+자형/NNG
파이프	파이프/NNG
등을	등/NNB+을/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
사제	사제/NNG
폭탄을	폭탄/NNG+을/JKO
거의	거의/MAG
완성	완성/NNG
단계까지	단계/NNG+까지/JX
조립할	조립/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었을지	있/VA+었/EP+을지/EF
의심했다는	의심/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.47.6.3
NYT는 "검찰에 제출된 자료에 따르면 피멘텔은 파이프에 구멍을 뚫는 단순한 작업조차 힘겨워했다"고 전했다.

NYT는	NYT/SL+는/JX
"검찰에	"/SS+검찰/NNG+에/JKB
제출된	제출/NNG+되/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
피멘텔은	피멘텔/NNP+은/JX
파이프에	파이프/NNG+에/JKB
구멍을	구멍/NNG+을/JKO
뚫는	뚫/VV+는/ETM
단순한	단순/NNG+하/XSA+ㄴ/ETM
작업조차	작업/NNG+조차/JX
힘겨워했다"고	힘겹/VA+어/EC+하/VX+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.47.7.1
FBI 역시 정보원을 활용한 함정수사에 지나치게 의존한다는 비난을 받고 있다.

FBI	FBI/SL
역시	역시/MAG
정보원을	정보원/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
함정수사에	함정/NNG+수사/NNG+에/JKB
지나치게	지나치/VA+게/EC
의존한다는	의존/NNG+하/XSV+ㄴ다는/ETM
비난을	비난/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.47.7.2
2009년 5월 테러 모의 혐의로 뉴욕주(州) 뉴버그에서 체포된 데이비드 윌리엄스는 유대교회에 대한 폭탄 테러를 계획하면서 FBI의 정보원이 제공한 자금을 받아 썼다.

2009년	2009/SN+년/NNB
5월	5/SN+월/NNB
테러	테러/NNG
모의	모의/NNG
혐의로	혐의/NNG+로/JKB
뉴욕주(州)	뉴욕주/NNP+(/SS+州/SH+)/SS
뉴버그에서	뉴버그/NNP+에서/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
데이비드	데이비드/NNP
윌리엄스는	윌리엄스/NNP+는/JX
유대교회에	유대/NNG+교회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
폭탄	폭탄/NNG
테러를	테러/NNG+를/JKO
계획하면서	계획/NNG+하/XSV+면서/EC
FBI의	FBI/SL+의/JKG
정보원이	정보원/NNG+이/JKS
제공한	제공/NNG+하/XSV+ㄴ/ETM
자금을	자금/NNG+을/JKO
받아	받/VV+아/EC
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.47.7.3
2009년 뉴저지의 육군 본부를 공격하려다 체포된 드리탄 두카 등은 '친구'에게서 돈을 받아 무기를 구입했다고 증언했다.

2009년	2009/SN+년/NNB
뉴저지의	뉴저지/NNP+의/JKG
육군	육군/NNG
본부를	본부/NNG+를/JKO
공격하려다	공격/NNG+하/XSV+려다/EC
체포된	체포/NNG+되/XSV+ㄴ/ETM
드리탄	드리탄/NNP
두카	두카/NNP
등은	등/NNB+은/JX
'친구'에게서	'/SS+친구/NNG+'/SS+에게서/JKB
돈을	돈/NNG+을/JKO
받아	받/VV+아/EC
무기를	무기/NNG+를/JKO
구입했다고	구입/NNG+하/XSV+았/EP+다고/EC
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.47.7.4
'친구'는 FBI 정보원이었다.

'친구'는	'/SS+친구/NNG+'/SS+는/JX
FBI	FBI/SL
정보원이었다.	정보원/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.47.8.1
캘리포니아대 탐사보도연구소에 따르면 FBI의 정보원 수는 25년 전보다 3배 이상 늘어난 약 1만5000명(2011년 8월 기준)에 달한다.

캘리포니아대	캘리포니아대/NNP
탐사보도연구소에	탐사/NNG+보도/NNG+연구소/NNG+에/JKB
따르면	따르/VV+면/EC
FBI의	FBI/SL+의/JKG
정보원	정보원/NNG
수는	수/NNG+는/JX
25년	25/SN+년/NNB
전보다	전/NNG+보다/JKB
3배	3/SN+배/NNG
이상	이상/NNG
늘어난	늘어나/VV+ㄴ/ETM
약	약/MMA
1만5000명(2011년	1/SN+만/NR+5000/SN+명/NNB+(/SS+2011/SN+년/NNB
8월	8/SN+월/NNB
기준)에	기준/NNG+)/SS+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


