# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.73
metadata : {}


# id : NWRW1800000026.73.1.1
[부산·경남] "신비의 약수, 고로쇠 드시고 건강 챙기러 오세요";덕유산, 지리산, 배내골… 축제 잇따라

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
게임	게임/NNG
등이	등/NNB+이/JKS
열리고,	열리/VV+고/EC+,/SP
푸딩	푸딩/NNG
만들기,	만들/VV+기/ETN+,/SP
주먹밥	주먹밥/NNG
맨손으로	맨/XPN+손/NNG+으로/JKB
가물치	가물치/NNG
잡기	잡/VV+기/ETN
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
체험	체험/NNG
행사가	행사/NNG+가/JKS
마련됐다.	마련/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.73.6.1
지리산 자락인 경남 산청군과 하동군에서는 고로쇠축제가 오는 6일 동시에 개최된다.

지리산	지리산/NNP
자락인	자락/NNG+이/VCP+ㄴ/ETM
경남	경남/NNP
산청군과	산청군/NNP+과/JC
하동군에서는	하동군/NNP+에서/JKB+는/JX
고로쇠축제가	고로쇠/NNG+축제/NNG+가/JKS
오는	오/VV+는/ETM
6일	6/SN+일/NNB
동시에	동시/NNG+에/JKB
개최된다.	개최/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.6.2
이들 지역의 고로쇠 수액은 해발 1000m 안팎의 지리산 고산지대에 자생하고 있는 고로쇠 나무에서 채취, 맛과 효능이 뛰어나 신비의 약수로 알려져 있다.

이들	이/NP+들/XSN
지역의	지역/NNG+의/JKG
고로쇠	고로쇠/NNG
수액은	수액/NNG+은/JX
해발	해발/NNG
1000m	1000/SN+m/SW
안팎의	안팎/NNG+의/JKG
지리산	지리산/NNP
고산지대에	고산/NNG+지대/NNG+에/JKB
자생하고	자생/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
나무에서	나무/NNG+에서/JKB
채취,	채취/NNG+,/SP
맛과	맛/NNG+과/JC
효능이	효능/NNG+이/JKS
뛰어나	뛰어나/VA+아/EC
신비의	신비/NNG+의/JKG
약수로	약수/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.73.7.1
6일 오전 10시 산청군 삼장면 덕교리 삼장체육공원에서는 제11회 지리산 고로쇠 약수제가 열린다.

6일	6/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
산청군	산청군/NNP
삼장면	삼장면/NNP
덕교리	덕교리/NNP
삼장체육공원에서는	삼장체육공원/NNP+에서/JKB+는/JX
제11회	제/XPN+11/SN+회/NNB
지리산	지리산/NNP
고로쇠	고로쇠/NNG
약수제가	약수제/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.7.2
약수제는 '지리산 천왕할매'에게 올리는 전통제례를 시작으로, 시천·삼장·단성면 등 5개면에서 채취한 수액 합수(合水)행사로 지역민의 화합을 기원한다.

약수제는	약수제/NNG+는/JX
'지리산	'/SS+지리산/NNP
천왕할매'에게	천왕/NNG+할매/NNG+'/SS+에게/JKB
올리는	올리/VV+는/ETM
전통제례를	전통/NNG+제례/NNG+를/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
시천·삼장·단성면	시천/NNP+·/SP+삼장/NNP+·/SP+단성면/NNP
등	등/NNB
5개면에서	5/SN+개/NNB+면/NNG+에서/JKB
채취한	채취/NNG+하/XSV+ㄴ/ETM
수액	수액/NNG
합수(合水)행사로	합수/NNG+(/SS+合水/SH+)/SS+행사/NNG+로/JKB
지역민의	지역민/NNG+의/JKG
화합을	화합/NNG+을/JKO
기원한다.	기원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.7.3
약수 시음회, 약수 빨리 마시기 대회 등과 함께 고로쇠 수액을 시중보다 20% 할인된 가격에 판매한다.

약수	약수/NNG
시음회,	시음회/NNG+,/SP
빨리	빨리/MAG
마시기	마시/VV+기/ETN
대회	대회/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
고로쇠	고로쇠/NNG
수액을	수액/NNG+을/JKO
시중보다	시중/NNG+보다/JKB
20%	20/SN+%/SW
할인된	할인/NNG+되/XSV+ㄴ/ETM
가격에	가격/NNG+에/JKB
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.8.1
하동군 화개면 화개장터 주차장에서는 6일 하동고로쇠축제가 열린다.

하동군	하동군/NNP
화개면	화개면/NNP
화개장터	화개장터/NNP
주차장에서는	주차장/NNG+에서/JKB+는/JX
6일	6/SN+일/NNB
하동고로쇠축제가	하동/NNP+고로쇠/NNG+축제/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.8.2
축제는 오전 9시 30분 길놀이와 식전공연 등으로 막이 오르며, 고로쇠물 마시기 대회 등과 함께 인간문화재 공연 등이 펼쳐진다.

축제는	축제/NNG+는/JX
오전	오전/NNG
9시	9/SN+시/NNB
30분	30/SN+분/NNB
길놀이와	길놀이/NNG+와/JC
식전공연	식전/NNG+공연/NNG
등으로	등/NNB+으로/JKB
막이	막/NNG+이/JKS
오르며,	오르/VV+며/EC+,/SP
고로쇠물	고로쇠/NNG+물/NNG
마시기	마시/VV+기/ETN
대회	대회/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
인간문화재	인간문화재/NNG
공연	공연/NNG
등이	등/NNB+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.8.3
시음장과 판매장도 마련된다.

시음장과	시음장/NNG+과/JC
판매장도	판매장/NNG+도/JX
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.9.1
거제시에서는 고로쇠 약수의 우수성을 널리 알리기 위해 7일 동부면 학동흑진주몽돌해변을 출발하는 고로쇠약수 마라톤대회가 열린다.

거제시에서는	거제시/NNP+에서/JKB+는/JX
고로쇠	고로쇠/NNG
약수의	약수/NNG+의/JKG
우수성을	우수/NNG+성/XSN+을/JKO
널리	널리/MAG
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
7일	7/SN+일/NNB
동부면	동부면/NNP
학동흑진주몽돌해변을	학동흑진주몽돌해변/NNP+을/JKO
출발하는	출발/NNG+하/XSV+는/ETM
고로쇠약수	고로쇠/NNG+약수/NNG
마라톤대회가	마라톤/NNG+대회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.9.2
5·10㎞와 하프코스로 나눠 진행되며, 봄기운 완연한 한려해상국립공원 해변을 끼고 달리며 푸른 바다와 동백꽃의 아름다움을 즐길 수 있다.

5·10㎞와	5/SN+·/SP+10/SN+㎞/SW+와/JC
하프코스로	하프코스/NNG+로/JKB
나눠	나누/VV+어/EC
진행되며,	진행/NNG+되/XSV+며/EC+,/SP
봄기운	봄기운/NNG
완연한	완연하/VA+ㄴ/ETM
한려해상국립공원	한려해상국립공원/NNP
해변을	해변/NNG+을/JKO
끼고	끼/VV+고/EC
달리며	달리/VV+며/EC
푸른	푸르/VA+ㄴ/ETM
바다와	바다/NNG+와/JC
동백꽃의	동백꽃/NNG+의/JKG
아름다움을	아름다움/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.73.9.3
거제 고로쇠 약수 마라톤대회는 지난 1월 30일 고로쇠 약수축제에 이어 열리는 것으로, 마라톤대회와 함께 시음회 등이 함께 마련됐다.

거제	거제/NNP
고로쇠	고로쇠/NNG
약수	약수/NNG
마라톤대회는	마라톤/NNG+대회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
30일	30/SN+일/NNB
약수축제에	약수/NNG+축제/NNG+에/JKB
이어	잇/VV+어/EC
열리는	열리/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
마라톤대회와	마라톤/NNG+대회/NNG+와/JKB
함께	함께/MAG
시음회	시음회/NNG
등이	등/NNB+이/JKS
마련됐다.	마련/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.73.10.1
양산시 원동면 배내골에서는 지난달 27일 막을 올린 배내골 고로쇠축제가 1일까지 계속된다.

양산시	양산시/NNP
원동면	원동면/NNP
배내골에서는	배내골/NNP+에서/JKB+는/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
막을	막/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
배내골	배내골/NNP
고로쇠축제가	고로쇠/NNG+축제/NNG+가/JKS
1일까지	1/SN+일/NNB+까지/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.10.2
수액 채취 체험, 수액 빨리 마시기 대회 등과 함께 직판행사, 전통민속공연 등 다양한 프로그램이 이어진다.

수액	수액/NNG
채취	채취/NNG
체험,	체험/NNG+,/SP
빨리	빨리/MAG
마시기	마시/VV+기/ETN
대회	대회/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
직판행사,	직판/NNG+행사/NNG+,/SP
전통민속공연	전통/NNG+민속/NNG+공연/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램이	프로그램/NNG+이/JKS
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.73.11.1
고로쇠 나무는 단풍나뭇과에 속하는 낙엽 활엽수.

고로쇠	고로쇠/NNG
나무는	나무/NNG+는/JX
단풍나뭇과에	단풍나뭇과/NNG+에/JKB
속하는	속하/VV+는/ETM
낙엽	낙엽/NNG
활엽수.	활엽수/NNG+./SF


# id : NWRW1800000026.73.11.2
4~5월에 담황색 꽃이 피고, 9월에 열매를 맺는다.

4~5월에	4/SN+~/SO+5/SN+월/NNB+에/JKB
담황색	담황색/NNG
꽃이	꽃/NNG+이/JKS
피고,	피/VV+고/EC+,/SP
9월에	9/SN+월/NNB+에/JKB
열매를	열매/NNG+를/JKO
맺는다.	맺/VV+는다/EF+./SF


# id : NWRW1800000026.73.11.3
고로쇠라는 이름은 '뼈에 이로운 수액이 들어있는 나무'라는 뜻의 한자어 '골리수(骨利水)'에서 유래했다고 전해진다.

고로쇠라는	고로쇠/NNG+이/VCP+라는/ETM
이름은	이름/NNG+은/JX
'뼈에	'/SS+뼈/NNG+에/JKB
이로운	이/NNG+롭/XSA+ㄴ/ETM
수액이	수액/NNG+이/JKS
들어있는	들/VV+어/EC+있/VX+는/ETM
나무'라는	나무/NNG+'/SS+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
한자어	한자어/NNG
'골리수(骨利水)'에서	'/SS+골리수/NNG+(/SS+骨利水/SH+)/SS+'/SS+에서/JKB
유래했다고	유래/NNG+하/XSV+았/EP+다고/EC
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.73.11.4
단맛을 내는 당 성분과 함께 칼슘·마그네슘 등이 많이 함유돼 있어 성인병·관절염·신경통·위장병 등에 효험이 있는 것으로 알려져 있다.

단맛을	단맛/NNG+을/JKO
내는	내/VV+는/ETM
당	당/NNG
성분과	성분/NNG+과/JKB
함께	함께/MAG
칼슘·마그네슘	칼슘/NNG+·/SP+마그네슘/NNG
등이	등/NNB+이/JKS
많이	많이/MAG
함유돼	함유/NNG+되/XSV+어/EC
있어	있/VX+어/EC
성인병·관절염·신경통·위장병	성인병/NNG+·/SP+관절염/NNG+·/SP+신경통/NNG+·/SP+위장병/NNG
등에	등/NNB+에/JKB
효험이	효험/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.73.12.1
온난 해양성 기후의 영향을 받는 거제지역에서는 1월 말부터, 산청 하동 등지에서는 우수를 전후해 채취를 시작, 축제가 집중된 경칩(3월 6일) 무렵 절정에 달한다.

온난	온난/NNG
해양성	해양/NNG+성/XSN
기후의	기후/NNG+의/JKG
영향을	영향/NNG+을/JKO
받는	받/VV+는/ETM
거제지역에서는	거제/NNP+지역/NNG+에서/JKB+는/JX
1월	1/SN+월/NNB
말부터,	말/NNB+부터/JX+,/SP
산청	산청/NNP
하동	하동/NNP
등지에서는	등지/NNB+에서/JKB+는/JX
우수를	우수/NNG+를/JKO
전후해	전후/NNG+하/XSV+아/EC
채취를	채취/NNG+를/JKO
시작,	시작/NNG+,/SP
축제가	축제/NNG+가/JKS
집중된	집중/NNG+되/XSV+ㄴ/ETM
경칩(3월	경칩/NNG+(/SS+3/SN+월/NNB
6일)	6/SN+일/NNB+)/SS
무렵	무렵/NNB
절정에	절정/NNG+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


