# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.166
metadata : {}


# id : NWRW1800000025.166.1.1
경남 뺀 영남 시도지사 “4대강 중단 없다”

경남	경남/NNP
위한	위하/VV+ㄴ/ETM
국민의	국민/NNG+의/JKG
생명과	생명/NNG+과/JC
삶의	삶/NNG+의/JKG
질	질/NNG
향상에	향상/NNG+에/JKB
직결된	직결/NNG+되/XSV+ㄴ/ETM
사안”이라며	사안/NNG+”/SS+이/VCP+라며/EC
“이번	“/SS+이번/NNG
지방선거에서	지방/NNG+선거/NNG+에서/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
일부	일부/NNG
단체장들이	단체장/NNG+들/XSN+이/JKS
반대	반대/NNG
입장을	입장/NNG+을/JKO
표명하고	표명/NNG+하/XSV+고/EC
있으나,	있/VX+으나/EC+,/SP
대구·경북	대구/NNP+·/SP+경북/NNP
주민들의	주민/NNG+들/XSN+의/JKG
뜻을	뜻/NNG+을/JKO
존중해	존중/NNG+하/XSV+아/EC
소모적	소모/NNG+적/XSN
정쟁을	정쟁/NNG+을/JKO
중단해	중단/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.166.5.1
허남식 부산시장과 박맹우 울산시장도 이날 공동성명서를 내고 “4대강 사업은 국민의 생명을 살리고 삶의 질을 향상시키기 위한 다목적 사업”이라며 “소모적인 정쟁을 중단하고, 정부가 강력하게 사업을 추진해야 한다”고 밝혔다.

허남식	허남식/NNP
부산시장과	부산시장/NNG+과/JC
박맹우	박맹우/NNP
울산시장도	울산시장/NNG+도/JX
이날	이날/NNG
공동성명서를	공동/NNG+성명서/NNG+를/JKO
내고	내/VV+고/EC
“4대강	“/SS+4/SN+대/NNG+강/NNG
사업은	사업/NNG+은/JX
국민의	국민/NNG+의/JKG
생명을	생명/NNG+을/JKO
살리고	살리/VV+고/EC
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
향상시키기	향상/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
다목적	다목적/NNG
사업”이라며	사업/NNG+”/SS+이/VCP+라며/EC
“소모적인	“/SS+소모/NNG+적/XSN+이/VCP+ㄴ/ETM
정쟁을	정쟁/NNG+을/JKO
중단하고,	중단/NNG+하/XSV+고/EC+,/SP
정부가	정부/NNG+가/JKS
강력하게	강력/NNG+하/XSA+게/EC
사업을	사업/NNG+을/JKO
추진해야	추진/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.166.5.2
두 사람은 또 소중한 수자원을 보존하고 강 주변의 환경을 복원하여 지역경제를 살리는 사업임에도 일부에서 취지를 왜곡해 반대 입장을 표명하고 있는 데 대해 깊은 우려를 나타냈다.

두	두/MMN
사람은	사람/NNG+은/JX
또	또/MAG
소중한	소중하/VA+ㄴ/ETM
수자원을	수자원/NNG+을/JKO
보존하고	보존/NNG+하/XSV+고/EC
강	강/NNG
주변의	주변/NNG+의/JKG
환경을	환경/NNG+을/JKO
복원하여	복원/NNG+하/XSV+아/EC
지역경제를	지역/NNG+경제/NNG+를/JKO
살리는	살리/VV+는/ETM
사업임에도	사업/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
일부에서	일부/NNG+에서/JKB
취지를	취지/NNG+를/JKO
왜곡해	왜곡/NNG+하/XSV+아/EC
반대	반대/NNG
입장을	입장/NNG+을/JKO
표명하고	표명/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
데	데/NNB
대해	대하/VV+아/EC
깊은	깊/VA+은/ETM
우려를	우려/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.166.6.1
한편 무소속 김두관 경남도지사 당선자는 11일 출범하는 도지사직 인수위원회에 5개 분과와 별도로 ‘4대강 환경특별위원회’를 두기로 했다.

한편	한편/MAG
무소속	무/XPN+소속/NNG
김두관	김두관/NNP
경남도지사	경남/NNP+도지사/NNG
당선자는	당선자/NNG+는/JX
11일	11/SN+일/NNB
출범하는	출범/NNG+하/XSV+는/ETM
도지사직	도지사직/NNG
인수위원회에	인수/NNG+위원회/NNG+에/JKB
5개	5/SN+개/NNB
분과와	분과/NNG+와/JKB
별도로	별도/NNG+로/JKB
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
환경특별위원회’를	환경/NNG+특별/NNG+위원회/NNG+’/SS+를/JKO
두기로	두/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.166.6.2
김 당선자 측은 “4대강 사업에 대한 행정적, 법적 검토와 함께 환경에 미치는 영향을 파악하고 바람직한 대안을 마련하기 위해 특위를 설치하기로 했다”고 설명했다.

김	김/NNP
당선자	당선자/NNG
측은	측/NNB+은/JX
“4대강	“/SS+4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
행정적,	행정/NNG+적/XSN+,/SP
법적	법/NNG+적/XSN
검토와	검토/NNG+와/JKB
함께	함께/MAG
환경에	환경/NNG+에/JKB
미치는	미치/VV+는/ETM
영향을	영향/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
바람직한	바람직하/VA+ㄴ/ETM
대안을	대안/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
특위를	특위/NNG+를/JKO
설치하기로	설치/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


