# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.382
metadata : {}


# id : NWRW1800000046.382.1.1
韓, 첫 여성 총리에서 첫 '收監(수감) 총리'로

韓,	韓/SH+,/SP
16대	16/SN+대/NNB
국회의원에	국회/NNG+의원/NNG+에/JKB
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.382.4.5
노무현 정부 출범과 함께 환경부 장관에 임명됐고, 2006년 4월부터 1년 가까이 '사상 첫 여성 총리'를 지냈다.

노무현	노무현/NNP
정부	정부/NNG
출범과	출범/NNG+과/JKB
함께	함께/MAG
환경부	환경부/NNG
장관에	장관/NNG+에/JKB
임명됐고,	임명/NNG+되/XSV+었/EP+고/EC+,/SP
2006년	2006/SN+년/NNB
4월부터	4/SN+월/NNB+부터/JX
1년	1/SN+년/NNB
가까이	가까이/MAG
'사상	'/SS+사상/NNG
첫	첫/MMN
여성	여성/NNG
총리'를	총리/NNG+'/SS+를/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.382.5.1
해방 후 44대 황교안 현 총리까지 총리를 지낸 40명(장면·백두진·김종필·고건 전 총리가 두 번씩) 중 한 전 총리를 포함해 14명이 검찰 조사를 받았다.

해방	해방/NNG
후	후/NNG
44대	44/SN+대/NNB
황교안	황교안/NNP
현	현/MMD
총리까지	총리/NNG+까지/JX
총리를	총리/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
40명(장면·백두진·김종필·고건	40/SN+명/NNB+(/SS+장면/NNP+·/SP+백두진/NNP+·/SP+김종필/NNP+·/SP+고건/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
두	두/MMN
번씩)	번/NNB+씩/XSN+)/SS
중	중/NNB
한	한/NNP
포함해	포함/NNG+하/XSV+아/EC
14명이	14/SN+명/NNB+이/JKS
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.382.5.2
이회창 전 총리는 2004년 '차떼기 사건'으로 알려진 불법 대선 자금 수사 때, 이해찬 전 총리는 '3·1절 골프 파동' 때 검찰에 소환됐지만 무혐의로 처리됐다.

이회창	이회창/NNP
전	전/MMD
총리는	총리/NNG+는/JX
2004년	2004/SN+년/NNB
'차떼기	'/SS+차떼기/NNG
사건'으로	사건/NNG+'/SS+으로/JKB
알려진	알려지/VV+ㄴ/ETM
불법	불법/NNG
대선	대선/NNG
자금	자금/NNG
수사	수사/NNG
때,	때/NNG+,/SP
이해찬	이해찬/NNP
'3·1절	'/SS+3·1절/NNG
골프	골프/NNG
파동'	파동/NNG+'/SS
때	때/NNG
검찰에	검찰/NNG+에/JKB
소환됐지만	소환/NNG+되/XSV+었/EP+지만/EC
무혐의로	무/XPN+혐의/NNG+로/JKB
처리됐다.	처리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.382.6.1
검찰 조사에 이어 재판까지 넘겨진 전직 총리는 한 전 총리를 포함해 7명이다.

검찰	검찰/NNG
조사에	조사/NNG+에/JKB
이어	잇/VV+어/EC
재판까지	재판/NNG+까지/JX
넘겨진	넘기/VV+어/EC+지/VX+ㄴ/ETM
전직	전직/NNG
총리는	총리/NNG+는/JX
한	한/NNP
전	전/MMD
총리를	총리/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
7명이다.	7/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.382.6.2
장면 전 총리는 5·16 뒤 군사정부 전복을 음모했다는 '이주당 사건'에, 장택상 전 총리는 '대통령 입후보 등록 방해 사건'에 연루돼 집행유예를 선고받았다.

장면	장면/NNP
전	전/MMD
총리는	총리/NNG+는/JX
5·16	5/SN+·/SP+16/SN
뒤	뒤/NNG
군사정부	군사/NNG+정부/NNG
전복을	전복/NNG+을/JKO
음모했다는	음모/NNG+하/XSV+았/EP+다는/ETM
'이주당	'/SS+이주당/NNG
사건'에,	사건/NNG+'/SS+에/JKB+,/SP
장택상	장택상/NNP
'대통령	'/SS+대통령/NNG
입후보	입후보/NNG
등록	등록/NNG
방해	방해/NNG
사건'에	사건/NNG+'/SS+에/JKB
연루돼	연루/NNG+되/XSV+어/EC
집행유예를	집행/NNG+유예/NNG+를/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.382.6.3
김종필·이한동 전 총리는 정치자금법 위반으로 기소돼 집행유예를 선고받았다.

김종필·이한동	김종필/NNP+·/SP+이한동/NNP
전	전/MMD
총리는	총리/NNG+는/JX
정치자금법	정치/NNG+자금법/NNG
위반으로	위반/NNG+으로/JKB
기소돼	기소/NNG+되/XSV+어/EC
집행유예를	집행/NNG+유예/NNG+를/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.382.6.4
1994년 뇌물수수 혐의로 기소된 박태준 전 총리는 유죄가 확정되기 전에 공소취소 처분을 받았다.

1994년	1994/SN+년/NNB
뇌물수수	뇌물/NNG+수수/NNG
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
박태준	박태준/NNP
전	전/MMD
총리는	총리/NNG+는/JX
유죄가	유죄/NNG+가/JKS
확정되기	확정/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
공소취소	공소/NNG+취소/NNG
처분을	처분/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.382.6.5
최근에는 이완구 전 총리가 고(故) 성완종 전 경남기업 회장에게서 불법 정치자금 3000만원을 받은 혐의로 기소돼 1심 재판을 받고 있다.

최근에는	최근/NNG+에/JKB+는/JX
이완구	이완구/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
고(故)	고/MMA+(/SS+故/SH+)/SS
성완종	성완종/NNP
경남기업	경남기업/NNP
회장에게서	회장/NNG+에게서/JKB
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
3000만원을	3000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
기소돼	기소/NNG+되/XSV+어/EC
1심	1심/NNG
재판을	재판/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


