# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.95
metadata : {}


# id : NWRW1800000032.95.1.1
중, 3월 외국인 티베트 관광 금지

중,	중/NNP+,/SP
달라이 라마가 중국이 후계자 지명에 개입할 것을 우려해, 티베트 불교의 전통인 환생 대신 스스로 직접 후계자를 지명하거나 국민투표로 후계자를 뽑는 방안을 언급한 것을 정면 반박한 것이다.

달라이	달라이/NNP
라마가	라마/NNP+가/JKS
중국이	중국/NNP+이/JKS
후계자	후계자/NNG
지명에	지명/NNG+에/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해,	우려/NNG+하/XSV+아/EC+,/SP
티베트	티베트/NNP
불교의	불교/NNG+의/JKG
전통인	전통/NNG+이/VCP+ㄴ/ETM
환생	환생/NNG
대신	대신/NNG
스스로	스스로/MAG
직접	직접/MAG
후계자를	후계자/NNG+를/JKO
지명하거나	지명/NNG+하/XSV+거나/EC
국민투표로	국민/NNG+투표/NNG+로/JKB
뽑는	뽑/VV+는/ETM
방안을	방안/NNG+을/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
정면	정면/NNG
반박한	반박/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


