# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.12
metadata : {}


# id : NWRW1800000033.12.1.1
가로수길에 외국인들 왜 많나 했더니…

가로수길에	가로수길/NNP+에/JKB
지역을	지역/NNG+을/JKO
거주지로	거주지/NNG+로/JKB
찾는	찾/VV+는/ETM
외국인이	외국인/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것도	것/NNB+도/JX
외국인	외국인/NNG
집성촌의	집성촌/NNG+의/JKG
경계가	경계/NNG+가/JKS
허물어지는	허물어지/VV+는/ETM
데	데/NNB
한몫했다는	한몫/NNG+하/XSV+았/EP+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.12.4.1
19일 외국인 전용임대주택업계에 따르면 필립모리스, GE 등 글로벌 기업들은 2008년 금융위기 이전에는 한국지사에 최고경영자(CEO)급 임원을 파견하는 사례가 많았고, 이들은 대부분 용산구 한남동, 이태원동에서 거주지를 물색했다.

19일	19/SN+일/NNB
외국인	외국인/NNG
전용임대주택업계에	전용/NNG+임대/NNG+주택업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
필립모리스,	필립모리스/NNP+,/SP
GE	GE/SL
등	등/NNB
글로벌	글로벌/NNG
기업들은	기업/NNG+들/XSN+은/JX
2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
이전에는	이전/NNG+에/JKB+는/JX
한국지사에	한국/NNP+지사/NNG+에/JKB
최고경영자(CEO)급	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+급/NNG
임원을	임원/NNG+을/JKO
파견하는	파견/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
많았고,	많/VA+았/EP+고/EC+,/SP
이들은	이/NP+들/XSN+은/JX
대부분	대/XPN+부분/NNG
용산구	용산구/NNP
한남동,	한남동/NNP+,/SP
이태원동에서	이태원동/NNP+에서/JKB
거주지를	거주지/NNG+를/JKO
물색했다.	물색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.12.4.2
하지만 금융위기 이후 글로벌 업체들이 경비 절감 등을 이유로 임원 대신 실무자급 직원을 파견하면서 이들의 거주지도 ‘탈용산구’ 추세를 보인다.

하지만	하지만/MAJ
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
글로벌	글로벌/NNG
업체들이	업체/NNG+들/XSN+이/JKS
경비	경비/NNG
절감	절감/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
임원	임원/NNG
대신	대신/NNG
실무자급	실무자급/NNG
직원을	직원/NNG+을/JKO
파견하면서	파견/NNG+하/XSV+면서/EC
이들의	이/NP+들/XSN+의/JKG
거주지도	거주지/NNG+도/JX
‘탈용산구’	‘/SS+탈용산구/NNG+’/SS
추세를	추세/NNG+를/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.12.5.1
가장 큰 이유는 주거비 지원 차이다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유는	이유/NNG+는/JX
주거비	주거비/NNG
지원	지원/NNG
차이다.	차이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.12.5.2
임원급은 월 1300만∼1500만 원을 지급받지만 직원들은 300만 원 수준에 불과하다.

임원급은	임원급/NNG+은/JX
월	월/NNG
1300만∼1500만	1300/SN+만/NR+∼/SO+1500/SN+만/NR
원을	원/NNB+을/JKO
지급받지만	지급/NNG+받/XSV+지만/EC
직원들은	직원/NNG+들/XSN+은/JX
300만	300/SN+만/NR
원	원/NNB
수준에	수준/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000033.12.5.3
임원들은 월세가 비싼 용산구 한남동과 이태원동 일대의 고급빌라와 단독주택에서 거주할 수 있었지만 실무급 직원들은 사무실에서 가까운 종로구나 강남구에서 오피스텔을 찾을 수밖에 없었다.

임원들은	임원/NNG+들/XSN+은/JX
월세가	월세/NNG+가/JKS
비싼	비싸/VA+ㄴ/ETM
용산구	용산구/NNP
한남동과	한남동/NNP+과/JC
이태원동	이태원동/NNP
일대의	일대/NNG+의/JKG
고급빌라와	고급/NNG+빌라/NNG+와/JC
단독주택에서	단독/NNG+주택/NNG+에서/JKB
거주할	거주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었지만	있/VA+었/EP+지만/EC
실무급	실무급/NNG
직원들은	직원/NNG+들/XSN+은/JX
사무실에서	사무실/NNG+에서/JKB
가까운	가깝/VA+ㄴ/ETM
종로구나	종로구/NNP+나/JX
강남구에서	강남구/NNP+에서/JKB
오피스텔을	오피스텔/NNG+을/JKO
찾을	찾/VV+을/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.12.6.1
외국인 주거지원 전문업체 ‘아시안타이거즈’의 임현진 차장은 “임원급 1명을 파견하는 대신 실무 능력을 갖춘 직원 3, 4명을 파견하는 추세”라며 “당분간 이런 분위기가 이어질 것”이라고 말했다.

외국인	외국인/NNG
주거지원	주거/NNG+지원/NNG
전문업체	전문/NNG+업체/NNG
‘아시안타이거즈’의	‘/SS+아시안타이거즈/NNP+’/SS+의/JKG
임현진	임현진/NNP
차장은	차장/NNG+은/JX
“임원급	“/SS+임원급/NNG
1명을	1/SN+명/NNB+을/JKO
파견하는	파견/NNG+하/XSV+는/ETM
대신	대신/NNG
실무	실무/NNG
능력을	능력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
직원	직원/NNG
3,	3/SN+,/SP
4명을	4/SN+명/NNB+을/JKO
추세”라며	추세/NNG+”/SS+이/VCP+라며/EC
“당분간	“/SS+당분간/MAG
이런	이런/MMD
분위기가	분위기/NNG+가/JKS
이어질	이어지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.12.7.1
외국인학교가 많아지면서 가족 단위로 한국을 찾는 외국인이 늘어난 것도 인기 주거지역 변화를 가져오는 요인이다.

외국인학교가	외국인/NNG+학교/NNG+가/JKS
많아지면서	많아지/VV+면서/EC
가족	가족/NNG
단위로	단위/NNG+로/JKB
한국을	한국/NNP+을/JKO
찾는	찾/VV+는/ETM
외국인이	외국인/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것도	것/NNB+도/JX
인기	인기/NNG
주거지역	주거/NNG+지역/NNG
변화를	변화/NNG+를/JKO
가져오는	가져오/VV+는/ETM
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.12.7.2
1990년대 말까지는 서대문구에 위치한 SFS(서울외국인학교)가 외국인 임직원 자녀의 교육을 전담했다.

1990년대	1990/SN+년대/NNB
말까지는	말/NNB+까지/JX+는/JX
서대문구에	서대문구/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
SFS(서울외국인학교)가	SFS/SL+(/SS+서울외국인학교/NNP+)/SS+가/JKS
외국인	외국인/NNG
임직원	임직원/NNG
자녀의	자녀/NNG+의/JKG
교육을	교육/NNG+을/JKO
전담했다.	전담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.12.7.3
하지만 2000년 KIS(한국외국인학교·강남구 개포동), 2010년 덜위치칼리지(서초구 반포동) 등이 속속 문을 열면서 이 지역들을 찾는 외국인도 늘어났다.

하지만	하지만/MAJ
2000년	2000/SN+년/NNB
KIS(한국외국인학교·강남구	KIS/SL+(/SS+한국외국인학교/NNP+·/SP+강남구/NNP
개포동),	개포동/NNP+)/SS+,/SP
2010년	2010/SN+년/NNB
덜위치칼리지(서초구	덜위치칼리지/NNP+(/SS+서초구/NNP
반포동)	반포동/NNP+)/SS
등이	등/NNB+이/JKS
속속	속속/MAG
문을	문/NNG+을/JKO
열면서	열/VV+면서/EC
이	이/MMD
지역들을	지역/NNG+들/XSN+을/JKO
찾는	찾/VV+는/ETM
외국인도	외국인/NNG+도/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.12.8.1
용산구 동부이촌동에 모여 살던 일본인들이 최근 마포구 상암동으로 이사하는 이유도 같은 맥락이다.

용산구	용산구/NNP
동부이촌동에	동부이촌동/NNP+에/JKB
모여	모이/VV+어/EC
살던	살/VV+던/ETM
일본인들이	일본인/NNG+들/XSN+이/JKS
최근	최근/MAG
마포구	마포구/NNP
상암동으로	상암동/NNP+으로/JKB
이사하는	이사/NNG+하/XSV+는/ETM
이유도	이유/NNG+도/JX
같은	같/VA+은/ETM
맥락이다.	맥락/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.12.8.2
지난해 서울일본인학교가 개포동에서 상암동으로 이전했고, 올해 드와이트스쿨이 상암DMC에서 개교할 예정이다.

지난해	지난해/NNG
서울일본인학교가	서울일본인학교/NNP+가/JKS
개포동에서	개포동/NNP+에서/JKB
상암동으로	상암동/NNP+으로/JKB
이전했고,	이전/NNG+하/XSV+았/EP+고/EC+,/SP
올해	올해/NNG
드와이트스쿨이	드와이트스쿨/NNP+이/JKS
상암DMC에서	상암/NNP+DMC/SL+에서/JKB
개교할	개교/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.12.8.3
상암DMC공인중개사무소의 이순이 대표는 “일본인이 주로 사는 상암월드컵파크의 경우 전용면적 84m² 아파트의 월세가 150만 원 수준으로 동부이촌동의 반값”이라며 “동네에 공원이 많고 고즈넉해 일본인의 취향과도 잘 맞는다”고 설명했다.

상암DMC공인중개사무소의	상암DMC공인중개사무소/NNP+의/JKG
이순이	이순이/NNP
대표는	대표/NNG+는/JX
“일본인이	“/SS+일본인/NNG+이/JKS
주로	주로/MAG
사는	살/VV+는/ETM
상암월드컵파크의	상암월드컵파크/NNP+의/JKG
경우	경우/NNG
전용면적	전용/NNG+면적/NNG
84m²	84/SN+m²/SW
아파트의	아파트/NNG+의/JKG
월세가	월세/NNG+가/JKS
150만	150/SN+만/NR
원	원/NNB
수준으로	수준/NNG+으로/JKB
동부이촌동의	동부이촌동/NNP+의/JKG
반값”이라며	반값/NNG+”/SS+이/VCP+라며/EC
“동네에	“/SS+동네/NNG+에/JKB
공원이	공원/NNG+이/JKS
많고	많/VA+고/EC
고즈넉해	고즈넉하/VA+아/EC
일본인의	일본인/NNG+의/JKG
취향과도	취향/NNG+과/JKB+도/JX
잘	잘/MAG
맞는다”고	맞/VV+는다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.12.9.1
외국계 회사 직원들의 연령이 낮아지면서 대사관이 밀집한 용산구와 성북구 대신 다양한 문화를 즐길 수 있는 시설을 갖춘 지역을 선호하는 추세가 확산되고 있다.

외국계	외국/NNG+계/XSN
회사	회사/NNG
직원들의	직원/NNG+들/XSN+의/JKG
연령이	연령/NNG+이/JKS
낮아지면서	낮/VA+아/EC+지/VX+면서/EC
대사관이	대사관/NNG+이/JKS
밀집한	밀집/NNG+하/XSV+ㄴ/ETM
용산구와	용산구/NNP+와/JC
성북구	성북구/NNP
대신	대신/NNG
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화를	문화/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시설을	시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
지역을	지역/NNG+을/JKO
선호하는	선호/NNG+하/XSV+는/ETM
추세가	추세/NNG+가/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.12.9.2
예를 들어 패션에 민감한 프랑스계 업체 직원들은 가족과 함께 한국에 머물지 않는 이상 굳이 프랑스학교가 위치한 서래마을에 거주하려 하지 않는다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
패션에	패션/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
프랑스계	프랑스/NNP+계/XSN
업체	업체/NNG
직원들은	직원/NNG+들/XSN+은/JX
가족과	가족/NNG+과/JKB
함께	함께/MAG
한국에	한국/NNP+에/JKB
머물지	머물/VV+지/EC
않는	않/VX+는/ETM
이상	이상/NNG
굳이	굳이/MAG
프랑스학교가	프랑스/NNP+학교/NNG+가/JKS
위치한	위치/NNG+하/XSV+ㄴ/ETM
서래마을에	서래마을/NNP+에/JKB
거주하려	거주/NNG+하/XSV+려/EC
하지	하/VX+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.12.9.3
대신 이들이 찾는 새로운 보금자리는 카페골목이 있는 경기 성남시 분당구 정자동이나 강남구 신사동 가로수길 주변 지역 오피스텔 등이다.

대신	대신/NNG
이들이	이/NP+들/XSN+이/JKS
찾는	찾/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
보금자리는	보금자리/NNG+는/JX
카페골목이	카페/NNG+골목/NNG+이/JKS
있는	있/VA+는/ETM
경기	경기/NNP
성남시	성남시/NNP
분당구	분당구/NNP
정자동이나	정자동/NNP+이나/JC
강남구	강남구/NNP
신사동	신사동/NNP
가로수길	가로수길/NNP
주변	주변/NNG
지역	지역/NNG
오피스텔	오피스텔/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.12.10.1
임 차장은 “젊은 외국인들은 첨단 유행을 느낄 수 있는 카페나 패션숍, 식당이 있는 동네를 선호한다”며 “이런 곳에 있는 식당이나 가게에는 대부분 영어로 소통이 가능한 종업원이 있다는 점도 플러스 요인”이라고 말했다.

임	임/NNP
차장은	차장/NNG+은/JX
“젊은	“/SS+젊/VA+은/ETM
외국인들은	외국인/NNG+들/XSN+은/JX
첨단	첨단/NNG
유행을	유행/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
카페나	카페/NNG+나/JC
패션숍,	패션숍/NNG+,/SP
식당이	식당/NNG+이/JKS
동네를	동네/NNG+를/JKO
선호한다”며	선호/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
곳에	곳/NNG+에/JKB
식당이나	식당/NNG+이나/JC
가게에는	가게/NNG+에/JKB+는/JX
대부분	대/XPN+부분/NNG
영어로	영어/NNP+로/JKB
소통이	소통/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
종업원이	종업원/NNG+이/JKS
있다는	있/VA+다는/ETM
점도	점/NNG+도/JX
플러스	플러스/NNG
요인”이라고	요인/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


