# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.371
metadata : {}


# id : NWRW1800000038.371.1.1
"지방 財政실태 모두 공개해야"

"지방	"/SS+지방/NNG
박 대통령은 이날 청와대에서 수석비서관회의를 주재하는 자리에서 "중앙정부도 필요한 것은 다 공개하는 마당에 지방 재정도 공개해야 한다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
청와대에서	청와대/NNP+에서/JKB
수석비서관회의를	수석/NNG+비서관/NNG+회의/NNG+를/JKO
주재하는	주재/NNG+하/XSV+는/ETM
자리에서	자리/NNG+에서/JKB
"중앙정부도	"/SS+중앙/NNG+정부/NNG+도/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
다	다/MAG
공개하는	공개/NNG+하/XSV+는/ETM
마당에	마당/NNB+에/JKB
지방	지방/NNG
재정도	재정/NNG+도/JX
공개해야	공개/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.371.4.1
박 대통령은 또 지방 조례가 자치단체별로 다르다는 점을 지적하며 "'이 지역은 (조례를) 전부 꼬아놓아서 (기업이) 못 가겠다'고 (한다는 사실이) 공개가 되면 누가 말 안 해도 (지자체가 스스로) 다 고쳐서 선의의 노력을 할 수 있는 기틀이 된다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
또	또/MAG
지방	지방/NNG
조례가	조례/NNG+가/JKS
자치단체별로	자치/NNG+단체/NNG+별/XSN+로/JKB
다르다는	다르/VA+다는/ETM
점을	점/NNG+을/JKO
지적하며	지적/NNG+하/XSV+며/EC
"'이	"/SS+'/SS+이/MMD
지역은	지역/NNG+은/JX
(조례를)	(/SS+조례/NNG+를/JKO+)/SS
전부	전부/MAG
꼬아놓아서	꼬/VV+아/EC+놓/VX+아서/EC
(기업이)	(/SS+기업/NNG+이/JKS+)/SS
못	못/MAG
가겠다'고	가/VV+겠/EP+다/EF+'/SS+고/JKQ
(한다는	(/SS+하/VV+ㄴ다는/ETM
사실이)	사실/NNG+이/JKS+)/SS
공개가	공개/NNG+가/JKC
되면	되/VV+면/EC
누가	누구/NP+가/JKS
말	말/NNG
안	안/MAG
해도	하/VV+아도/EC
(지자체가	(/SS+지자체/NNG+가/JKS
스스로)	스스로/NNG+)/SS
다	다/MAG
고쳐서	고치/VV+어서/EC
선의의	선의/NNG+의/JKG
노력을	노력/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기틀이	기틀/NNG+이/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.371.5.1
안전행정부 관계자는 "자치단체 간 비교를 촉발해서 지방 재정의 자정 기능을 강화하고 건전화하는 장치를 만들겠다는 것"이라고 말했다.

안전행정부	안전/NNG+행정부/NNG
관계자는	관계자/NNG+는/JX
"자치단체	"/SS+자치/NNG+단체/NNG
간	간/NNB
비교를	비교/NNG+를/JKO
촉발해서	촉발/NNG+하/XSV+아서/EC
지방	지방/NNG
재정의	재정/NNG+의/JKG
자정	자정/NNG
기능을	기능/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
건전화하는	건전/NNG+화/XSN+하/XSV+는/ETM
장치를	장치/NNG+를/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.371.6.1
청와대 관계자는 "어린이 보육료 및 육아수당 재원을 국가가 더 지원하게 되더라도 자치단체들의 '도덕적 해이'가 동시에 개선되지 않으면 안 된다는 생각"이라고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"어린이	"/SS+어린이/NNG
보육료	보육료/NNG
및	및/MAG
육아수당	육아/NNG+수당/NNG
재원을	재원/NNG+을/JKO
국가가	국가/NNG+가/JKS
더	더/MAG
지원하게	지원/NNG+하/XSV+게/EC
되더라도	되/VV+더라도/EC
자치단체들의	자치/NNG+단체/NNG+들/XSN+의/JKG
'도덕적	'/SS+도덕/NNG+적/XSN
해이'가	해이/NNG+'/SS+가/JKS
동시에	동시/NNG+에/JKB
개선되지	개선/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
생각"이라고	생각/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.371.7.1
정부는 자치단체별 조례의 현황과 이에 따른 투자 기업들의 반응까지 묶은 자료집 발간을 검토할 것으로 알려졌다.

정부는	정부/NNG+는/JX
자치단체별	자치/NNG+단체/NNG+별/XSN
조례의	조례/NNG+의/JKG
현황과	현황/NNG+과/JKB
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
투자	투자/NNG
기업들의	기업/NNG+들/XSN+의/JKG
반응까지	반응/NNG+까지/JX
묶은	묶/VV+은/ETM
자료집	자료집/NNG
발간을	발간/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.371.8.1
박 대통령은 이날 회의에서 또 유치원과 어린이집 문제에 대해서도 "비리나 잘못을 바로잡는 데 일일이 따라다니면서 할 수가 없다"며 "법과 규정도 만들고 감독하지만 저는 그 시발점이 '공개'라고 생각한다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
또	또/MAG
유치원과	유치원/NNG+과/JC
어린이집	어린이집/NNG
문제에	문제/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"비리나	"/SS+비리/NNG+나/JC
잘못을	잘못/NNG+을/JKO
바로잡는	바로잡/VV+는/ETM
데	데/NNB
일일이	일일이/MAG
따라다니면서	따라다니/VV+면서/EC
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"법과	"/SS+법/NNG+과/JC
규정도	규정/NNG+도/JX
만들고	만들/VV+고/EC
감독하지만	감독/NNG+하/XSV+지만/EC
저는	저/NP+는/JX
그	그/MMD
시발점이	시발점/NNG+이/JKS
'공개'라고	'/SS+공개/NNG+'/SS+라고/JKQ
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


