# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.164
metadata : {}


# id : NWRW1800000038.164.1.1
정용진 부회장에 벌금 최고형

정용진	정용진/NNP
않은	않/VX+은/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
정	정/NNP
부회장에게	부회장/NNG+에게/JKB
처할	처하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
벌금형	벌금형/NNG
중	중/NNB
최고형인	최고형/NNG+이/VCP+ㄴ/ETM
1500만원을	1500/SN+만/NR+원/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.164.5.1
재판장은 "대형마트 등의 골목상권 침해, 불공정거래 관행에 대한 국회의 심의는 국민적 관심사 중 하나였다"면서 "148개 점포, 매출액 13조원인 이마트의 대표이사로서 국정감사 등에 나와 성실하게 답변하는 것이 법률적 의무이자 국회와 국민에 대한 의무였다"고 했다.

재판장은	재판장/NNG+은/JX
"대형마트	"/SS+대형/NNG+마트/NNG
등의	등/NNB+의/JKG
골목상권	골목/NNG+상권/NNG
침해,	침해/NNG+,/SP
불공정거래	불/XPN+공정/NNG+거래/NNG
관행에	관행/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국회의	국회/NNG+의/JKG
심의는	심의/NNG+는/JX
국민적	국민/NNG+적/XSN
관심사	관심사/NNG
중	중/NNB
하나였다"면서	하나/NR+이/VCP+었/EP+다/EF+"/SS+면서/EC
"148개	"/SS+148/SN+개/NNB
점포,	점포/NNG+,/SP
매출액	매출액/NNG
13조원인	13/SN+조/NR+원/NNB+이/VCP+ㄴ/ETM
이마트의	이마트/NNP+의/JKG
대표이사로서	대표/NNG+이사/NNG+로서/JKB
국정감사	국정/NNG+감사/NNG
등에	등/NNB+에/JKB
나와	나오/VV+아/EC
성실하게	성실/NNG+하/XSA+게/EC
답변하는	답변/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
법률적	법률/NNG+적/XSN
의무이자	의무/NNG+이/VCP+자/EC
국회와	국회/NNG+와/JC
국민에	국민/NNG+에/JKB
의무였다"고	의무/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.164.5.2
이어 "국정감사 등 출석 요구에 계속 응하지 않아 국회 업무에 지장을 초래한 책임을 물어야 마땅하다"면서도 "다른 전문 경영인들을 대신 증언하도록 했고, 형사처벌을 받은 적이 없고 반성하고 있는 점을 고려했다"고 했다.

이어	이어/MAG
"국정감사	"/SS+국정/NNG+감사/NNG
등	등/NNB
출석	출석/NNG
요구에	요구/NNG+에/JKB
계속	계속/MAG
응하지	응하/VV+지/EC
않아	않/VX+아/EC
국회	국회/NNG
업무에	업무/NNG+에/JKB
지장을	지장/NNG+을/JKO
초래한	초래/NNG+하/XSV+ㄴ/ETM
책임을	책임/NNG+을/JKO
물어야	묻/VV+어야/EC
마땅하다"면서도	마땅하/VA+다/EF+"/SS+면서/EC+도/JX
"다른	"/SS+다른/MMD
전문	전문/NNG
경영인들을	경영인/NNG+들/XSN+을/JKO
대신	대신/NNG
증언하도록	증언/NNG+하/XSV+도록/EC
했고,	하/VV+았/EP+고/EC+,/SP
형사처벌을	형사/NNG+처벌/NNG+을/JKO
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
없고	없/VA+고/EC
반성하고	반성/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
점을	점/NNG+을/JKO
고려했다"고	고려/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.164.6.1
재판장은 "징역형을 선택하는 것은 너무 가혹한 것으로 보여 처할 수 있는 벌금형 중 최고형을 선고하는 것이 적정하다"고 했다.

재판장은	재판장/NNG+은/JX
"징역형을	"/SS+징역형/NNG+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
너무	너무/MAG
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보여	보이/VV+어/EC
처할	처하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
벌금형	벌금형/NNG
중	중/NNB
최고형을	최고형/NNG+을/JKO
선고하는	선고/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
적정하다"고	적정/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.164.7.1
국회에 세 차례 출석하지 않으면 경합범 가중에 따라 징역형의 상한인 3년에 절반인 1년 6개월을 더해 4년 6개월의 징역이나, 벌금액의 상한인 1000만원에 절반인 500만원을 더해 1500만원 이하의 범위 내에서 형이 선고된다.

국회에	국회/NNG+에/JKB
세	세/MMN
차례	차례/NNG
출석하지	출석/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
경합범	경합범/NNG
가중에	가중/NNG+에/JKB
따라	따르/VV+아/EC
징역형의	징역형/NNG+의/JKG
상한인	상한/NNG+이/VCP+ㄴ/ETM
3년에	3/SN+년/NNB+에/JKB
절반인	절반/NNG+이/VCP+ㄴ/ETM
1년	1/SN+년/NNB
6개월을	6/SN+개월/NNB+을/JKO
더해	더/MAG+하/XSV+아/EC
4년	4/SN+년/NNB
6개월의	6/SN+개월/NNB+의/JKG
징역이나,	징역/NNG+이나/JC+,/SP
벌금액의	벌금액/NNG+의/JKG
1000만원에	1000/SN+만/NR+원/NNB+에/JKB
500만원을	500/SN+만/NR+원/NNB+을/JKO
1500만원	1500/SN+만/NR+원/NNB
이하의	이하/NNG+의/JKG
범위	범위/NNG
내에서	내/NNB+에서/JKB
형이	형/NNG+이/JKS
선고된다.	선고/NNG+되/XSV+ㄴ다/EF+./SF


