# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.174
metadata : {}


# id : NWRW1800000054.174.1.1
"삼성동(박 前대통령 옛날집)에 진짜 돈 있을까" 특검, 한때 압수수색 검토

"삼성동(박	"/SS+삼성동/NNP+(/SS+박/NNP
용지에	용지/NNG+에/JKB
'삼성동	'/SS+삼성동/NNP
2층	2/SN+층/NNG
방,	방/NNG+,/SP
유주	유주/NNP
유치원'이라고	유치원/NNG+'/SS+이라고/JKQ
메모해	메모/NNG+하/XSV+아/EC
보여줬고,	보이/VV+어/EC+주/VX+었/EP+고/EC+,/SP
나에게	나/NP+에게/JKB
귓속말로	귓속말/NNG+로/JKB
방에	방/NNG+에/JKB
돈이	돈/NNG+이/JKS
있다.	있/VA+다/EF+./SF
그	그/MMD
돈	돈/NNG
갖고	갖/VV+고/EC
유연이(최씨	유연이/NNP+(/SS+최/NNP+씨/NNB
딸	딸/NNG
정유라씨의	정유라/NNP+씨/NNB+의/JKG
개명	개명/NNG
전	전/MMD
이름)와	이름/NNG+)/SS+와/JC
유주(정씨의	유주/NNP+(/SS+정/NNP+씨/NNB+의/JKG
아들)	아들/NNG+)/SS
잘	잘/MAG
키워'라고	키우/VV+어/EC+'/SS+라고/JKQ
말했다"는	말/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
장씨의	장/NNP+씨/NNB+의/JKG
진술	진술/NNG
조서를	조서/NNG+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.174.5.2
장씨는 "당시 이모가 같이 있던 검사를 따돌리기 위해 목이 마르다고 했고 검사가 물을 뜨러 자리를 비운 사이 메모와 귓속말을 했다"고도 진술했다.

장씨는	장/NNP+씨/NNB+는/JX
"당시	"/SS+당시/NNG
이모가	이모/NNG+가/JKS
같이	같이/MAG
있던	있/VV+던/ETM
검사를	검사/NNG+를/JKO
따돌리기	따돌리/VV+기/ETN
위해	위하/VV+아/EC
목이	목/NNG+이/JKS
마르다고	마르/VV+다고/EC
했고	하/VV+았/EP+고/EC
검사가	검사/NNG+가/JKS
물을	물/NNG+을/JKO
뜨러	뜨/VV+러/EC
자리를	자리/NNG+를/JKO
비운	비우/VV+ㄴ/ETM
사이	사이/NNG
메모와	메모/NNG+와/JC
귓속말을	귓속말/NNG+을/JKO
했다"고도	하/VV+았/EP+다/EF+"/SS+고/JKQ+도/JX
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.174.6.1
특검팀은 삼성동 자택에 대한 압수 수색을 검토했으나 실행에 옮기지는 않았다.

특검팀은	특검/NNG+팀/NNG+은/JX
삼성동	삼성동/NNP
자택에	자택/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수	압수/NNG
수색을	수색/NNG+을/JKO
검토했으나	검토/NNG+하/XSV+았/EP+으나/EC
실행에	실행/NNG+에/JKB
옮기지는	옮기/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.174.6.2
특검팀 관계자는 "만약 압수 수색을 해서 (최순실씨) 돈이 발견된다고 해도 범죄 혐의와 연결 짓기는 어렵다는 판단이었다"며 "당시엔 2월 초 박 전 대통령 대면조사를 추진하고 있었기 때문에 이 점도 고려했다"고 말했다.

특검팀	특검/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
"만약	"/SS+만약/MAG
압수	압수/NNG
수색을	수색/NNG+을/JKO
해서	하/VV+아서/EC
(최순실씨)	(/SS+최순실/NNP+씨/NNB+)/SS
돈이	돈/NNG+이/JKS
발견된다고	발견/NNG+되/XSV+ㄴ다고/EC
해도	하/VV+아도/EC
범죄	범죄/NNG
혐의와	혐의/NNG+와/JKB
연결	연결/NNG
짓기는	짓/VV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
판단이었다"며	판단/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"당시엔	"/SS+당시/NNG+에/JKB+ㄴ/JX
2월	2/SN+월/NNB
초	초/NNB
박	박/NNP
전	전/MMD
대통령	대통령/NNG
대면조사를	대면/NNG+조사/NNG+를/JKO
추진하고	추진/NNG+하/XSV+고/EC
있었기	있/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
이	이/MMD
점도	점/NNG+도/JX
고려했다"고	고려/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.174.7.1
검찰도 3월 초 특검에서 장씨의 진술조서가 포함된 수사 자료를 넘겨받아 '귓속말' 내용을 알게 됐다.

검찰도	검찰/NNG+도/JX
3월	3/SN+월/NNB
초	초/NNB
특검에서	특검/NNG+에서/JKB
장씨의	장/NNP+씨/NNB+의/JKG
진술조서가	진술/NNG+조서/NNG+가/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
수사	수사/NNG
자료를	자료/NNG+를/JKO
넘겨받아	넘겨받/VV+아/EC
'귓속말'	'/SS+귓속말/NNG+'/SS
내용을	내용/NNG+을/JKO
알게	알/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.174.7.2
검찰 관계자는 "우리가 관련 내용을 파악했을 때는 이미 박 전 대통령이 헌법재판소의 탄핵 인용으로 청와대를 나와 자택으로 돌아간 시점이어서 압수 수색 등을 검토하지 않았다"고 했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"우리가	"/SS+우리/NP+가/JKS
관련	관련/NNG
내용을	내용/NNG+을/JKO
파악했을	파악/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
이미	이미/MAG
박	박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
탄핵	탄핵/NNG
인용으로	인용/NNG+으로/JKB
청와대를	청와대/NNP+를/JKO
나와	나오/VV+아/EC
자택으로	자택/NNG+으로/JKB
돌아간	돌아가/VV+ㄴ/ETM
시점이어서	시점/NNG+이/VCP+어서/EC
압수	압수/NNG
수색	수색/NNG
등을	등/NNB+을/JKO
검토하지	검토/NNG+하/XSV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.174.8.1
최씨는 조카 장씨와 '귓속말'을 나눈 일도 없고, 돈 얘기도 한 적 없다는 입장이다.

최씨는	최/NNP+씨/NNB+는/JX
조카	조카/NNG
장씨와	장/NNP+씨/NNB+와/JKB
'귓속말'을	'/SS+귓속말/NNG+'/SS+을/JKO
나눈	나누/VV+ㄴ/ETM
일도	일/NNG+도/JX
없고,	없/VA+고/EC+,/SP
돈	돈/NNG
얘기도	얘기/NNG+도/JX
한	하/VV+ㄴ/ETM
적	적/NNB
없다는	없/VA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.174.8.2
최씨는 24일 공판에서 "검사와 수사관이 다 있어서 그런 이야기를 할 수 없는 상황이었다"고 했다.

최씨는	최/NNP+씨/NNB+는/JX
24일	24/SN+일/NNB
공판에서	공판/NNG+에서/JKB
"검사와	"/SS+검사/NNG+와/JC
수사관이	수사관/NNG+이/JKS
다	다/MAG
있어서	있/VV+어서/EC
그런	그런/MMD
이야기를	이야기/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이었다"고	상황/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


